pair,2017Q4,2018Q1
"('HBB', 'NC')",False,False
"('NJV', 'NPN')",False,False
"('NJV', 'NYV')",False,False
"('NYV', 'NPN')",False,False
"('NJV', 'NCB')",False,False
"('NYV', 'NCB')",False,False
"('NPN', 'NCB')",False,False
"('NYV', 'JHA')",False,False
"('NPN', 'JHA')",True,False
"('NJV', 'JHA')",False,False
"('UAA', 'UA')",True,False
"('OCSI', 'OCSL')",False,False
"('NCB', 'JHA')",False,False
"('RPD', 'ALRM')",False,False
"('NS', 'NSH')",False,False
"('PSTG', 'YEXT')",False,False
"('AM', 'AR')",False,False
"('BGT', 'HYT')",False,False
"('BGT', 'BME')",False,False
"('BGT', 'BDJ')",False,False
"('BGT', 'BTZ')",False,False
"('BGT', 'BGR')",False,False
"('BGT', 'BLW')",False,False
"('BGT', 'BGY')",False,False
"('HY', 'HBB')",True,False
"('BDJ', 'BME')",False,False
"('BDJ', 'HYT')",False,False
"('BDJ', 'BGR')",False,False
"('BDJ', 'BGY')",False,False
"('BDJ', 'BLW')",False,False
"('BDJ', 'BTZ')",False,False
"('BME', 'BTZ')",True,False
"('BME', 'BLW')",False,False
"('BME', 'BGY')",False,False
"('BME', 'BGR')",False,False
"('BME', 'HYT')",False,False
"('BGR', 'HYT')",False,False
"('BGR', 'BTZ')",False,False
"('BGR', 'BLW')",False,False
"('BGR', 'BGY')",False,False
"('HYT', 'BGY')",False,False
"('HYT', 'BTZ')",False,True
"('HYT', 'BLW')",True,True
"('ALKS', 'ALNY')",False,False
"('BLW', 'BGY')",True,False
"('BLW', 'BTZ')",True,True
"('APPN', 'CRCM')",False,False
"('BGY', 'BTZ')",True,False
"('MSGN', 'MSG')",False,False
"('LAQ', 'ISL')",False,False
"('GLQ', 'GLV')",True,False
"('DKL', 'DK')",False,False
"('GAB', 'GGZ')",False,False
"('ABE', 'LAQ')",True,False
"('ABE', 'ISL')",False,False
"('MNR', 'UMH')",False,False
"('NFJ', 'NCV')",False,False
"('NFJ', 'NCZ')",False,False
"('NFJ', 'NIE')",False,False
"('CULP', 'CFI')",False,True
"('NCZ', 'NIE')",False,False
"('NCZ', 'NCV')",True,False
"('NCV', 'NIE')",False,False
"('BKI', 'FNF')",False,False
"('NG', 'TMQ')",False,False
"('SP', 'SLP')",False,False
"('UBP', 'UBA')",False,False
"('NC', 'HY')",False,False
"('CIK', 'DHY')",True,False
"('CUK', 'CCL')",False,False
"('HFC', 'HEP')",False,False
"('MPC', 'MPLX')",False,False
"('TYG', 'NTG')",False,False
"('SRCL', 'AXDX')",False,False
"('MSGN', 'AMCX')",False,False
"('AMCX', 'MSG')",False,False
"('L', 'DO')",False,False
"('ABE', 'IF')",False,False
"('LAQ', 'CIK')",True,False
"('LAQ', 'DHY')",False,False
"('LAQ', 'IF')",False,False
"('GLO', 'GLQ')",False,True
"('GLO', 'GLV')",True,False
"('DHY', 'ISL')",False,False
"('ALGT', 'ALG')",False,False
"('WLKP', 'WLK')",False,False
"('ERC', 'EOD')",False,True
"('LJPC', 'HRTX')",False,False
"('ISL', 'IF')",False,False
"('CIK', 'ISL')",False,True
"('RLMD', 'AZRX')",False,True
"('SFE', 'VG')",False,False
"('GGG', 'FUL')",False,False
"('INLX', 'AIRI')",False,False
"('ETE', 'SUN')",False,False
"('ETE', 'ETP')",False,True
"('BKI', 'FG')",False,False
"('PAGP', 'PAA')",False,True
"('GMZ', 'GER')",False,False
"('SRCL', 'QDEL')",False,False
"('MKC', 'TROW')",False,False
"('XNAFX', 'XNTFX')",False,False
"('LE', 'SRG')",False,False
"('ECL', 'RSG')",False,False
"('QDEL', 'AXDX')",False,False
"('GEC', 'GECC')",False,False
"('IBM', 'PG')",False,False
"('PMM', 'PIM')",False,False
"('ACFC', 'CUBI')",False,False
"('MGF', 'MIN')",False,False
"('MGF', 'MFM')",False,False
"('MGF', 'MMT')",False,False
"('MGF', 'CMU')",False,False
"('MGF', 'CXH')",False,False
"('MGF', 'CXE')",False,False
"('MGF', 'MCR')",False,False
"('MGF', 'CIF')",False,False
"('MGF', 'MFV')",False,False
"('KBAL', 'KE')",False,False
"('JMF', 'FMO')",False,False
"('JMF', 'JMLP')",True,False
"('WPZ', 'WMB')",False,False
"('AKS', 'INGR')",False,False
"('BYD', 'WAL')",False,False
"('AR', 'LPI')",False,False
"('ABE', 'DHY')",False,False
"('ABE', 'CIK')",False,True
"('ABT', 'ABBV')",False,False
"('SANW', 'SNES')",False,False
"('OMN', 'CMP')",False,False
"('ACV', 'CBH')",True,False
"('ACV', 'NFJ')",True,False
"('ACV', 'NCV')",True,False
"('ACV', 'NCZ')",True,False
"('ACV', 'NIE')",False,False
"('LAQ', 'FCO')",False,False
"('LAQ', 'ACP')",False,False
"('LAQ', 'FAX')",False,False
"('CXE', 'MMT')",False,False
"('CXE', 'CMU')",False,False
"('CXE', 'MCR')",False,False
"('CXE', 'MFM')",False,False
"('CXE', 'CIF')",True,False
"('CXE', 'MFV')",False,False
"('CXE', 'CXH')",False,False
"('CXE', 'MIN')",False,False
"('CIF', 'MIN')",False,False
"('CIF', 'MFM')",False,False
"('CIF', 'MMT')",False,True
"('CIF', 'CMU')",False,True
"('CIF', 'CXH')",False,True
"('CIF', 'MCR')",False,False
"('CIF', 'MFV')",False,False
"('FCO', 'ABE')",True,False
"('FCO', 'ISL')",False,False
"('FCO', 'ACP')",False,False
"('FCO', 'FAX')",False,False
"('DY', 'INAP')",False,False
"('CMU', 'MMT')",False,False
"('CMU', 'MCR')",False,True
"('CMU', 'MFM')",False,False
"('CMU', 'MFV')",False,False
"('CMU', 'CXH')",False,True
"('CMU', 'MIN')",False,True
"('INVH', 'STWD')",False,False
"('MFM', 'MMT')",False,False
"('MFM', 'MCR')",False,False
"('MFM', 'MFV')",False,False
"('MFM', 'CXH')",True,False
"('MFM', 'MIN')",False,False
"('APPN', 'SENS')",False,False
"('BCV', 'GGZ')",False,False
"('IESC', 'PATK')",False,False
"('FG', 'FNF')",False,False
"('RM', 'BDGE')",False,False
"('NCZ', 'CBH')",False,False
"('FPT', 'FMN')",False,False
"('CBH', 'NFJ')",False,False
"('CBH', 'NCV')",False,False
"('CBH', 'NIE')",False,False
"('CTR', 'EMO')",False,False
"('CTR', 'CEM')",False,True
"('CAT', 'BA')",False,False
"('RA', 'INF')",False,False
"('FAX', 'ABE')",False,False
"('FAX', 'ISL')",False,False
"('FAX', 'ACP')",False,False
"('ABE', 'ACP')",True,False
"('ERC', 'EAD')",False,True
"('ERC', 'ERH')",False,False
"('JMLP', 'FMO')",False,False
"('LLY', 'F')",False,False
"('RMP', 'EQT')",False,False
"('EMO', 'CEM')",False,False
"('MPV', 'MCI')",False,False
"('CIK', 'IF')",True,False
"('WLKP', 'HESM')",False,False
"('MMT', 'MIN')",False,False
"('MMT', 'CXH')",False,False
"('MMT', 'MCR')",False,True
"('MMT', 'MFV')",False,False
"('ERH', 'EAD')",False,False
"('ERH', 'EOD')",False,False
"('EOD', 'EAD')",False,False
"('OMC', 'CAR')",False,False
"('DISCA', 'LBRDA')",False,False
"('CELC', 'ENTG')",False,False
"('CRCM', 'SENS')",False,False
"('MIN', 'CXH')",False,False
"('MIN', 'MCR')",False,True
"('MIN', 'MFV')",False,False
"('PATI', 'PAT')",False,DISSOLVED
"('ISL', 'ACP')",False,True
"('RMPLX', 'RIV')",False,False
"('AWF', 'AB')",False,False
"('AWF', 'AFB')",False,False
"('AFB', 'AB')",False,False
"('IBM', 'MS')",False,False
"('OCSL', 'FSAM')",False,False
"('DHY', 'IF')",True,False
"('MCR', 'MFV')",False,False
"('MCR', 'CXH')",False,False
"('FSAM', 'OCSI')",False,False
"('TBBK', 'FNTE')",False,False
"('CXH', 'MFV')",False,False
"('TWO', 'GPMT')",False,False
"('NLSN', 'MON')",False,False
"('LEG', 'PFGC')",False,False
"('LEG', 'BC')",False,False
"('JEC', 'FE')",False,False
"('CACI', 'MRCY')",False,False
"('POL', 'MON')",False,False
"('PFPT', 'VG')",False,False
"('BTT', 'HYT')",False,False
"('BTT', 'BME')",False,False
"('BTT', 'BDJ')",False,False
"('BTT', 'BGT')",False,False
"('BTT', 'BTZ')",False,False
"('BTT', 'BLW')",False,True
"('BTT', 'BGY')",False,True
"('BTT', 'BGR')",False,False
"('DAN', 'PCAR')",False,False
"('ETM', 'SPG')",False,False
"('INGR', 'CCMP')",False,False
"('KLAC', 'IDTI')",False,False
"('L', 'EV')",False,False
"('MMM', 'IBM')",False,False
"('MMM', 'LLY')",False,False
"('MMM', 'ALL')",False,False
"('CUB', 'ALLY')",False,False
"('MITT', 'REG')",False,False
"('ESRX', 'EFSC')",False,False
"('SCI', 'CHK')",False,False
"('HBI', 'WCC')",False,False
"('HBI', 'URI')",False,False
"('PRU', 'SJM')",False,False
"('CMD', 'L')",False,False
"('MGM', 'MGP')",False,False
"('MYI', 'MYD')",False,False
"('TEL', 'LRCX')",False,False
"('GUT', 'GGO')",False,False
"('GUT', 'LGL')",True,False
"('GUT', 'GLU')",False,False
"('GUT', 'GDV')",False,False
"('GUT', 'GDL')",True,False
"('GUT', 'BCV')",False,False
"('GUT', 'GGZ')",False,False
"('GUT', 'GAB')",False,False
"('GUT', 'GBL')",False,False
"('GUT', 'GGT')",False,False
"('FALC', 'LTRX')",False,False
"('MORN', 'ZAYO')",False,False
"('BDJ', 'BHV')",False,False
"('AERO', 'TURV')",False,True
"('URI', 'WRK')",False,False
"('URI', 'OMC')",False,False
"('R', 'HNI')",False,False
"('INVH', 'GPT')",True,False
"('M', 'TUP')",False,False
"('M', 'T')",False,False
"('VTN', 'VCV')",False,False
"('VTN', 'VGM')",True,False
"('VTN', 'IQI')",True,False
"('VTN', 'OIA')",False,False
"('VTN', 'VBF')",False,False
"('VTN', 'VKQ')",True,False
"('VTN', 'VPV')",True,False
"('VTN', 'VLT')",False,False
"('VTN', 'VMO')",False,False
"('VTN', 'VKI')",True,False
"('VTN', 'VTA')",False,False
"('VTN', 'IHIT')",False,False
"('VTN', 'IVZ')",True,False
"('VTN', 'IIM')",False,False
"('VTN', 'VVR')",False,False
"('PLUG', 'GEVO')",False,True
"('CVGI', 'SXI')",False,False
"('RGS', 'NDSN')",False,False
"('APLP', 'NR')",False,False
"('SFE', 'EBAY')",False,False
"('BKN', 'BFK')",False,False
"('BKN', 'BAF')",False,False
"('BKN', 'MHD')",False,False
"('BKN', 'MUH')",False,False
"('BKN', 'MFT')",False,False
"('BKN', 'MUE')",False,False
"('BKN', 'NZF')",False,False
"('BKN', 'BLE')",False,False
"('FLIR', 'NWN')",False,False
"('HTH', 'FCX')",False,True
"('SNDR', 'CTG')",False,False
"('VTR', 'BXP')",False,False
"('MAGE', 'AHNR')",False,False
"('BLL', 'LLY')",False,False
"('L', 'EL')",True,False
"('L', 'QSR')",False,False
"('ANDV', 'POL')",False,False
"('ASB', 'WEYS')",False,False
"('RPM', 'MPC')",False,False
"('RPM', 'MPLX')",False,False
"('PIH', 'KFS')",False,False
"('PIH', 'LMB')",False,False
"('GCI', 'ADM')",False,False
"('HAL', 'MPC')",False,False
"('C', 'HPE')",False,False
"('BGT', 'GHL')",False,False
"('OMC', 'GRUB')",False,False
"('MON', 'CL')",False,False
"('OIA', 'VCV')",False,False
"('OIA', 'VGM')",False,False
"('OIA', 'IQI')",False,False
"('OIA', 'VBF')",False,False
"('OIA', 'VKQ')",False,False
"('OIA', 'VPV')",False,False
"('OIA', 'VLT')",False,False
"('OIA', 'VMO')",False,False
"('OIA', 'VKI')",False,False
"('OIA', 'VTA')",False,False
"('OIA', 'IHIT')",False,False
"('OIA', 'IVZ')",False,False
"('OIA', 'IIM')",False,False
"('OIA', 'VVR')",False,False
"('ARMK', 'LOW')",False,False
"('ARMK', 'K')",False,False
"('BSF', 'BKI')",True,False
"('BSF', 'FG')",True,False
"('BSF', 'FNF')",True,False
"('VBIV', 'ZGNX')",False,False
"('VBIV', 'ADMA')",False,False
"('VBIV', 'GBT')",False,False
"('VBIV', 'QTNT')",False,False
"('VBIV', 'ALBO')",False,False
"('PRA', 'NCOM')",False,False
"('OCSI', 'CVX')",False,False
"('DIN', 'ABG')",False,False
"('MMS', 'ORLY')",False,False
"('ADMA', 'ZGNX')",False,False
"('ADMA', 'GBT')",False,False
"('ADMA', 'QTNT')",False,False
"('ADMA', 'ALBO')",False,False
"('TCO', 'SLG')",False,False
"('URI', 'WCC')",False,False
"('CDK', 'BR')",False,False
"('VFC', 'TRV')",False,False
"('CDNS', 'HPE')",True,False
"('PRI', 'AYI')",False,False
"('ETR', 'HII')",False,False
"('GLW', 'K')",False,False
"('EXLS', 'CA')",False,False
"('PVH', 'ORLY')",False,False
"('JLL', 'NSC')",False,False
"('EV', 'CFG')",False,False
"('UFS', 'AMTD')",False,False
"('CL', 'ADSK')",False,False
"('ANGI', 'CRCM')",False,False
"('TRTN', 'BLL')",False,False
"('TRTN', 'ALV')",False,False
"('VTR', 'EVHC')",False,False
"('CA', 'RMD')",False,False
"('WTFC', 'OGE')",False,False
"('WTFC', 'SYY')",False,False
"('CFX', 'CHCI')",False,False
"('CI', 'PLD')",False,False
"('LPLA', 'MCI')",False,False
"('AHGP', 'KSU')",False,False
"('EME', 'HUBB')",False,False
"('INTG', 'SFEF')",False,True
"('PLD', 'FUL')",False,False
"('PG', 'INTU')",False,False
"('USAU', 'PGLC')",False,False
"('AVT', 'TXT')",False,False
"('CBI', 'VVC')",False,False
"('CMD', 'OMC')",False,False
"('CMD', 'PEGI')",False,False
"('M', 'FCPT')",False,False
"('CFX', 'BRC')",False,False
"('GD', 'KBR')",False,False
"('WWD', 'FELE')",False,False
"('ZTS', 'FIS')",False,False
"('GWW', 'ITW')",False,False
"('PETS', 'SCOR')",False,False
"('WFC', 'DIS')",False,True
"('THR', 'GTLS')",False,False
"('CZR', 'JBSS')",False,False
"('VKQ', 'VCV')",False,False
"('VKQ', 'VGM')",False,False
"('VKQ', 'IQI')",False,False
"('VKQ', 'VBF')",False,False
"('VKQ', 'VPV')",False,False
"('VKQ', 'VLT')",False,False
"('VKQ', 'VMO')",False,False
"('VKQ', 'VKI')",True,False
"('VKQ', 'VTA')",False,False
"('VKQ', 'IHIT')",False,True
"('VKQ', 'IVZ')",False,False
"('VKQ', 'IIM')",False,False
"('VKQ', 'VVR')",False,False
"('DVMT', 'VMW')",False,False
"('PSA', 'ITRI')",False,False
"('MTCH', 'ILG')",False,False
"('MKC', 'WRK')",False,False
"('SMHI', 'DO')",False,False
"('SMHI', 'CKH')",False,False
"('TMO', 'HPQ')",False,True
"('GWRE', 'MLNX')",False,False
"('BZM', 'FPT')",False,False
"('BZM', 'FMN')",False,True
"('FIX', 'MAIN')",False,False
"('HP', 'MTZ')",False,False
"('VVC', 'FRME')",False,False
"('NPN', 'JRO')",False,False
"('NPN', 'JGH')",False,False
"('SNV', 'EE')",False,False
"('AXP', 'IBM')",False,False
"('AXP', 'PG')",False,False
"('ECL', 'FUL')",False,False
"('FLEX', 'CSCO')",False,False
"('CCK', 'PPL')",False,False
"('VOYA', 'SNA')",False,False
"('VOYA', 'KEY')",False,False
"('POOL', 'DLA')",False,False
"('R', 'AXE')",False,False
"('BZH', 'MLM')",False,False
"('EXC', 'WTR')",False,False
"('MS', 'ALL')",False,False
"('MS', 'EBAY')",False,False
"('AN', 'LE')",False,False
"('AN', 'SRG')",False,False
"('PRA', 'RF')",False,False
"('PRA', 'T')",False,False
"('PRA', 'JLL')",False,False
"('RRD', 'ARMK')",False,False
"('MNRO', 'CAA')",False,DISSOLVED
"('CE', 'ASH')",False,False
"('STX', 'LRCX')",False,False
"('TPR', 'NYT')",False,False
"('BXC', 'GMS')",False,False
"('GGG', 'WDFC')",False,False
"('GAIN', 'QRVO')",False,False
"('GAIN', 'GLAD')",False,False
"('AXE', 'EQR')",False,False
"('AXE', 'CVA')",False,False
"('AXE', 'ELS')",False,False
"('AXE', 'EQC')",False,False
"('CRM', 'PLT')",True,False
"('ZGNX', 'GBT')",False,False
"('ZGNX', 'QTNT')",True,False
"('ZGNX', 'ALBO')",False,False
"('STX', 'MSG')",False,False
"('GNCMA', 'COST')",False,DISSOLVED
"('GNCMA', 'MSFT')",True,DISSOLVED
"('OSUR', 'WST')",False,False
"('ZTR', 'DSE')",False,False
