pair,2017Q2
"('DISCK', 'DISCA')",False
"('AGN', 'ALGN')",False
"('UA', 'UAA')",False
"('R', 'RIBT')",False
"('LGF-A', 'LGF-B')",True
"('PMT', 'PFSI')",False
"('CUK', 'CCL')",False
"('CTI', 'CTIC')",False
"('DKL', 'DK')",True
"('BME', 'BLW')",False
"('BME', 'BDJ')",False
"('BME', 'BGT')",False
"('BME', 'BGR')",False
"('BME', 'BGY')",False
"('BME', 'HYT')",False
"('BME', 'BTZ')",False
"('AFB', 'AWF')",False
"('BDJ', 'BGY')",False
"('BDJ', 'BTZ')",False
"('BDJ', 'BLW')",False
"('BDJ', 'HYT')",False
"('BDJ', 'BGT')",False
"('BDJ', 'BGR')",False
"('PSTG', 'MATR')",False
"('BGT', 'BGY')",False
"('BGT', 'BTZ')",False
"('BGT', 'BLW')",False
"('BGT', 'HYT')",False
"('BGT', 'BGR')",False
"('BTZ', 'BGR')",False
"('BTZ', 'BGY')",True
"('BTZ', 'BLW')",False
"('BTZ', 'HYT')",False
"('BGY', 'BLW')",False
"('BGY', 'HYT')",False
"('BGY', 'BGR')",False
"('BLW', 'HYT')",False
"('BLW', 'BGR')",False
"('HYT', 'BGR')",False
"('IAE', 'IID')",False
"('MMT', 'MCR')",True
"('AFB', 'AB')",False
"('AB', 'AWF')",False
"('IHD', 'IAE')",False
"('IHD', 'IID')",False
"('MNR', 'UMH')",False
"('KRO', 'NL')",False
"('IID', 'IGD')",False
"('IAE', 'IGD')",False
"('LAQ', 'IF')",False
"('MMT', 'CIF')",False
"('MMT', 'MGF')",False
"('MMT', 'CXE')",False
"('MMT', 'MFV')",False
"('MMT', 'MIN')",False
"('MMT', 'CMU')",False
"('MMT', 'MFM')",False
"('MMT', 'CXH')",False
"('ALX', 'VNO')",False
"('VHI', 'CIX')",False
"('CMU', 'MIN')",False
"('CMU', 'CIF')",False
"('CMU', 'MCR')",False
"('CMU', 'MFM')",False
"('CMU', 'MGF')",False
"('CMU', 'CXH')",False
"('CMU', 'CXE')",False
"('CMU', 'MFV')",True
"('MGF', 'CIF')",False
"('MGF', 'CXE')",False
"('MGF', 'MFV')",False
"('MGF', 'MIN')",False
"('MGF', 'MCR')",False
"('MGF', 'MFM')",False
"('MGF', 'CXH')",False
"('IHD', 'IGD')",False
"('MIN', 'CXE')",False
"('MIN', 'MFV')",False
"('MIN', 'MFM')",True
"('MIN', 'CIF')",False
"('MIN', 'MCR')",False
"('MIN', 'CXH')",False
"('VCV', 'VKI')",True
"('VCV', 'VVR')",False
"('VCV', 'VTA')",False
"('CXH', 'CIF')",False
"('CXH', 'MCR')",False
"('CXH', 'MFM')",False
"('CXH', 'CXE')",False
"('CXH', 'MFV')",False
"('MCR', 'CXE')",False
"('MCR', 'MFV')",False
"('MCR', 'MFM')",False
"('MCR', 'CIF')",False
"('LSXMA', 'LSXMK')",False
"('VVR', 'VKI')",False
"('VVR', 'VTA')",False
"('MFM', 'MFV')",False
"('MFM', 'CXE')",False
"('MFM', 'CIF')",False
"('VTA', 'VKI')",False
"('MFV', 'CXE')",True
"('MFV', 'CIF')",False
"('CXE', 'CIF')",False
"('VGM', 'VKI')",False
"('VGM', 'VCV')",False
"('VGM', 'VVR')",False
"('VGM', 'VTN')",False
"('VGM', 'VLT')",False
"('VGM', 'IHIT')",False
"('VGM', 'IQI')",False
"('VGM', 'OIA')",False
"('VGM', 'VPV')",False
"('VGM', 'VBF')",False
"('VGM', 'VMO')",False
"('VGM', 'VKQ')",True
"('VGM', 'VTA')",False
"('VGM', 'IIM')",True
"('LAQ', 'ABE')",False
"('LAQ', 'ISL')",False
"('SNI', 'SSP')",True
"('IQI', 'VKI')",False
"('IQI', 'VCV')",False
"('IQI', 'VVR')",False
"('IQI', 'VTN')",False
"('IQI', 'VLT')",False
"('IQI', 'IHIT')",False
"('IQI', 'OIA')",False
"('IQI', 'VPV')",False
"('IQI', 'VBF')",False
"('IQI', 'VMO')",False
"('IQI', 'VKQ')",False
"('IQI', 'VTA')",False
"('IQI', 'IIM')",False
"('VLT', 'VKI')",False
"('VLT', 'VCV')",True
"('VLT', 'VVR')",False
"('VLT', 'VTN')",False
"('VLT', 'IHIT')",False
"('VLT', 'OIA')",False
"('VLT', 'VPV')",False
"('VLT', 'VBF')",False
"('VLT', 'VMO')",False
"('VLT', 'VKQ')",False
"('VLT', 'VTA')",False
"('VLT', 'IIM')",False
"('IF', 'ABE')",False
"('IF', 'ISL')",False
"('MGM', 'MGP')",False
"('IHIT', 'VKI')",False
"('IHIT', 'VCV')",False
"('IHIT', 'VVR')",False
"('IHIT', 'VTN')",False
"('IHIT', 'OIA')",True
"('IHIT', 'VPV')",True
"('IHIT', 'VBF')",False
"('IHIT', 'VMO')",True
"('IHIT', 'VKQ')",False
"('IHIT', 'VTA')",False
"('IHIT', 'IIM')",False
"('IIM', 'OIA')",False
"('IIM', 'VCV')",False
"('IIM', 'VKI')",False
"('IIM', 'VMO')",False
"('IIM', 'VVR')",False
"('IIM', 'VKQ')",True
"('IIM', 'VTN')",False
"('IIM', 'VBF')",False
"('IIM', 'VTA')",False
"('IIM', 'VPV')",False
"('MPLX', 'MPC')",False
"('ENLK', 'ENLC')",True
"('AINC', 'AHT')",False
"('HY', 'NC')",False
"('INSW', 'OSG')",False
"('ANAT', 'NWLI')",True
"('VMO', 'VBF')",False
"('VMO', 'VTA')",False
"('VMO', 'VKQ')",False
"('VMO', 'VPV')",False
"('VMO', 'OIA')",False
"('VMO', 'VTN')",False
"('VMO', 'VVR')",False
"('VMO', 'VCV')",False
"('VMO', 'VKI')",False
"('OIA', 'VPV')",False
"('OIA', 'VVR')",False
"('OIA', 'VTN')",False
"('OIA', 'VBF')",False
"('OIA', 'VCV')",False
"('OIA', 'VKI')",False
"('OIA', 'VKQ')",False
"('OIA', 'VTA')",False
"('VTN', 'VBF')",False
"('VTN', 'VTA')",False
"('VTN', 'VKQ')",False
"('VTN', 'VPV')",False
"('VTN', 'VVR')",False
"('VTN', 'VCV')",False
"('VTN', 'VKI')",False
"('VCV', 'VKQ')",True
"('VCV', 'VBF')",False
"('VCV', 'VPV')",False
"('ABT', 'ABBV')",False
"('VVR', 'VPV')",False
"('VVR', 'VBF')",False
"('VVR', 'VKQ')",False
"('VKQ', 'VBF')",False
"('VKQ', 'VTA')",False
"('VKQ', 'VPV')",False
"('VKQ', 'VKI')",False
"('VTA', 'VPV')",False
"('VTA', 'VBF')",False
"('VKI', 'VPV')",False
"('VKI', 'VBF')",True
"('VPV', 'VBF')",False
"('HGV', 'HLT')",False
"('FANG', 'VNOM')",False
"('TMQ', 'NG')",True
"('SRCL', 'AXDX')",False
"('CEM', 'CTR')",True
"('CEM', 'EMO')",True
"('DDD', 'LMNX')",False
"('TDF', 'EMF')",False
"('INF', 'RA')",False
"('FATE', 'LIFE')",False
"('CIX', 'KRO')",False
"('CIX', 'NL')",False
"('EMO', 'CTR')",True
"('JCOM', 'CMCT')",False
"('SPNE', 'IART')",False
"('VMC', 'RF')",False
"('GLO', 'GLQ')",False
"('GLO', 'GLV')",False
"('DO', 'L')",False
"('BGY', 'BOE')",False
"('TTEN', 'ATLS')",False
"('GLV', 'GLQ')",False
"('TPX', 'SIX')",False
"('OKE', 'OGS')",False
"('ITW', 'NTRS')",False
"('RETA', 'APEN')",False
"('PIH', 'BTN')",False
"('ISL', 'ABE')",True
"('JANL', 'GLBZ')",False
"('ISIG', 'AIRT')",False
"('INIT', 'INTT')",False
"('TJX', 'GNC')",False
"('PBI', 'TDOC')",False
"('TDC', 'ALV')",False
"('PKO', 'PCM')",False
"('NBIX', 'BIIB')",False
"('BFAM', 'BURL')",False
"('MS', 'IBM')",False
"('SRCL', 'QDEL')",False
"('PMM', 'PMO')",True
"('GIM', 'EMF')",False
"('GIM', 'TDF')",False
"('GIM', 'TEI')",False
"('SYRS', 'LIFE')",True
"('MGEN', 'ZFGN')",False
"('OPK', 'TRXC')",False
"('GER', 'GMZ')",False
"('ICPT', 'SGEN')",False
"('TDF', 'TEI')",False
"('ACGL', 'BIVV')",False
"('AAP', 'PRGO')",False
"('ANGO', 'LNTH')",False
"('ENTG', 'TER')",False
"('FULT', 'YORW')",False
"('VAC', 'HT')",False
"('HT', 'CDOR')",False
"('SCD', 'CEM')",False
"('SCD', 'CTR')",False
"('SCD', 'EMO')",False
"('LOGM', 'CTXS')",False
"('HPE', 'MRK')",False
"('ALNY', 'IRWD')",False
"('SYRS', 'ALNY')",False
"('AAMC', 'RESI')",False
"('TTI', 'CCLP')",False
"('DS', 'NRZ')",False
"('MAR', 'BA')",False
"('SANW', 'SNES')",False
"('RIGL', 'NVUS')",False
"('MYJ', 'BLJ')",False
"('MYJ', 'MUJ')",False
"('GGG', 'FUL')",False
"('PFE', 'AIG')",False
"('COLL', 'TTPH')",False
"('ALNY', 'LIFE')",False
"('SNPS', 'TER')",False
"('AMRN', 'CHMA')",False
"('XPER', 'MRVL')",False
"('NL', 'VHI')",False
"('DRH', 'VAC')",False
"('LC', 'SQ')",False
"('TEI', 'EMF')",False
"('RESN', 'LII')",True
"('ILMN', 'VCYT')",False
"('BRTX', 'APDN')",False
"('GBT', 'MYOK')",True
"('INCY', 'SGEN')",False
"('VHI', 'KRO')",False
"('VMC', 'XEL')",False
"('HXL', 'TFX')",False
"('ADM', 'GCI')",False
"('PKG', 'TEN')",False
"('IMGN', 'GLYC')",False
"('PBF', 'NRG')",False
"('COLL', 'AMAG')",False
"('BXS', 'DEL')",False
"('HAWK', 'PAY')",False
"('BA', 'CAT')",False
"('FITB', 'MPC')",False
"('RYAM', 'TECD')",False
"('VCRA', 'FIVN')",False
"('NOW', 'VEEV')",False
"('QDEL', 'AXDX')",False
"('PRI', 'ZION')",False
"('IART', 'OMI')",False
"('OMC', 'CAR')",False
"('FCB', 'CLI')",True
"('FCB', 'ICE')",False
"('SGMS', 'FCX')",False
"('CPE', 'CBI')",False
"('DGX', 'INAP')",False
"('MNE', 'MUI')",False
"('ECL', 'RSG')",False
"('EFF', 'EFT')",False
"('WTBA', 'UFCS')",False
"('BANR', 'FBP')",False
"('FE', 'TSE')",False
"('TROW', 'MKC')",False
"('AGIO', 'BLUE')",False
"('ARQL', 'SELB')",False
"('ANTH', 'CBAY')",False
"('BOKF', 'OKE')",False
"('BFY', 'BQH')",True
"('BFY', 'BSE')",False
"('BFY', 'MNE')",True
"('STMP', 'PRSS')",False
"('SFE', 'AWK')",False
"('ALL', 'MMM')",False
"('BIVV', 'BIIB')",False
"('CMP', 'OMN')",False
"('DERM', 'FPRX')",True
"('INGR', 'AKS')",False
"('TIPRX', 'TIPWX')",True
"('LYV', 'LSXMA')",False
"('LYV', 'LSXMK')",False
"('RETA', 'CRVS')",False
"('DVA', 'KND')",True
"('SFE', 'VG')",False
"('EMN', 'CB')",False
"('NOW', 'PSTG')",False
"('ORCL', 'AKAM')",False
"('MRTX', 'BMRN')",False
"('TSE', 'ST')",True
"('GCP', 'MKSI')",False
"('HUBB', 'KAMN')",False
"('LSXMA', 'CHTR')",False
"('LSXMK', 'CHTR')",False
"('TYG', 'NDP')",False
"('TYG', 'NTG')",False
"('EPZM', 'TSRO')",False
"('BLJ', 'MUJ')",True
"('GERN', 'ILMN')",False
"('GNC', 'BIG')",False
"('SAGE', 'ALNY')",False
"('CHTR', 'DISCK')",False
"('CHTR', 'DISCA')",False
"('MNE', 'BQH')",True
"('MNE', 'BSE')",True
"('FSLR', 'INT')",False
"('CRVS', 'APEN')",True
"('KLXI', 'COL')",False
"('NAV', 'RIG')",False
"('LXRX', 'BUFF')",False
"('SIR', 'FVE')",False
"('IBM', 'PG')",False
"('LPI', 'AR')",False
"('RARE', 'SGEN')",False
"('SNV', 'GPC')",False
"('JRO', 'JSD')",False
"('CUBI', 'ACFC')",False
"('DFIN', 'DBD')",False
"('SO', 'GPC')",False
"('TA', 'FVE')",False
"('EXR', 'TEN')",False
"('CLSD', 'AERI')",False
"('UVV', 'OMI')",False
"('PGRE', 'REG')",False
"('LNC', 'LUV')",False
"('BSE', 'BQH')",True
"('AMRS', 'CDXS')",False
"('GT', 'NRG')",False
"('DDS', 'PAYC')",False
"('UTX', 'MDLZ')",False
"('CPS', 'PHH')",False
"('INVA', 'CCXI')",False
"('VGM', 'AT')",False
"('VGM', 'ON')",False
"('MIC', 'WPX')",False
"('PNC', 'MDLZ')",False
"('PNC', 'MPC')",False
"('ASB', 'AAP')",False
"('ASB', 'KMB')",False
"('BSM', 'CRZO')",False
"('CRZO', 'CPT')",False
"('CTL', 'MITL')",False
"('CHRW', 'OTTR')",False
"('TJX', 'DNKN')",False
"('VTGN', 'DRRX')",False
"('TMPS', 'SGMS')",False
"('TMPS', 'COWN')",False
"('ARNA', 'RARE')",False
"('VEEV', 'SPLK')",False
"('SHAK', 'SIG')",False
"('SP', 'THC')",False
"('SP', 'KAMN')",False
"('OSK', 'CACI')",False
"('RGLS', 'EXEL')",False
"('RGLS', 'BIIB')",False
"('TG', 'UVV')",False
"('NFLX', 'GOOG')",False
"('NFLX', 'ANET')",False
"('NFLX', 'GLUU')",False
"('EGOV', 'UMBF')",False
"('SM', 'CCLP')",False
"('SM', 'TTI')",False
"('BME', 'BAF')",False
"('BME', 'BSD')",False
"('GNTX', 'BWA')",False
"('GNTX', 'STRL')",False
"('R', 'NATI')",False
"('HAWK', 'CAR')",False
"('HAWK', 'CVG')",False
"('CNC', 'PPL')",False
"('GBAB', 'GOF')",False
"('GBAB', 'GGM')",False
"('GBAB', 'FMO')",False
"('PHM', 'SPXC')",False
"('OUT', 'TTWO')",False
"('SAGE', 'BIVV')",False
"('WIRE', 'CSWC')",False
"('VER', 'CXP')",False
"('VYGR', 'GBT')",False
"('LSCC', 'AMBA')",False
"('KWR', 'RBCN')",False
"('TRU', 'ALL')",False
"('DKS', 'HOME')",False
"('PBI', 'HSY')",False
"('TDC', 'JBT')",False
"('FCN', 'DD')",False
"('FCN', 'ITT')",False
"('WBS', 'CLH')",False
"('CRM', 'AABA')",False
"('VC', 'COMM')",False
"('CTL', 'WTI')",False
"('WY', 'XEL')",False
"('WY', 'SSP')",False
"('PKO', 'PFLEX')",False
"('PKO', 'PGP')",False
"('PGRE', 'DEI')",False
"('CMI', 'HOG')",False
"('CERS', 'PKI')",False
"('NBIX', 'ADRO')",False
"('IQI', 'AT')",False
"('IQI', 'ON')",False
"('PGR', 'KEY')",False
"('PRU', 'NWL')",False
"('APD', 'FOLD')",False
"('APD', 'VRTX')",False
"('ED', 'HMHC')",False
"('VR', 'VNO')",False
"('SPWR', 'HPQ')",False
"('ROP', 'CRL')",False
"('ROP', 'CVG')",False
"('ROP', 'STAY')",False
"('JNPR', 'CTXS')",False
"('JNPR', 'LOGM')",False
"('JNPR', 'KLAC')",False
"('CPN', 'PRGO')",False
"('CMCSA', 'AMKR')",False
"('ANDE', 'FE')",False
"('L', 'CMD')",False
"('UNVR', 'TDC')",False
"('PTLA', 'SCMP')",False
"('APPF', 'TLYS')",False
"('MA', 'RM')",False
"('CDNA', 'VCYT')",False
"('CDNA', 'FPRX')",False
"('CDNA', 'BCRX')",False
"('EVBG', 'VECO')",False
"('XHR', 'AAL')",False
"('LHCG', 'BLBD')",False
"('ITRI', 'POR')",False
"('AERI', 'TRVN')",False
"('AERI', 'IRWD')",False
"('FCN', 'TROW')",False
"('FCN', 'RXN')",False
"('VNDA', 'SAGE')",False
"('PLYA', 'AGNC')",False
"('ICPT', 'ILMN')",False
"('ICPT', 'CORT')",False
"('ICPT', 'GERN')",False
"('NCR', 'JNPR')",False
