pair,2017Q4,2018Q1
"('FLGT', 'MKC')",False,False
"('M', 'AFSI')",False,False
"('FGEN', 'EDUC')",False,False
"('PAYX', 'IPIX')",False,False
"('FMBI', 'AXDX')",True,False
"('ERH', 'ADSK')",False,False
"('LSXMA', 'PDLI')",False,False
"('GTE', 'FN')",False,False
"('FCPT', 'FLEX')",False,False
"('CARV', 'NVTA')",False,False
"('CBI', 'CERN')",False,False
"('HPE', 'TDG')",False,False
"('GRMN', 'LOB')",False,False
"('WIRE', 'IMPV')",False,False
"('ULTA', 'POWI')",False,False
"('FIT', 'DNP')",False,True
"('GSBC', 'WLKP')",False,False
"('HMHC', 'NVR')",False,False
"('SPXC', 'SCG')",False,False
"('PAHC', 'BLMN')",False,False
"('D', 'LTRE')",False,False
"('FDS', 'NTG')",False,False
"('CELP', 'STKS')",False,False
"('SQ', 'DBMM')",False,False
"('DAIO', 'FZMD')",False,False
"('CAPR', 'WAYN')",False,False
"('MCN', 'GNUS')",False,False
"('SEM', 'KIO')",False,False
"('AOBC', 'AAT')",False,False
"('REEMF', 'NHF')",False,False
"('INSM', 'JWN')",False,False
"('CISN', 'NTNX')",False,False
"('CDXC', 'YEXT')",False,False
"('CLGX', 'PWOD')",False,False
"('GMS', 'WLH')",False,False
"('HDNG', 'WSFS')",False,False
"('CRTN', 'HTLF')",False,False
"('UEC', 'HEP')",False,False
"('SPHS', 'VVR')",False,True
"('SSNF', 'RCKY')",False,False
"('QRHC', 'SLG')",False,False
"('OMCL', 'ASYS')",False,False
"('NPO', 'CBL')",False,False
"('STT', 'CHD')",False,False
"('MPWR', 'HTLD')",False,False
"('CBMG', 'NH')",False,True
"('CCS', 'EIGI')",False,False
"('AFSI', 'LIVE')",False,False
"('FELE', 'A')",True,False
"('SAM', 'RUBI')",False,False
"('MVEN', 'TSC')",False,False
"('TRTC', 'AABA')",False,False
"('BZH', 'AWF')",False,False
"('KBAL', 'TSC')",False,False
"('MIK', 'BXMT')",False,False
"('SPGI', 'CHFS')",False,False
"('ORGS', 'ISTR')",False,True
"('SCHW', 'ALSN')",False,False
"('ST', 'AAL')",False,False
"('CCXI', 'MBFI')",False,False
"('AERO', 'KMX')",False,False
"('NEWT', 'PGC')",False,False
"('WOW', 'ITCI')",False,False
"('WEYS', 'NTRI')",False,False
"('EXC', 'WSTG')",False,False
"('ADUS', 'URG')",False,False
"('TDS', 'DCT')",False,False
"('GCH', 'ARDX')",False,False
"('RFP', 'WHG')",False,False
"('AUMN', 'RIGL')",True,False
"('ESOA', 'LBRDA')",False,False
"('MRNS', 'OTTW')",False,False
"('CSCO', 'DS')",False,False
"('NVFY', 'EEFT')",False,False
"('PRSS', 'JRVR')",True,False
"('GME', 'WSR')",False,False
"('ROSE', 'WIZP')",False,DISSOLVED
"('PAT', 'RYI')",True,DISSOLVED
"('CISN', 'NTRP')",False,True
"('NEE', 'EDUC')",False,False
"('CSPI', 'ACIW')",False,False
"('EDIT', 'HCC')",False,False
"('CLUB', 'FVRG')",False,False
"('OMC', 'BCC')",False,False
"('SHBI', 'PRFT')",False,False
"('JILL', 'ROP')",False,False
"('NBL', 'RJF')",False,False
"('CEQP', 'CNDT')",False,False
"('CICN', 'RE')",True,False
"('POPE', 'GLBR')",False,True
"('BL', 'ATLC')",False,False
"('OLP', 'CRTG')",False,False
"('PIH', 'MHO')",False,False
"('PRAH', 'KFY')",False,False
"('MTEX', 'PRKR')",False,False
"('PB', 'EME')",False,False
"('CBIO', 'CMCT')",False,False
"('SVU', 'BLW')",False,True
"('PEN', 'GLPI')",False,False
"('MRAM', 'EDI')",False,False
"('PSMT', 'JBSS')",True,False
