pair,2017Q4,2018Q1
"('CIIX', 'ECOM')",False,False
"('BCV', 'RELV')",True,False
"('TPZ', 'CVX')",False,False
"('KN', 'MPLX')",False,False
"('WKHS', 'HMHC')",False,False
"('BTZ', 'CSRA')",False,False
"('DBMM', 'EGN')",True,False
"('FND', 'SPLP')",False,False
"('FL', 'PAR')",False,False
"('EMMS', 'PWR')",True,False
"('MASI', 'INOV')",True,False
"('FMBI', 'NYT')",False,False
"('IHRC', 'ASNA')",False,DISSOLVED
"('DBD', 'ANY')",False,False
"('TCBK', 'CVX')",False,False
"('MUX', 'MED')",False,False
"('AGRX', 'SAFT')",False,False
"('INVA', 'STOR')",False,False
"('GNRT', 'BSET')",False,False
"('DTRC', 'GPC')",False,False
"('RNST', 'TURV')",False,False
"('CORI', 'ADSK')",False,False
"('LUVU', 'THC')",True,False
"('IBM', 'DRH')",False,False
"('BGSF', 'WSFS')",False,False
"('AGN', 'LODE')",False,False
"('AIR', 'III')",False,False
"('LCII', 'LBY')",False,False
"('JBGS', 'RGC')",False,DISSOLVED
"('PTI', 'WBT')",False,False
"('SYF', 'LIVN')",False,False
"('PKG', 'RXN')",False,False
"('FINL', 'HWBK')",False,False
"('HYT', 'OPTT')",True,False
"('FUNC', 'FSTR')",False,False
"('WPC', 'CVX')",False,True
"('SYBX', 'ALEX')",False,False
"('CHCR', 'AVDL')",False,False
"('BAYK', 'CNIG')",False,False
"('BSX', 'SRCE')",False,True
"('VICR', 'ARWR')",False,False
"('GBLI', 'MGF')",False,False
"('UFPT', 'PME')",False,False
"('MRNS', 'CPIX')",False,False
"('TEUM', 'MRK')",False,False
"('IBKR', 'BFAM')",False,False
"('RDN', 'PNNT')",False,False
"('IHC', 'MFA')",False,False
"('VCYT', 'NGL')",False,False
"('WFCF', 'ATH')",False,False
"('GWR', 'ETN')",False,False
"('KN', 'OMEX')",False,False
"('WAB', 'XELB')",False,False
"('QUIK', 'CLDR')",False,False
"('LIFE', 'BNED')",False,False
"('SCX', 'UTGN')",False,False
"('MFSF', 'CNBKA')",False,False
"('NI', 'GNTX')",False,False
"('VMI', 'OGE')",False,False
"('RGUS', 'ISL')",True,False
"('APPF', 'IBKC')",False,False
"('BCTF', 'GPRO')",False,False
"('HFC', 'GSBC')",False,False
"('TOCA', 'AMRB')",False,False
"('KW', 'VTR')",False,False
"('RRGB', 'MTRN')",False,False
"('ARQL', 'OSIS')",False,False
"('LIFE', 'EKSO')",False,False
"('IONS', 'PDLI')",False,False
"('QBIO', 'CQP')",False,False
"('AJG', 'TDC')",False,False
"('IMTL', 'WBC')",True,False
"('CYRX', 'FULT')",False,False
"('MICT', 'WAB')",False,False
"('CPT', 'QTNT')",False,False
"('RBCN', 'NKTR')",False,False
"('DSNY', 'RGEN')",True,False
"('CHCR', 'CLB')",True,False
"('APA', 'CTIB')",False,False
"('MLNX', 'DRAD')",False,False
"('SMED', 'IBOC')",False,False
"('WEX', 'CBFV')",False,False
"('YUMC', 'IR')",False,False
"('BEBE', 'ACBI')",False,False
"('HIW', 'VAC')",False,False
"('MGNX', 'GRWC')",False,False
"('COL', 'CNOB')",False,False
"('ECPG', 'KEYS')",False,False
"('TECH', 'CMA')",False,False
"('ONB', 'SNSS')",False,False
"('KALV', 'WVVI')",False,False
"('FNRN', 'CA')",False,False
"('KMI', 'RES')",False,False
"('AVXL', 'XRM')",False,False
"('MTD', 'ST')",False,False
"('CHD', 'IDGC')",False,True
"('GNC', 'CWGL')",False,False
"('BDC', 'SBPH')",False,False
"('TLRD', 'SCHL')",False,False
"('LBAI', 'NIHD')",False,False
"('CPST', 'MKTX')",False,False
"('CDNS', 'TPC')",False,True
"('AWK', 'KHC')",False,False
"('MORN', 'NOV')",False,False
"('NHC', 'APLP')",False,True
"('TDW', 'HIW')",False,False
"('ITGR', 'HUN')",False,False
"('RLGY', 'VECO')",False,False
"('RRC', 'UA')",False,False
"('MVEN', 'ARKR')",False,False
"('BIVV', 'BGFV')",False,DISSOLVED
"('MRC', 'DRH')",False,False
"('AEIS', 'NS')",False,False
"('LULU', 'COSM')",False,False
"('TWMC', 'LB')",True,False
"('AIRG', 'APTV')",False,False
"('SLB', 'GPMT')",False,False
"('INTG', 'CHCT')",False,False
"('IONS', 'REXR')",False,False
"('AA', 'DNR')",False,False
"('CPE', 'FCAP')",False,False
"('DSL', 'PIRS')",False,False
"('BDX', 'SEIC')",False,False
"('HFWA', 'HRL')",False,False
"('MSLP', 'LONE')",False,False
"('HBCP', 'COO')",False,False
"('KYN', 'OMI')",False,False
"('CSSE', 'VRML')",False,False
"('PAGP', 'FAST')",False,False
"('JJSF', 'LCII')",False,False
"('VNRX', 'EMKR')",False,False
"('SNBP', 'AAME')",False,False
"('SWM', 'ADSW')",False,False
"('GME', 'JNCE')",False,False
"('RLH', 'PGEM')",False,False
"('CNFR', 'NS')",False,False
"('OSTK', 'APVO')",False,False
"('CSII', 'SYK')",True,False
"('HON', 'KTCC')",False,False
"('AZPN', 'LZB')",False,False
"('ATNI', 'LXP')",False,False
"('ANDE', 'KEQU')",False,False
"('LTRPA', 'HRI')",False,False
"('ZAYO', 'GLU')",False,False
"('SMCI', 'ISR')",False,False
"('CNOB', 'ICBK')",False,False
"('PDLB', 'AXL')",False,False
"('PSIX', 'AME')",False,False
"('MC', 'BLFS')",False,False
"('TELL', 'X')",False,False
"('ARCH', 'FTF')",False,False
"('OSG', 'KERX')",False,False
"('PJT', 'GLBR')",True,False
"('KLAC', 'BOLD')",False,False
"('TDS', 'TNRG')",False,False
"('KINS', 'APVO')",False,False
"('FNRN', 'SNFCA')",False,True
"('SIGI', 'CTIB')",False,False
"('FMCB', 'APHE')",False,False
"('ASNA', 'TEL')",False,False
"('ADTN', 'MTOR')",False,False
"('INSE', 'VSEC')",False,False
"('CVTI', 'STFC')",False,False
"('CFBK', 'ETFC')",False,False
"('NEON', 'BRTX')",False,False
"('UUUU', 'HELE')",False,False
"('EFSI', 'AGLE')",False,False
"('VTR', 'TPCS')",False,False
"('AVXL', 'CROX')",False,False
"('ICPT', 'EHTH')",False,False
"('IRL', 'LMAT')",False,False
"('OMN', 'PGEM')",False,False
"('CCLP', 'OCUL')",False,False
"('FIT', 'CLSH')",False,False
"('RP', 'CODI')",True,False
"('INAP', 'NTX')",False,False
"('SYY', 'ROP')",False,False
"('HNNA', 'TRC')",False,False
"('DSS', 'CPF')",False,False
"('MOST', 'MNKD')",False,False
"('MDU', 'AJX')",False,False
"('PLNT', 'BDGE')",False,False
"('FIVE', 'ALGN')",False,False
"('WEBK', 'BECN')",False,False
"('NGS', 'FTK')",True,False
"('SAFM', 'DSE')",False,False
"('ALGN', 'CR')",False,False
"('TDF', 'COTY')",False,False
"('WOR', 'PKE')",False,False
"('PAYC', 'HSTM')",True,False
"('NYT', 'JLL')",False,False
"('HUN', 'ADRO')",False,False
"('ESRT', 'PLYA')",False,False
"('ALV', 'AAL')",False,False
"('AWR', 'PCH')",False,False
"('PRSC', 'COMM')",False,False
"('LNN', 'DAL')",False,True
"('MFSF', 'PBIP')",False,False
"('ARC', 'CMPR')",False,False
"('FFIV', 'CERN')",False,False
"('EYEG', 'CGIX')",False,True
"('TWIN', 'PAGP')",False,False
"('KEYS', 'ENZ')",False,False
"('OTTR', 'SEDG')",False,False
"('GMZ', 'ACN')",False,False
"('CPK', 'LODE')",False,False
"('HRTG', 'CLCN')",False,False
"('SMCI', 'MDLZ')",False,False
"('GDOT', 'COHN')",False,False
"('AAP', 'CRVL')",False,False
"('PKG', 'MOH')",False,False
"('SKX', 'WLTW')",False,False
"('FLEX', 'BDJ')",False,False
"('KEX', 'LOGI')",False,True
"('HMMR', 'NEE')",False,False
"('LNN', 'MKTX')",False,False
"('PUB', 'GFN')",False,False
"('PPBI', 'TPVG')",False,False
"('TECD', 'SYY')",False,False
"('CRMT', 'AGEN')",False,False
"('MDU', 'TRCK')",False,False
"('NTIP', 'LUNA')",False,True
"('RBB', 'VOYA')",False,False
"('FBP', 'CTRN')",False,False
"('MMC', 'FCCO')",False,False
"('OCFC', 'AINV')",False,False
"('BSRR', 'SMBK')",False,False
"('SIGI', 'HESM')",False,False
"('ZNRG', 'CELH')",False,False
"('PRAH', 'MYE')",False,False
"('MSCC', 'APTS')",False,False
"('ATGE', 'PRTS')",False,True
"('B', 'EVH')",False,False
"('NGVT', 'USAC')",False,False
"('CPRT', 'BKGM')",False,False
"('KALA', 'VLT')",False,False
"('GVP', 'BRC')",False,True
"('CFG', 'LEA')",False,True
"('LCUT', 'NBN')",False,False
"('IRBT', 'LTRPA')",False,False
"('ACGL', 'YUMC')",False,False
"('TPHS', 'WMGI')",True,False
"('IRBT', 'IGC')",False,False
"('STRP', 'BPMC')",False,DISSOLVED
"('JCAP', 'PRIM')",False,False
"('COSM', 'LOCO')",False,False
"('FUL', 'HDP')",False,False
"('SM', 'MUI')",False,False
"('TPZ', 'LDL')",False,False
"('STBZ', 'CACI')",False,False
"('HFBL', 'VVV')",False,False
"('NBR', 'DLA')",False,False
"('PUB', 'SSP')",True,False
"('BKK', 'APPF')",False,True
"('PNR', 'PLXS')",False,False
"('FGBI', 'RMD')",False,False
"('CIEN', 'BSGM')",False,False
"('HRTG', 'AHPI')",False,False
"('EMMS', 'NDAQ')",True,False
"('SNSS', 'AUSI')",False,False
"('CATC', 'TMUS')",False,False
"('PZZA', 'HWBK')",False,False
"('MYD', 'NBTB')",False,False
"('WHLM', 'AXS')",True,False
"('ABCD', 'SBAC')",False,False
"('FLIC', 'EVC')",False,False
"('FUL', 'WHG')",False,False
"('BMRC', 'SRDX')",False,False
"('KMI', 'GLAE')",False,False
"('SKYW', 'CWT')",False,False
"('LHO', 'FMN')",False,False
"('HHS', 'GBL')",False,False
"('MSRT', 'GAIN')",False,False
"('TXT', 'FBMS')",False,False
"('DHR', 'LSCG')",False,False
"('DRQ', 'ARKR')",False,False
"('GNCMA', 'DTRM')",False,DISSOLVED
"('AWR', 'PRGX')",False,False
"('HIW', 'AHL')",False,False
"('PBYI', 'GMO')",False,False
"('HSDT', 'FARM')",False,False
"('NTIP', 'GHY')",False,True
"('BXP', 'CLGX')",False,False
"('ASYS', 'IEX')",False,False
"('ASPS', 'MDT')",False,False
"('RNWK', 'TJX')",False,False
"('CMTL', 'BWP')",False,False
"('TYL', 'CXP')",False,False
"('SNAP', 'BHVN')",False,False
"('RGCO', 'SRLP')",False,False
"('POWI', 'CYTR')",False,False
"('HLF', 'GPMT')",True,False
"('PTGX', 'NUAN')",False,False
"('CBAN', 'LOB')",False,False
"('HIL', 'ORLY')",False,False
"('CBKM', 'WEX')",False,False
"('BGCP', 'FIX')",False,False
"('LLEX', 'CBL')",False,False
"('PRU', 'RCII')",False,False
"('LII', 'BBGI')",False,False
"('W', 'SJM')",False,False
"('TRNS', 'SJW')",False,False
"('IROQ', 'HZO')",True,False
"('FINL', 'VFC')",False,False
"('MRNS', 'HAYN')",False,False
"('VREX', 'HPP')",False,False
"('AT', 'APEI')",False,False
"('VST', 'UTGN')",True,False
"('WRD', 'TCO')",False,False
"('RPM', 'SCI')",False,False
"('LADR', 'FLOW')",False,False
"('RFP', 'HON')",False,False
"('QNBC', 'CZWI')",False,False
"('COBZ', 'AIRT')",False,False
"('STBA', 'PFSW')",True,False
"('CTYX', 'TGI')",False,False
"('LPSN', 'HBAN')",False,False
"('PINC', 'TA')",False,False
"('HPE', 'LM')",False,False
"('FITB', 'RLJE')",False,False
"('GNRT', 'ENCR')",False,False
"('DTRC', 'IGC')",False,False
"('HMN', 'CKH')",False,False
"('VPV', 'FAF')",False,False
"('URG', 'MKGI')",False,True
"('VEC', 'FLOW')",False,False
"('FINL', 'NYT')",False,False
"('FTK', 'PCTI')",True,False
"('AT', 'AGX')",False,False
"('CLDX', 'VAR')",False,False
"('UNP', 'TTOO')",False,False
"('LARK', 'RLJE')",False,False
"('NSEC', 'FBSS')",False,False
"('SUNW', 'GEOS')",False,False
"('FMC', 'HRI')",False,False
"('PPBI', 'SMID')",False,False
"('NAC', 'VNO')",False,False
"('PMTS', 'PK')",False,False
"('ADP', 'MPAA')",False,False
"('DRNA', 'FBHS')",False,False
"('LOGI', 'BFS')",False,False
"('SWN', 'ACU')",False,False
"('LLNW', 'GTHX')",False,False
"('WSTG', 'MUH')",False,False
"('TDF', 'RJF')",False,False
"('AXS', 'FNLC')",False,False
"('GDOT', 'NKTR')",False,False
"('SPWR', 'CAMP')",False,False
"('VRTU', 'VOYA')",False,False
"('JAKK', 'VLY')",False,False
"('TEUM', 'VIVO')",False,False
"('SVU', 'SCI')",False,True
"('BCO', 'SHLM')",False,False
"('MDRX', 'EGHT')",False,False
"('IVC', 'BDC')",False,False
"('ICPT', 'TAP')",True,False
"('THS', 'TNC')",False,False
"('CPE', 'RRD')",False,False
"('NSH', 'WRE')",False,False
"('IART', 'FII')",False,False
"('IZEA', 'SNV')",False,False
"('UBOH', 'ENBL')",True,False
"('ULTA', 'ZION')",True,False
"('LTBR', 'THRM')",False,False
"('CPK', 'SD')",False,False
"('DGII', 'XEC')",False,False
"('CCMP', 'MSEX')",False,False
"('VRAY', 'DRIO')",False,False
"('ARDX', 'BXP')",True,False
"('ST', 'RGCO')",False,False
"('EPAY', 'CHTR')",False,False
"('INSW', 'CTS')",False,False
"('VST', 'VTVT')",False,False
"('LITE', 'NSC')",False,False
"('BCLI', 'BSF')",False,False
"('BXP', 'EMCF')",False,False
"('SLCT', 'CNX')",True,False
"('AFH', 'JJSF')",False,False
"('ABBV', 'ESSA')",False,False
"('ADSW', 'TRC')",True,False
"('WKHS', 'HDP')",False,False
"('IVTY', 'EMGC')",False,False
"('FXNC', 'PG')",False,True
"('CMC', 'CGBD')",False,False
"('HIG', 'CACC')",False,False
"('PFSI', 'FPI')",False,False
"('NANX', 'ESP')",False,False
"('CORI', 'KREF')",False,False
"('EFR', 'AEIS')",False,False
"('FR', 'MRAM')",False,True
"('MCS', 'HA')",False,False
"('EXAS', 'COR')",False,False
"('LSXMA', 'GHAV')",False,False
"('TRUP', 'FBK')",False,False
"('AMGN', 'PRO')",False,False
"('SNV', 'APTV')",True,False
"('QDEL', 'CLFD')",False,False
"('MOD', 'ARNA')",False,False
"('PVBC', 'JOE')",False,False
"('HRC', 'ARI')",False,False
"('HRC', 'ZIVO')",False,False
"('ANCB', 'CPT')",False,False
"('MPC', 'AUTO')",False,False
"('CALD', 'XEC')",False,False
"('NOVN', 'COT')",False,True
"('NRP', 'RNET')",False,False
"('AIG', 'RIGL')",False,False
"('TBTC', 'FLS')",False,False
"('JCP', 'OTTR')",False,False
"('MN', 'BYM')",False,False
"('BOJA', 'SRLP')",False,False
"('MAIN', 'SPWH')",False,False
"('RPM', 'CR')",False,False
"('APO', 'IMCI')",False,False
"('NHI', 'PARR')",False,False
"('FWRD', 'TJX')",False,False
"('ESOA', 'BCBP')",True,False
"('PESI', 'HPQ')",False,False
"('MFCO', 'ALLY')",False,False
"('INFO', 'PZZA')",False,False
"('CSBB', 'HWKN')",False,True
"('REVG', 'OCLR')",False,False
"('BRKR', 'SBH')",False,False
"('CHFS', 'TPL')",False,False
"('TENX', 'RNVA')",False,True
"('FG', 'SCOR')",False,False
"('LPLA', 'PEO')",False,False
"('CTG', 'DVA')",False,False
"('ARQL', 'ZION')",False,False
"('VZ', 'DSM')",False,False
"('UNH', 'LOCO')",False,False
"('GATX', 'CIF')",False,False
"('CRTO', 'QUOT')",False,False
"('BGH', 'SRNE')",False,False
"('VVC', 'WWD')",False,False
"('HOPE', 'UNF')",False,False
"('TRTX', 'REX')",False,False
"('MWA', 'OXFD')",False,False
"('GWB', 'TENX')",False,False
"('BHLB', 'NHI')",False,False
"('KRG', 'JEC')",False,False
"('SPH', 'SPTN')",False,False
"('CHH', 'RUN')",False,False
"('KAMN', 'TRS')",False,False
"('AMAR', 'GHL')",True,False
"('PSIX', 'NGS')",False,False
"('CMRX', 'WEB')",False,False
"('ONDK', 'PRDEX')",False,False
"('NG', 'SPTN')",False,False
"('PWOD', 'PFPT')",False,False
"('RBCN', 'LDOS')",False,False
"('AGIO', 'AWI')",False,False
"('NBO', 'ALLE')",True,False
"('WEN', 'MULE')",False,False
"('ERH', 'CREE')",False,False
"('TBPH', 'MBI')",False,False
"('DGX', 'MGLN')",True,False
"('USAU', 'PFPT')",False,False
"('SBGI', 'ETW')",False,False
"('IQV', 'NNN')",False,False
"('PRTY', 'PKBK')",False,False
"('FARO', 'MFA')",False,False
"('CRSP', 'FSAM')",False,False
"('ARMK', 'NVRO')",False,False
"('TILE', 'ODC')",False,False
"('CYTR', 'TROW')",False,False
"('NCBS', 'ALKS')",False,True
"('PULM', 'GIFI')",False,False
"('CBDS', 'GVA')",False,False
"('MO', 'VRML')",False,False
"('NEWR', 'VUZI')",False,False
"('ADUS', 'BELFB')",False,False
"('LSYN', 'UPS')",False,False
"('DXPE', 'CHK')",False,False
"('PAVM', 'SASR')",False,False
"('GNCMA', 'CIDM')",False,DISSOLVED
"('PZZA', 'BYM')",False,False
"('AKS', 'VTR')",False,False
"('DLA', 'ETY')",False,False
"('LTRX', 'AMP')",False,False
"('BCPC', 'CTSO')",False,False
"('PPT', 'PH')",False,False
"('SR', 'ENDP')",False,False
"('AHH', 'UHT')",False,False
"('HRC', 'VEND')",False,False
"('WHG', 'TGC')",False,False
"('EVTC', 'FSAM')",False,False
"('FOXF', 'PIR')",False,False
"('FDBC', 'KLDX')",False,True
"('PBF', 'VMC')",False,False
"('CAL', 'CLB')",False,False
"('SRI', 'NBIO')",False,False
"('AKRX', 'FNHC')",False,False
"('GMRE', 'ATR')",False,False
"('SCHW', 'GLT')",False,False
"('ATVI', 'AMKR')",False,False
"('BSTN', 'SNDX')",True,False
"('SAM', 'COWN')",False,False
"('LUB', 'LGND')",False,False
"('OSG', 'CREE')",False,False
"('NIHD', 'EBAY')",False,False
"('SNX', 'QMCI')",False,False
"('SNES', 'FSTR')",False,False
"('BLD', 'BIIB')",False,False
"('CZFS', 'SCYX')",True,True
"('DKS', 'LGL')",False,False
"('SMBC', 'DISCA')",False,False
"('GAIA', 'WWE')",False,False
"('JUNO', 'ATOM')",False,DISSOLVED
"('UEIC', 'OBCI')",False,False
"('SBCF', 'WDR')",False,False
"('HLX', 'CADCX')",False,False
"('FDP', 'MPWR')",True,False
"('SJW', 'ROP')",False,False
"('FNHC', 'LPCN')",False,False
"('UEIC', 'SASR')",False,False
"('BNXR', 'MRTX')",False,False
"('LAD', 'SAH')",False,False
"('APPS', 'PANL')",False,False
"('XOG', 'PIR')",True,False
"('PGC', 'ZIVO')",False,False
"('MDC', 'FLWS')",False,False
"('IRMD', 'H')",False,False
"('RGA', 'CLPR')",False,False
"('CMTL', 'QTNA')",False,False
"('YUMC', 'CVV')",False,False
"('RHI', 'FARM')",False,False
"('NCMI', 'CPHC')",False,False
"('ASA', 'UNFI')",False,True
"('VBTX', 'TUP')",True,False
"('WSTG', 'PLYA')",False,False
"('AWI', 'TSN')",False,False
