Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,38.0,38.3,37.6,38.0,191052.0,0.0,1.0,38.0,38.3,37.6,38.0,191052.0
2018-03-26,37.85,38.0,37.1,37.95,109067.0,0.0,1.0,37.85,38.0,37.1,37.95,109067.0
2018-03-23,38.6,38.65,37.2,37.2,146251.0,0.0,1.0,38.6,38.65,37.2,37.2,146251.0
2018-03-22,38.9,40.25,38.4,38.55,321267.0,0.0,1.0,38.9,40.25,38.4,38.55,321267.0
2018-03-21,39.3,39.75,38.9,39.05,165466.0,0.0,1.0,39.3,39.75,38.9,39.05,165466.0
2018-03-20,39.05,39.5,38.9,39.25,183069.0,0.0,1.0,39.05,39.5,38.9,39.25,183069.0
2018-03-19,39.0,39.3,38.65,39.05,300498.0,0.0,1.0,39.0,39.3,38.65,39.05,300498.0
2018-03-16,38.8,39.1,38.65,39.1,419862.0,0.0,1.0,38.8,39.1,38.65,39.1,419862.0
2018-03-15,38.55,38.9,38.45,38.8,265826.0,0.0,1.0,38.55,38.9,38.45,38.8,265826.0
2018-03-14,38.85,38.9,37.6,38.5,180682.0,0.0,1.0,38.85,38.9,37.6,38.5,180682.0
2018-03-13,38.35,38.95,38.05,38.65,225144.0,0.0,1.0,38.35,38.95,38.05,38.65,225144.0
2018-03-12,37.95,38.5,37.1241,38.2,264870.0,0.0,1.0,37.95,38.5,37.1241,38.2,264870.0
2018-03-09,36.55,37.95,36.2,37.85,217768.0,0.0,1.0,36.55,37.95,36.2,37.85,217768.0
2018-03-08,36.5,36.7,36.025,36.35,125763.0,0.0,1.0,36.5,36.7,36.025,36.35,125763.0
2018-03-07,35.75,36.45,35.7,36.35,129608.0,0.0,1.0,35.75,36.45,35.7,36.35,129608.0
2018-03-06,35.55,36.1,35.15,35.95,221379.0,0.0,1.0,35.55,36.1,35.15,35.95,221379.0
2018-03-05,35.2,35.75,34.75,35.4,122614.0,0.0,1.0,35.2,35.75,34.75,35.4,122614.0
2018-03-02,35.15,35.55,34.75,35.4,156614.0,0.0,1.0,35.15,35.55,34.75,35.4,156614.0
2018-03-01,36.9,36.9,35.35,35.45,183260.0,0.0,1.0,36.9,36.9,35.35,35.45,183260.0
2018-02-28,38.65,39.2,36.65,36.75,390614.0,0.0,1.0,38.65,39.2,36.65,36.75,390614.0
2018-02-27,35.65,38.95,33.81,38.65,720862.0,0.0,1.0,35.65,38.95,33.81,38.65,720862.0
2018-02-26,35.4,35.9,35.15,35.75,75271.0,0.0,1.0,35.4,35.9,35.15,35.75,75271.0
2018-02-23,35.1,35.45,34.7,35.4,95753.0,0.0,1.0,35.1,35.45,34.7,35.4,95753.0
2018-02-22,34.65,35.2,34.4,34.85,68658.0,0.0,1.0,34.65,35.2,34.4,34.85,68658.0
2018-02-21,34.4,35.15,34.35,34.45,111540.0,0.0,1.0,34.4,35.15,34.35,34.45,111540.0
2018-02-20,34.85,35.1,34.25,34.35,62871.0,0.0,1.0,34.85,35.1,34.25,34.35,62871.0
2018-02-16,34.45,35.5,34.45,35.05,97405.0,0.0,1.0,34.45,35.5,34.45,35.05,97405.0
2018-02-15,34.6,34.75,34.1,34.6,47895.0,0.0,1.0,34.6,34.75,34.1,34.6,47895.0
2018-02-14,33.55,34.5,33.55,34.35,101321.0,0.0,1.0,33.55,34.5,33.55,34.35,101321.0
2018-02-13,33.45,34.0,33.1,33.9,108234.0,0.0,1.0,33.45,34.0,33.1,33.9,108234.0
2018-02-12,33.3,33.85,33.0,33.65,171227.0,0.0,1.0,33.3,33.85,33.0,33.65,171227.0
2018-02-09,33.45,33.5,32.5,33.15,315963.0,0.0,1.0,33.45,33.5,32.5,33.15,315963.0
2018-02-08,33.7,33.95,33.0,33.1,127707.0,0.0,1.0,33.7,33.95,33.0,33.1,127707.0
2018-02-07,33.55,34.05,33.0,33.75,126138.0,0.0,1.0,33.55,34.05,33.0,33.75,126138.0
2018-02-06,33.4,34.4,33.05,33.7,266352.0,0.0,1.0,33.4,34.4,33.05,33.7,266352.0
2018-02-05,35.4,35.7,34.2,34.2,169888.0,0.0,1.0,35.4,35.7,34.2,34.2,169888.0
2018-02-02,35.95,36.1,35.55,35.6,192394.0,0.0,1.0,35.95,36.1,35.55,35.6,192394.0
2018-02-01,36.25,36.55,35.95,36.15,124122.0,0.0,1.0,36.25,36.55,35.95,36.15,124122.0
2018-01-31,36.2,36.6,35.675,36.4,188537.0,0.0,1.0,36.2,36.6,35.675,36.4,188537.0
2018-01-30,36.0,36.15,35.75,36.0,103987.0,0.0,1.0,36.0,36.15,35.75,36.0,103987.0
2018-01-29,36.1,36.3,35.85,36.05,271383.0,0.0,1.0,36.1,36.3,35.85,36.05,271383.0
2018-01-26,36.2,36.925,35.7,36.3,135246.0,0.0,1.0,36.2,36.925,35.7,36.3,135246.0
2018-01-25,36.1,36.2,35.85,36.05,160863.0,0.0,1.0,36.1,36.2,35.85,36.05,160863.0
2018-01-24,36.2,36.2769,35.85,36.05,171577.0,0.0,1.0,36.2,36.2769,35.85,36.05,171577.0
2018-01-23,36.3,36.3,35.9,36.05,152102.0,0.0,1.0,36.3,36.3,35.9,36.05,152102.0
2018-01-22,37.2,37.2,36.15,36.35,109250.0,0.0,1.0,37.2,37.2,36.15,36.35,109250.0
2018-01-19,36.1,37.3,36.05,37.3,171457.0,0.0,1.0,36.1,37.3,36.05,37.3,171457.0
2018-01-18,36.25,36.375,35.95,36.1,156372.0,0.0,1.0,36.25,36.375,35.95,36.1,156372.0
2018-01-17,36.3,36.475,35.95,36.3,175727.0,0.0,1.0,36.3,36.475,35.95,36.3,175727.0
2018-01-16,36.75,36.95,35.85,36.05,130480.0,0.0,1.0,36.75,36.95,35.85,36.05,130480.0
2018-01-12,36.4,36.675,35.25,36.55,223672.0,0.0,1.0,36.4,36.675,35.25,36.55,223672.0
2018-01-11,36.15,36.55,35.95,36.2,215986.0,0.0,1.0,36.15,36.55,35.95,36.2,215986.0
2018-01-10,36.9,37.25,36.0,36.1,125145.0,0.0,1.0,36.9,37.25,36.0,36.1,125145.0
2018-01-09,37.45,37.45,36.7,37.1,218866.0,0.0,1.0,37.45,37.45,36.7,37.1,218866.0
2018-01-08,37.95,38.15,37.3,37.45,218944.0,0.0,1.0,37.95,38.15,37.3,37.45,218944.0
2018-01-05,37.55,38.25,37.55,38.05,135709.0,0.0,1.0,37.55,38.25,37.55,38.05,135709.0
2018-01-04,37.7,38.0,37.0,37.45,136762.0,0.0,1.0,37.7,38.0,37.0,37.45,136762.0
2018-01-03,36.95,37.9,36.75,37.6,163085.0,0.0,1.0,36.95,37.9,36.75,37.6,163085.0
2018-01-02,36.95,37.05,36.65,36.95,151043.0,0.0,1.0,36.95,37.05,36.65,36.95,151043.0
2017-12-29,36.9,37.15,36.7,36.7,158938.0,0.0,1.0,36.9,37.15,36.7,36.7,158938.0
2017-12-28,36.7,36.85,35.8,36.8,122519.0,0.0,1.0,36.7,36.85,35.8,36.8,122519.0
2017-12-27,36.65,36.8,36.45,36.5,117215.0,0.0,1.0,36.65,36.8,36.45,36.5,117215.0
2017-12-26,36.7,36.95,36.3,36.6,143262.0,0.0,1.0,36.7,36.95,36.3,36.6,143262.0
2017-12-22,36.5,36.85,36.3,36.75,151677.0,0.0,1.0,36.5,36.85,36.3,36.75,151677.0
2017-12-21,36.05,36.65,35.95,36.5,114369.0,0.0,1.0,36.05,36.65,35.95,36.5,114369.0
2017-12-20,35.5,36.15,35.25,35.95,124864.0,0.0,1.0,35.5,36.15,35.25,35.95,124864.0
2017-12-19,36.0,36.05,35.3,35.35,99028.0,0.0,1.0,36.0,36.05,35.3,35.35,99028.0
2017-12-18,35.5,36.55,35.45,35.95,175119.0,0.0,1.0,35.5,36.55,35.45,35.95,175119.0
2017-12-15,34.65,35.3,34.65,35.2,366282.0,0.0,1.0,34.65,35.3,34.65,35.2,366282.0
2017-12-14,35.2,35.25,34.4,34.55,123888.0,0.0,1.0,35.2,35.25,34.4,34.55,123888.0
2017-12-13,34.85,35.6,34.85,35.15,140021.0,0.0,1.0,34.85,35.6,34.85,35.15,140021.0
2017-12-12,35.1,35.45,34.75,34.85,109218.0,0.0,1.0,35.1,35.45,34.75,34.85,109218.0
2017-12-11,35.75,35.8,34.85,35.05,145541.0,0.0,1.0,35.75,35.8,34.85,35.05,145541.0
2017-12-08,36.55,36.55,35.7,35.7,102022.0,0.0,1.0,36.55,36.55,35.7,35.7,102022.0
2017-12-07,36.15,36.8,36.15,36.25,128327.0,0.0,1.0,36.15,36.8,36.15,36.25,128327.0
2017-12-06,37.45,37.85,36.125,36.3,186069.0,0.0,1.0,37.45,37.85,36.125,36.3,186069.0
2017-12-05,37.5,38.1,37.3,37.55,253320.0,0.0,1.0,37.5,38.1,37.3,37.55,253320.0
2017-12-04,36.75,37.85,36.6,37.45,254048.0,0.0,1.0,36.75,37.85,36.6,37.45,254048.0
2017-12-01,36.45,36.45,34.8,36.35,174681.0,0.0,1.0,36.45,36.45,34.8,36.35,174681.0
2017-11-30,36.95,36.95,36.35,36.45,152458.0,0.0,1.0,36.95,36.95,36.35,36.45,152458.0
2017-11-29,35.85,36.86,35.85,36.75,126604.0,0.0,1.0,35.85,36.86,35.85,36.75,126604.0
2017-11-28,35.45,36.0,35.3,36.0,128417.0,0.0,1.0,35.45,36.0,35.3,36.0,128417.0
2017-11-27,35.8,35.85,35.2,35.25,99655.0,0.0,1.0,35.8,35.85,35.2,35.25,99655.0
2017-11-24,35.75,35.85,35.35,35.85,55450.0,0.0,1.0,35.75,35.85,35.35,35.85,55450.0
2017-11-22,35.75,35.85,35.375,35.7,88627.0,0.0,1.0,35.75,35.85,35.375,35.7,88627.0
2017-11-21,35.05,35.9,35.0,35.8,228505.0,0.0,1.0,35.05,35.9,35.0,35.8,228505.0
2017-11-20,34.55,35.0,34.5,34.95,113718.0,0.0,1.0,34.55,35.0,34.5,34.95,113718.0
2017-11-17,34.05,34.8,33.6,34.45,118655.0,0.0,1.0,34.05,34.8,33.6,34.45,118655.0
2017-11-16,34.1,35.11,33.9,34.25,189182.0,0.0,1.0,34.1,35.11,33.9,34.25,189182.0
2017-11-15,34.05,34.2,33.65,33.9,117204.0,0.0,1.0,34.05,34.2,33.65,33.9,117204.0
2017-11-14,33.65,34.45,33.45,34.3,122478.0,0.0,1.0,33.65,34.45,33.45,34.3,122478.0
2017-11-13,33.6,34.25,33.45,33.8,89713.0,0.0,1.0,33.6,34.25,33.45,33.8,89713.0
2017-11-10,33.25,34.15,33.25,33.8,133499.0,0.0,1.0,33.25,34.15,33.25,33.8,133499.0
2017-11-09,34.15,34.5,33.3,33.35,148479.0,0.0,1.0,34.15,34.5,33.3,33.35,148479.0
2017-11-07,34.65,34.75,34.4,34.6,179571.0,0.0,1.0,34.65,34.75,34.4,34.6,179571.0
2017-11-06,34.5,34.75,34.25,34.7,107151.0,0.0,1.0,34.5,34.75,34.25,34.7,107151.0
2017-11-03,34.3,34.7,33.95,34.45,126927.0,0.0,1.0,34.3,34.7,33.95,34.45,126927.0
2017-11-02,34.3,34.76,34.15,34.35,123423.0,0.0,1.0,34.3,34.76,34.15,34.35,123423.0
2017-11-01,35.25,35.25,34.1,34.4,118120.0,0.0,1.0,35.25,35.25,34.1,34.4,118120.0
2017-10-31,34.5,35.4,34.5,35.0,178922.0,0.0,1.0,34.5,35.4,34.5,35.0,178922.0
2017-10-30,34.55,34.7,33.95,34.3,174864.0,0.0,1.0,34.55,34.7,33.95,34.3,174864.0
2017-10-27,34.8,35.15,34.5,34.8,97253.0,0.0,1.0,34.8,35.15,34.5,34.8,97253.0
2017-10-26,35.0,35.125,34.75,34.75,72371.0,0.0,1.0,35.0,35.125,34.75,34.75,72371.0
2017-10-25,35.15,35.525,34.45,34.9,117486.0,0.0,1.0,35.15,35.525,34.45,34.9,117486.0
2017-10-24,34.6,35.525,34.6,35.1,160403.0,0.0,1.0,34.6,35.525,34.6,35.1,160403.0
2017-10-23,34.55,35.7,34.35,34.65,118063.0,0.0,1.0,34.55,35.7,34.35,34.65,118063.0
2017-10-20,34.55,35.1,34.4,34.6,132741.0,0.0,1.0,34.55,35.1,34.4,34.6,132741.0
2017-10-19,34.05,34.2681,33.8,34.2,84409.0,0.0,1.0,34.05,34.2681,33.8,34.2,84409.0
2017-10-18,33.85,34.45,33.8,34.25,82777.0,0.0,1.0,33.85,34.45,33.8,34.25,82777.0
2017-10-17,34.2,34.4,33.65,33.75,75550.0,0.0,1.0,34.2,34.4,33.65,33.75,75550.0
2017-10-16,33.95,35.15,33.8,34.3,106162.0,0.0,1.0,33.95,35.15,33.8,34.3,106162.0
2017-10-13,34.15,34.45,33.75,33.85,182050.0,0.0,1.0,34.15,34.45,33.75,33.85,182050.0
2017-10-12,34.2,34.5,34.05,34.15,188987.0,0.0,1.0,34.2,34.5,34.05,34.15,188987.0
2017-10-11,34.75,35.0,34.1,34.25,163962.0,0.0,1.0,34.75,35.0,34.1,34.25,163962.0
2017-10-10,35.45,35.55,34.55,34.8,117957.0,0.0,1.0,35.45,35.55,34.55,34.8,117957.0
2017-10-09,35.45,35.75,33.0373,35.4,110631.0,0.0,1.0,35.45,35.75,33.0373,35.4,110631.0
2017-10-06,34.95,35.55,34.8,35.45,144496.0,0.0,1.0,34.95,35.55,34.8,35.45,144496.0
2017-10-05,35.4,35.4,34.95,35.15,102239.0,0.0,1.0,35.4,35.4,34.95,35.15,102239.0
2017-10-04,35.4,35.6,34.95,35.35,96916.0,0.0,1.0,35.4,35.6,34.95,35.35,96916.0
2017-10-03,35.2,35.5,34.75,35.45,150703.0,0.0,1.0,35.2,35.5,34.75,35.45,150703.0
2017-10-02,34.5,35.15,34.3,35.15,165902.0,0.0,1.0,34.5,35.15,34.3,35.15,165902.0
2017-09-29,34.9,35.0,34.4,34.475,232355.0,0.0,1.0,34.9,35.0,34.4,34.475,232355.0
2017-09-28,34.95,35.025,34.45,34.85,109809.0,0.0,1.0,34.95,35.025,34.45,34.85,109809.0
2017-09-27,33.9,35.2,33.8,34.95,155878.0,0.0,1.0,33.9,35.2,33.8,34.95,155878.0
2017-09-26,33.45,34.0,33.35,33.7,85654.0,0.0,1.0,33.45,34.0,33.35,33.7,85654.0
2017-09-25,33.25,33.5,33.05,33.4,85654.0,0.0,1.0,33.25,33.5,33.05,33.4,85654.0
2017-09-22,33.15,33.6,33.1,33.3,138290.0,0.0,1.0,33.15,33.6,33.1,33.3,138290.0
2017-09-21,33.55,33.7,33.2,33.35,134845.0,0.0,1.0,33.55,33.7,33.2,33.35,134845.0
2017-09-20,33.1,33.85,32.39,33.45,122564.0,0.0,1.0,33.1,33.85,32.39,33.45,122564.0
2017-09-19,33.15,33.2,32.9,33.2,103320.0,0.0,1.0,33.15,33.2,32.9,33.2,103320.0
2017-09-18,33.05,33.3499,32.75,33.15,99234.0,0.0,1.0,33.05,33.3499,32.75,33.15,99234.0
2017-09-15,32.7,33.0,32.4,32.95,302273.0,0.0,1.0,32.7,33.0,32.4,32.95,302273.0
2017-09-14,32.6,32.65,32.2,32.65,67733.0,0.0,1.0,32.6,32.65,32.2,32.65,67733.0
2017-09-13,31.95,32.8,31.9,32.6,127310.0,0.0,1.0,31.95,32.8,31.9,32.6,127310.0
2017-09-12,31.95,32.45,31.85,31.95,148071.0,0.0,1.0,31.95,32.45,31.85,31.95,148071.0
2017-09-11,32.0,32.175,31.75,31.9,117567.0,0.0,1.0,32.0,32.175,31.75,31.9,117567.0
2017-09-08,31.75,32.275,31.6001,31.85,227982.0,0.0,1.0,31.75,32.275,31.6001,31.85,227982.0
2017-09-07,32.75,32.75,31.8,31.85,126841.0,0.0,1.0,32.75,32.75,31.8,31.85,126841.0
2017-09-06,32.5,32.775,32.4,32.55,92616.0,0.0,1.0,32.5,32.775,32.4,32.55,92616.0
2017-09-05,32.65,33.0,32.3,32.35,100123.0,0.0,1.0,32.65,33.0,32.3,32.35,100123.0
2017-09-01,32.7,32.95,32.55,32.75,89657.0,0.0,1.0,32.7,32.95,32.55,32.75,89657.0
2017-08-31,32.4,32.9,32.35,32.6,95872.0,0.0,1.0,32.4,32.9,32.35,32.6,95872.0
2017-08-30,31.95,32.4,31.95,32.3,105116.0,0.0,1.0,31.95,32.4,31.95,32.3,105116.0
2017-08-29,31.8,32.2,31.6,32.0,126986.0,0.0,1.0,31.8,32.2,31.6,32.0,126986.0
2017-08-28,31.85,32.0,31.4972,31.9,124527.0,0.0,1.0,31.85,32.0,31.4972,31.9,124527.0
2017-08-25,31.85,32.05,31.45,31.8,81249.0,0.0,1.0,31.85,32.05,31.45,31.8,81249.0
2017-08-24,31.9,32.0,31.45,31.8,73391.0,0.0,1.0,31.9,32.0,31.45,31.8,73391.0
2017-08-23,32.15,32.15,31.75,31.85,67118.0,0.0,1.0,32.15,32.15,31.75,31.85,67118.0
2017-08-22,31.95,32.4,31.825,32.25,59781.0,0.0,1.0,31.95,32.4,31.825,32.25,59781.0
2017-08-21,31.7,31.95,31.35,31.7,157322.0,0.0,1.0,31.7,31.95,31.35,31.7,157322.0
2017-08-18,31.3,32.05,31.3,31.65,117614.0,0.0,1.0,31.3,32.05,31.3,31.65,117614.0
2017-08-17,32.25,32.45,31.525,31.65,175650.0,0.0,1.0,32.25,32.45,31.525,31.65,175650.0
