Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,114.58,117.45,113.29,115.01,1402702.0,0.0,1.0,114.58,117.45,113.29,115.01,1402702.0
2018-03-26,112.49,115.07,111.875,114.77,1007919.0,0.0,1.0,112.49,115.07,111.875,114.77,1007919.0
2018-03-23,112.41,113.26,110.34,110.84,1081320.0,0.0,1.0,112.41,113.26,110.34,110.84,1081320.0
2018-03-22,114.02,115.14,111.63,111.71,1038170.0,0.0,1.0,114.02,115.14,111.63,111.71,1038170.0
2018-03-21,114.66,116.29,114.2397,115.24,689137.0,0.0,1.0,114.66,116.29,114.2397,115.24,689137.0
2018-03-20,116.39,116.69,113.74,114.25,634011.0,0.0,1.0,116.39,116.69,113.74,114.25,634011.0
2018-03-19,116.79,117.56,114.7,115.87,812001.0,0.0,1.0,116.79,117.56,114.7,115.87,812001.0
2018-03-16,116.93,117.81,115.76,116.63,1337332.0,0.0,1.0,116.93,117.81,115.76,116.63,1337332.0
2018-03-15,117.54,118.33,115.47,117.1,672636.0,0.0,1.0,117.54,118.33,115.47,117.1,672636.0
2018-03-14,119.16,119.875,116.55,117.06,681780.0,0.0,1.0,119.16,119.875,116.55,117.06,681780.0
2018-03-13,118.75,120.1,117.26,119.0,941472.0,0.0,1.0,118.75,120.1,117.26,119.0,941472.0
2018-03-12,118.56,119.25,117.21,118.41,802804.0,0.0,1.0,118.56,119.25,117.21,118.41,802804.0
2018-03-09,116.44,118.94,114.4,118.86,996636.0,0.0,1.0,116.44,118.94,114.4,118.86,996636.0
2018-03-08,117.33,117.33,114.54,115.75,663752.0,0.0,1.0,117.33,117.33,114.54,115.75,663752.0
2018-03-07,117.43,118.31,115.8,116.77,708625.0,0.0,1.0,117.43,118.31,115.8,116.77,708625.0
2018-03-06,116.54,119.04,115.13,118.59,1003239.0,0.0,1.0,116.54,119.04,115.13,118.59,1003239.0
2018-03-05,115.45,117.55,115.12,116.36,1088501.0,0.0,1.0,115.45,117.55,115.12,116.36,1088501.0
2018-03-02,116.67,116.79,113.12,116.07,1462064.0,0.0,1.0,116.67,116.79,113.12,116.07,1462064.0
2018-03-01,114.24,117.89,113.43,117.51,2062471.0,0.0,1.0,114.24,117.89,113.43,117.51,2062471.0
