Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,54.0,54.0,52.2,52.5,171612.0,0.0,1.0,54.0,54.0,52.2,52.5,171612.0
2018-03-26,52.9,53.75,52.5,53.75,242431.0,0.0,1.0,52.9,53.75,52.5,53.75,242431.0
2018-03-23,53.9,54.4,52.1,52.15,254114.0,0.0,1.0,53.9,54.4,52.1,52.15,254114.0
2018-03-22,55.4,55.65,53.85,53.85,287200.0,0.0,1.0,55.4,55.65,53.85,53.85,287200.0
2018-03-21,56.25,56.45,55.4,56.05,168281.0,0.0,1.0,56.25,56.45,55.4,56.05,168281.0
2018-03-20,56.75,56.9,56.05,56.3,309964.0,0.0,1.0,56.75,56.9,56.05,56.3,309964.0
2018-03-19,56.2,56.75,55.55,56.6,315886.0,0.0,1.0,56.2,56.75,55.55,56.6,315886.0
2018-03-16,56.8,57.4,56.45,56.5,696715.0,0.0,1.0,56.8,57.4,56.45,56.5,696715.0
2018-03-15,56.75,57.0,56.05,56.95,304424.0,0.0,1.0,56.75,57.0,56.05,56.95,304424.0
2018-03-14,57.65,57.65,56.35,56.5,340140.0,0.0,1.0,57.65,57.65,56.35,56.5,340140.0
2018-03-13,57.75,57.75,56.85,57.4,226860.0,0.0,1.0,57.75,57.75,56.85,57.4,226860.0
2018-03-12,58.0,59.05,56.825,57.4,209958.0,0.0,1.0,58.0,59.05,56.825,57.4,209958.0
2018-03-09,56.8,58.15,56.75,58.1,247816.0,0.0,1.0,56.8,58.15,56.75,58.1,247816.0
2018-03-08,57.35,57.6,56.15,56.4,177485.0,0.0,1.0,57.35,57.6,56.15,56.4,177485.0
2018-03-07,56.1,57.25,56.1,57.05,317018.0,0.0,1.0,56.1,57.25,56.1,57.05,317018.0
2018-03-06,55.55,56.45,54.85,56.45,308183.0,0.0,1.0,55.55,56.45,54.85,56.45,308183.0
2018-03-05,53.8,55.45,53.3,55.1,204602.0,0.0,1.0,53.8,55.45,53.3,55.1,204602.0
2018-03-02,52.65,54.225,52.35,54.05,246739.0,0.0,1.0,52.65,54.225,52.35,54.05,246739.0
2018-03-01,53.35,54.0,52.75,53.0,424326.0,0.0,1.0,53.35,54.0,52.75,53.0,424326.0
2018-02-28,54.0,54.4,53.05,53.15,232852.0,0.0,1.0,54.0,54.4,53.05,53.15,232852.0
2018-02-27,54.9,55.55,53.8,53.85,190078.0,0.0,1.0,54.9,55.55,53.8,53.85,190078.0
2018-02-26,54.85,55.15,54.25,55.1,174940.0,0.0,1.0,54.85,55.15,54.25,55.1,174940.0
2018-02-23,54.1,54.85,53.85,54.85,114535.0,0.0,1.0,54.1,54.85,53.85,54.85,114535.0
2018-02-22,54.55,54.575,51.55,53.8,162384.0,0.0,1.0,54.55,54.575,51.55,53.8,162384.0
2018-02-21,53.95,55.15,53.75,54.45,196884.0,0.0,1.0,53.95,55.15,53.75,54.45,196884.0
2018-02-20,54.35,55.2,53.7,53.95,132939.0,0.0,1.0,54.35,55.2,53.7,53.95,132939.0
2018-02-16,53.9,55.2,53.9,54.65,209463.0,0.0,1.0,53.9,55.2,53.9,54.65,209463.0
2018-02-15,54.2,54.2,53.4,54.1,163298.0,0.0,1.0,54.2,54.2,53.4,54.1,163298.0
2018-02-14,52.45,53.8,52.2,53.7,278089.0,0.0,1.0,52.45,53.8,52.2,53.7,278089.0
2018-02-13,52.25,52.85,52.05,52.6,150276.0,0.0,1.0,52.25,52.85,52.05,52.6,150276.0
2018-02-12,52.75,53.1,51.9,52.6,113344.0,0.0,1.0,52.75,53.1,51.9,52.6,113344.0
2018-02-09,52.25,53.05,51.2,52.7,211336.0,0.0,1.0,52.25,53.05,51.2,52.7,211336.0
2018-02-08,52.6,52.6,51.25,51.75,227333.0,0.0,1.0,52.6,52.6,51.25,51.75,227333.0
2018-02-07,51.95,52.75,51.65,52.4,110086.0,0.0,1.0,51.95,52.75,51.65,52.4,110086.0
2018-02-06,51.2,52.8,51.0,52.15,221709.0,0.0,1.0,51.2,52.8,51.0,52.15,221709.0
