Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.69,23.8216,22.515,22.68,1356637.0,0.0,1.0,23.69,23.8216,22.515,22.68,1356637.0
2018-03-26,23.02,23.64,22.54,23.54,1612893.0,0.0,1.0,23.02,23.64,22.54,23.54,1612893.0
2018-03-23,23.63,23.95,22.47,22.57,2387381.0,0.0,1.0,23.63,23.95,22.47,22.57,2387381.0
2018-03-22,24.45,24.789,23.76,23.84,1243951.0,0.0,1.0,24.45,24.789,23.76,23.84,1243951.0
2018-03-21,24.53,24.94,24.25,24.66,1105427.0,0.0,1.0,24.53,24.94,24.25,24.66,1105427.0
2018-03-20,24.74,24.74,24.12,24.51,1001837.0,0.0,1.0,24.74,24.74,24.12,24.51,1001837.0
2018-03-19,25.7,25.79,24.3299,24.58,1359507.0,0.0,1.0,25.7,25.79,24.3299,24.58,1359507.0
2018-03-16,25.17,25.88,25.11,25.75,1944140.0,0.0,1.0,25.17,25.88,25.11,25.75,1944140.0
2018-03-15,25.26,25.35,24.85,25.21,1115757.0,0.0,1.0,25.26,25.35,24.85,25.21,1115757.0
2018-03-14,25.02,25.19,24.7,25.05,1505544.0,0.0,1.0,25.02,25.19,24.7,25.05,1505544.0
2018-03-13,26.01,26.23,24.68,24.98,2071379.0,0.0,1.0,26.01,26.23,24.68,24.98,2071379.0
2018-03-12,25.46,26.0199,25.3,25.89,1571550.0,0.0,1.0,25.46,26.0199,25.3,25.89,1571550.0
2018-03-09,25.31,25.57,25.03,25.33,1467561.0,0.0,1.0,25.31,25.57,25.03,25.33,1467561.0
2018-03-08,25.33,25.4843,24.97,25.25,1350830.0,0.0,1.0,25.33,25.4843,24.97,25.25,1350830.0
2018-03-07,24.69,25.95,24.63,25.4,2586212.0,0.0,1.0,24.69,25.95,24.63,25.4,2586212.0
2018-03-06,24.85,25.16,24.21,25.11,1651581.0,0.0,1.0,24.85,25.16,24.21,25.11,1651581.0
2018-03-05,24.26,24.93,23.7517,24.83,2635017.0,0.0,1.0,24.26,24.93,23.7517,24.83,2635017.0
2018-03-02,22.68,23.79,22.35,23.68,3804380.0,0.0,1.0,22.68,23.79,22.35,23.68,3804380.0
2018-03-01,25.41,25.44,22.685,22.98,6703501.0,0.0,1.0,25.41,25.44,22.685,22.98,6703501.0
2018-02-28,27.77,27.77,24.5,24.915,11581280.0,0.0,1.0,27.77,27.77,24.5,24.915,11581280.0
2018-02-27,32.13,32.53,31.12,31.16,1843133.0,0.0,1.0,32.13,32.53,31.12,31.16,1843133.0
2018-02-26,31.68,32.43,31.61,32.33,1485887.0,0.0,1.0,31.68,32.43,31.61,32.33,1485887.0
2018-02-23,30.38,31.7,30.36,31.52,1450289.0,0.0,1.0,30.38,31.7,30.36,31.52,1450289.0
2018-02-22,30.75,31.7,30.22,30.23,1681430.0,0.0,1.0,30.75,31.7,30.22,30.23,1681430.0
2018-02-21,31.03,31.36,30.18,30.43,1791957.0,0.0,1.0,31.03,31.36,30.18,30.43,1791957.0
2018-02-20,30.7,31.71,30.5,31.05,1097509.0,0.0,1.0,30.7,31.71,30.5,31.05,1097509.0
2018-02-16,31.0,31.55,30.8094,30.92,601244.0,0.0,1.0,31.0,31.55,30.8094,30.92,601244.0
2018-02-15,31.0,31.2,30.5,31.06,828417.0,0.0,1.0,31.0,31.2,30.5,31.06,828417.0
2018-02-14,29.14,30.79,28.97,30.6,1693967.0,0.0,1.0,29.14,30.79,28.97,30.6,1693967.0
2018-02-13,28.88,29.51,28.48,29.505,878490.0,0.0,1.0,28.88,29.51,28.48,29.505,878490.0
2018-02-12,28.58,29.18,27.89,28.87,921471.0,0.0,1.0,28.58,29.18,27.89,28.87,921471.0
2018-02-09,28.62,28.9999,26.73,28.27,1772099.0,0.0,1.0,28.62,28.9999,26.73,28.27,1772099.0
2018-02-08,29.51,29.78,28.07,28.35,1782049.0,0.0,1.0,29.51,29.78,28.07,28.35,1782049.0
2018-02-07,28.53,29.64,28.46,29.32,1744990.0,0.0,1.0,28.53,29.64,28.46,29.32,1744990.0
2018-02-06,26.73,28.84,26.43,28.8,2630619.0,0.0,1.0,26.73,28.84,26.43,28.8,2630619.0
2018-02-05,28.55,28.96,27.0,27.04,1761102.0,0.0,1.0,28.55,28.96,27.0,27.04,1761102.0
2018-02-02,30.0,30.43,28.83,28.96,1046774.0,0.0,1.0,30.0,30.43,28.83,28.96,1046774.0
2018-02-01,29.61,30.49,29.5,30.26,881264.0,0.0,1.0,29.61,30.49,29.5,30.26,881264.0
2018-01-31,30.68,30.96,29.5,29.91,1142554.0,0.0,1.0,30.68,30.96,29.5,29.91,1142554.0
2018-01-30,30.98,31.5049,30.57,30.65,1099642.0,0.0,1.0,30.98,31.5049,30.57,30.65,1099642.0
2018-01-29,32.2,32.99,31.61,31.74,1843446.0,0.0,1.0,32.2,32.99,31.61,31.74,1843446.0
2018-01-26,30.9,32.14,30.59,32.13,1893430.0,0.0,1.0,30.9,32.14,30.59,32.13,1893430.0
2018-01-25,31.0,31.0,29.85,30.68,1265597.0,0.0,1.0,31.0,31.0,29.85,30.68,1265597.0
2018-01-24,30.75,31.76,29.91,30.57,3613789.0,0.0,1.0,30.75,31.76,29.91,30.57,3613789.0
2018-01-23,29.0,30.99,28.84,30.32,3941206.0,0.0,1.0,29.0,30.99,28.84,30.32,3941206.0
2018-01-22,27.35,28.99,27.05,28.93,3321002.0,0.0,1.0,27.35,28.99,27.05,28.93,3321002.0
2018-01-19,27.82,28.09,26.85,26.92,3216941.0,0.0,1.0,27.82,28.09,26.85,26.92,3216941.0
2018-01-18,28.25,28.3,27.7283,27.78,1126714.0,0.0,1.0,28.25,28.3,27.7283,27.78,1126714.0
2018-01-17,28.43,28.47,28.05,28.25,1260820.0,0.0,1.0,28.43,28.47,28.05,28.25,1260820.0
2018-01-16,28.58,28.73,28.07,28.15,1514597.0,0.0,1.0,28.58,28.73,28.07,28.15,1514597.0
2018-01-12,27.8,28.44,27.6,28.37,1672751.0,0.0,1.0,27.8,28.44,27.6,28.37,1672751.0
2018-01-11,28.6,28.75,27.6,27.9,1717567.0,0.0,1.0,28.6,28.75,27.6,27.9,1717567.0
2018-01-10,28.17,28.76,27.75,28.63,1535249.0,0.0,1.0,28.17,28.76,27.75,28.63,1535249.0
2018-01-09,27.11,28.72,27.07,28.29,2090641.0,0.0,1.0,27.11,28.72,27.07,28.29,2090641.0
2018-01-08,28.97,29.252,27.06,27.11,3273714.0,0.0,1.0,28.97,29.252,27.06,27.11,3273714.0
2018-01-05,28.88,29.05,28.5,28.9,1350137.0,0.0,1.0,28.88,29.05,28.5,28.9,1350137.0
2018-01-04,29.64,29.8145,28.35,28.78,2716274.0,0.0,1.0,29.64,29.8145,28.35,28.78,2716274.0
