Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,12.43,12.56,12.33,12.49,119159.0,0.0,1.0,12.43,12.56,12.33,12.49,119159.0
2018-03-26,12.43,12.46,12.34,12.42,76998.0,0.0,1.0,12.43,12.46,12.34,12.42,76998.0
2018-03-23,12.45,12.53,12.33,12.33,93913.0,0.0,1.0,12.45,12.53,12.33,12.33,93913.0
2018-03-22,12.46,12.59,12.38,12.42,113798.0,0.0,1.0,12.46,12.59,12.38,12.42,113798.0
2018-03-21,12.59,12.605,12.485,12.51,84063.0,0.0,1.0,12.59,12.605,12.485,12.51,84063.0
2018-03-20,12.71,12.71,12.56,12.56,67638.0,0.0,1.0,12.71,12.71,12.56,12.56,67638.0
2018-03-19,12.65,12.71,12.55,12.7,43822.0,0.0,1.0,12.65,12.71,12.55,12.7,43822.0
2018-03-16,12.61,12.74,12.5614,12.65,196516.0,0.0,1.0,12.61,12.74,12.5614,12.65,196516.0
2018-03-15,12.75,12.75,12.57,12.62,74865.0,0.0,1.0,12.75,12.75,12.57,12.62,74865.0
2018-03-14,12.58,12.76,12.53,12.72,112968.0,0.0,1.0,12.58,12.76,12.53,12.72,112968.0
2018-03-13,12.75,12.77,12.57,12.58,91113.0,0.0,1.0,12.75,12.77,12.57,12.58,91113.0
2018-03-12,12.44,12.77,12.4,12.73,150161.0,0.0,1.0,12.44,12.77,12.4,12.73,150161.0
2018-03-09,12.33,12.4,12.29,12.39,130384.0,0.0,1.0,12.33,12.4,12.29,12.39,130384.0
2018-03-08,12.35,12.41,12.27,12.33,84941.0,0.0,1.0,12.35,12.41,12.27,12.33,84941.0
2018-03-07,12.28,12.41,12.25,12.35,84345.0,0.0,1.0,12.28,12.41,12.25,12.35,84345.0
2018-03-06,12.26,12.35,12.21,12.34,131165.0,0.0,1.0,12.26,12.35,12.21,12.34,131165.0
2018-03-05,12.24,12.41,12.23,12.26,129258.0,0.0,1.0,12.24,12.41,12.23,12.26,129258.0
2018-03-02,12.22,12.35,12.0999,12.32,107488.0,0.0,1.0,12.22,12.35,12.0999,12.32,107488.0
2018-03-01,12.71,12.71,12.2,12.29,145786.0,0.0,1.0,12.71,12.71,12.2,12.29,145786.0
2018-02-28,12.52,12.52,12.32,12.32,128205.0,0.0,1.0,12.52,12.52,12.32,12.32,128205.0
2018-02-27,12.68,12.74,12.48,12.5,84452.0,0.0,1.0,12.68,12.74,12.48,12.5,84452.0
2018-02-26,12.78,12.83,12.65,12.67,75632.0,0.0,1.0,12.78,12.83,12.65,12.67,75632.0
2018-02-23,12.6,12.76,12.6,12.73,98344.0,0.0,1.0,12.6,12.76,12.6,12.73,98344.0
2018-02-22,12.6896,12.74,12.56,12.58,95951.0,0.0,1.0,12.6896,12.74,12.56,12.58,95951.0
2018-02-21,12.66,12.84,12.59,12.59,151749.0,0.0,1.0,12.66,12.84,12.59,12.59,151749.0
2018-02-20,12.64,12.74,12.59,12.65,206000.0,0.0,1.0,12.64,12.74,12.59,12.65,206000.0
2018-02-16,12.5,12.69,12.5,12.65,130476.0,0.0,1.0,12.5,12.69,12.5,12.65,130476.0
2018-02-15,12.35,12.55,12.34,12.54,96740.0,0.0,1.0,12.35,12.55,12.34,12.54,96740.0
2018-02-14,12.18,12.39,12.13,12.35,104797.0,0.0,1.0,12.18,12.39,12.13,12.35,104797.0
2018-02-13,12.14,12.3,12.1,12.27,83753.0,0.0,1.0,12.14,12.3,12.1,12.27,83753.0
2018-02-12,12.15,12.18,11.96,12.14,106817.0,0.0,1.0,12.15,12.18,11.96,12.14,106817.0
2018-02-09,12.17,12.23,12.02,12.15,188797.0,0.0,1.0,12.17,12.23,12.02,12.15,188797.0
2018-02-08,12.23,12.27,12.06,12.07,156212.0,0.0,1.0,12.23,12.27,12.06,12.07,156212.0
