Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.4,3.45,3.3,3.35,107727.0,0.0,1.0,3.4,3.45,3.3,3.35,107727.0
2018-03-26,3.5,3.5,3.35,3.4,250623.0,0.0,1.0,3.5,3.5,3.35,3.4,250623.0
2018-03-23,3.55,3.55,3.45,3.45,152514.0,0.0,1.0,3.55,3.55,3.45,3.45,152514.0
2018-03-22,3.55,3.6,3.5,3.5,140964.0,0.0,1.0,3.55,3.6,3.5,3.5,140964.0
2018-03-21,3.5,3.65,3.5,3.6,258514.0,0.0,1.0,3.5,3.65,3.5,3.6,258514.0
2018-03-20,3.65,3.75,3.5,3.55,301982.0,0.0,1.0,3.65,3.75,3.5,3.55,301982.0
2018-03-19,3.85,3.9,3.55,3.7,320836.0,0.0,1.0,3.85,3.9,3.55,3.7,320836.0
2018-03-16,3.75,3.9,3.7,3.85,615172.0,0.0,1.0,3.75,3.9,3.7,3.85,615172.0
2018-03-15,3.6,3.8,3.6,3.7,152946.0,0.0,1.0,3.6,3.8,3.6,3.7,152946.0
2018-03-14,3.75,3.75,3.55,3.6,225482.0,0.0,1.0,3.75,3.75,3.55,3.6,225482.0
2018-03-13,3.7,3.8,3.7,3.7,108824.0,0.0,1.0,3.7,3.8,3.7,3.7,108824.0
2018-03-12,3.6,3.75,3.6,3.7,176405.0,0.0,1.0,3.6,3.75,3.6,3.7,176405.0
2018-03-09,3.7,3.75,3.55,3.6,262447.0,0.0,1.0,3.7,3.75,3.55,3.6,262447.0
2018-03-08,3.75,3.8,3.65,3.65,78565.0,0.0,1.0,3.75,3.8,3.65,3.65,78565.0
2018-03-07,3.65,3.755,3.65,3.7,165830.0,0.0,1.0,3.65,3.755,3.65,3.7,165830.0
2018-03-06,3.6,3.7,3.55,3.65,310055.0,0.0,1.0,3.6,3.7,3.55,3.65,310055.0
2018-03-05,3.55,3.7,3.5,3.55,247870.0,0.0,1.0,3.55,3.7,3.5,3.55,247870.0
2018-03-02,3.4,3.6,3.4,3.55,277011.0,0.0,1.0,3.4,3.6,3.4,3.55,277011.0
2018-03-01,3.45,3.5,3.4,3.45,395444.0,0.0,1.0,3.45,3.5,3.4,3.45,395444.0
2018-02-28,3.55,3.6,3.45,3.45,517417.0,0.0,1.0,3.55,3.6,3.45,3.45,517417.0
2018-02-27,3.5,3.65,3.45,3.55,728133.0,0.0,1.0,3.5,3.65,3.45,3.55,728133.0
2018-02-26,3.45,3.55,3.45,3.55,312375.0,0.0,1.0,3.45,3.55,3.45,3.55,312375.0
2018-02-23,3.6,3.6,3.4,3.475,252005.0,0.0,1.0,3.6,3.6,3.4,3.475,252005.0
2018-02-22,3.6,3.6,3.45,3.5,411834.0,0.0,1.0,3.6,3.6,3.45,3.5,411834.0
2018-02-21,3.55,3.6,3.45,3.55,334789.0,0.0,1.0,3.55,3.6,3.45,3.55,334789.0
2018-02-20,3.5,3.6,3.4,3.55,645980.0,0.0,1.0,3.5,3.6,3.4,3.55,645980.0
2018-02-16,3.6,3.675,3.45,3.55,184401.0,0.0,1.0,3.6,3.675,3.45,3.55,184401.0
2018-02-15,3.5,3.65,3.45,3.65,229285.0,0.0,1.0,3.5,3.65,3.45,3.65,229285.0
2018-02-14,3.75,3.775,3.45,3.55,486244.0,0.0,1.0,3.75,3.775,3.45,3.55,486244.0
2018-02-13,3.55,3.6,3.45,3.6,137337.0,0.0,1.0,3.55,3.6,3.45,3.6,137337.0
2018-02-12,3.55,3.65,3.35,3.6,270560.0,0.0,1.0,3.55,3.65,3.35,3.6,270560.0
2018-02-09,3.55,3.6,3.45,3.6,192864.0,0.0,1.0,3.55,3.6,3.45,3.6,192864.0
2018-02-08,3.45,3.65,3.45,3.5,334023.0,0.0,1.0,3.45,3.65,3.45,3.5,334023.0
2018-02-07,3.5,3.6,3.375,3.45,308302.0,0.0,1.0,3.5,3.6,3.375,3.45,308302.0
2018-02-06,3.45,3.5,3.4,3.5,237816.0,0.0,1.0,3.45,3.5,3.4,3.5,237816.0
2018-02-05,3.65,3.65,3.45,3.45,231543.0,0.0,1.0,3.65,3.65,3.45,3.45,231543.0
2018-02-02,3.65,3.7,3.6,3.65,409372.0,0.0,1.0,3.65,3.7,3.6,3.65,409372.0
2018-02-01,3.65,3.75,3.6,3.7,102154.0,0.0,1.0,3.65,3.75,3.6,3.7,102154.0
2018-01-31,3.85,4.0,3.6,3.65,212092.0,0.0,1.0,3.85,4.0,3.6,3.65,212092.0
2018-01-30,3.95,4.0,3.8,3.875,107740.0,0.0,1.0,3.95,4.0,3.8,3.875,107740.0
2018-01-29,4.0,4.05,3.95,3.95,48195.0,0.0,1.0,4.0,4.05,3.95,3.95,48195.0
2018-01-26,4.0,4.05,3.9,4.05,61163.0,0.0,1.0,4.0,4.05,3.9,4.05,61163.0
2018-01-25,3.95,4.1,3.95,3.95,85166.0,0.0,1.0,3.95,4.1,3.95,3.95,85166.0
2018-01-24,3.9,4.05,3.9,3.95,67567.0,0.0,1.0,3.9,4.05,3.9,3.95,67567.0
2018-01-23,3.95,4.1,3.8,3.95,363455.0,0.0,1.0,3.95,4.1,3.8,3.95,363455.0
2018-01-22,3.75,3.95,3.75,3.95,140298.0,0.0,1.0,3.75,3.95,3.75,3.95,140298.0
2018-01-19,3.7,3.8,3.6694,3.8,169365.0,0.0,1.0,3.7,3.8,3.6694,3.8,169365.0
2018-01-18,3.8,3.8,3.605,3.75,272065.0,0.0,1.0,3.8,3.8,3.605,3.75,272065.0
2018-01-17,3.8,3.85,3.7,3.75,134333.0,0.0,1.0,3.8,3.85,3.7,3.75,134333.0
2018-01-16,3.8,3.9,3.7,3.75,284464.0,0.0,1.0,3.8,3.9,3.7,3.75,284464.0
2018-01-12,3.75,3.85,3.65,3.75,807365.0,0.0,1.0,3.75,3.85,3.65,3.75,807365.0
2018-01-11,3.8,3.9,3.75,3.8,226455.0,0.0,1.0,3.8,3.9,3.75,3.8,226455.0
2018-01-10,3.8,3.875,3.75,3.8,85320.0,0.0,1.0,3.8,3.875,3.75,3.8,85320.0
2018-01-09,3.95,4.0423,3.8,3.825,192768.0,0.0,1.0,3.95,4.0423,3.8,3.825,192768.0
2018-01-08,3.85,4.0,3.8,3.95,140718.0,0.0,1.0,3.85,4.0,3.8,3.95,140718.0
2018-01-05,3.95,4.05,3.85,3.85,112148.0,0.0,1.0,3.95,4.05,3.85,3.85,112148.0
2018-01-04,3.85,4.0,3.75,3.95,519928.0,0.0,1.0,3.85,4.0,3.75,3.95,519928.0
2018-01-03,3.95,3.9755,3.6,3.825,776996.0,0.0,1.0,3.95,3.9755,3.6,3.825,776996.0
2018-01-02,4.1,4.125,3.925,4.0,223694.0,0.0,1.0,4.1,4.125,3.925,4.0,223694.0
2017-12-29,4.15,4.15,3.9,4.05,833130.0,0.0,1.0,4.15,4.15,3.9,4.05,833130.0
2017-12-28,4.2,4.3,4.125,4.175,283484.0,0.0,1.0,4.2,4.3,4.125,4.175,283484.0
2017-12-27,4.3,4.35,4.15,4.2,190808.0,0.0,1.0,4.3,4.35,4.15,4.2,190808.0
2017-12-26,4.3,4.375,4.2,4.25,269501.0,0.0,1.0,4.3,4.375,4.2,4.25,269501.0
2017-12-22,4.25,4.35,4.25,4.3,174656.0,0.0,1.0,4.25,4.35,4.25,4.3,174656.0
2017-12-21,4.35,4.425,4.25,4.275,514028.0,0.0,1.0,4.35,4.425,4.25,4.275,514028.0
2017-12-20,4.3,4.4,4.25,4.3,171628.0,0.0,1.0,4.3,4.4,4.25,4.3,171628.0
2017-12-19,4.3,4.395,4.275,4.3,144149.0,0.0,1.0,4.3,4.395,4.275,4.3,144149.0
2017-12-18,4.3,4.4,4.3,4.35,172126.0,0.0,1.0,4.3,4.4,4.3,4.35,172126.0
2017-12-15,4.25,4.4,4.2,4.25,598158.0,0.0,1.0,4.25,4.4,4.2,4.25,598158.0
2017-12-14,4.25,4.35,4.25,4.3,117526.0,0.0,1.0,4.25,4.35,4.25,4.3,117526.0
2017-12-13,4.35,4.45,4.25,4.3,314750.0,0.0,1.0,4.35,4.45,4.25,4.3,314750.0
2017-12-12,4.35,4.35,4.25,4.3,168234.0,0.0,1.0,4.35,4.35,4.25,4.3,168234.0
2017-12-11,4.1,4.35,4.1,4.3,408216.0,0.0,1.0,4.1,4.35,4.1,4.3,408216.0
2017-12-08,4.15,4.2,4.05,4.15,192910.0,0.0,1.0,4.15,4.2,4.05,4.15,192910.0
2017-12-07,4.1,4.2,4.1,4.15,150210.0,0.0,1.0,4.1,4.2,4.1,4.15,150210.0
2017-12-06,4.1,4.3,4.05,4.1,223871.0,0.0,1.0,4.1,4.3,4.05,4.1,223871.0
2017-12-05,4.25,4.25,4.1,4.15,123224.0,0.0,1.0,4.25,4.25,4.1,4.15,123224.0
2017-12-04,4.25,4.3,4.15,4.25,165929.0,0.0,1.0,4.25,4.3,4.15,4.25,165929.0
2017-12-01,4.2,4.25,4.05,4.25,228350.0,0.0,1.0,4.2,4.25,4.05,4.25,228350.0
2017-11-30,4.3,4.35,4.15,4.2,222373.0,0.0,1.0,4.3,4.35,4.15,4.2,222373.0
2017-11-29,4.35,4.35,4.175,4.25,273993.0,0.0,1.0,4.35,4.35,4.175,4.25,273993.0
2017-11-28,4.15,4.35,4.15,4.35,248096.0,0.0,1.0,4.15,4.35,4.15,4.35,248096.0
2017-11-27,4.25,4.4,4.15,4.2,219698.0,0.0,1.0,4.25,4.4,4.15,4.2,219698.0
2017-11-24,4.35,4.4,4.2,4.3,166317.0,0.0,1.0,4.35,4.4,4.2,4.3,166317.0
2017-11-22,4.2,4.395,4.2,4.3,300210.0,0.0,1.0,4.2,4.395,4.2,4.3,300210.0
2017-11-21,4.15,4.225,4.125,4.15,207625.0,0.0,1.0,4.15,4.225,4.125,4.15,207625.0
2017-11-20,4.25,4.25,4.1,4.15,298977.0,0.0,1.0,4.25,4.25,4.1,4.15,298977.0
2017-11-17,4.15,4.3,4.15,4.2,353202.0,0.0,1.0,4.15,4.3,4.15,4.2,353202.0
2017-11-16,4.15,4.3,4.15,4.2,364356.0,0.0,1.0,4.15,4.3,4.15,4.2,364356.0
2017-11-15,4.05,4.3,3.95,4.15,388249.0,0.0,1.0,4.05,4.3,3.95,4.15,388249.0
2017-11-14,3.95,4.15,3.95,4.1,347386.0,0.0,1.0,3.95,4.15,3.95,4.1,347386.0
2017-11-13,3.95,4.05,3.95,3.95,224446.0,0.0,1.0,3.95,4.05,3.95,3.95,224446.0
2017-11-10,4.05,4.05,3.95,4.0,286705.0,0.0,1.0,4.05,4.05,3.95,4.0,286705.0
2017-11-09,4.1,4.25,3.95,4.0,516215.0,0.0,1.0,4.1,4.25,3.95,4.0,516215.0
2017-11-07,4.1,4.375,4.05,4.2,610737.0,0.0,1.0,4.1,4.375,4.05,4.2,610737.0
2017-11-06,4.45,4.525,4.35,4.45,449097.0,0.0,1.0,4.45,4.525,4.35,4.45,449097.0
2017-11-03,4.5,4.5,4.35,4.45,226117.0,0.0,1.0,4.5,4.5,4.35,4.45,226117.0
2017-11-02,4.45,4.55,4.35,4.45,417952.0,0.0,1.0,4.45,4.55,4.35,4.45,417952.0
2017-11-01,4.6,4.6,4.4,4.475,280952.0,0.0,1.0,4.6,4.6,4.4,4.475,280952.0
2017-10-31,4.55,4.7,4.425,4.5,620110.0,0.0,1.0,4.55,4.7,4.425,4.5,620110.0
2017-10-30,4.4,4.55,4.35,4.5,823665.0,0.0,1.0,4.4,4.55,4.35,4.5,823665.0
2017-10-27,4.5,4.5,4.3,4.35,747108.0,0.0,1.0,4.5,4.5,4.3,4.35,747108.0
2017-10-26,4.1,4.35,4.05,4.25,668910.0,0.0,1.0,4.1,4.35,4.05,4.25,668910.0
2017-10-25,4.2,4.25,3.95,4.1,493684.0,0.0,1.0,4.2,4.25,3.95,4.1,493684.0
2017-10-24,4.2,4.375,4.2,4.2,485925.0,0.0,1.0,4.2,4.375,4.2,4.2,485925.0
2017-10-23,4.15,4.3,4.1,4.2,570158.0,0.0,1.0,4.15,4.3,4.1,4.2,570158.0
2017-10-20,4.15,4.3,4.15,4.2,231111.0,0.0,1.0,4.15,4.3,4.15,4.2,231111.0
2017-10-19,4.1,4.25,4.05,4.1,155622.0,0.0,1.0,4.1,4.25,4.05,4.1,155622.0
2017-10-18,3.85,4.25,3.85,4.15,584947.0,0.0,1.0,3.85,4.25,3.85,4.15,584947.0
2017-10-17,4.0,4.1,3.8,3.9,650616.0,0.0,1.0,4.0,4.1,3.8,3.9,650616.0
2017-10-16,4.15,4.15,3.9,3.95,350112.0,0.0,1.0,4.15,4.15,3.9,3.95,350112.0
2017-10-13,4.2,4.3,4.15,4.2,289462.0,0.0,1.0,4.2,4.3,4.15,4.2,289462.0
2017-10-12,4.3,4.5,4.2,4.2,241031.0,0.0,1.0,4.3,4.5,4.2,4.2,241031.0
2017-10-11,4.3,4.35,4.25,4.35,362578.0,0.0,1.0,4.3,4.35,4.25,4.35,362578.0
2017-10-10,4.15,4.35,4.15,4.3,651633.0,0.0,1.0,4.15,4.35,4.15,4.3,651633.0
2017-10-09,4.15,4.25,4.1,4.1,514175.0,0.0,1.0,4.15,4.25,4.1,4.1,514175.0
2017-10-06,4.2,4.3,4.0,4.05,786226.0,0.0,1.0,4.2,4.3,4.0,4.05,786226.0
2017-10-05,4.25,4.3,4.2,4.225,489788.0,0.0,1.0,4.25,4.3,4.2,4.225,489788.0
2017-10-04,4.6,4.65,4.2,4.3,828689.0,0.0,1.0,4.6,4.65,4.2,4.3,828689.0
2017-10-03,4.6,4.7,4.4,4.65,493742.0,0.0,1.0,4.6,4.7,4.4,4.65,493742.0
2017-10-02,4.65,4.75,4.45,4.65,786507.0,0.0,1.0,4.65,4.75,4.45,4.65,786507.0
2017-09-29,4.3,4.65,4.155,4.55,1813898.0,0.0,1.0,4.3,4.65,4.155,4.55,1813898.0
2017-09-28,4.55,4.6,4.1,4.1,1626084.0,0.0,1.0,4.55,4.6,4.1,4.1,1626084.0
2017-09-27,5.2,5.5,4.5,4.65,3740422.0,0.0,1.0,5.2,5.5,4.5,4.65,3740422.0
2017-09-26,4.95,5.4,4.775,5.05,2562987.0,0.0,1.0,4.95,5.4,4.775,5.05,2562987.0
2017-09-25,5.0,5.2,4.7,4.85,963338.0,0.0,1.0,5.0,5.2,4.7,4.85,963338.0
2017-09-22,5.0,5.3,4.8,4.95,1606675.0,0.0,1.0,5.0,5.3,4.8,4.95,1606675.0
2017-09-21,4.5,5.3,4.45,5.05,2515964.0,0.0,1.0,4.5,5.3,4.45,5.05,2515964.0
2017-09-20,4.5,4.7,4.3,4.45,1119527.0,0.0,1.0,4.5,4.7,4.3,4.45,1119527.0
2017-09-19,4.05,4.95,4.05,4.45,2586773.0,0.0,1.0,4.05,4.95,4.05,4.45,2586773.0
2017-09-18,4.05,4.295,3.9,4.05,905876.0,0.0,1.0,4.05,4.295,3.9,4.05,905876.0
2017-09-15,4.1,4.175,3.95,4.05,762875.0,0.0,1.0,4.1,4.175,3.95,4.05,762875.0
2017-09-14,3.8,4.15,3.65,4.05,824313.0,0.0,1.0,3.8,4.15,3.65,4.05,824313.0
2017-09-13,4.05,4.15,3.8,3.85,684347.0,0.0,1.0,4.05,4.15,3.8,3.85,684347.0
2017-09-12,3.8,4.25,3.65,4.0,1185994.0,0.0,1.0,3.8,4.25,3.65,4.0,1185994.0
2017-09-11,3.75,3.9245,3.6,3.85,1014550.0,0.0,1.0,3.75,3.9245,3.6,3.85,1014550.0
2017-09-08,3.4,3.8,3.3,3.75,1975990.0,0.0,1.0,3.4,3.8,3.3,3.75,1975990.0
2017-09-07,3.45,3.55,3.25,3.4,612423.0,0.0,1.0,3.45,3.55,3.25,3.4,612423.0
2017-09-06,3.55,3.55,3.4,3.45,499417.0,0.0,1.0,3.55,3.55,3.4,3.45,499417.0
2017-09-05,3.5,3.55,3.35,3.35,471678.0,0.0,1.0,3.5,3.55,3.35,3.35,471678.0
2017-09-01,3.35,3.45,3.3,3.4,156318.0,0.0,1.0,3.35,3.45,3.3,3.4,156318.0
2017-08-31,3.35,3.5,3.25,3.25,392514.0,0.0,1.0,3.35,3.5,3.25,3.25,392514.0
2017-08-30,3.35,3.45,3.275,3.35,233303.0,0.0,1.0,3.35,3.45,3.275,3.35,233303.0
2017-08-29,3.2,3.4,3.15,3.4,308686.0,0.0,1.0,3.2,3.4,3.15,3.4,308686.0
2017-08-28,3.25,3.35,3.15,3.2,303176.0,0.0,1.0,3.25,3.35,3.15,3.2,303176.0
2017-08-25,3.5,3.6,3.25,3.3,353624.0,0.0,1.0,3.5,3.6,3.25,3.3,353624.0
2017-08-24,3.15,3.6,3.1,3.45,835130.0,0.0,1.0,3.15,3.6,3.1,3.45,835130.0
2017-08-23,3.05,3.2,3.05,3.1,368430.0,0.0,1.0,3.05,3.2,3.05,3.1,368430.0
2017-08-22,3.15,3.2,3.0,3.05,229254.0,0.0,1.0,3.15,3.2,3.0,3.05,229254.0
2017-08-21,2.9,3.1,2.9,3.0,315216.0,0.0,1.0,2.9,3.1,2.9,3.0,315216.0
2017-08-18,2.9,2.95,2.9,2.95,182529.0,0.0,1.0,2.9,2.95,2.9,2.95,182529.0
2017-08-17,2.9,3.0,2.9,2.9,272863.0,0.0,1.0,2.9,3.0,2.9,2.9,272863.0
2017-08-16,3.0,3.05,2.9,2.9,189459.0,0.0,1.0,3.0,3.05,2.9,2.9,189459.0
2017-08-15,3.05,3.1,2.95,2.95,83131.0,0.0,1.0,3.05,3.1,2.95,2.95,83131.0
2017-08-14,3.0,3.1,2.945,3.05,129426.0,0.0,1.0,3.0,3.1,2.945,3.05,129426.0
2017-08-11,3.05,3.15,2.925,3.0,236457.0,0.0,1.0,3.05,3.15,2.925,3.0,236457.0
2017-08-10,3.05,3.1,3.0,3.05,136747.0,0.0,1.0,3.05,3.1,3.0,3.05,136747.0
2017-08-09,3.2,3.3,3.05,3.1,433925.0,0.0,1.0,3.2,3.3,3.05,3.1,433925.0
2017-08-08,3.3,3.4,3.2,3.25,211862.0,0.0,1.0,3.3,3.4,3.2,3.25,211862.0
2017-08-07,3.45,3.5948,3.35,3.35,118234.0,0.0,1.0,3.45,3.5948,3.35,3.35,118234.0
2017-08-04,3.5,3.6,3.5,3.5,123483.0,0.0,1.0,3.5,3.6,3.5,3.5,123483.0
2017-08-03,3.3,3.45,3.3,3.45,399742.0,0.0,1.0,3.3,3.45,3.3,3.45,399742.0
2017-08-02,3.45,3.45,3.25,3.25,485146.0,0.0,1.0,3.45,3.45,3.25,3.25,485146.0
