Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,112.46,112.62,109.97,110.36,236561.0,0.0,1.0,112.46,112.62,109.97,110.36,236561.0
2018-03-26,110.79,112.61,110.09,112.28,282636.0,0.0,1.0,110.79,112.61,110.09,112.28,282636.0
2018-03-23,111.82,112.265,109.18,109.25,313145.0,0.0,1.0,111.82,112.265,109.18,109.25,313145.0
2018-03-22,114.51,114.915,111.75,111.77,282278.0,0.0,1.0,114.51,114.915,111.75,111.77,282278.0
2018-03-21,115.48,116.04,114.99,115.3,256623.0,0.0,1.0,115.48,116.04,114.99,115.3,256623.0
2018-03-20,114.13,115.98,114.11,115.45,193856.0,0.0,1.0,114.13,115.98,114.11,115.45,193856.0
2018-03-19,113.01,114.05,112.79,113.8,263049.0,0.0,1.0,113.01,114.05,112.79,113.8,263049.0
2018-03-16,112.75,113.21,112.071,113.04,934021.0,0.0,1.0,112.75,113.21,112.071,113.04,934021.0
2018-03-15,113.32,113.42,112.3,112.62,277634.0,0.0,1.0,113.32,113.42,112.3,112.62,277634.0
2018-03-14,115.03,115.03,112.73,112.99,203754.0,0.0,1.0,115.03,115.03,112.73,112.99,203754.0
2018-03-13,115.33,115.33,113.9,114.42,281882.0,0.0,1.0,115.33,115.33,113.9,114.42,281882.0
2018-03-12,116.03,116.8,114.17,114.63,355841.0,0.0,1.0,116.03,116.8,114.17,114.63,355841.0
2018-03-09,114.68,116.29,113.925,116.22,398206.0,0.0,1.0,114.68,116.29,113.925,116.22,398206.0
2018-03-08,114.59,114.59,113.06,114.03,232698.0,0.0,1.0,114.59,114.59,113.06,114.03,232698.0
2018-03-07,113.37,114.6,112.94,114.37,299383.0,0.0,1.0,113.37,114.6,112.94,114.37,299383.0
2018-03-06,113.42,114.71,111.865,114.39,270915.0,0.0,1.0,113.42,114.71,111.865,114.39,270915.0
2018-03-05,110.57,113.05,110.57,112.92,338171.0,0.0,1.0,110.57,113.05,110.57,112.92,338171.0
2018-03-02,110.1,110.91,109.26,110.77,246165.0,0.0,1.0,110.1,110.91,109.26,110.77,246165.0
2018-03-01,113.04,113.52,110.25,110.92,272181.0,0.0,1.0,113.04,113.52,110.25,110.92,272181.0
2018-02-28,115.02,115.92,112.76,112.8,504696.0,0.0,1.0,115.02,115.92,112.76,112.8,504696.0
2018-02-27,114.46,115.59,114.19,114.67,566855.0,0.0,1.0,114.46,115.59,114.19,114.67,566855.0
2018-02-26,112.84,114.48,112.7,114.44,186774.0,0.0,1.0,112.84,114.48,112.7,114.44,186774.0
