Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,12.0,12.24,11.76,11.8,27314.0,0.0,1.0,12.0,12.24,11.76,11.8,27314.0
2018-03-26,11.7,12.0,11.66,11.93,41970.0,0.0,1.0,11.7,12.0,11.66,11.93,41970.0
2018-03-23,11.725,11.85,11.6,11.63,48305.0,0.0,1.0,11.725,11.85,11.6,11.63,48305.0
2018-03-22,11.8,12.13,11.67,11.84,31340.0,0.0,1.0,11.8,12.13,11.67,11.84,31340.0
2018-03-21,12.01,12.359000000000002,11.8,11.86,28427.0,0.0,1.0,12.01,12.359000000000002,11.8,11.86,28427.0
2018-03-20,11.95,12.11,11.72,12.0,33571.0,0.0,1.0,11.95,12.11,11.72,12.0,33571.0
2018-03-19,12.18,12.18,11.79,11.98,25787.0,0.0,1.0,12.18,12.18,11.79,11.98,25787.0
2018-03-16,11.83,12.28,11.77,12.2,133906.0,0.0,1.0,11.83,12.28,11.77,12.2,133906.0
2018-03-15,11.89,12.0,11.69,11.86,14373.0,0.0,1.0,11.89,12.0,11.69,11.86,14373.0
2018-03-14,11.96,11.98,11.66,11.83,31581.0,0.0,1.0,11.96,11.98,11.66,11.83,31581.0
2018-03-13,11.74,12.03,11.635,11.94,28748.0,0.0,1.0,11.74,12.03,11.635,11.94,28748.0
2018-03-12,11.79,11.84,11.57,11.68,28965.0,0.0,1.0,11.79,11.84,11.57,11.68,28965.0
2018-03-09,11.54,11.78,11.29,11.78,23435.0,0.0,1.0,11.54,11.78,11.29,11.78,23435.0
2018-03-08,11.54,11.62,11.1,11.5,19962.0,0.0,1.0,11.54,11.62,11.1,11.5,19962.0
2018-03-07,11.37,11.71,11.19,11.55,24618.0,0.0,1.0,11.37,11.71,11.19,11.55,24618.0
2018-03-06,11.03,11.57,11.03,11.45,28516.0,0.0,1.0,11.03,11.57,11.03,11.45,28516.0
2018-03-05,10.95,11.19,10.95,10.99,48389.0,0.0,1.0,10.95,11.19,10.95,10.99,48389.0
2018-03-02,11.03,11.1,10.88,10.98,45903.0,0.0,1.0,11.03,11.1,10.88,10.98,45903.0
2018-03-01,11.18,11.53,10.77,11.09,24966.0,0.0,1.0,11.18,11.53,10.77,11.09,24966.0
2018-02-28,11.61,12.24,11.17,11.17,32991.0,0.0,1.0,11.61,12.24,11.17,11.17,32991.0
2018-02-27,11.61,11.8,11.535,11.57,23512.0,0.0,1.0,11.61,11.8,11.535,11.57,23512.0
2018-02-26,11.53,11.78,11.53,11.61,12746.0,0.0,1.0,11.53,11.78,11.53,11.61,12746.0
2018-02-23,11.77,11.77,11.46,11.54,18099.0,0.0,1.0,11.77,11.77,11.46,11.54,18099.0
2018-02-22,11.65,11.86,11.59,11.66,24410.0,0.0,1.0,11.65,11.86,11.59,11.66,24410.0
2018-02-21,11.41,11.93,11.41,11.7,36438.0,0.0,1.0,11.41,11.93,11.41,11.7,36438.0
2018-02-20,11.56,11.77,11.35,11.39,19134.0,0.0,1.0,11.56,11.77,11.35,11.39,19134.0
