Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,5.2,5.2,5.05,5.05,38970.0,0.0,1.0,5.2,5.2,5.05,5.05,38970.0
2018-03-26,5.15,5.2,5.1,5.15,17695.0,0.0,1.0,5.15,5.2,5.1,5.15,17695.0
2018-03-23,5.1,5.1501,5.1,5.1,14589.0,0.0,1.0,5.1,5.1501,5.1,5.1,14589.0
2018-03-22,5.05,5.15,5.05,5.125,14078.0,0.0,1.0,5.05,5.15,5.05,5.125,14078.0
2018-03-21,5.1,5.15,5.0,5.0,22031.0,0.0,1.0,5.1,5.15,5.0,5.0,22031.0
2018-03-20,5.0,5.15,5.0,5.05,13911.0,0.0,1.0,5.0,5.15,5.0,5.05,13911.0
2018-03-19,5.15,5.15,5.0,5.0,15816.0,0.0,1.0,5.15,5.15,5.0,5.0,15816.0
2018-03-16,5.15,5.1732,5.05,5.15,15337.0,0.0,1.0,5.15,5.1732,5.05,5.15,15337.0
2018-03-15,5.05,5.2,5.0,5.1,15106.0,0.0,1.0,5.05,5.2,5.0,5.1,15106.0
2018-03-14,5.2,5.2,5.0,5.05,75553.0,0.0,1.0,5.2,5.2,5.0,5.05,75553.0
2018-03-13,5.1,5.25,5.0,5.2,49714.0,0.0,1.0,5.1,5.25,5.0,5.2,49714.0
2018-03-12,5.25,5.25,5.1,5.1,19035.0,0.0,1.0,5.25,5.25,5.1,5.1,19035.0
2018-03-09,5.2,5.25,5.15,5.25,12787.0,0.0,1.0,5.2,5.25,5.15,5.25,12787.0
2018-03-08,5.15,5.2,5.1,5.2,44088.0,0.0,1.0,5.15,5.2,5.1,5.2,44088.0
2018-03-07,5.0,5.2,5.0,5.15,18518.0,0.0,1.0,5.0,5.2,5.0,5.15,18518.0
2018-03-06,5.25,5.25,4.95,5.0,274993.0,0.0,1.0,5.25,5.25,4.95,5.0,274993.0
2018-03-05,5.2,5.25,5.1252,5.2,21872.0,0.0,1.0,5.2,5.25,5.1252,5.2,21872.0
2018-03-02,5.25,5.25,5.1192,5.2,20167.0,0.0,1.0,5.25,5.25,5.1192,5.2,20167.0
2018-03-01,5.15,5.2,5.15,5.15,26527.0,0.0,1.0,5.15,5.2,5.15,5.15,26527.0
2018-02-28,5.2,5.25,5.15,5.15,31157.0,0.0,1.0,5.2,5.25,5.15,5.15,31157.0
2018-02-27,5.15,5.25,5.15,5.25,16477.0,0.0,1.0,5.15,5.25,5.15,5.25,16477.0
2018-02-26,5.1,5.15,5.1,5.15,15553.0,0.0,1.0,5.1,5.15,5.1,5.15,15553.0
2018-02-23,5.2,5.2,5.05,5.1,19185.0,0.0,1.0,5.2,5.2,5.05,5.1,19185.0
2018-02-22,5.15,5.25,5.15,5.25,14628.0,0.0,1.0,5.15,5.25,5.15,5.25,14628.0
2018-02-21,5.15,5.25,5.15,5.2,10872.0,0.0,1.0,5.15,5.25,5.15,5.2,10872.0
2018-02-20,5.2,5.25,5.15,5.15,13111.0,0.0,1.0,5.2,5.25,5.15,5.15,13111.0
2018-02-16,5.2,5.25,5.2,5.25,9502.0,0.0,1.0,5.2,5.25,5.2,5.25,9502.0
2018-02-15,5.2,5.25,5.184,5.25,12723.0,0.0,1.0,5.2,5.25,5.184,5.25,12723.0
2018-02-14,5.15,5.2,5.1,5.2,41716.0,0.0,1.0,5.15,5.2,5.1,5.2,41716.0
