Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,171.75,174.6,167.2,168.0,281073.0,0.0,1.0,171.75,174.6,167.2,168.0,281073.0
2018-03-26,169.5,171.45,165.0,171.25,151173.0,0.0,1.0,169.5,171.45,165.0,171.25,151173.0
2018-03-23,168.0,171.75,165.95,166.7,108307.0,0.0,1.0,168.0,171.75,165.95,166.7,108307.0
2018-03-22,172.4,174.65,167.55,167.7,107176.0,0.0,1.0,172.4,174.65,167.55,167.7,107176.0
2018-03-21,174.0,177.15,172.5,174.35,126025.0,0.0,1.0,174.0,177.15,172.5,174.35,126025.0
2018-03-20,176.15,177.7,175.0,176.05,89655.0,0.0,1.0,176.15,177.7,175.0,176.05,89655.0
2018-03-19,177.05,178.7,174.1,176.1,74237.0,0.0,1.0,177.05,178.7,174.1,176.1,74237.0
2018-03-16,173.6,179.45,173.6,178.0,179700.0,0.0,1.0,173.6,179.45,173.6,178.0,179700.0
2018-03-15,175.3,176.8,172.5,172.75,87091.0,0.0,1.0,175.3,176.8,172.5,172.75,87091.0
2018-03-14,180.25,181.45,174.55,174.95,78737.0,0.0,1.0,180.25,181.45,174.55,174.95,78737.0
2018-03-13,177.55,180.2,176.35,179.6,130841.0,0.0,1.0,177.55,180.2,176.35,179.6,130841.0
2018-03-12,175.0,177.5,173.25,177.5,118104.0,0.0,1.0,175.0,177.5,173.25,177.5,118104.0
2018-03-09,175.05,175.05,168.5616,174.3,54650.0,0.0,1.0,175.05,175.05,168.5616,174.3,54650.0
2018-03-08,171.5,176.0,170.45,174.0,119254.0,0.0,1.0,171.5,176.0,170.45,174.0,119254.0
2018-03-07,164.35,171.65,164.35,171.3,122106.0,0.0,1.0,164.35,171.65,164.35,171.3,122106.0
2018-03-06,163.7,166.0,160.7,165.95,116523.0,0.0,1.0,163.7,166.0,160.7,165.95,116523.0
2018-03-05,164.0,166.6,162.65,162.9,122768.0,0.0,1.0,164.0,166.6,162.65,162.9,122768.0
2018-03-02,162.55,166.4,162.15,164.35,202123.0,0.0,1.0,162.55,166.4,162.15,164.35,202123.0
2018-03-01,166.1,168.3,160.85,163.7,205302.0,0.7,1.0,166.1,168.3,160.85,163.7,205302.0
