Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,61.66,61.99,60.22,60.54,200697.0,0.0,1.0,61.66,61.99,60.22,60.54,200697.0
2018-03-26,61.89,62.075,60.89,61.56,157044.0,0.0,1.0,61.89,62.075,60.89,61.56,157044.0
2018-03-23,61.67,62.725,61.32,61.43,196528.0,0.0,1.0,61.67,62.725,61.32,61.43,196528.0
2018-03-22,61.16,62.6,59.76,61.4,121399.0,0.0,1.0,61.16,62.6,59.76,61.4,121399.0
2018-03-21,61.19,62.425,60.99,61.43,167384.0,0.0,1.0,61.19,62.425,60.99,61.43,167384.0
2018-03-20,62.7,63.15,61.39,61.46,228964.0,0.0,1.0,62.7,63.15,61.39,61.46,228964.0
2018-03-19,63.78,63.78,61.35,62.74,195039.0,0.0,1.0,63.78,63.78,61.35,62.74,195039.0
2018-03-16,62.63,62.91,62.0,62.73,406916.0,0.0,1.0,62.63,62.91,62.0,62.73,406916.0
2018-03-15,61.66,63.05,60.855,62.73,329261.0,0.0,1.0,61.66,63.05,60.855,62.73,329261.0
2018-03-14,61.86,61.86,60.61,61.38,183002.0,0.0,1.0,61.86,61.86,60.61,61.38,183002.0
2018-03-13,61.78,62.51,61.25,61.6,266967.0,0.0,1.0,61.78,62.51,61.25,61.6,266967.0
2018-03-12,60.82,61.74,58.1256,61.59,225729.0,0.0,1.0,60.82,61.74,58.1256,61.59,225729.0
2018-03-09,60.03,61.295,59.83,60.92,259690.0,0.0,1.0,60.03,61.295,59.83,60.92,259690.0
2018-03-08,60.0,61.76,59.38,59.96,157020.0,0.0,1.0,60.0,61.76,59.38,59.96,157020.0
2018-03-07,58.44,59.99,58.44,59.98,184281.0,0.0,1.0,58.44,59.99,58.44,59.98,184281.0
2018-03-06,58.7,59.31,57.64,58.99,244226.0,0.0,1.0,58.7,59.31,57.64,58.99,244226.0
2018-03-05,58.08,58.79,57.7825,58.71,279056.0,0.0,1.0,58.08,58.79,57.7825,58.71,279056.0
2018-03-02,56.95,58.92,56.95,58.52,251448.0,0.0,1.0,56.95,58.92,56.95,58.52,251448.0
2018-03-01,59.61,59.84,55.49,57.19,484770.0,0.0,1.0,59.61,59.84,55.49,57.19,484770.0
2018-02-28,61.78,61.78,56.59,59.21,888295.0,0.0,1.0,61.78,61.78,56.59,59.21,888295.0
2018-02-27,57.96,60.19,57.42,59.43,536688.0,0.0,1.0,57.96,60.19,57.42,59.43,536688.0
2018-02-26,57.87,58.36,56.8,57.88,214241.0,0.0,1.0,57.87,58.36,56.8,57.88,214241.0
2018-02-23,57.37,58.29,56.61,57.98,189922.0,0.0,1.0,57.37,58.29,56.61,57.98,189922.0
2018-02-22,58.12,58.38,56.7,57.02,223675.0,0.0,1.0,58.12,58.38,56.7,57.02,223675.0
2018-02-21,56.86,58.6199,56.26,57.79,349843.0,0.0,1.0,56.86,58.6199,56.26,57.79,349843.0
2018-02-20,56.25,57.095,55.91,56.87,281475.0,0.0,1.0,56.25,57.095,55.91,56.87,281475.0
2018-02-16,55.53,56.73,55.41,56.46,210258.0,0.0,1.0,55.53,56.73,55.41,56.46,210258.0
2018-02-15,56.42,56.42,54.965,55.74,243334.0,0.0,1.0,56.42,56.42,54.965,55.74,243334.0
2018-02-14,54.76,56.31,54.69,56.05,248804.0,0.0,1.0,54.76,56.31,54.69,56.05,248804.0
2018-02-13,55.22,55.4,54.29,55.03,229316.0,0.0,1.0,55.22,55.4,54.29,55.03,229316.0
2018-02-12,56.35,57.12,54.06100000000001,55.35,340561.0,0.0,1.0,56.35,57.12,54.06100000000001,55.35,340561.0
2018-02-09,55.77,56.91,54.745,56.35,390612.0,0.0,1.0,55.77,56.91,54.745,56.35,390612.0
2018-02-08,56.04,56.04,54.55,55.26,441121.0,0.0,1.0,56.04,56.04,54.55,55.26,441121.0
2018-02-07,54.4,56.23,54.06,56.16,524782.0,0.0,1.0,54.4,56.23,54.06,56.16,524782.0
2018-02-06,49.98,55.22,49.98,54.55,782574.0,0.0,1.0,49.98,55.22,49.98,54.55,782574.0
2018-02-05,51.24,51.75,50.57,50.785,295841.0,0.0,1.0,51.24,51.75,50.57,50.785,295841.0
2018-02-02,52.25,53.0,51.36,51.42,262284.0,0.0,1.0,52.25,53.0,51.36,51.42,262284.0
2018-02-01,53.31,54.09,51.92100000000001,52.36,354215.0,0.0,1.0,53.31,54.09,51.92100000000001,52.36,354215.0
2018-01-31,54.1,54.35,53.06,53.62,229553.0,0.0,1.0,54.1,54.35,53.06,53.62,229553.0
2018-01-30,54.29,55.3,53.63,53.99,136458.0,0.0,1.0,54.29,55.3,53.63,53.99,136458.0
2018-01-29,55.66,56.42,54.69,54.75,181668.0,0.0,1.0,55.66,56.42,54.69,54.75,181668.0
2018-01-26,55.12,55.9,54.6,55.7,166783.0,0.0,1.0,55.12,55.9,54.6,55.7,166783.0
2018-01-25,54.74,55.21,53.52,55.12,317702.0,0.0,1.0,54.74,55.21,53.52,55.12,317702.0
2018-01-24,55.92,56.6484,54.79,54.82,130158.0,0.0,1.0,55.92,56.6484,54.79,54.82,130158.0
2018-01-23,56.78,57.1,55.77,55.83,265012.0,0.0,1.0,56.78,57.1,55.77,55.83,265012.0
2018-01-22,55.34,57.0,55.34,56.57,296300.0,0.0,1.0,55.34,57.0,55.34,56.57,296300.0
2018-01-19,54.78,55.79,54.4519,55.59,158300.0,0.0,1.0,54.78,55.79,54.4519,55.59,158300.0
2018-01-18,55.89,55.97,54.75,54.77,260054.0,0.0,1.0,55.89,55.97,54.75,54.77,260054.0
2018-01-17,57.02,57.02,55.69,55.74,407392.0,0.0,1.0,57.02,57.02,55.69,55.74,407392.0
2018-01-16,54.9,57.265,54.9,57.03,556289.0,0.0,1.0,54.9,57.265,54.9,57.03,556289.0
2018-01-12,54.73,55.5899,54.055,54.76,337021.0,0.0,1.0,54.73,55.5899,54.055,54.76,337021.0
2018-01-11,51.3,54.815,51.27,54.53,556995.0,0.0,1.0,51.3,54.815,51.27,54.53,556995.0
2018-01-10,50.5,51.4,49.8,51.1,320900.0,0.0,1.0,50.5,51.4,49.8,51.1,320900.0
2018-01-09,50.52,51.13,50.2,50.62,350323.0,0.0,1.0,50.52,51.13,50.2,50.62,350323.0
2018-01-08,52.72,52.72,50.49,50.51,354080.0,0.0,1.0,52.72,52.72,50.49,50.51,354080.0
2018-01-05,52.71,53.49,51.89,52.89,369961.0,0.0,1.0,52.71,53.49,51.89,52.89,369961.0
2018-01-04,52.85,53.35,52.19,53.05,380357.0,0.0,1.0,52.85,53.35,52.19,53.05,380357.0
2018-01-03,53.6,53.6,52.09,52.69,296060.0,0.0,1.0,53.6,53.6,52.09,52.69,296060.0
2018-01-02,52.9,54.36,52.495,53.79,187734.0,0.0,1.0,52.9,54.36,52.495,53.79,187734.0
2017-12-29,52.66,53.44,52.54,52.71,171015.0,0.0,1.0,52.66,53.44,52.54,52.71,171015.0
2017-12-28,53.14,53.53,52.34,52.66,171150.0,0.0,1.0,53.14,53.53,52.34,52.66,171150.0
2017-12-27,53.52,54.19,52.63,53.06,122430.0,0.0,1.0,53.52,54.19,52.63,53.06,122430.0
2017-12-26,53.23,54.36,53.23,53.53,178722.0,0.0,1.0,53.23,54.36,53.23,53.53,178722.0
2017-12-22,53.68,54.03,52.66,53.27,141402.0,0.0,1.0,53.68,54.03,52.66,53.27,141402.0
2017-12-21,52.31,54.52,52.16,53.74,436112.0,0.0,1.0,52.31,54.52,52.16,53.74,436112.0
2017-12-20,53.31,53.56,52.07,52.25,164507.0,0.0,1.0,53.31,53.56,52.07,52.25,164507.0
2017-12-19,51.87,53.67,51.87,53.02,342266.0,0.0,1.0,51.87,53.67,51.87,53.02,342266.0
2017-12-18,54.92,56.25,51.16,52.08,726602.0,0.0,1.0,54.92,56.25,51.16,52.08,726602.0
2017-12-15,54.6,56.2,54.38,55.31,753900.0,0.0,1.0,54.6,56.2,54.38,55.31,753900.0
2017-12-14,55.1,55.31,53.83,54.38,199062.0,0.0,1.0,55.1,55.31,53.83,54.38,199062.0
2017-12-13,52.75,55.05,52.02,54.85,434304.0,0.0,1.0,52.75,55.05,52.02,54.85,434304.0
2017-12-12,52.71,53.42,52.44,52.6,177832.0,0.0,1.0,52.71,53.42,52.44,52.6,177832.0
2017-12-11,54.05,54.77,52.25,52.71,245040.0,0.0,1.0,54.05,54.77,52.25,52.71,245040.0
2017-12-08,54.68,55.93,53.49,53.85,402106.0,0.0,1.0,54.68,55.93,53.49,53.85,402106.0
2017-12-07,52.81,55.59,52.81,54.53,407648.0,0.0,1.0,52.81,55.59,52.81,54.53,407648.0
2017-12-06,52.6,53.815,52.0,52.96,573137.0,0.0,1.0,52.6,53.815,52.0,52.96,573137.0
2017-12-05,53.95,54.29,52.62,52.65,365156.0,0.0,1.0,53.95,54.29,52.62,52.65,365156.0
2017-12-04,53.25,56.02,53.05,54.16,665603.0,0.0,1.0,53.25,56.02,53.05,54.16,665603.0
2017-12-01,53.83,53.89,51.46,52.87,416254.0,0.0,1.0,53.83,53.89,51.46,52.87,416254.0
2017-11-30,54.13,54.35,53.23,54.0,490339.0,0.0,1.0,54.13,54.35,53.23,54.0,490339.0
2017-11-29,52.42,54.16,52.42,54.06,451543.0,0.0,1.0,52.42,54.16,52.42,54.06,451543.0
2017-11-28,53.71,54.35,52.12,52.55,478384.0,0.0,1.0,53.71,54.35,52.12,52.55,478384.0
2017-11-27,56.12,56.5,53.46,53.54,417236.0,0.0,1.0,56.12,56.5,53.46,53.54,417236.0
2017-11-24,56.44,56.6,55.42,56.12,243275.0,0.0,1.0,56.44,56.6,55.42,56.12,243275.0
2017-11-22,55.65,57.91,55.65,56.37,234612.0,0.0,1.0,55.65,57.91,55.65,56.37,234612.0
2017-11-21,52.86,55.0,52.19,54.97,490569.0,0.0,1.0,52.86,55.0,52.19,54.97,490569.0
2017-11-20,55.02,55.02,52.6,52.68,535862.0,0.0,1.0,55.02,55.02,52.6,52.68,535862.0
2017-11-17,55.76,55.98,54.19,55.01,461421.0,0.0,1.0,55.76,55.98,54.19,55.01,461421.0
2017-11-16,57.4,57.69,53.43,55.85,728539.0,0.0,1.0,57.4,57.69,53.43,55.85,728539.0
2017-11-15,57.04,57.31,56.15,56.22,225719.0,0.0,1.0,57.04,57.31,56.15,56.22,225719.0
