Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,189.77,189.77,183.915,185.23,418759.0,0.0,1.0,189.77,189.77,183.915,185.23,418759.0
2018-03-26,184.97,189.03,182.51,188.6,288311.0,0.0,1.0,184.97,189.03,182.51,188.6,288311.0
2018-03-23,185.69,186.47,180.615,180.92,340119.0,0.0,1.0,185.69,186.47,180.615,180.92,340119.0
2018-03-22,189.59,190.955,184.03,185.17,346186.0,0.0,1.0,189.59,190.955,184.03,185.17,346186.0
2018-03-21,189.57,194.9,188.44,192.26,359738.0,0.0,1.0,189.57,194.9,188.44,192.26,359738.0
2018-03-20,191.27,191.27,187.95,189.25,511934.0,0.0,1.0,191.27,191.27,187.95,189.25,511934.0
2018-03-19,192.44,193.615,188.2,190.66,370537.0,0.0,1.0,192.44,193.615,188.2,190.66,370537.0
2018-03-16,190.57,194.17,190.29,192.4,723519.0,0.0,1.0,190.57,194.17,190.29,192.4,723519.0
2018-03-15,193.46,194.26,189.55,190.46,306876.0,0.0,1.0,193.46,194.26,189.55,190.46,306876.0
2018-03-14,196.23,196.6,192.815,193.46,300148.0,0.0,1.0,196.23,196.6,192.815,193.46,300148.0
2018-03-13,195.97,196.9,194.11,194.95,408291.0,0.0,1.0,195.97,196.9,194.11,194.95,408291.0
2018-03-12,195.55,197.03,193.63,194.73,355524.0,0.0,1.0,195.55,197.03,193.63,194.73,355524.0
2018-03-09,193.27,196.25,192.265,196.11,304010.0,0.0,1.0,193.27,196.25,192.265,196.11,304010.0
2018-03-08,191.37,191.7,188.4,191.54,353211.0,0.0,1.0,191.37,191.7,188.4,191.54,353211.0
2018-03-07,189.43,190.68,187.34,190.1,411565.0,0.0,1.0,189.43,190.68,187.34,190.1,411565.0
2018-03-06,188.72,191.84,187.16,191.8,290582.0,0.0,1.0,188.72,191.84,187.16,191.8,290582.0
2018-03-05,185.2,189.35,184.88,188.16,425713.0,0.0,1.0,185.2,189.35,184.88,188.16,425713.0
2018-03-02,183.85,188.15,182.33,187.48,264405.0,0.0,1.0,183.85,188.15,182.33,187.48,264405.0
2018-03-01,189.17,189.93,184.63,185.37,418456.0,0.0,1.0,189.17,189.93,184.63,185.37,418456.0
2018-02-28,190.94,192.66,189.25,189.36,481419.0,0.0,1.0,190.94,192.66,189.25,189.36,481419.0
2018-02-27,194.06,195.38,190.09,190.25,491401.0,0.0,1.0,194.06,195.38,190.09,190.25,491401.0
2018-02-26,190.74,195.1,189.78,194.86,342972.0,0.0,1.0,190.74,195.1,189.78,194.86,342972.0
2018-02-23,188.0,190.01,187.22,190.01,271870.0,0.0,1.0,188.0,190.01,187.22,190.01,271870.0
2018-02-22,189.96,191.35,186.57,186.83,421074.0,0.0,1.0,189.96,191.35,186.57,186.83,421074.0
2018-02-21,187.83,194.05,186.67,189.03,442861.0,0.0,1.0,187.83,194.05,186.67,189.03,442861.0
