Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.09,3.2,2.97,3.11,1222100.0,0.0,1.0,3.09,3.2,2.97,3.11,1222100.0
2018-03-26,2.9,3.1,2.66,3.09,1051289.0,0.0,1.0,2.9,3.1,2.66,3.09,1051289.0
2018-03-23,2.9,3.05,2.8110000000000004,2.93,1299488.0,0.0,1.0,2.9,3.05,2.8110000000000004,2.93,1299488.0
2018-03-22,2.57,2.93,2.57,2.85,1257874.0,0.0,1.0,2.57,2.93,2.57,2.85,1257874.0
2018-03-21,2.6,2.7,2.55,2.58,455436.0,0.0,1.0,2.6,2.7,2.55,2.58,455436.0
2018-03-20,2.69,2.69,2.46,2.63,600994.0,0.0,1.0,2.69,2.69,2.46,2.63,600994.0
2018-03-19,2.66,2.8,2.58,2.7,881454.0,0.0,1.0,2.66,2.8,2.58,2.7,881454.0
2018-03-16,2.45,2.67,2.39,2.65,1083959.0,0.0,1.0,2.45,2.67,2.39,2.65,1083959.0
2018-03-15,2.35,2.44,2.35,2.42,446897.0,0.0,1.0,2.35,2.44,2.35,2.42,446897.0
2018-03-14,2.35,2.45,2.311,2.33,557455.0,0.0,1.0,2.35,2.45,2.311,2.33,557455.0
2018-03-13,2.33,2.46,2.3,2.31,396710.0,0.0,1.0,2.33,2.46,2.3,2.31,396710.0
2018-03-12,2.4,2.48,2.22,2.38,800973.0,0.0,1.0,2.4,2.48,2.22,2.38,800973.0
2018-03-09,2.5,2.5,2.3,2.42,615207.0,0.0,1.0,2.5,2.5,2.3,2.42,615207.0
2018-03-08,2.66,2.67,2.38,2.49,789818.0,0.0,1.0,2.66,2.67,2.38,2.49,789818.0
2018-03-07,2.42,2.65,2.37,2.55,937251.0,0.0,1.0,2.42,2.65,2.37,2.55,937251.0
2018-03-06,2.4,2.5,2.32,2.42,563614.0,0.0,1.0,2.4,2.5,2.32,2.42,563614.0
2018-03-05,2.26,2.6,2.26,2.38,1248970.0,0.0,1.0,2.26,2.6,2.26,2.38,1248970.0
2018-03-02,2.14,2.39,2.14,2.3,926678.0,0.0,1.0,2.14,2.39,2.14,2.3,926678.0
2018-03-01,2.19,2.21,2.11,2.16,600521.0,0.0,1.0,2.19,2.21,2.11,2.16,600521.0
2018-02-28,2.35,2.38,2.11,2.22,1433201.0,0.0,1.0,2.35,2.38,2.11,2.22,1433201.0
2018-02-27,2.48,2.48,2.31,2.36,714633.0,0.0,1.0,2.48,2.48,2.31,2.36,714633.0
2018-02-26,2.59,2.6,2.42,2.5,759455.0,0.0,1.0,2.59,2.6,2.42,2.5,759455.0
2018-02-23,2.39,2.6,2.39,2.57,1062293.0,0.0,1.0,2.39,2.6,2.39,2.57,1062293.0
2018-02-22,2.81,2.88,2.26,2.5,924761.0,0.0,1.0,2.81,2.88,2.26,2.5,924761.0
2018-02-21,2.6,2.78,2.6,2.75,888050.0,0.0,1.0,2.6,2.78,2.6,2.75,888050.0
2018-02-20,2.85,2.98,2.51,2.51,2636188.0,0.0,1.0,2.85,2.98,2.51,2.51,2636188.0
2018-02-16,3.5,3.5,2.81,2.96,2862078.0,0.0,1.0,3.5,3.5,2.81,2.96,2862078.0
2018-02-15,3.35,3.505,3.3,3.46,1053661.0,0.0,1.0,3.35,3.505,3.3,3.46,1053661.0
2018-02-14,3.3,3.4989999999999997,3.23,3.35,989487.0,0.0,1.0,3.3,3.4989999999999997,3.23,3.35,989487.0
2018-02-13,3.06,3.57,3.01,3.29,2910581.0,0.0,1.0,3.06,3.57,3.01,3.29,2910581.0
2018-02-12,3.0,3.1,2.88,3.07,625268.0,0.0,1.0,3.0,3.1,2.88,3.07,625268.0
2018-02-09,2.95,3.15,2.76,2.93,1081984.0,0.0,1.0,2.95,3.15,2.76,2.93,1081984.0
2018-02-08,3.0,3.02,2.86,3.0,867603.0,0.0,1.0,3.0,3.02,2.86,3.0,867603.0
2018-02-07,2.88,3.02,2.865,3.01,511934.0,0.0,1.0,2.88,3.02,2.865,3.01,511934.0
2018-02-06,2.86,2.92,2.6,2.86,886820.0,0.0,1.0,2.86,2.92,2.6,2.86,886820.0
2018-02-05,3.06,3.07,2.9,2.9,615149.0,0.0,1.0,3.06,3.07,2.9,2.9,615149.0
2018-02-02,3.07,3.14,2.91,3.05,957524.0,0.0,1.0,3.07,3.14,2.91,3.05,957524.0
2018-02-01,3.0,3.05,2.8,3.05,892972.0,0.0,1.0,3.0,3.05,2.8,3.05,892972.0
2018-01-31,2.92,3.0,2.78,3.0,680165.0,0.0,1.0,2.92,3.0,2.78,3.0,680165.0
2018-01-30,2.71,2.93,2.69,2.92,750417.0,0.0,1.0,2.71,2.93,2.69,2.92,750417.0
2018-01-29,2.76,2.78,2.5889,2.72,589339.0,0.0,1.0,2.76,2.78,2.5889,2.72,589339.0
2018-01-26,2.51,2.76,2.5,2.72,609761.0,0.0,1.0,2.51,2.76,2.5,2.72,609761.0
2018-01-25,2.67,2.72,2.5228,2.62,611864.0,0.0,1.0,2.67,2.72,2.5228,2.62,611864.0
2018-01-24,2.74,2.7684,2.64,2.73,648891.0,0.0,1.0,2.74,2.7684,2.64,2.73,648891.0
2018-01-23,2.93,2.93,2.7,2.74,996975.0,0.0,1.0,2.93,2.93,2.7,2.74,996975.0
2018-01-22,2.96,2.99,2.83,2.9,823442.0,0.0,1.0,2.96,2.99,2.83,2.9,823442.0
2018-01-19,2.94,2.94,2.8149,2.9,807178.0,0.0,1.0,2.94,2.94,2.8149,2.9,807178.0
2018-01-18,2.91,2.94,2.76,2.9,732660.0,0.0,1.0,2.91,2.94,2.76,2.9,732660.0
2018-01-17,3.03,3.04,2.8,2.91,1076060.0,0.0,1.0,3.03,3.04,2.8,2.91,1076060.0
2018-01-16,3.03,3.14,2.94,3.01,1543895.0,0.0,1.0,3.03,3.14,2.94,3.01,1543895.0
2018-01-12,2.94,3.03,2.86,2.93,1016243.0,0.0,1.0,2.94,3.03,2.86,2.93,1016243.0
2018-01-11,2.82,3.029,2.81,2.92,916130.0,0.0,1.0,2.82,3.029,2.81,2.92,916130.0
2018-01-10,2.9,2.93,2.68,2.81,747510.0,0.0,1.0,2.9,2.93,2.68,2.81,747510.0
2018-01-09,2.99,3.08,2.85,2.94,1007647.0,0.0,1.0,2.99,3.08,2.85,2.94,1007647.0
2018-01-08,2.95,3.1489999999999996,2.75,2.97,2204723.0,0.0,1.0,2.95,3.1489999999999996,2.75,2.97,2204723.0
2018-01-05,2.44,2.92,2.37,2.88,3384970.0,0.0,1.0,2.44,2.92,2.37,2.88,3384970.0
2018-01-04,3.01,3.1,2.41,2.51,4665715.0,0.0,1.0,3.01,3.1,2.41,2.51,4665715.0
2018-01-03,3.45,3.49,2.99,3.01,2423016.0,0.0,1.0,3.45,3.49,2.99,3.01,2423016.0
2018-01-02,4.07,4.09,2.7,3.48,5894407.0,0.0,1.0,4.07,4.09,2.7,3.48,5894407.0
2017-12-29,4.18,4.9499,3.71,4.07,4109907.0,0.0,1.0,4.18,4.9499,3.71,4.07,4109907.0
2017-12-28,3.63,4.21,3.58,4.19,3540396.0,0.0,1.0,3.63,4.21,3.58,4.19,3540396.0
2017-12-27,3.44,3.74,3.4,3.62,2323580.0,0.0,1.0,3.44,3.74,3.4,3.62,2323580.0
2017-12-26,2.73,3.55,2.73,3.33,2637690.0,0.0,1.0,2.73,3.55,2.73,3.33,2637690.0
2017-12-22,2.715,2.9,2.69,2.74,905564.0,0.0,1.0,2.715,2.9,2.69,2.74,905564.0
2017-12-21,2.82,3.0,2.57,2.79,1179129.0,0.0,1.0,2.82,3.0,2.57,2.79,1179129.0
2017-12-20,2.78,2.9,2.65,2.85,920923.0,0.0,1.0,2.78,2.9,2.65,2.85,920923.0
2017-12-19,2.95,3.0168,2.53,2.61,2591760.0,0.0,1.0,2.95,3.0168,2.53,2.61,2591760.0
2017-12-18,2.33,2.73,2.2,2.73,2791569.0,0.0,1.0,2.33,2.73,2.2,2.73,2791569.0
2017-12-15,2.17,2.4,2.1,2.18,2419789.0,0.0,1.0,2.17,2.4,2.1,2.18,2419789.0
2017-12-14,1.95,2.84,1.83,2.33,17052184.0,0.0,1.0,1.95,2.84,1.83,2.33,17052184.0
2017-12-13,1.73,1.82,1.72,1.75,1007445.0,0.0,1.0,1.73,1.82,1.72,1.75,1007445.0
2017-12-12,1.6,1.69,1.54,1.68,609961.0,0.0,1.0,1.6,1.69,1.54,1.68,609961.0
2017-12-11,1.55,1.66,1.49,1.61,599608.0,0.0,1.0,1.55,1.66,1.49,1.61,599608.0
2017-12-08,1.66,1.66,1.49,1.56,887095.0,0.0,1.0,1.66,1.66,1.49,1.56,887095.0
2017-12-07,1.72,1.72,1.57,1.58,640854.0,0.0,1.0,1.72,1.72,1.57,1.58,640854.0
2017-12-06,1.79,1.79,1.64,1.69,523815.0,0.0,1.0,1.79,1.79,1.64,1.69,523815.0
2017-12-05,1.64,1.77,1.63,1.72,462518.0,0.0,1.0,1.64,1.77,1.63,1.72,462518.0
2017-12-04,1.75,1.79,1.62,1.66,658481.0,0.0,1.0,1.75,1.79,1.62,1.66,658481.0
2017-12-01,1.47,1.85,1.47,1.65,2153235.0,0.0,1.0,1.47,1.85,1.47,1.65,2153235.0
2017-11-30,1.8,1.805,1.36,1.36,1212766.0,0.0,1.0,1.8,1.805,1.36,1.36,1212766.0
2017-11-29,1.95,1.97,1.68,1.81,1036282.0,0.0,1.0,1.95,1.97,1.68,1.81,1036282.0
2017-11-28,1.94,1.9798,1.83,1.9,811444.0,0.0,1.0,1.94,1.9798,1.83,1.9,811444.0
2017-11-27,2.03,2.15,1.76,1.97,1643381.0,0.0,1.0,2.03,2.15,1.76,1.97,1643381.0
2017-11-24,1.78,2.2,1.64,1.99,2637045.0,0.0,1.0,1.78,2.2,1.64,1.99,2637045.0
2017-11-22,1.42,1.93,1.39,1.75,6813091.0,0.0,1.0,1.42,1.93,1.39,1.75,6813091.0
2017-11-21,1.4,1.42,1.36,1.37,368381.0,0.0,1.0,1.4,1.42,1.36,1.37,368381.0
2017-11-20,1.41,1.41,1.35,1.38,513200.0,0.0,1.0,1.41,1.41,1.35,1.38,513200.0
