Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,64.48,64.48,62.07,62.48,1262308.0,0.0,1.0,64.48,64.48,62.07,62.48,1262308.0
2018-03-26,63.55,64.3299,62.94,64.23,966194.0,0.0,1.0,63.55,64.3299,62.94,64.23,966194.0
2018-03-23,64.41,64.81,62.34,62.45,1231947.0,0.0,1.0,64.41,64.81,62.34,62.45,1231947.0
2018-03-22,65.56,66.24,64.45,64.48,1102112.0,0.0,1.0,65.56,66.24,64.45,64.48,1102112.0
2018-03-21,65.82,66.48,65.65,65.65,679443.0,0.0,1.0,65.82,66.48,65.65,65.65,679443.0
2018-03-20,65.38,66.04,65.38,65.71,547660.0,0.0,1.0,65.38,66.04,65.38,65.71,547660.0
2018-03-19,65.58,65.62,64.55,65.2,636918.0,0.0,1.0,65.58,65.62,64.55,65.2,636918.0
2018-03-16,65.17,65.9,65.11,65.64,1005935.0,0.0,1.0,65.17,65.9,65.11,65.64,1005935.0
2018-03-15,65.31,65.63,64.92,65.24,713444.0,0.0,1.0,65.31,65.63,64.92,65.24,713444.0
2018-03-14,66.31,66.42,65.145,65.3,432821.0,0.0,1.0,66.31,66.42,65.145,65.3,432821.0
2018-03-13,66.5,66.65,65.65,65.88,652709.0,0.0,1.0,66.5,66.65,65.65,65.88,652709.0
2018-03-12,66.85,66.85,66.1,66.28,656904.0,0.0,1.0,66.85,66.85,66.1,66.28,656904.0
2018-03-09,65.0,66.6,64.73,66.49,758849.0,0.0,1.0,65.0,66.6,64.73,66.49,758849.0
2018-03-08,64.06,64.81,63.84,64.54,1191416.0,0.0,1.0,64.06,64.81,63.84,64.54,1191416.0
2018-03-07,62.48,64.15,62.48,64.02,802129.0,0.0,1.0,62.48,64.15,62.48,64.02,802129.0
2018-03-06,63.0,63.46,62.77,63.28,960604.0,0.0,1.0,63.0,63.46,62.77,63.28,960604.0
2018-03-05,61.5,63.03,61.4,62.81,947220.0,0.0,1.0,61.5,63.03,61.4,62.81,947220.0
2018-03-02,61.56,62.18,60.73,61.88,1064376.0,0.0,1.0,61.56,62.18,60.73,61.88,1064376.0
2018-03-01,64.19,64.21,61.4,62.06,1521761.0,0.0,1.0,64.19,64.21,61.4,62.06,1521761.0
2018-02-28,65.65,65.91,64.19,64.19,1117490.0,0.0,1.0,65.65,65.91,64.19,64.19,1117490.0
2018-02-27,66.42,66.76899999999999,65.38,65.39,1032743.0,0.0,1.0,66.42,66.76899999999999,65.38,65.39,1032743.0
2018-02-26,66.56,66.65,65.77,66.23,905993.0,0.0,1.0,66.56,66.65,65.77,66.23,905993.0
