Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,2.05,2.1,2.02,2.03,1014439.0,0.0,1.0,2.05,2.1,2.02,2.03,1014439.0
2018-03-26,1.95,2.06,1.9105,2.03,1147745.0,0.0,1.0,1.95,2.06,1.9105,2.03,1147745.0
2018-03-23,1.98,1.99,1.91,1.91,1086548.0,0.0,1.0,1.98,1.99,1.91,1.91,1086548.0
2018-03-22,2.05,2.079,1.97,1.97,857812.0,0.0,1.0,2.05,2.079,1.97,1.97,857812.0
2018-03-21,2.06,2.13,2.04,2.06,783428.0,0.0,1.0,2.06,2.13,2.04,2.06,783428.0
2018-03-20,2.03,2.07,2.0,2.07,1161949.0,0.0,1.0,2.03,2.07,2.0,2.07,1161949.0
2018-03-19,2.07,2.07,2.0,2.03,1031196.0,0.0,1.0,2.07,2.07,2.0,2.03,1031196.0
2018-03-16,2.01,2.12,2.002,2.08,2687423.0,0.0,1.0,2.01,2.12,2.002,2.08,2687423.0
2018-03-15,2.04,2.06,2.0,2.01,1116200.0,0.0,1.0,2.04,2.06,2.0,2.01,1116200.0
2018-03-14,2.05,2.06,2.02,2.02,1160030.0,0.0,1.0,2.05,2.06,2.02,2.02,1160030.0
2018-03-13,2.05,2.07,2.02,2.03,1139298.0,0.0,1.0,2.05,2.07,2.02,2.03,1139298.0
2018-03-12,2.02,2.09,2.0,2.03,2022165.0,0.0,1.0,2.02,2.09,2.0,2.03,2022165.0
2018-03-09,2.15,2.21,2.01,2.01,2274135.0,0.0,1.0,2.15,2.21,2.01,2.01,2274135.0
2018-03-08,2.16,2.19,2.06,2.15,2394902.0,0.0,1.0,2.16,2.19,2.06,2.15,2394902.0
2018-03-07,2.24,2.28,2.11,2.14,2046362.0,0.0,1.0,2.24,2.28,2.11,2.14,2046362.0
2018-03-06,2.1,2.36,2.1,2.275,4675015.0,0.0,1.0,2.1,2.36,2.1,2.275,4675015.0
2018-03-05,2.45,2.49,2.345,2.42,2395503.0,0.0,1.0,2.45,2.49,2.345,2.42,2395503.0
2018-03-02,2.21,2.44,2.1899,2.44,1449456.0,0.0,1.0,2.21,2.44,2.1899,2.44,1449456.0
2018-03-01,2.27,2.305,2.2,2.26,1261010.0,0.0,1.0,2.27,2.305,2.2,2.26,1261010.0
2018-02-28,2.32,2.39,2.26,2.27,1129852.0,0.0,1.0,2.32,2.39,2.26,2.27,1129852.0
2018-02-27,2.38,2.5,2.31,2.31,1908773.0,0.0,1.0,2.38,2.5,2.31,2.31,1908773.0
2018-02-26,2.29,2.3675,2.25,2.36,1342650.0,0.0,1.0,2.29,2.3675,2.25,2.36,1342650.0
2018-02-23,2.28,2.29,2.22,2.29,767491.0,0.0,1.0,2.28,2.29,2.22,2.29,767491.0
2018-02-22,2.22,2.28,2.19,2.25,1483823.0,0.0,1.0,2.22,2.28,2.19,2.25,1483823.0
2018-02-21,2.17,2.27,2.14,2.2,1273035.0,0.0,1.0,2.17,2.27,2.14,2.2,1273035.0
2018-02-20,2.17,2.19,2.1,2.17,1391765.0,0.0,1.0,2.17,2.19,2.1,2.17,1391765.0
2018-02-16,2.19,2.25,2.12,2.2,1820282.0,0.0,1.0,2.19,2.25,2.12,2.2,1820282.0
2018-02-15,2.17,2.23,2.1,2.22,1138391.0,0.0,1.0,2.17,2.23,2.1,2.22,1138391.0
2018-02-14,1.99,2.14,1.9754,2.13,1473281.0,0.0,1.0,1.99,2.14,1.9754,2.13,1473281.0
2018-02-13,1.91,2.03,1.8902,2.02,1210121.0,0.0,1.0,1.91,2.03,1.8902,2.02,1210121.0
2018-02-12,1.94,1.95,1.85,1.93,1498488.0,0.0,1.0,1.94,1.95,1.85,1.93,1498488.0
2018-02-09,1.89,1.96,1.815,1.94,2563859.0,0.0,1.0,1.89,1.96,1.815,1.94,2563859.0
2018-02-08,1.9,1.94,1.81,1.885,1591571.0,0.0,1.0,1.9,1.94,1.81,1.885,1591571.0
2018-02-07,1.83,1.9,1.83,1.89,1360391.0,0.0,1.0,1.83,1.9,1.83,1.89,1360391.0
2018-02-06,1.88,1.91,1.79,1.82,2675706.0,0.0,1.0,1.88,1.91,1.79,1.82,2675706.0
2018-02-05,1.99,2.04,1.85,1.85,2959131.0,0.0,1.0,1.99,2.04,1.85,1.85,2959131.0
2018-02-02,2.1,2.11,1.99,2.01,3002070.0,0.0,1.0,2.1,2.11,1.99,2.01,3002070.0
2018-02-01,2.12,2.16,2.09,2.11,1142648.0,0.0,1.0,2.12,2.16,2.09,2.11,1142648.0
2018-01-31,2.18,2.22,2.11,2.16,1492724.0,0.0,1.0,2.18,2.22,2.11,2.16,1492724.0
2018-01-30,2.26,2.31,2.13,2.18,1573806.0,0.0,1.0,2.26,2.31,2.13,2.18,1573806.0
2018-01-29,2.23,2.31,2.22,2.29,1221651.0,0.0,1.0,2.23,2.31,2.22,2.29,1221651.0
2018-01-26,2.18,2.27,2.16,2.25,1358039.0,0.0,1.0,2.18,2.27,2.16,2.25,1358039.0
2018-01-25,2.2,2.2,2.13,2.18,1461287.0,0.0,1.0,2.2,2.2,2.13,2.18,1461287.0
2018-01-24,2.25,2.3,2.14,2.18,2397298.0,0.0,1.0,2.25,2.3,2.14,2.18,2397298.0
2018-01-23,2.2,2.24,2.12,2.23,1870937.0,0.0,1.0,2.2,2.24,2.12,2.23,1870937.0
2018-01-22,2.18,2.27,2.17,2.2,2230547.0,0.0,1.0,2.18,2.27,2.17,2.2,2230547.0
2018-01-19,2.1,2.22,2.0801,2.17,1781451.0,0.0,1.0,2.1,2.22,2.0801,2.17,1781451.0
2018-01-18,2.1,2.14,2.08,2.11,1188830.0,0.0,1.0,2.1,2.14,2.08,2.11,1188830.0
2018-01-17,2.11,2.15,2.1,2.12,1928506.0,0.0,1.0,2.11,2.15,2.1,2.12,1928506.0
2018-01-16,2.12,2.17,2.08,2.11,2310331.0,0.0,1.0,2.12,2.17,2.08,2.11,2310331.0
2018-01-12,2.07,2.17,2.07,2.09,2911475.0,0.0,1.0,2.07,2.17,2.07,2.09,2911475.0
2018-01-11,2.01,2.08,2.0,2.05,2837613.0,0.0,1.0,2.01,2.08,2.0,2.05,2837613.0
2018-01-10,2.01,2.07,1.99,2.01,2977764.0,0.0,1.0,2.01,2.07,1.99,2.01,2977764.0
2018-01-09,2.06,2.09,2.01,2.01,4183533.0,0.0,1.0,2.06,2.09,2.01,2.01,4183533.0
2018-01-08,2.07,2.1,2.02,2.06,2176642.0,0.0,1.0,2.07,2.1,2.02,2.06,2176642.0
2018-01-05,2.15,2.17,2.04,2.06,2521851.0,0.0,1.0,2.15,2.17,2.04,2.06,2521851.0
2018-01-04,2.3,2.3,2.08,2.14,5084177.0,0.0,1.0,2.3,2.3,2.08,2.14,5084177.0
2018-01-03,2.38,2.4399,2.27,2.29,1030573.0,0.0,1.0,2.38,2.4399,2.27,2.29,1030573.0
2018-01-02,2.36,2.42,2.31,2.37,2422410.0,0.0,1.0,2.36,2.42,2.31,2.37,2422410.0
2017-12-29,2.36,2.42,2.35,2.35,2011014.0,0.0,1.0,2.36,2.42,2.35,2.35,2011014.0
2017-12-28,2.39,2.4,2.27,2.38,1766911.0,0.0,1.0,2.39,2.4,2.27,2.38,1766911.0
2017-12-27,2.53,2.54,2.37,2.41,1644901.0,0.0,1.0,2.53,2.54,2.37,2.41,1644901.0
2017-12-26,2.41,2.62,2.39,2.56,2074183.0,0.0,1.0,2.41,2.62,2.39,2.56,2074183.0
2017-12-22,2.41,2.43,2.28,2.41,1270590.0,0.0,1.0,2.41,2.43,2.28,2.41,1270590.0
2017-12-21,2.34,2.48,2.3201,2.43,1418540.0,0.0,1.0,2.34,2.48,2.3201,2.43,1418540.0
2017-12-20,2.31,2.37,2.29,2.36,1301049.0,0.0,1.0,2.31,2.37,2.29,2.36,1301049.0
2017-12-19,2.1,2.34,2.05,2.31,4280648.0,0.0,1.0,2.1,2.34,2.05,2.31,4280648.0
2017-12-18,2.04,2.1,2.01,2.1,3131767.0,0.0,1.0,2.04,2.1,2.01,2.1,3131767.0
2017-12-15,1.97,2.035,1.9201,2.01,5550469.0,0.0,1.0,1.97,2.035,1.9201,2.01,5550469.0
2017-12-14,1.96,1.98,1.92,1.97,2572542.0,0.0,1.0,1.96,1.98,1.92,1.97,2572542.0
2017-12-13,1.97,2.01,1.95,1.98,2793417.0,0.0,1.0,1.97,2.01,1.95,1.98,2793417.0
2017-12-12,2.03,2.03,1.945,1.96,4178496.0,0.0,1.0,2.03,2.03,1.945,1.96,4178496.0
2017-12-11,2.03,2.04,1.98,2.0,1689416.0,0.0,1.0,2.03,2.04,1.98,2.0,1689416.0
2017-12-08,2.03,2.05,1.99,1.99,1778076.0,0.0,1.0,2.03,2.05,1.99,1.99,1778076.0
2017-12-07,2.09,2.14,1.99,1.99,2965122.0,0.0,1.0,2.09,2.14,1.99,1.99,2965122.0
2017-12-06,2.08,2.13,2.0,2.03,3195001.0,0.0,1.0,2.08,2.13,2.0,2.03,3195001.0
2017-12-05,2.1,2.252,1.96,2.1,13128563.0,0.0,1.0,2.1,2.252,1.96,2.1,13128563.0
2017-12-04,2.55,2.69,2.5,2.61,8300686.0,0.0,1.0,2.55,2.69,2.5,2.61,8300686.0
2017-12-01,2.36,2.48,2.315,2.47,2583205.0,0.0,1.0,2.36,2.48,2.315,2.47,2583205.0
2017-11-30,2.33,2.38,2.3,2.34,2985272.0,0.0,1.0,2.33,2.38,2.3,2.34,2985272.0
2017-11-29,2.25,2.48,2.23,2.32,2760250.0,0.0,1.0,2.25,2.48,2.23,2.32,2760250.0
2017-11-28,2.14,2.26,2.14,2.26,2589285.0,0.0,1.0,2.14,2.26,2.14,2.26,2589285.0
2017-11-27,2.17,2.23,2.12,2.15,1443963.0,0.0,1.0,2.17,2.23,2.12,2.15,1443963.0
2017-11-24,2.21,2.25,2.125,2.15,820115.0,0.0,1.0,2.21,2.25,2.125,2.15,820115.0
2017-11-22,2.18,2.22,2.14,2.19,2149274.0,0.0,1.0,2.18,2.22,2.14,2.19,2149274.0
2017-11-21,2.3,2.33,2.141,2.16,1818486.0,0.0,1.0,2.3,2.33,2.141,2.16,1818486.0
