Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,143.64,144.48,140.08,140.92,434058.0,0.0,1.0,143.64,144.48,140.08,140.92,434058.0
2018-03-26,141.0,143.83,140.89,142.7,571072.0,0.0,1.0,141.0,143.83,140.89,142.7,571072.0
2018-03-23,141.97,143.62,139.04,139.26,215402.0,0.0,1.0,141.97,143.62,139.04,139.26,215402.0
2018-03-22,144.16,146.73,141.26,141.56,260274.0,0.0,1.0,144.16,146.73,141.26,141.56,260274.0
2018-03-21,143.22,146.2,143.22,145.68,204269.0,0.0,1.0,143.22,146.2,143.22,145.68,204269.0
2018-03-20,144.73,144.73,141.6,143.01,267908.0,0.0,1.0,144.73,144.73,141.6,143.01,267908.0
2018-03-19,142.22,144.92,141.11,144.61,280314.0,0.0,1.0,142.22,144.92,141.11,144.61,280314.0
2018-03-16,145.16,145.915,141.04,143.0,492146.0,0.0,1.0,145.16,145.915,141.04,143.0,492146.0
2018-03-15,146.29,148.68,143.99,144.83,356085.0,0.0,1.0,146.29,148.68,143.99,144.83,356085.0
2018-03-14,146.15,147.02,142.84,145.62,353759.0,0.0,1.0,146.15,147.02,142.84,145.62,353759.0
2018-03-13,149.07,149.67,145.5,146.01,268125.0,0.0,1.0,149.07,149.67,145.5,146.01,268125.0
2018-03-12,147.8,149.52,146.71,149.07,297923.0,0.0,1.0,147.8,149.52,146.71,149.07,297923.0
2018-03-09,145.71,148.98,145.08,147.85,450259.0,0.0,1.0,145.71,148.98,145.08,147.85,450259.0
2018-03-08,142.99,145.36,142.46,144.85,343519.0,0.0,1.0,142.99,145.36,142.46,144.85,343519.0
2018-03-07,140.01,143.91,139.235,142.58,339964.0,0.0,1.0,140.01,143.91,139.235,142.58,339964.0
2018-03-06,141.33,142.26,139.51,140.49,427448.0,0.0,1.0,141.33,142.26,139.51,140.49,427448.0
2018-03-05,137.97,142.73,137.97,141.75,511891.0,0.0,1.0,137.97,142.73,137.97,141.75,511891.0
2018-03-02,134.8,139.69,134.55100000000002,139.06,354995.0,0.0,1.0,134.8,139.69,134.55100000000002,139.06,354995.0
2018-03-01,139.27,139.97,136.405,137.49,358197.0,0.0,1.0,139.27,139.97,136.405,137.49,358197.0
2018-02-28,139.82,142.8,139.6879,139.74,248055.0,0.0,1.0,139.82,142.8,139.6879,139.74,248055.0
2018-02-27,140.95,142.14,139.32,139.32,218057.0,0.0,1.0,140.95,142.14,139.32,139.32,218057.0
2018-02-26,139.87,142.14,139.42,141.32,502081.0,0.0,1.0,139.87,142.14,139.42,141.32,502081.0
2018-02-23,138.27,140.22,137.34,139.88,238302.0,0.0,1.0,138.27,140.22,137.34,139.88,238302.0
2018-02-22,138.78,140.73,137.61,138.22,393472.0,0.0,1.0,138.78,140.73,137.61,138.22,393472.0
2018-02-21,136.12,139.4076,135.6833,136.87,204465.0,0.0,1.0,136.12,139.4076,135.6833,136.87,204465.0
2018-02-20,138.5,139.17,134.8,135.47,343985.0,0.0,1.0,138.5,139.17,134.8,135.47,343985.0
2018-02-16,141.21,141.98,137.96,138.82,370997.0,0.0,1.0,141.21,141.98,137.96,138.82,370997.0
2018-02-15,139.11,141.97,136.33,141.24,768852.0,0.0,1.0,139.11,141.97,136.33,141.24,768852.0
2018-02-14,129.41,138.11,129.41,137.74,662927.0,0.0,1.0,129.41,138.11,129.41,137.74,662927.0
