Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,51.8,52.04,51.78,51.98,431698.0,0.0,1.0,51.8,52.04,51.78,51.98,431698.0
2018-03-26,51.7,51.84,51.35,51.81,273027.0,0.0,1.0,51.7,51.84,51.35,51.81,273027.0
2018-03-23,51.61,51.98,51.42,51.5,293931.0,0.0,1.0,51.61,51.98,51.42,51.5,293931.0
2018-03-22,51.53,52.05,51.395,51.6,603553.0,0.0,1.0,51.53,52.05,51.395,51.6,603553.0
2018-03-21,51.86,51.9,51.5,51.61,255438.0,0.0,1.0,51.86,51.9,51.5,51.61,255438.0
2018-03-20,51.35,51.92,51.35,51.82,356817.0,0.0,1.0,51.35,51.92,51.35,51.82,356817.0
2018-03-19,51.0,51.54,50.75,51.49,332353.0,0.0,1.0,51.0,51.54,50.75,51.49,332353.0
2018-03-16,50.93,51.97,50.45,51.17,3397697.0,0.0,1.0,50.93,51.97,50.45,51.17,3397697.0
2018-03-15,50.42,50.91,50.17,50.87,423216.0,0.0,1.0,50.42,50.91,50.17,50.87,423216.0
2018-03-14,50.44,50.6599,49.93,50.41,442656.0,0.0,1.0,50.44,50.6599,49.93,50.41,442656.0
2018-03-13,50.95,50.95,49.88,50.3,744837.0,0.0,1.0,50.95,50.95,49.88,50.3,744837.0
2018-03-12,48.1,50.97,47.8,50.8,1717261.0,0.0,1.0,48.1,50.97,47.8,50.8,1717261.0
2018-03-09,48.33,48.87,47.88,48.08,373319.0,0.0,1.0,48.33,48.87,47.88,48.08,373319.0
2018-03-08,48.43,48.8499,48.21,48.3,323262.0,0.0,1.0,48.43,48.8499,48.21,48.3,323262.0
2018-03-07,47.79,48.48,47.5125,48.39,299236.0,0.0,1.0,47.79,48.48,47.5125,48.39,299236.0
2018-03-06,48.28,48.28,47.64,47.8,475056.0,0.0,1.0,48.28,48.28,47.64,47.8,475056.0
2018-03-05,48.53,48.57,48.0,48.23,461523.0,0.0,1.0,48.53,48.57,48.0,48.23,461523.0
2018-03-02,47.77,48.59,47.76,48.54,391090.0,0.0,1.0,47.77,48.59,47.76,48.54,391090.0
2018-03-01,47.63,48.075,47.5,47.76,641636.0,0.0,1.0,47.63,48.075,47.5,47.76,641636.0
2018-02-28,48.48,48.7499,47.73,47.83,1154753.0,0.0,1.0,48.48,48.7499,47.73,47.83,1154753.0
2018-02-27,48.81,49.26,48.48,48.52,586040.0,0.0,1.0,48.81,49.26,48.48,48.52,586040.0
2018-02-26,49.54,49.6,48.85,48.92,653487.0,0.0,1.0,49.54,49.6,48.85,48.92,653487.0
