Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,46.87,47.03,44.59,44.93,278629.0,0.0,1.0,46.87,47.03,44.59,44.93,278629.0
2018-03-26,45.9,46.78,45.3,46.59,253484.0,0.0,1.0,45.9,46.78,45.3,46.59,253484.0
2018-03-23,45.29,46.06,45.01,45.05,233129.0,0.0,1.0,45.29,46.06,45.01,45.05,233129.0
2018-03-22,46.49,46.92,45.02,45.07,243446.0,0.0,1.0,46.49,46.92,45.02,45.07,243446.0
2018-03-21,47.28,47.86,46.99,47.11,182920.0,0.0,1.0,47.28,47.86,46.99,47.11,182920.0
2018-03-20,48.33,48.96,47.21,47.37,271684.0,0.0,1.0,48.33,48.96,47.21,47.37,271684.0
2018-03-19,46.59,48.25,45.9665,48.09,430809.0,0.0,1.0,46.59,48.25,45.9665,48.09,430809.0
2018-03-16,48.7,49.12,46.76,46.92,1179076.0,0.0,1.0,48.7,49.12,46.76,46.92,1179076.0
2018-03-15,47.81,48.75,47.55,48.58,292721.0,0.0,1.0,47.81,48.75,47.55,48.58,292721.0
2018-03-14,47.98,48.21,47.03,47.87,301296.0,0.0,1.0,47.98,48.21,47.03,47.87,301296.0
2018-03-13,48.67,49.2,47.52,47.65,311635.0,0.0,1.0,48.67,49.2,47.52,47.65,311635.0
2018-03-12,47.37,48.81,47.37,48.35,462882.0,0.0,1.0,47.37,48.81,47.37,48.35,462882.0
2018-03-09,46.0,47.4075,45.435,47.28,475377.0,0.0,1.0,46.0,47.4075,45.435,47.28,475377.0
2018-03-08,43.75,45.69,42.74,45.52,925571.0,0.0,1.0,43.75,45.69,42.74,45.52,925571.0
2018-03-07,46.1,47.0,41.6,43.01,2669430.0,0.0,1.0,46.1,47.0,41.6,43.01,2669430.0
2018-03-06,50.36,51.015,49.19,50.53,619404.0,0.0,1.0,50.36,51.015,49.19,50.53,619404.0
2018-03-05,49.81,50.47,49.32,50.14,305873.0,0.0,1.0,49.81,50.47,49.32,50.14,305873.0
2018-03-02,48.18,50.21,47.44,49.98,256056.0,0.0,1.0,48.18,50.21,47.44,49.98,256056.0
2018-03-01,49.67,49.67,48.2832,48.7,214666.0,0.0,1.0,49.67,49.67,48.2832,48.7,214666.0
2018-02-28,50.34,50.99,49.69,49.72,182680.0,0.0,1.0,50.34,50.99,49.69,49.72,182680.0
2018-02-27,50.94,51.86,50.07,50.18,297144.0,0.0,1.0,50.94,51.86,50.07,50.18,297144.0
2018-02-26,50.24,50.83,50.12,50.81,222462.0,0.0,1.0,50.24,50.83,50.12,50.81,222462.0
2018-02-23,50.23,50.4089,49.41,50.19,93137.0,0.0,1.0,50.23,50.4089,49.41,50.19,93137.0
2018-02-22,50.33,50.62,49.66,50.0,128200.0,0.0,1.0,50.33,50.62,49.66,50.0,128200.0
2018-02-21,49.86,50.97,49.72,50.13,201022.0,0.0,1.0,49.86,50.97,49.72,50.13,201022.0
2018-02-20,51.48,51.76,49.81,49.85,179383.0,0.0,1.0,51.48,51.76,49.81,49.85,179383.0
2018-02-16,52.14,53.11,51.33,51.74,206982.0,0.0,1.0,52.14,53.11,51.33,51.74,206982.0
2018-02-15,51.62,52.3,51.16,52.28,162202.0,0.0,1.0,51.62,52.3,51.16,52.28,162202.0
2018-02-14,48.59,51.31,48.2964,51.09,241654.0,0.0,1.0,48.59,51.31,48.2964,51.09,241654.0
2018-02-13,49.03,50.25,48.75,48.94,193265.0,0.0,1.0,49.03,50.25,48.75,48.94,193265.0
2018-02-12,48.26,49.6,47.005,49.25,255737.0,0.0,1.0,48.26,49.6,47.005,49.25,255737.0
2018-02-09,46.39,48.57,45.785,47.97,315364.0,0.0,1.0,46.39,48.57,45.785,47.97,315364.0
2018-02-08,48.12,48.6,46.02,46.08,225188.0,0.0,1.0,48.12,48.6,46.02,46.08,225188.0
2018-02-07,47.9,48.79,47.48,48.11,196969.0,0.0,1.0,47.9,48.79,47.48,48.11,196969.0
2018-02-06,46.19,48.56,45.6,47.96,326751.0,0.0,1.0,46.19,48.56,45.6,47.96,326751.0
2018-02-05,49.23,49.78,47.56,47.69,495405.0,0.0,1.0,49.23,49.78,47.56,47.69,495405.0
2018-02-02,52.01,52.1114,49.141000000000005,49.78,410530.0,0.0,1.0,52.01,52.1114,49.141000000000005,49.78,410530.0
2018-02-01,51.25,52.58,50.7501,52.45,339849.0,0.0,1.0,51.25,52.58,50.7501,52.45,339849.0
2018-01-31,52.08,52.09,50.541000000000004,51.36,182476.0,0.0,1.0,52.08,52.09,50.541000000000004,51.36,182476.0
2018-01-30,52.4,52.44,50.55,51.81,233285.0,0.0,1.0,52.4,52.44,50.55,51.81,233285.0
2018-01-29,53.0,53.498999999999995,52.35,52.81,150007.0,0.0,1.0,53.0,53.498999999999995,52.35,52.81,150007.0
2018-01-26,53.79,53.91,52.63,53.17,171159.0,0.0,1.0,53.79,53.91,52.63,53.17,171159.0
2018-01-25,53.53,54.4,53.115,53.48,252517.0,0.0,1.0,53.53,54.4,53.115,53.48,252517.0
2018-01-24,53.05,54.15,52.8,53.32,151407.0,0.0,1.0,53.05,54.15,52.8,53.32,151407.0
2018-01-23,53.24,53.49,52.56,52.94,164133.0,0.0,1.0,53.24,53.49,52.56,52.94,164133.0
2018-01-22,53.5,53.5,52.57,53.07,216530.0,0.0,1.0,53.5,53.5,52.57,53.07,216530.0
2018-01-19,52.91,53.77,52.6,53.6,168717.0,0.0,1.0,52.91,53.77,52.6,53.6,168717.0
2018-01-18,53.42,53.6,52.27,52.71,208013.0,0.0,1.0,53.42,53.6,52.27,52.71,208013.0
2018-01-17,52.79,53.5493,52.15,53.42,173630.0,0.0,1.0,52.79,53.5493,52.15,53.42,173630.0
2018-01-16,54.62,55.34,52.02,52.41,329551.0,0.0,1.0,54.62,55.34,52.02,52.41,329551.0
2018-01-12,53.09,54.7,52.95,54.07,377036.0,0.0,1.0,53.09,54.7,52.95,54.07,377036.0
2018-01-11,52.84,53.725,52.41,52.9,249931.0,0.0,1.0,52.84,53.725,52.41,52.9,249931.0
2018-01-10,53.7,53.73,52.33,52.86,357964.0,0.0,1.0,53.7,53.73,52.33,52.86,357964.0
2018-01-09,53.84,54.76,53.29,53.78,384683.0,0.0,1.0,53.84,54.76,53.29,53.78,384683.0
2018-01-08,53.25,53.98,52.74,53.5,281489.0,0.0,1.0,53.25,53.98,52.74,53.5,281489.0
2018-01-05,53.65,53.77,52.69,53.4,396105.0,0.0,1.0,53.65,53.77,52.69,53.4,396105.0
2018-01-04,54.76,54.92,53.4,53.64,564992.0,0.0,1.0,54.76,54.92,53.4,53.64,564992.0
2018-01-03,54.88,55.34,53.91,54.67,413559.0,0.0,1.0,54.88,55.34,53.91,54.67,413559.0
2018-01-02,56.4,56.93,54.4817,54.85,448813.0,0.0,1.0,56.4,56.93,54.4817,54.85,448813.0
2017-12-29,57.52,57.769,56.13,56.16,311214.0,0.0,1.0,57.52,57.769,56.13,56.16,311214.0
2017-12-28,57.16,57.83,56.88,57.38,166201.0,0.0,1.0,57.16,57.83,56.88,57.38,166201.0
2017-12-27,56.26,57.35,56.15,56.94,231356.0,0.0,1.0,56.26,57.35,56.15,56.94,231356.0
2017-12-26,56.67,57.0,55.71,56.29,232732.0,0.0,1.0,56.67,57.0,55.71,56.29,232732.0
2017-12-22,57.27,57.35,56.34,56.67,208477.0,0.0,1.0,57.27,57.35,56.34,56.67,208477.0
2017-12-21,57.47,57.9,56.56,57.27,260734.0,0.0,1.0,57.47,57.9,56.56,57.27,260734.0
2017-12-20,58.57,58.6016,56.34,57.34,395069.0,0.0,1.0,58.57,58.6016,56.34,57.34,395069.0
2017-12-19,58.73,58.99,57.85,58.0,389989.0,0.0,1.0,58.73,58.99,57.85,58.0,389989.0
2017-12-18,56.78,58.76,56.42,58.64,718960.0,0.0,1.0,56.78,58.76,56.42,58.64,718960.0
2017-12-15,55.65,56.51,54.99,55.75,1257273.0,0.0,1.0,55.65,56.51,54.99,55.75,1257273.0
2017-12-14,54.89,55.4,53.95,54.5,557930.0,0.0,1.0,54.89,55.4,53.95,54.5,557930.0
2017-12-13,54.1,55.75,53.8403,54.89,361894.0,0.0,1.0,54.1,55.75,53.8403,54.89,361894.0
2017-12-12,54.09,54.84,53.59,54.06,538426.0,0.0,1.0,54.09,54.84,53.59,54.06,538426.0
2017-12-11,55.83,56.1,53.4,53.73,554135.0,0.0,1.0,55.83,56.1,53.4,53.73,554135.0
2017-12-08,56.01,56.4,55.29,55.66,404850.0,0.0,1.0,56.01,56.4,55.29,55.66,404850.0
2017-12-07,54.47,56.8,54.31,55.57,949856.0,0.0,1.0,54.47,56.8,54.31,55.57,949856.0
2017-12-06,52.52,58.23,52.1,54.47,4655444.0,0.0,1.0,52.52,58.23,52.1,54.47,4655444.0
2017-12-05,44.05,44.74,42.96,43.25,640834.0,0.0,1.0,44.05,44.74,42.96,43.25,640834.0
2017-12-04,45.5,46.56,43.71,44.0,419211.0,0.0,1.0,45.5,46.56,43.71,44.0,419211.0
2017-12-01,45.53,45.53,43.22,44.72,328265.0,0.0,1.0,45.53,45.53,43.22,44.72,328265.0
2017-11-30,45.45,45.75,44.99,45.58,168401.0,0.0,1.0,45.45,45.75,44.99,45.58,168401.0
2017-11-29,45.9,46.0,44.43,44.99,303159.0,0.0,1.0,45.9,46.0,44.43,44.99,303159.0
2017-11-28,44.49,45.89,44.2725,45.75,193993.0,0.0,1.0,44.49,45.89,44.2725,45.75,193993.0
2017-11-27,45.0,45.365,43.91,44.46,207128.0,0.0,1.0,45.0,45.365,43.91,44.46,207128.0
2017-11-24,45.28,45.28,44.535,45.0,82637.0,0.0,1.0,45.28,45.28,44.535,45.0,82637.0
2017-11-22,45.25,45.5,44.58,45.03,255174.0,0.0,1.0,45.25,45.5,44.58,45.03,255174.0
2017-11-21,43.69,45.11,43.69,45.08,276403.0,0.0,1.0,43.69,45.11,43.69,45.08,276403.0
2017-11-20,42.67,43.7458,42.52,43.7,136074.0,0.0,1.0,42.67,43.7458,42.52,43.7,136074.0
2017-11-17,42.52,42.98,42.4,42.73,139552.0,0.0,1.0,42.52,42.98,42.4,42.73,139552.0
2017-11-16,42.19,43.22,42.17,42.77,169143.0,0.0,1.0,42.19,43.22,42.17,42.77,169143.0
2017-11-15,42.63,42.99,41.53,42.16,389327.0,0.0,1.0,42.63,42.99,41.53,42.16,389327.0
2017-11-14,43.22,43.87,42.8,42.99,240592.0,0.0,1.0,43.22,43.87,42.8,42.99,240592.0
2017-11-13,43.46,43.72,42.38,43.52,210559.0,0.0,1.0,43.46,43.72,42.38,43.52,210559.0
2017-11-10,42.89,44.49,42.1151,43.77,277590.0,0.0,1.0,42.89,44.49,42.1151,43.77,277590.0
2017-11-09,43.57,44.8,42.2122,43.33,512894.0,0.0,1.0,43.57,44.8,42.2122,43.33,512894.0
2017-11-07,50.76,51.25,48.28,48.29,495009.0,0.0,1.0,50.76,51.25,48.28,48.29,495009.0
2017-11-06,50.37,50.9585,50.0,50.63,175049.0,0.0,1.0,50.37,50.9585,50.0,50.63,175049.0
2017-11-03,51.08,51.2,50.33,50.35,202810.0,0.0,1.0,51.08,51.2,50.33,50.35,202810.0
2017-11-02,50.73,51.72,50.09,51.3,307117.0,0.0,1.0,50.73,51.72,50.09,51.3,307117.0
2017-11-01,51.52,51.54,50.39,50.86,241270.0,0.0,1.0,51.52,51.54,50.39,50.86,241270.0
2017-10-31,50.74,51.43,50.5,51.16,156071.0,0.0,1.0,50.74,51.43,50.5,51.16,156071.0
2017-10-30,50.93,51.44,50.08,50.74,193031.0,0.0,1.0,50.93,51.44,50.08,50.74,193031.0
2017-10-27,51.38,51.98,51.06,51.38,158230.0,0.0,1.0,51.38,51.98,51.06,51.38,158230.0
2017-10-26,52.7,52.8842,51.54,51.65,131484.0,0.0,1.0,52.7,52.8842,51.54,51.65,131484.0
2017-10-25,52.51,53.16,51.28,52.47,186456.0,0.0,1.0,52.51,53.16,51.28,52.47,186456.0
2017-10-24,52.54,53.33,52.54,53.01,184536.0,0.0,1.0,52.54,53.33,52.54,53.01,184536.0
2017-10-23,52.66,52.7275,51.74100000000001,52.29,155410.0,0.0,1.0,52.66,52.7275,51.74100000000001,52.29,155410.0
2017-10-20,50.9,52.88,50.88,52.65,301089.0,0.0,1.0,50.9,52.88,50.88,52.65,301089.0
2017-10-19,51.34,51.5,49.5008,50.64,379717.0,0.0,1.0,51.34,51.5,49.5008,50.64,379717.0
2017-10-18,51.9,52.165,51.6,51.74,165938.0,0.0,1.0,51.9,52.165,51.6,51.74,165938.0
2017-10-17,52.69,53.2,51.61,51.89,260606.0,0.0,1.0,52.69,53.2,51.61,51.89,260606.0
2017-10-16,53.28,53.86,52.21,52.94,297122.0,0.0,1.0,53.28,53.86,52.21,52.94,297122.0
2017-10-13,54.14,54.15,53.08,53.21,161617.0,0.0,1.0,54.14,54.15,53.08,53.21,161617.0
