Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,21.05,21.05,20.451,20.6,132886.0,0.0,1.0,21.05,21.05,20.451,20.6,132886.0
2018-03-26,20.95,21.1,20.55,20.95,74146.0,0.0,1.0,20.95,21.1,20.55,20.95,74146.0
2018-03-23,21.4,21.6,20.7,20.75,171771.0,0.0,1.0,21.4,21.6,20.7,20.75,171771.0
2018-03-22,21.9,22.05,21.4,21.4,78536.0,0.0,1.0,21.9,22.05,21.4,21.4,78536.0
2018-03-21,21.7,22.3213,21.5,22.1,123384.0,0.0,1.0,21.7,22.3213,21.5,22.1,123384.0
2018-03-20,21.95,22.4,21.7,21.75,106601.0,0.0,1.0,21.95,22.4,21.7,21.75,106601.0
2018-03-19,23.0,23.15,21.75,21.95,118225.0,0.0,1.0,23.0,23.15,21.75,21.95,118225.0
2018-03-16,22.9,23.4,22.8,23.05,301226.0,0.0,1.0,22.9,23.4,22.8,23.05,301226.0
2018-03-15,22.65,23.1999,22.55,22.95,120870.0,0.0,1.0,22.65,23.1999,22.55,22.95,120870.0
2018-03-14,23.15,23.75,22.1,22.65,254627.0,0.0,1.0,23.15,23.75,22.1,22.65,254627.0
2018-03-13,20.8,23.3,20.2,23.15,429942.0,0.0,1.0,20.8,23.3,20.2,23.15,429942.0
2018-03-12,20.0,20.4,20.0,20.25,153242.0,0.0,1.0,20.0,20.4,20.0,20.25,153242.0
2018-03-09,19.6,19.95,19.55,19.95,143429.0,0.0,1.0,19.6,19.95,19.55,19.95,143429.0
2018-03-08,19.7,19.75,19.3,19.5,39454.0,0.0,1.0,19.7,19.75,19.3,19.5,39454.0
2018-03-07,19.4,19.65,19.15,19.65,74735.0,0.0,1.0,19.4,19.65,19.15,19.65,74735.0
2018-03-06,19.5,19.85,19.25,19.5,81131.0,0.0,1.0,19.5,19.85,19.25,19.5,81131.0
2018-03-05,19.2,19.75,19.15,19.5,82321.0,0.0,1.0,19.2,19.75,19.15,19.5,82321.0
2018-03-02,19.45,19.575,19.25,19.35,102384.0,0.0,1.0,19.45,19.575,19.25,19.35,102384.0
2018-03-01,19.45,19.7,19.3092,19.6,55364.0,0.0,1.0,19.45,19.7,19.3092,19.6,55364.0
2018-02-28,19.9,19.95,19.4,19.5,134296.0,0.0,1.0,19.9,19.95,19.4,19.5,134296.0
2018-02-27,20.4,20.4,19.7,19.85,121736.0,0.0,1.0,20.4,20.4,19.7,19.85,121736.0
2018-02-26,19.8,20.6,19.8,20.4,74151.0,0.0,1.0,19.8,20.6,19.8,20.4,74151.0
2018-02-23,19.8,19.85,19.6,19.8,52161.0,0.0,1.0,19.8,19.85,19.6,19.8,52161.0
2018-02-22,19.75,20.0,19.4,19.7,136015.0,0.0,1.0,19.75,20.0,19.4,19.7,136015.0
2018-02-21,19.6,19.8,19.55,19.75,108630.0,0.0,1.0,19.6,19.8,19.55,19.75,108630.0
2018-02-20,19.85,20.1,19.55,19.65,96686.0,0.0,1.0,19.85,20.1,19.55,19.65,96686.0
2018-02-16,19.9,20.05,19.8,19.9,58148.0,0.0,1.0,19.9,20.05,19.8,19.9,58148.0
2018-02-15,20.1,20.1,19.7,20.0,36970.0,0.0,1.0,20.1,20.1,19.7,20.0,36970.0
2018-02-14,19.6,20.0,19.6,19.9,60568.0,0.0,1.0,19.6,20.0,19.6,19.9,60568.0
2018-02-13,20.2,20.45,19.7,19.85,71533.0,0.0,1.0,20.2,20.45,19.7,19.85,71533.0
2018-02-12,19.75,20.4,19.45,20.35,129728.0,0.0,1.0,19.75,20.4,19.45,20.35,129728.0
2018-02-09,19.6,19.8,19.15,19.71,74342.0,0.0,1.0,19.6,19.8,19.15,19.71,74342.0
2018-02-08,19.25,19.4468,18.9,19.34,98501.0,0.0,1.0,19.25,19.4468,18.9,19.34,98501.0
2018-02-07,19.65,19.8,19.25,19.65,120495.0,0.0,1.0,19.65,19.8,19.25,19.65,120495.0
2018-02-06,19.15,19.8,19.0,19.75,141285.0,0.0,1.0,19.15,19.8,19.0,19.75,141285.0
2018-02-05,20.55,20.6,19.55,19.6,91612.0,0.0,1.0,20.55,20.6,19.55,19.6,91612.0
2018-02-02,20.7,21.0,20.4,20.65,111124.0,0.0,1.0,20.7,21.0,20.4,20.65,111124.0
2018-02-01,21.1,21.15,20.75,20.95,104957.0,0.0,1.0,21.1,21.15,20.75,20.95,104957.0
2018-01-31,21.45,21.6,21.05,21.15,90302.0,0.0,1.0,21.45,21.6,21.05,21.15,90302.0
2018-01-30,21.55,21.55,21.05,21.4,77654.0,0.0,1.0,21.55,21.55,21.05,21.4,77654.0
2018-01-29,21.85,21.9,21.475,21.7,111428.0,0.0,1.0,21.85,21.9,21.475,21.7,111428.0
2018-01-26,21.85,22.1,21.65,21.85,76090.0,0.0,1.0,21.85,22.1,21.65,21.85,76090.0
2018-01-25,21.85,22.0,21.4,21.95,106575.0,0.0,1.0,21.85,22.0,21.4,21.95,106575.0
2018-01-24,22.25,22.35,21.5,21.7,81984.0,0.0,1.0,22.25,22.35,21.5,21.7,81984.0
2018-01-23,21.65,22.25,21.6,22.2,75937.0,0.0,1.0,21.65,22.25,21.6,22.2,75937.0
2018-01-22,21.75,21.85,21.55,21.75,107100.0,0.0,1.0,21.75,21.85,21.55,21.75,107100.0
2018-01-19,21.6,21.95,21.6,21.9,146483.0,0.0,1.0,21.6,21.95,21.6,21.9,146483.0
2018-01-18,21.9,21.9,21.5,21.65,159912.0,0.0,1.0,21.9,21.9,21.5,21.65,159912.0
2018-01-17,21.85,21.85,21.6,21.8,112608.0,0.0,1.0,21.85,21.85,21.6,21.8,112608.0
2018-01-16,21.7,22.0,21.45,21.7,164212.0,0.0,1.0,21.7,22.0,21.45,21.7,164212.0
2018-01-12,21.4,21.7,21.3,21.6,94097.0,0.0,1.0,21.4,21.7,21.3,21.6,94097.0
2018-01-11,20.95,21.45,20.95,21.35,123997.0,0.0,1.0,20.95,21.45,20.95,21.35,123997.0
2018-01-10,20.65,21.1,20.65,20.95,62325.0,0.0,1.0,20.65,21.1,20.65,20.95,62325.0
2018-01-09,20.75,20.9,20.65,20.8,49684.0,0.0,1.0,20.75,20.9,20.65,20.8,49684.0
2018-01-08,20.9,21.05,20.55,20.75,79849.0,0.0,1.0,20.9,21.05,20.55,20.75,79849.0
2018-01-05,20.6,21.0,20.55,20.85,104835.0,0.0,1.0,20.6,21.0,20.55,20.85,104835.0
2018-01-04,20.55,20.85,20.35,20.7,79642.0,0.0,1.0,20.55,20.85,20.35,20.7,79642.0
2018-01-03,19.65,20.4,19.6,20.35,220942.0,0.0,1.0,19.65,20.4,19.6,20.35,220942.0
2018-01-02,19.65,19.8,19.6,19.8,105712.0,0.0,1.0,19.65,19.8,19.6,19.8,105712.0
2017-12-29,19.95,19.95,19.525,19.65,89511.0,0.0,1.0,19.95,19.95,19.525,19.65,89511.0
2017-12-28,19.7,19.9,19.625,19.9,77190.0,0.0,1.0,19.7,19.9,19.625,19.9,77190.0
2017-12-27,19.65,19.95,19.5,19.7,75454.0,0.0,1.0,19.65,19.95,19.5,19.7,75454.0
2017-12-26,19.55,19.7,19.4489,19.7,56964.0,0.0,1.0,19.55,19.7,19.4489,19.7,56964.0
