Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,16.92,17.02,16.685,16.92,13634.0,0.0,1.0,16.92,17.02,16.685,16.92,13634.0
2018-03-26,16.766,17.03,16.766,16.95,3546.0,0.0,1.0,16.766,17.03,16.766,16.95,3546.0
2018-03-23,16.99,17.08,16.5542,17.08,10782.0,0.0,1.0,16.99,17.08,16.5542,17.08,10782.0
2018-03-22,16.91,17.154,16.85,16.91,8323.0,0.0,1.0,16.91,17.154,16.85,16.91,8323.0
2018-03-21,17.21,17.24,17.21,17.24,563.0,0.0,1.0,17.21,17.24,17.21,17.24,563.0
2018-03-20,17.1,17.275,16.91,16.93,3485.0,0.0,1.0,17.1,17.275,16.91,16.93,3485.0
2018-03-19,17.22,17.35,17.0,17.0,3259.0,0.0,1.0,17.22,17.35,17.0,17.0,3259.0
2018-03-16,17.11,17.45,16.89,17.45,22819.0,0.0,1.0,17.11,17.45,16.89,17.45,22819.0
2018-03-15,16.91,17.48,16.81,17.1,8872.0,0.0,1.0,16.91,17.48,16.81,17.1,8872.0
2018-03-14,17.04,17.1,16.83,16.91,4142.0,0.0,1.0,17.04,17.1,16.83,16.91,4142.0
2018-03-13,17.65,17.65,16.91,16.91,11118.0,0.0,1.0,17.65,17.65,16.91,16.91,11118.0
2018-03-12,17.34,17.8,17.34,17.6,5525.0,0.0,1.0,17.34,17.8,17.34,17.6,5525.0
2018-03-09,17.06,17.63,17.02,17.34,8296.0,0.0,1.0,17.06,17.63,17.02,17.34,8296.0
2018-03-08,17.0,17.05,16.39,17.05,29013.0,0.0,1.0,17.0,17.05,16.39,17.05,29013.0
2018-03-07,17.1,17.3,16.552,16.8,5706.0,0.0,1.0,17.1,17.3,16.552,16.8,5706.0
2018-03-06,16.75,17.25,16.55,16.78,14060.0,0.0,1.0,16.75,17.25,16.55,16.78,14060.0
2018-03-05,16.87,17.595,16.45,16.76,14740.0,0.0,1.0,16.87,17.595,16.45,16.76,14740.0
2018-03-02,16.93,17.29,16.8,17.08,7870.0,0.0,1.0,16.93,17.29,16.8,17.08,7870.0
2018-03-01,17.0639,17.4,16.94,17.14,9265.0,0.0,1.0,17.0639,17.4,16.94,17.14,9265.0
2018-02-28,17.01,17.08,16.65,16.83,10001.0,0.0,1.0,17.01,17.08,16.65,16.83,10001.0
2018-02-27,17.27,17.45,16.77,17.09,21875.0,0.0,1.0,17.27,17.45,16.77,17.09,21875.0
2018-02-26,17.6,17.7,16.8032,17.53,14469.0,0.0,1.0,17.6,17.7,16.8032,17.53,14469.0
2018-02-23,16.69,17.69,16.69,17.69,17704.0,0.0,1.0,16.69,17.69,16.69,17.69,17704.0
2018-02-22,16.3,16.75,16.11,16.68,15004.0,0.0,1.0,16.3,16.75,16.11,16.68,15004.0
2018-02-21,16.65,16.89,16.24,16.24,4662.0,0.0,1.0,16.65,16.89,16.24,16.24,4662.0
2018-02-20,16.84,17.41,16.62,16.65,5233.0,0.0,1.0,16.84,17.41,16.62,16.65,5233.0
