Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,137.69,138.85,135.4,135.95,447698.0,0.0,1.0,137.69,138.85,135.4,135.95,447698.0
2018-03-26,134.93,138.27,133.83,137.67,491542.0,0.0,1.0,134.93,138.27,133.83,137.67,491542.0
2018-03-23,134.36,134.63,131.64,132.4,962795.0,0.0,1.0,134.36,134.63,131.64,132.4,962795.0
2018-03-22,139.2,141.44,133.09,134.66,1862772.0,0.0,1.0,139.2,141.44,133.09,134.66,1862772.0
2018-03-21,147.0,149.08,146.87,147.04,534933.0,0.0,1.0,147.0,149.08,146.87,147.04,534933.0
2018-03-20,149.17,149.17,145.64,146.73,413302.0,0.0,1.0,149.17,149.17,145.64,146.73,413302.0
2018-03-19,149.94,149.97,147.8,149.36,378484.0,0.0,1.0,149.94,149.97,147.8,149.36,378484.0
2018-03-16,149.53,150.84,148.64,150.13,561433.0,0.0,1.0,149.53,150.84,148.64,150.13,561433.0
2018-03-15,149.17,150.43,148.26,149.84,427857.0,0.0,1.0,149.17,150.43,148.26,149.84,427857.0
2018-03-14,151.95,152.48,148.28,148.87,239949.0,0.0,1.0,151.95,152.48,148.28,148.87,239949.0
2018-03-13,151.53,152.02,149.01,151.09,328786.0,0.0,1.0,151.53,152.02,149.01,151.09,328786.0
2018-03-12,152.62,153.94,150.42,150.81,358109.0,0.0,1.0,152.62,153.94,150.42,150.81,358109.0
2018-03-09,153.27,153.27,150.06,152.69,416436.0,0.0,1.0,153.27,153.27,150.06,152.69,416436.0
2018-03-08,147.43,152.45,146.39,151.76,662352.0,0.0,1.0,147.43,152.45,146.39,151.76,662352.0
2018-03-07,151.89,153.14,146.03,146.8,820449.0,0.0,1.0,151.89,153.14,146.03,146.8,820449.0
2018-03-06,150.85,154.52,149.92,154.2,625350.0,0.0,1.0,150.85,154.52,149.92,154.2,625350.0
2018-03-05,147.21,151.01,145.63,149.84,519050.0,0.0,1.0,147.21,151.01,145.63,149.84,519050.0
2018-03-02,145.19,147.86,143.46,146.97,495214.0,0.0,1.0,145.19,147.86,143.46,146.97,495214.0
2018-03-01,142.84,147.75,141.68,146.79,871250.0,0.0,1.0,142.84,147.75,141.68,146.79,871250.0
2018-02-28,146.5,146.735,142.51,142.58,820653.0,0.0,1.0,146.5,146.735,142.51,142.58,820653.0
2018-02-27,148.56,150.395,145.52,145.55,385126.0,0.0,1.0,148.56,150.395,145.52,145.55,385126.0
2018-02-26,147.48,148.95,144.54,148.49,539688.0,0.0,1.0,147.48,148.95,144.54,148.49,539688.0
2018-02-23,147.15,147.99,144.87,146.56,303056.0,0.0,1.0,147.15,147.99,144.87,146.56,303056.0
2018-02-22,148.36,149.27,145.63,146.3,531407.0,0.0,1.0,148.36,149.27,145.63,146.3,531407.0
2018-02-21,148.98,150.35,147.55,147.58,592707.0,0.0,1.0,148.98,150.35,147.55,147.58,592707.0
2018-02-20,150.57,151.4,148.11,148.81,441922.0,0.0,1.0,150.57,151.4,148.11,148.81,441922.0
2018-02-16,153.12,154.24,151.12,151.14,332943.0,0.0,1.0,153.12,154.24,151.12,151.14,332943.0
2018-02-15,152.28,155.17,152.2045,153.49,386203.0,0.0,1.0,152.28,155.17,152.2045,153.49,386203.0
2018-02-14,146.63,152.08,146.4,151.67,367620.0,0.0,1.0,146.63,152.08,146.4,151.67,367620.0
2018-02-13,149.51,150.91,147.8934,148.87,335008.0,0.0,1.0,149.51,150.91,147.8934,148.87,335008.0
2018-02-12,148.07,152.92,146.92,150.49,562318.0,0.0,1.0,148.07,152.92,146.92,150.49,562318.0
2018-02-09,146.95,148.62,141.77,147.05,557755.0,0.0,1.0,146.95,148.62,141.77,147.05,557755.0
2018-02-08,148.15,148.77,145.215,145.41,636445.0,0.0,1.0,148.15,148.77,145.215,145.41,636445.0
2018-02-07,147.98,150.67,147.98,148.07,813465.0,0.0,1.0,147.98,150.67,147.98,148.07,813465.0
