Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,80.21,80.76,78.27,78.75,391740.0,0.0,1.0,80.21,80.76,78.27,78.75,391740.0
2018-03-26,78.54,80.025,78.18,79.88,291614.0,0.0,1.0,78.54,80.025,78.18,79.88,291614.0
2018-03-23,78.79,79.86,77.43,77.44,422800.0,0.0,1.0,78.79,79.86,77.43,77.44,422800.0
2018-03-22,80.01,80.56,78.92,78.97,339355.0,0.0,1.0,80.01,80.56,78.92,78.97,339355.0
2018-03-21,81.06,82.0,80.03,80.6,397285.0,0.0,1.0,81.06,82.0,80.03,80.6,397285.0
2018-03-20,80.64,81.54,80.09,80.91,231474.0,0.0,1.0,80.64,81.54,80.09,80.91,231474.0
2018-03-19,80.25,80.76,79.54,80.57,279288.0,0.0,1.0,80.25,80.76,79.54,80.57,279288.0
2018-03-16,80.92,81.23,80.42,80.86,526406.0,0.0,1.0,80.92,81.23,80.42,80.86,526406.0
2018-03-15,81.42,82.32,80.41,80.95,267949.0,0.0,1.0,81.42,82.32,80.41,80.95,267949.0
2018-03-14,81.88,82.3,80.88,81.21,272078.0,0.0,1.0,81.88,82.3,80.88,81.21,272078.0
2018-03-13,82.46,82.97,81.5,81.82,421529.0,0.0,1.0,82.46,82.97,81.5,81.82,421529.0
2018-03-12,83.0,83.03,81.98,82.09,320516.0,0.0,1.0,83.0,83.03,81.98,82.09,320516.0
2018-03-09,81.96,82.99,81.65,82.88,300002.0,0.0,1.0,81.96,82.99,81.65,82.88,300002.0
2018-03-08,80.54,81.89,80.1411,81.52,279152.0,0.0,1.0,80.54,81.89,80.1411,81.52,279152.0
2018-03-07,78.74,80.83,76.5625,80.61,368956.0,0.0,1.0,78.74,80.83,76.5625,80.61,368956.0
2018-03-06,78.83,79.23,78.35,79.17,262591.0,0.0,1.0,78.83,79.23,78.35,79.17,262591.0
2018-03-05,77.59,78.99,77.07,78.41,407529.0,0.0,1.0,77.59,78.99,77.07,78.41,407529.0
2018-03-02,76.81,78.35,76.66,77.78,595566.0,0.0,1.0,76.81,78.35,76.66,77.78,595566.0
2018-03-01,77.22,78.105,75.6,77.2,348781.0,0.0,1.0,77.22,78.105,75.6,77.2,348781.0
2018-02-28,78.71,79.15,77.23,77.28,378425.0,0.0,1.0,78.71,79.15,77.23,77.28,378425.0
2018-02-27,78.54,78.815,77.79,78.26,285993.0,0.0,1.0,78.54,78.815,77.79,78.26,285993.0
2018-02-26,78.87,79.155,78.25,78.65,237498.0,0.0,1.0,78.87,79.155,78.25,78.65,237498.0
2018-02-23,78.42,78.78,77.845,78.77,236134.0,0.0,1.0,78.42,78.78,77.845,78.77,236134.0
2018-02-22,77.87,78.44,77.18,78.02,379911.0,0.0,1.0,77.87,78.44,77.18,78.02,379911.0
2018-02-21,77.78,78.9516,77.51,77.56,405266.0,0.0,1.0,77.78,78.9516,77.51,77.56,405266.0
2018-02-20,75.32,78.16,75.32,77.75,358516.0,0.0,1.0,75.32,78.16,75.32,77.75,358516.0
2018-02-16,76.14,77.05,75.82,75.85,554915.0,0.0,1.0,76.14,77.05,75.82,75.85,554915.0
2018-02-15,76.17,76.8,75.11,76.65,324109.0,0.0,1.0,76.17,76.8,75.11,76.65,324109.0
2018-02-14,72.43,75.42,72.43,75.25,551508.0,0.0,1.0,72.43,75.42,72.43,75.25,551508.0
2018-02-13,72.29,73.22,72.09,73.03,273629.0,0.0,1.0,72.29,73.22,72.09,73.03,273629.0
2018-02-12,72.32,73.275,68.12100000000001,72.44,380576.0,0.0,1.0,72.32,73.275,68.12100000000001,72.44,380576.0
2018-02-09,72.11,72.72,69.45,72.0,418033.0,0.0,1.0,72.11,72.72,69.45,72.0,418033.0
2018-02-08,74.4,76.15,71.29,71.29,566453.0,0.0,1.0,74.4,76.15,71.29,71.29,566453.0
2018-02-07,74.81,75.29,74.25,74.33,312153.0,0.0,1.0,74.81,75.29,74.25,74.33,312153.0
2018-02-06,73.22,75.26,72.34,74.89,618812.0,0.0,1.0,73.22,75.26,72.34,74.89,618812.0
2018-02-05,75.3,77.045,74.84,75.02,439376.0,0.0,1.0,75.3,77.045,74.84,75.02,439376.0
2018-02-02,77.16,77.5,75.69,75.74,410807.0,0.0,1.0,77.16,77.5,75.69,75.74,410807.0
2018-02-01,77.13,78.055,75.723,77.52,279158.0,0.0,1.0,77.13,78.055,75.723,77.52,279158.0
2018-01-31,79.07,79.22,77.27,77.45,455935.0,0.0,1.0,79.07,79.22,77.27,77.45,455935.0
