Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,55.88,56.22,54.86,54.96,166832.0,0.0,1.0,55.88,56.22,54.86,54.96,166832.0
2018-03-26,54.92,55.93,53.52,55.85,216834.0,0.0,1.0,54.92,55.93,53.52,55.85,216834.0
2018-03-23,56.38,56.385,54.17,54.18,292776.0,0.0,1.0,56.38,56.385,54.17,54.18,292776.0
2018-03-22,57.37,57.69,56.23,56.31,141077.0,0.0,1.0,57.37,57.69,56.23,56.31,141077.0
2018-03-21,57.81,58.275,56.93,57.93,139153.0,0.0,1.0,57.81,58.275,56.93,57.93,139153.0
2018-03-20,58.1,58.1,56.33,57.6,193882.0,0.0,1.0,58.1,58.1,56.33,57.6,193882.0
2018-03-19,58.08,58.24,57.01,57.84,184013.0,0.0,1.0,58.08,58.24,57.01,57.84,184013.0
2018-03-16,58.13,58.79,57.64,58.05,566354.0,0.0,1.0,58.13,58.79,57.64,58.05,566354.0
2018-03-15,58.04,58.32,57.51,58.28,178283.0,0.0,1.0,58.04,58.32,57.51,58.28,178283.0
2018-03-14,58.25,58.36,57.6,57.92,328703.0,0.0,1.0,58.25,58.36,57.6,57.92,328703.0
2018-03-13,57.99,58.22,57.58,58.09,277971.0,0.0,1.0,57.99,58.22,57.58,58.09,277971.0
2018-03-12,57.66,57.88,57.185,57.78,245397.0,0.0,1.0,57.66,57.88,57.185,57.78,245397.0
2018-03-09,57.18,57.9,56.315,57.67,218590.0,0.0,1.0,57.18,57.9,56.315,57.67,218590.0
2018-03-08,57.53,57.65,56.57,56.9,236775.0,0.0,1.0,57.53,57.65,56.57,56.9,236775.0
2018-03-07,56.42,57.69,56.42,57.55,174912.0,0.0,1.0,56.42,57.69,56.42,57.55,174912.0
2018-03-06,56.84,57.13,55.9,56.77,255707.0,0.0,1.0,56.84,57.13,55.9,56.77,255707.0
2018-03-05,55.9,56.83,55.2,56.5,283177.0,0.0,1.0,55.9,56.83,55.2,56.5,283177.0
2018-03-02,54.96,56.29,54.73,56.13,250799.0,0.0,1.0,54.96,56.29,54.73,56.13,250799.0
2018-03-01,55.3,56.03,55.01,55.2,381554.0,0.0,1.0,55.3,56.03,55.01,55.2,381554.0
2018-02-28,56.03,56.54,55.19,55.28,385854.0,0.0,1.0,56.03,56.54,55.19,55.28,385854.0
2018-02-27,56.29,57.29,55.69,55.91,193587.0,0.0,1.0,56.29,57.29,55.69,55.91,193587.0
2018-02-26,56.0,56.49,54.5701,56.43,124278.0,0.0,1.0,56.0,56.49,54.5701,56.43,124278.0
2018-02-23,55.62,55.9,54.96,55.75,144644.0,0.0,1.0,55.62,55.9,54.96,55.75,144644.0
2018-02-22,55.17,55.92,54.6,55.37,407291.0,0.0,1.0,55.17,55.92,54.6,55.37,407291.0
2018-02-21,53.9,55.23,53.9,55.0,195141.0,0.0,1.0,53.9,55.23,53.9,55.0,195141.0
2018-02-20,54.11,54.5,53.76,53.84,125050.0,0.0,1.0,54.11,54.5,53.76,53.84,125050.0
2018-02-16,53.7,54.98,53.7,54.37,244118.0,0.0,1.0,53.7,54.98,53.7,54.37,244118.0
2018-02-15,54.75,54.75,53.91,54.1,113979.0,0.0,1.0,54.75,54.75,53.91,54.1,113979.0
2018-02-14,52.75,54.25,52.73,54.13,96842.0,0.0,1.0,52.75,54.25,52.73,54.13,96842.0
2018-02-13,52.62,53.225,52.62,53.04,125030.0,0.0,1.0,52.62,53.225,52.62,53.04,125030.0
2018-02-12,53.34,53.68,52.77,53.05,132360.0,0.0,1.0,53.34,53.68,52.77,53.05,132360.0
2018-02-09,52.97,53.68,52.2,53.23,287949.0,0.0,1.0,52.97,53.68,52.2,53.23,287949.0
2018-02-08,53.34,54.56,52.34,52.37,176679.0,0.0,1.0,53.34,54.56,52.34,52.37,176679.0
2018-02-07,52.85,53.44,52.58,53.26,139033.0,0.0,1.0,52.85,53.44,52.58,53.26,139033.0
2018-02-06,52.53,53.72,52.23,53.03,406278.0,0.0,1.0,52.53,53.72,52.23,53.03,406278.0
2018-02-05,54.55,55.23,53.5,53.53,237190.0,0.0,1.0,54.55,55.23,53.5,53.53,237190.0
2018-02-02,54.96,56.17,54.96,55.32,172576.0,0.0,1.0,54.96,56.17,54.96,55.32,172576.0
2018-02-01,54.12,55.21,53.95,55.16,213843.0,0.0,1.0,54.12,55.21,53.95,55.16,213843.0
2018-01-31,54.64,55.03,54.25,54.34,182009.0,0.0,1.0,54.64,55.03,54.25,54.34,182009.0
2018-01-30,53.9,54.93,53.9,54.54,214174.0,0.0,1.0,53.9,54.93,53.9,54.54,214174.0
2018-01-29,54.76,55.31,54.4,54.5,257154.0,0.0,1.0,54.76,55.31,54.4,54.5,257154.0
2018-01-26,55.53,55.69,54.7,54.76,139733.0,0.0,1.0,55.53,55.69,54.7,54.76,139733.0
2018-01-25,54.56,55.54,54.25,55.47,352532.0,0.0,1.0,54.56,55.54,54.25,55.47,352532.0
2018-01-24,57.74,58.0,56.76,56.89,125584.0,0.0,1.0,57.74,58.0,56.76,56.89,125584.0
2018-01-23,56.72,57.8595,56.58,57.4,159514.0,0.0,1.0,56.72,57.8595,56.58,57.4,159514.0
2018-01-22,57.19,58.025,56.62,57.06,129626.0,0.0,1.0,57.19,58.025,56.62,57.06,129626.0
2018-01-19,56.94,57.6575,56.82,57.1,299816.0,0.0,1.0,56.94,57.6575,56.82,57.1,299816.0
2018-01-18,58.05,58.31,57.14,57.17,87303.0,0.0,1.0,58.05,58.31,57.14,57.17,87303.0
2018-01-17,58.25,58.25,57.045,58.04,87651.0,0.0,1.0,58.25,58.25,57.045,58.04,87651.0
2018-01-16,58.73,59.1,57.62,57.72,183122.0,0.0,1.0,58.73,59.1,57.62,57.72,183122.0
2018-01-12,58.13,58.67,57.72,58.42,151319.0,0.0,1.0,58.13,58.67,57.72,58.42,151319.0
2018-01-11,56.8,57.71,56.54,57.67,118070.0,0.0,1.0,56.8,57.71,56.54,57.67,118070.0
2018-01-10,56.32,57.3082,56.32,56.44,84024.0,0.0,1.0,56.32,57.3082,56.32,56.44,84024.0
2018-01-09,56.09,56.99,56.02,56.33,78059.0,0.0,1.0,56.09,56.99,56.02,56.33,78059.0
2018-01-08,55.93,56.36,55.6,55.96,156513.0,0.0,1.0,55.93,56.36,55.6,55.96,156513.0
2018-01-05,55.7,56.16,55.55,56.12,127783.0,0.0,1.0,55.7,56.16,55.55,56.12,127783.0
2018-01-04,55.23,56.1,55.21,55.6,124065.0,0.0,1.0,55.23,56.1,55.21,55.6,124065.0
2018-01-03,55.22,55.65,54.81,54.98,65006.0,0.0,1.0,55.22,55.65,54.81,54.98,65006.0
2018-01-02,55.12,55.6,54.8208,55.17,150027.0,0.0,1.0,55.12,55.6,54.8208,55.17,150027.0
2017-12-29,56.04,56.13,55.05,55.12,91827.0,0.0,1.0,56.04,56.13,55.05,55.12,91827.0
2017-12-28,55.97,56.6,55.19,56.03,53968.0,0.0,1.0,55.97,56.6,55.19,56.03,53968.0
2017-12-27,56.06,56.36,55.29,55.72,82310.0,0.0,1.0,56.06,56.36,55.29,55.72,82310.0
2017-12-26,56.27,56.97,55.725,56.05,60891.0,0.0,1.0,56.27,56.97,55.725,56.05,60891.0
2017-12-22,57.31,57.31,56.22,56.46,62777.0,0.0,1.0,57.31,57.31,56.22,56.46,62777.0
2017-12-21,56.88,57.38,56.5517,57.05,105320.0,0.0,1.0,56.88,57.38,56.5517,57.05,105320.0
2017-12-20,57.6,57.67,56.02,56.61,76150.0,0.0,1.0,57.6,57.67,56.02,56.61,76150.0
2017-12-19,57.5,57.5883,54.02,57.32,176087.0,0.0,1.0,57.5,57.5883,54.02,57.32,176087.0
2017-12-18,56.7,57.91,55.245,57.26,100539.0,0.0,1.0,56.7,57.91,55.245,57.26,100539.0
2017-12-15,54.1,56.83,54.1,56.31,464188.0,0.0,1.0,54.1,56.83,54.1,56.31,464188.0
2017-12-14,55.85,56.15,53.965,54.16,218056.0,0.0,1.0,55.85,56.15,53.965,54.16,218056.0
2017-12-13,56.58,56.71,55.38,55.52,155264.0,0.0,1.0,56.58,56.71,55.38,55.52,155264.0
2017-12-12,56.42,57.0,56.16,56.46,52623.0,0.0,1.0,56.42,57.0,56.16,56.46,52623.0
2017-12-11,56.62,56.99,56.0,56.28,72301.0,0.0,1.0,56.62,56.99,56.0,56.28,72301.0
2017-12-08,57.22,57.22,56.36,56.6,54201.0,0.0,1.0,57.22,57.22,56.36,56.6,54201.0
2017-12-07,56.57,57.37,56.4076,56.86,89666.0,0.0,1.0,56.57,57.37,56.4076,56.86,89666.0
2017-12-06,56.96,57.23,56.645,56.79,93367.0,0.0,1.0,56.96,57.23,56.645,56.79,93367.0
2017-12-05,58.76,58.77,57.2,57.23,122237.0,0.0,1.0,58.76,58.77,57.2,57.23,122237.0
2017-12-04,58.33,59.6,58.33,58.6,159868.0,0.0,1.0,58.33,59.6,58.33,58.6,159868.0
2017-12-01,57.52,58.675,55.35,57.48,142907.0,0.0,1.0,57.52,58.675,55.35,57.48,142907.0
2017-11-30,59.14,59.14,57.32,57.59,210574.0,0.0,1.0,59.14,59.14,57.32,57.59,210574.0
2017-11-29,58.16,59.535,57.79,58.76,347044.0,0.0,1.0,58.16,59.535,57.79,58.76,347044.0
2017-11-28,56.95,58.08,56.32,57.79,210192.0,0.0,1.0,56.95,58.08,56.32,57.79,210192.0
2017-11-27,56.32,57.14,56.32,56.62,66047.0,0.0,1.0,56.32,57.14,56.32,56.62,66047.0
2017-11-24,57.02,57.02,55.85,56.31,53093.0,0.0,1.0,57.02,57.02,55.85,56.31,53093.0
2017-11-22,57.19,57.52,56.65,56.84,77242.0,0.0,1.0,57.19,57.52,56.65,56.84,77242.0
2017-11-21,56.9,57.12,56.57,57.0,123670.0,0.0,1.0,56.9,57.12,56.57,57.0,123670.0
2017-11-20,56.45,56.63,56.14,56.59,128244.0,0.0,1.0,56.45,56.63,56.14,56.59,128244.0
2017-11-17,54.79,56.57,54.76,56.54,196456.0,0.0,1.0,54.79,56.57,54.76,56.54,196456.0
2017-11-16,55.72,55.72,55.07,55.23,212115.0,0.0,1.0,55.72,55.72,55.07,55.23,212115.0
2017-11-15,54.85,55.67,54.71,55.33,145595.0,0.0,1.0,54.85,55.67,54.71,55.33,145595.0
2017-11-14,55.22,55.69,54.5801,55.33,130628.0,0.0,1.0,55.22,55.69,54.5801,55.33,130628.0
2017-11-13,54.26,55.56,53.97,55.41,119773.0,0.0,1.0,54.26,55.56,53.97,55.41,119773.0
2017-11-10,54.62,54.96,54.265,54.62,126343.0,0.0,1.0,54.62,54.96,54.265,54.62,126343.0
2017-11-09,55.02,55.38,53.92,54.5,127587.0,0.0,1.0,55.02,55.38,53.92,54.5,127587.0
2017-11-07,57.22,57.22,55.63,55.76,129228.0,0.0,1.0,57.22,57.22,55.63,55.76,129228.0
2017-11-06,57.26,57.75,56.95,57.21,119763.0,0.0,1.0,57.26,57.75,56.95,57.21,119763.0
2017-11-03,57.5,58.035,57.2,57.59,107138.0,0.0,1.0,57.5,58.035,57.2,57.59,107138.0
2017-11-02,56.86,57.81,56.68,57.51,124524.0,0.0,1.0,56.86,57.81,56.68,57.51,124524.0
2017-11-01,57.86,58.08,56.55,57.01,195291.0,0.0,1.0,57.86,58.08,56.55,57.01,195291.0
2017-10-31,56.8,57.64,56.47,57.32,260959.0,0.0,1.0,56.8,57.64,56.47,57.32,260959.0
2017-10-30,57.61,57.92,56.5,56.6,543186.0,0.0,1.0,57.61,57.92,56.5,56.6,543186.0
2017-10-27,56.66,57.95,56.41,57.88,383676.0,0.0,1.0,56.66,57.95,56.41,57.88,383676.0
2017-10-26,59.5,60.82,57.85,58.11,310922.0,0.0,1.0,59.5,60.82,57.85,58.11,310922.0
2017-10-25,62.28,62.75,61.39,62.05,136810.0,0.0,1.0,62.28,62.75,61.39,62.05,136810.0
2017-10-24,61.78,62.42,61.23,62.21,84663.0,0.0,1.0,61.78,62.42,61.23,62.21,84663.0
2017-10-23,62.44,62.44,61.34,61.48,68170.0,0.0,1.0,62.44,62.44,61.34,61.48,68170.0
2017-10-20,61.8,62.47,61.618,62.14,93295.0,0.0,1.0,61.8,62.47,61.618,62.14,93295.0
2017-10-19,60.91,61.505,60.91,61.21,197609.0,0.0,1.0,60.91,61.505,60.91,61.21,197609.0
2017-10-18,60.94,61.43,60.89,61.29,126760.0,0.0,1.0,60.94,61.43,60.89,61.29,126760.0
2017-10-17,61.4,61.67,60.66,60.75,108446.0,0.0,1.0,61.4,61.67,60.66,60.75,108446.0
2017-10-16,61.22,61.98,61.125,61.31,112342.0,0.0,1.0,61.22,61.98,61.125,61.31,112342.0
2017-10-13,61.06,61.415,60.53,61.08,110049.0,0.0,1.0,61.06,61.415,60.53,61.08,110049.0
2017-10-12,61.8,61.8,61.08,61.23,159325.0,0.0,1.0,61.8,61.8,61.08,61.23,159325.0
2017-10-11,61.89,62.03,61.35,61.64,219956.0,0.0,1.0,61.89,62.03,61.35,61.64,219956.0
2017-10-10,61.79,62.24,61.49,61.89,155353.0,0.0,1.0,61.79,62.24,61.49,61.89,155353.0
2017-10-09,61.82,61.82,60.83,61.42,102840.0,0.0,1.0,61.82,61.82,60.83,61.42,102840.0
