Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.45,11.05,10.25,10.95,18993.0,0.0,1.0,10.45,11.05,10.25,10.95,18993.0
2018-03-26,9.9,10.4,9.9,10.3,17929.0,0.0,1.0,9.9,10.4,9.9,10.3,17929.0
2018-03-23,10.0,10.2,9.9,9.9,14172.0,0.0,1.0,10.0,10.2,9.9,9.9,14172.0
2018-03-22,10.05,10.1002,9.9,10.0,9971.0,0.0,1.0,10.05,10.1002,9.9,10.0,9971.0
2018-03-21,10.05,10.2748,10.05,10.1,7478.0,0.0,1.0,10.05,10.2748,10.05,10.1,7478.0
2018-03-20,10.45,10.45,10.05,10.05,6195.0,0.0,1.0,10.45,10.45,10.05,10.05,6195.0
2018-03-19,10.65,10.65,10.3,10.45,3663.0,0.0,1.0,10.65,10.65,10.3,10.45,3663.0
2018-03-16,10.15,10.5,10.1,10.5,24755.0,0.0,1.0,10.15,10.5,10.1,10.5,24755.0
2018-03-15,10.45,10.45,10.0,10.1,17567.0,0.0,1.0,10.45,10.45,10.0,10.1,17567.0
2018-03-14,10.35,10.41,10.35,10.4,14026.0,0.0,1.0,10.35,10.41,10.35,10.4,14026.0
2018-03-13,10.9,10.9,10.35,10.35,18980.0,0.0,1.0,10.9,10.9,10.35,10.35,18980.0
2018-03-12,11.1,11.1,10.85,10.95,13497.0,0.0,1.0,11.1,11.1,10.85,10.95,13497.0
2018-03-09,10.7,11.225,10.5,11.15,15508.0,0.0,1.0,10.7,11.225,10.5,11.15,15508.0
2018-03-08,10.85,10.85,10.5,10.65,4554.0,0.0,1.0,10.85,10.85,10.5,10.65,4554.0
2018-03-07,11.1,11.25,10.8,10.85,7023.0,0.0,1.0,11.1,11.25,10.8,10.85,7023.0
2018-03-06,10.5,11.6,10.4,11.2,20266.0,0.0,1.0,10.5,11.6,10.4,11.2,20266.0
2018-03-05,10.5,10.625,10.35,10.5,12345.0,0.0,1.0,10.5,10.625,10.35,10.5,12345.0
2018-03-02,10.55,10.65,10.4,10.6,8838.0,0.0,1.0,10.55,10.65,10.4,10.6,8838.0
2018-03-01,10.5,10.6,10.15,10.5,17213.0,0.0,1.0,10.5,10.6,10.15,10.5,17213.0
2018-02-28,10.65,11.2,10.5,10.5,18490.0,0.0,1.0,10.65,11.2,10.5,10.5,18490.0
2018-02-27,11.5,11.5,10.6,10.7,31291.0,0.0,1.0,11.5,11.5,10.6,10.7,31291.0
2018-02-26,11.35,12.15,11.25,11.5,22609.0,0.0,1.0,11.35,12.15,11.25,11.5,22609.0
2018-02-23,11.4,11.7,10.65,11.25,15197.0,0.0,1.0,11.4,11.7,10.65,11.25,15197.0
2018-02-22,11.25,11.55,10.7,11.45,31750.0,0.0,1.0,11.25,11.55,10.7,11.45,31750.0
2018-02-21,11.5,11.7,11.1,11.25,15816.0,0.0,1.0,11.5,11.7,11.1,11.25,15816.0
2018-02-20,12.15,12.2,11.525,11.7,19253.0,0.0,1.0,12.15,12.2,11.525,11.7,19253.0
2018-02-16,12.15,12.35,12.05,12.1,7280.0,0.0,1.0,12.15,12.35,12.05,12.1,7280.0
2018-02-15,12.05,12.45,12.05,12.25,25523.0,0.0,1.0,12.05,12.45,12.05,12.25,25523.0
2018-02-14,12.25,12.3,12.0,12.05,18830.0,0.0,1.0,12.25,12.3,12.0,12.05,18830.0
2018-02-13,12.65,12.7,12.0,12.35,11229.0,0.0,1.0,12.65,12.7,12.0,12.35,11229.0
2018-02-12,12.0,12.75,12.0,12.65,51351.0,0.0,1.0,12.0,12.75,12.0,12.65,51351.0
2018-02-09,12.35,12.55,12.0,12.1,7334.0,0.0,1.0,12.35,12.55,12.0,12.1,7334.0
2018-02-08,12.4,12.55,12.35,12.375,4769.0,0.0,1.0,12.4,12.55,12.35,12.375,4769.0
2018-02-07,12.4,12.525,12.25,12.45,9018.0,0.0,1.0,12.4,12.525,12.25,12.45,9018.0
2018-02-06,12.5,12.65,12.255,12.45,10474.0,0.0,1.0,12.5,12.65,12.255,12.45,10474.0
2018-02-05,12.55,12.9,12.45,12.8,21347.0,0.0,1.0,12.55,12.9,12.45,12.8,21347.0
2018-02-02,12.9,12.9,12.55,12.55,6650.0,0.0,1.0,12.9,12.9,12.55,12.55,6650.0
2018-02-01,12.5,13.0,12.3,13.0,7272.0,0.0,1.0,12.5,13.0,12.3,13.0,7272.0
2018-01-31,12.7,12.75,12.5,12.55,8346.0,0.0,1.0,12.7,12.75,12.5,12.55,8346.0
2018-01-30,13.2,13.2,12.55,12.7,4188.0,0.0,1.0,13.2,13.2,12.55,12.7,4188.0
2018-01-29,12.85,13.25,12.8,13.15,23558.0,0.0,1.0,12.85,13.25,12.8,13.15,23558.0
2018-01-26,12.9,12.9,12.55,12.75,3515.0,0.0,1.0,12.9,12.9,12.55,12.75,3515.0
2018-01-25,12.45,13.0,12.45,12.7816,6312.0,0.0,1.0,12.45,13.0,12.45,12.7816,6312.0
2018-01-24,12.1,12.55,12.1,12.5,7672.0,0.0,1.0,12.1,12.55,12.1,12.5,7672.0
2018-01-23,12.2,12.25,11.8,11.85,14176.0,0.0,1.0,12.2,12.25,11.8,11.85,14176.0
2018-01-22,11.4,12.25,11.4,12.2,21907.0,0.0,1.0,11.4,12.25,11.4,12.2,21907.0
2018-01-19,11.3,11.65,11.3,11.65,11504.0,0.0,1.0,11.3,11.65,11.3,11.65,11504.0
2018-01-18,11.55,11.675,11.2,11.35,10357.0,0.0,1.0,11.55,11.675,11.2,11.35,10357.0
2018-01-17,12.8,12.8,11.2,11.5,26823.0,0.0,1.0,12.8,12.8,11.2,11.5,26823.0
2018-01-16,13.0,13.0,12.3,12.65,7435.0,0.0,1.0,13.0,13.0,12.3,12.65,7435.0
2018-01-12,13.07,13.07,12.75,12.8,6747.0,0.0,1.0,13.07,13.07,12.75,12.8,6747.0
2018-01-11,12.75,13.55,12.55,13.3,12082.0,0.0,1.0,12.75,13.55,12.55,13.3,12082.0
