Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,2.15,2.15,2.05,2.15,71847.0,0.0,1.0,2.15,2.15,2.05,2.15,71847.0
2018-03-26,2.15,2.15,2.05,2.125,78599.0,0.0,1.0,2.15,2.15,2.05,2.125,78599.0
2018-03-23,2.35,2.35,2.05,2.05,247885.0,0.0,1.0,2.35,2.35,2.05,2.05,247885.0
2018-03-22,2.3,2.3,2.25,2.3,92426.0,0.0,1.0,2.3,2.3,2.25,2.3,92426.0
2018-03-21,2.2,2.35,2.1113,2.25,382610.0,0.0,1.0,2.2,2.35,2.1113,2.25,382610.0
2018-03-20,2.05,2.45,2.05,2.1,901309.0,0.0,1.0,2.05,2.45,2.05,2.1,901309.0
2018-03-19,2.15,2.2,2.05,2.05,115526.0,0.0,1.0,2.15,2.2,2.05,2.05,115526.0
2018-03-16,2.15,2.1608,2.1,2.15,307176.0,0.0,1.0,2.15,2.1608,2.1,2.15,307176.0
2018-03-15,2.15,2.2,2.1,2.1,186087.0,0.0,1.0,2.15,2.2,2.1,2.1,186087.0
2018-03-14,2.1,2.15,2.1,2.15,146225.0,0.0,1.0,2.1,2.15,2.1,2.15,146225.0
2018-03-13,2.0,2.1,1.95,2.05,252647.0,0.0,1.0,2.0,2.1,1.95,2.05,252647.0
2018-03-12,1.95,2.0,1.945,1.95,71273.0,0.0,1.0,1.95,2.0,1.945,1.95,71273.0
2018-03-09,2.05,2.05,1.9,1.9,216248.0,0.0,1.0,2.05,2.05,1.9,1.9,216248.0
2018-03-08,2.0,2.05,2.0,2.0,84912.0,0.0,1.0,2.0,2.05,2.0,2.0,84912.0
2018-03-07,1.95,2.05,1.95,2.0,105331.0,0.0,1.0,1.95,2.05,1.95,2.0,105331.0
2018-03-06,1.95,2.05,1.9,1.975,226685.0,0.0,1.0,1.95,2.05,1.9,1.975,226685.0
2018-03-05,1.95,1.95,1.9,1.95,70185.0,0.0,1.0,1.95,1.95,1.9,1.95,70185.0
2018-03-02,1.95,2.0,1.9,1.925,141186.0,0.0,1.0,1.95,2.0,1.9,1.925,141186.0
2018-03-01,2.05,2.05,1.85,1.95,371590.0,0.0,1.0,2.05,2.05,1.85,1.95,371590.0
2018-02-28,2.0,2.055,2.0,2.0,149114.0,0.0,1.0,2.0,2.055,2.0,2.0,149114.0
2018-02-27,2.2,2.25,2.0,2.0,151249.0,0.0,1.0,2.2,2.25,2.0,2.0,151249.0
2018-02-26,2.1,2.2,2.075,2.2,99866.0,0.0,1.0,2.1,2.2,2.075,2.2,99866.0
2018-02-23,2.1,2.105,2.0,2.075,237143.0,0.0,1.0,2.1,2.105,2.0,2.075,237143.0
2018-02-22,2.0,2.15,2.0,2.05,139900.0,0.0,1.0,2.0,2.15,2.0,2.05,139900.0
2018-02-21,2.15,2.15,2.0,2.0,476541.0,0.0,1.0,2.15,2.15,2.0,2.0,476541.0
