Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,9.2,9.4,9.05,9.15,114105.0,0.0,1.0,9.2,9.4,9.05,9.15,114105.0
2018-03-26,8.65,9.3,8.55,9.2,125084.0,0.0,1.0,8.65,9.3,8.55,9.2,125084.0
2018-03-23,8.61,8.8,8.45,8.45,54591.0,0.0,1.0,8.61,8.8,8.45,8.45,54591.0
2018-03-22,9.0,9.0,8.6,8.7,79139.0,0.0,1.0,9.0,9.0,8.6,8.7,79139.0
2018-03-21,8.8,9.1,8.7,8.95,76039.0,0.0,1.0,8.8,9.1,8.7,8.95,76039.0
2018-03-20,8.9,8.95,8.75,8.8,56484.0,0.0,1.0,8.9,8.95,8.75,8.8,56484.0
2018-03-19,8.85,8.9,8.6,8.9,55241.0,0.0,1.0,8.85,8.9,8.6,8.9,55241.0
2018-03-16,8.6,8.95,8.5,8.85,91082.0,0.0,1.0,8.6,8.95,8.5,8.85,91082.0
2018-03-15,8.65,8.75,8.5,8.6,50849.0,0.0,1.0,8.65,8.75,8.5,8.6,50849.0
2018-03-14,8.75,8.8499,8.5,8.65,85059.0,0.0,1.0,8.75,8.8499,8.5,8.65,85059.0
2018-03-13,8.8,8.8999,8.6,8.65,48967.0,0.0,1.0,8.8,8.8999,8.6,8.65,48967.0
2018-03-12,8.9,9.0,8.7,8.75,69855.0,0.0,1.0,8.9,9.0,8.7,8.75,69855.0
2018-03-09,8.95,9.0,8.7,8.95,108841.0,0.0,1.0,8.95,9.0,8.7,8.95,108841.0
2018-03-08,9.2,9.2,8.9,8.95,50911.0,0.0,1.0,9.2,9.2,8.9,8.95,50911.0
2018-03-07,9.15,9.3,9.05,9.2,59915.0,0.0,1.0,9.15,9.3,9.05,9.2,59915.0
2018-03-06,9.0,9.25,8.85,9.1,80735.0,0.0,1.0,9.0,9.25,8.85,9.1,80735.0
2018-03-05,9.15,9.25,9.05,9.1,70393.0,0.0,1.0,9.15,9.25,9.05,9.1,70393.0
2018-03-02,9.2,9.4,8.95,9.25,61302.0,0.0,1.0,9.2,9.4,8.95,9.25,61302.0
2018-03-01,9.05,9.35,8.9679,9.25,89533.0,0.0,1.0,9.05,9.35,8.9679,9.25,89533.0
2018-02-28,9.4,9.45,9.075,9.1,170574.0,0.0,1.0,9.4,9.45,9.075,9.1,170574.0
2018-02-27,9.95,9.95,9.3,9.4,85753.0,0.0,1.0,9.95,9.95,9.3,9.4,85753.0
2018-02-26,9.95,10.05,9.7,9.85,95435.0,0.0,1.0,9.95,10.05,9.7,9.85,95435.0
2018-02-23,10.2,10.45,9.8,9.8,137214.0,0.0,1.0,10.2,10.45,9.8,9.8,137214.0
2018-02-22,9.7,10.15,9.55,10.1,215933.0,0.0,1.0,9.7,10.15,9.55,10.1,215933.0
2018-02-21,10.0,10.1,9.55,9.65,160526.0,0.0,1.0,10.0,10.1,9.55,9.65,160526.0
2018-02-20,9.15,10.118,9.0,9.95,764990.0,0.0,1.0,9.15,10.118,9.0,9.95,764990.0
2018-02-16,9.15,9.55,9.05,9.1,255887.0,0.0,1.0,9.15,9.55,9.05,9.1,255887.0
2018-02-15,9.0,9.45,8.4,9.15,565595.0,0.0,1.0,9.0,9.45,8.4,9.15,565595.0
2018-02-14,7.8,7.9908,7.65,7.8,269712.0,0.0,1.0,7.8,7.9908,7.65,7.8,269712.0
2018-02-13,8.15,8.2,7.9,7.9,94411.0,0.0,1.0,8.15,8.2,7.9,7.9,94411.0
2018-02-12,8.35,8.4,8.1,8.2,99999.0,0.0,1.0,8.35,8.4,8.1,8.2,99999.0
2018-02-09,8.35,8.5,8.25,8.35,168742.0,0.0,1.0,8.35,8.5,8.25,8.35,168742.0
2018-02-08,8.35,8.55,8.3,8.3,152439.0,0.0,1.0,8.35,8.55,8.3,8.3,152439.0
2018-02-07,8.35,8.6,8.25,8.35,95618.0,0.0,1.0,8.35,8.6,8.25,8.35,95618.0
2018-02-06,8.0,8.5,8.0,8.35,163723.0,0.0,1.0,8.0,8.5,8.0,8.35,163723.0
2018-02-05,8.35,8.355,8.1,8.1,90908.0,0.0,1.0,8.35,8.355,8.1,8.1,90908.0
2018-02-02,8.45,8.6,8.3,8.35,108081.0,0.0,1.0,8.45,8.6,8.3,8.35,108081.0
2018-02-01,8.6,8.65,8.45,8.5,89534.0,0.0,1.0,8.6,8.65,8.45,8.5,89534.0
2018-01-31,8.65,8.9,8.55,8.6,108331.0,0.0,1.0,8.65,8.9,8.55,8.6,108331.0
2018-01-30,8.85,8.85,8.6,8.65,55254.0,0.0,1.0,8.85,8.85,8.6,8.65,55254.0
2018-01-29,8.9,9.0,8.8,8.85,71561.0,0.0,1.0,8.9,9.0,8.8,8.85,71561.0
2018-01-26,8.8,9.15,8.675,8.95,86382.0,0.0,1.0,8.8,9.15,8.675,8.95,86382.0
2018-01-25,9.1,9.1,8.8,8.8,95374.0,0.0,1.0,9.1,9.1,8.8,8.8,95374.0
2018-01-24,8.75,9.1,8.75,9.0,118855.0,0.0,1.0,8.75,9.1,8.75,9.0,118855.0
2018-01-23,8.45,8.9,8.45,8.8,97639.0,0.0,1.0,8.45,8.9,8.45,8.8,97639.0
2018-01-22,8.45,8.55,8.45,8.5,60819.0,0.0,1.0,8.45,8.55,8.45,8.5,60819.0
2018-01-19,8.4,8.6,8.4,8.5,75747.0,0.0,1.0,8.4,8.6,8.4,8.5,75747.0
2018-01-18,8.35,8.5,8.35,8.4,157349.0,0.0,1.0,8.35,8.5,8.35,8.4,157349.0
2018-01-17,8.35,8.45,8.3,8.4,163204.0,0.0,1.0,8.35,8.45,8.3,8.4,163204.0
2018-01-16,8.25,8.5,8.25,8.3,170815.0,0.0,1.0,8.25,8.5,8.25,8.3,170815.0
2018-01-12,8.4,8.401,8.25,8.25,119667.0,0.0,1.0,8.4,8.401,8.25,8.25,119667.0
2018-01-11,8.05,8.35,8.05,8.3,300985.0,0.0,1.0,8.05,8.35,8.05,8.3,300985.0
2018-01-10,8.05,8.2,7.95,8.15,269265.0,0.0,1.0,8.05,8.2,7.95,8.15,269265.0
2018-01-09,8.5,8.75,7.75,8.05,490932.0,0.0,1.0,8.5,8.75,7.75,8.05,490932.0
2018-01-08,9.1,9.35,9.1,9.3,384480.0,0.0,1.0,9.1,9.35,9.1,9.3,384480.0
2018-01-05,9.2,9.4,9.1,9.15,110497.0,0.0,1.0,9.2,9.4,9.1,9.15,110497.0
2018-01-04,9.5,9.5,9.2,9.25,112780.0,0.0,1.0,9.5,9.5,9.2,9.25,112780.0
2018-01-03,9.35,9.7,9.3001,9.5,65927.0,0.0,1.0,9.35,9.7,9.3001,9.5,65927.0
2018-01-02,9.25,9.5013,9.25,9.35,115427.0,0.0,1.0,9.25,9.5013,9.25,9.35,115427.0
2017-12-29,9.3,9.35,9.1,9.2,75276.0,0.0,1.0,9.3,9.35,9.1,9.2,75276.0
2017-12-28,9.15,9.3,9.1,9.2,158345.0,0.0,1.0,9.15,9.3,9.1,9.2,158345.0
2017-12-27,9.75,9.75,9.1,9.2,259414.0,0.0,1.0,9.75,9.75,9.1,9.2,259414.0
2017-12-26,9.85,10.0,9.7,9.75,135225.0,0.0,1.0,9.85,10.0,9.7,9.75,135225.0
2017-12-22,9.875,10.05,9.45,9.9,173686.0,0.0,1.0,9.875,10.05,9.45,9.9,173686.0
2017-12-21,9.5,9.6,9.35,9.45,132225.0,0.0,1.0,9.5,9.6,9.35,9.45,132225.0
2017-12-20,9.6,9.7,9.4,9.55,120400.0,0.0,1.0,9.6,9.7,9.4,9.55,120400.0
2017-12-19,9.35,9.5,9.3,9.3,119669.0,0.0,1.0,9.35,9.5,9.3,9.3,119669.0
2017-12-18,9.5,9.65,9.2,9.3,157528.0,0.0,1.0,9.5,9.65,9.2,9.3,157528.0
2017-12-15,9.0,9.2,8.85,9.15,178195.0,0.0,1.0,9.0,9.2,8.85,9.15,178195.0
2017-12-14,8.8,9.15,8.65,8.95,156944.0,0.0,1.0,8.8,9.15,8.65,8.95,156944.0
2017-12-13,8.5,8.85,8.5,8.65,194576.0,0.0,1.0,8.5,8.85,8.5,8.65,194576.0
2017-12-12,8.45,8.65,8.45,8.5,93220.0,0.0,1.0,8.45,8.65,8.45,8.5,93220.0
2017-12-11,8.8108,8.85,8.4,8.45,117399.0,0.0,1.0,8.8108,8.85,8.4,8.45,117399.0
2017-12-08,8.65,8.9,8.65,8.8,97508.0,0.0,1.0,8.65,8.9,8.65,8.8,97508.0
2017-12-07,8.4,8.7,8.4,8.6,97217.0,0.0,1.0,8.4,8.7,8.4,8.6,97217.0
2017-12-06,8.3,8.5,8.3,8.4,54591.0,0.0,1.0,8.3,8.5,8.3,8.4,54591.0
2017-12-05,8.45,8.5,8.25,8.35,61345.0,0.0,1.0,8.45,8.5,8.25,8.35,61345.0
