Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,16.76,16.98,16.6,16.63,24160.0,0.0,1.0,16.76,16.98,16.6,16.63,24160.0
2018-03-26,16.54,16.79,16.405,16.7,19796.0,0.0,1.0,16.54,16.79,16.405,16.7,19796.0
2018-03-23,16.77,16.77,16.22,16.25,38195.0,0.0,1.0,16.77,16.77,16.22,16.25,38195.0
2018-03-22,16.58,16.97,16.58,16.6,20691.0,0.0,1.0,16.58,16.97,16.58,16.6,20691.0
2018-03-21,16.79,16.965,16.6,16.74,25456.0,0.0,1.0,16.79,16.965,16.6,16.74,25456.0
2018-03-20,16.82,16.99,16.69,16.78,33229.0,0.0,1.0,16.82,16.99,16.69,16.78,33229.0
2018-03-19,16.95,16.98,16.74,16.81,31331.0,0.0,1.0,16.95,16.98,16.74,16.81,31331.0
2018-03-16,16.68,17.02,16.32,16.92,83673.0,0.0,1.0,16.68,17.02,16.32,16.92,83673.0
2018-03-15,16.5,16.77,16.5,16.71,37401.0,0.0,1.0,16.5,16.77,16.5,16.71,37401.0
2018-03-14,16.8,16.8,16.46,16.5,38703.0,0.0,1.0,16.8,16.8,16.46,16.5,38703.0
2018-03-13,16.65,16.81,16.4,16.63,28806.0,0.0,1.0,16.65,16.81,16.4,16.63,28806.0
2018-03-12,16.59,16.7899,16.32,16.66,12787.0,0.0,1.0,16.59,16.7899,16.32,16.66,12787.0
2018-03-09,16.56,16.7468,16.41,16.52,25284.0,0.0,1.0,16.56,16.7468,16.41,16.52,25284.0
2018-03-08,16.58,17.2,16.24,16.41,29990.0,0.0,1.0,16.58,17.2,16.24,16.41,29990.0
2018-03-07,16.33,16.68,16.1,16.59,37924.0,0.0,1.0,16.33,16.68,16.1,16.59,37924.0
2018-03-06,16.28,16.3,15.93,16.19,19302.0,0.0,1.0,16.28,16.3,15.93,16.19,19302.0
2018-03-05,16.25,16.6,16.1801,16.23,40872.0,0.0,1.0,16.25,16.6,16.1801,16.23,40872.0
2018-03-02,16.2,16.42,16.13,16.35,23009.0,0.0,1.0,16.2,16.42,16.13,16.35,23009.0
2018-03-01,16.0,16.35,15.91,16.19,38956.0,0.0,1.0,16.0,16.35,15.91,16.19,38956.0
2018-02-28,16.35,16.39,15.98,16.03,58216.0,0.0,1.0,16.35,16.39,15.98,16.03,58216.0
2018-02-27,16.35,16.47,16.255,16.28,20216.0,0.0,1.0,16.35,16.47,16.255,16.28,20216.0
2018-02-26,16.1465,16.35,16.1465,16.31,33739.0,0.0,1.0,16.1465,16.35,16.1465,16.31,33739.0
2018-02-23,16.03,16.295,15.77,16.26,39341.0,0.0,1.0,16.03,16.295,15.77,16.26,39341.0
2018-02-22,16.3,16.3,15.85,15.9,15106.0,0.0,1.0,16.3,16.3,15.85,15.9,15106.0
2018-02-21,15.86,16.29,15.86,16.1,18429.0,0.0,1.0,15.86,16.29,15.86,16.1,18429.0
2018-02-20,16.04,16.29,15.65,15.81,22258.0,0.0,1.0,16.04,16.29,15.65,15.81,22258.0
2018-02-16,15.88,16.35,15.88,16.18,26879.0,0.0,1.0,15.88,16.35,15.88,16.18,26879.0
2018-02-15,15.83,15.99,15.68,15.97,28376.0,0.0,1.0,15.83,15.99,15.68,15.97,28376.0
2018-02-14,15.63,15.95,15.47,15.79,28138.0,0.0,1.0,15.63,15.95,15.47,15.79,28138.0
2018-02-13,15.5,15.85,15.5,15.73,19160.0,0.0,1.0,15.5,15.85,15.5,15.73,19160.0
2018-02-12,15.83,15.9,15.435,15.63,28126.0,0.0,1.0,15.83,15.9,15.435,15.63,28126.0
2018-02-09,15.63,15.93,15.47,15.79,23000.0,0.0,1.0,15.63,15.93,15.47,15.79,23000.0
2018-02-08,15.63,16.04,15.38,15.5,20812.0,0.0,1.0,15.63,16.04,15.38,15.5,20812.0
2018-02-07,15.36,15.77,15.36,15.64,27186.0,0.0,1.0,15.36,15.77,15.36,15.64,27186.0
2018-02-06,15.07,15.65,15.07,15.41,33817.0,0.0,1.0,15.07,15.65,15.07,15.41,33817.0
2018-02-05,15.8,15.92,15.34,15.37,22696.0,0.0,1.0,15.8,15.92,15.34,15.37,22696.0
2018-02-02,16.08,16.32,15.94,15.94,31420.0,0.0,1.0,16.08,16.32,15.94,15.94,31420.0
2018-02-01,15.84,16.14,15.75,16.14,22580.0,0.0,1.0,15.84,16.14,15.75,16.14,22580.0
2018-01-31,15.69,15.91,15.68,15.88,53435.0,0.0,1.0,15.69,15.91,15.68,15.88,53435.0
2018-01-30,15.6,15.87,15.51,15.56,27279.0,0.0,1.0,15.6,15.87,15.51,15.56,27279.0
2018-01-29,15.77,15.9,15.55,15.6,45452.0,0.0,1.0,15.77,15.9,15.55,15.6,45452.0
2018-01-26,15.45,15.77,15.45,15.6,34450.0,0.0,1.0,15.45,15.77,15.45,15.6,34450.0
2018-01-25,15.54,15.6,15.475,15.57,19463.0,0.0,1.0,15.54,15.6,15.475,15.57,19463.0
2018-01-24,15.59,15.59,15.41,15.51,22925.0,0.0,1.0,15.59,15.59,15.41,15.51,22925.0
2018-01-23,15.41,15.56,15.4,15.54,11431.0,0.0,1.0,15.41,15.56,15.4,15.54,11431.0
2018-01-22,15.48,15.51,15.4,15.48,9595.0,0.0,1.0,15.48,15.51,15.4,15.48,9595.0
2018-01-19,15.23,15.56,15.23,15.55,33466.0,0.0,1.0,15.23,15.56,15.23,15.55,33466.0
2018-01-18,15.43,15.43,15.22,15.28,12105.0,0.0,1.0,15.43,15.43,15.22,15.28,12105.0
2018-01-17,15.36,15.44,15.14,15.43,10896.0,0.0,1.0,15.36,15.44,15.14,15.43,10896.0
2018-01-16,15.65,16.0,15.21,15.23,31039.0,0.0,1.0,15.65,16.0,15.21,15.23,31039.0
2018-01-12,15.68,15.87,15.56,15.64,14846.0,0.0,1.0,15.68,15.87,15.56,15.64,14846.0
2018-01-11,15.39,15.6524,15.39,15.61,14046.0,0.0,1.0,15.39,15.6524,15.39,15.61,14046.0
2018-01-10,15.32,15.54,15.26,15.38,18417.0,0.0,1.0,15.32,15.54,15.26,15.38,18417.0
2018-01-09,15.34,15.49,15.31,15.33,10845.0,0.0,1.0,15.34,15.49,15.31,15.33,10845.0
2018-01-08,15.48,15.58,15.3,15.31,16032.0,0.0,1.0,15.48,15.58,15.3,15.31,16032.0
2018-01-05,15.51,15.61,15.27,15.57,23026.0,0.0,1.0,15.51,15.61,15.27,15.57,23026.0
2018-01-04,15.58,15.66,15.455,15.48,24846.0,0.0,1.0,15.58,15.66,15.455,15.48,24846.0
2018-01-03,15.27,15.7,15.15,15.52,23010.0,0.0,1.0,15.27,15.7,15.15,15.52,23010.0
2018-01-02,15.6585,15.74,15.25,15.31,16367.0,0.0,1.0,15.6585,15.74,15.25,15.31,16367.0
2017-12-29,15.6,15.6,15.33,15.34,21512.0,0.0,1.0,15.6,15.6,15.33,15.34,21512.0
2017-12-28,15.5,15.6,15.41,15.59,11000.0,0.0,1.0,15.5,15.6,15.41,15.59,11000.0
2017-12-27,15.59,15.63,15.26,15.35,21692.0,0.0,1.0,15.59,15.63,15.26,15.35,21692.0
2017-12-26,15.7,15.745,15.5,15.5,15682.0,0.0,1.0,15.7,15.745,15.5,15.5,15682.0
2017-12-22,15.81,15.93,15.72,15.72,10582.0,0.0,1.0,15.81,15.93,15.72,15.72,10582.0
2017-12-21,15.6,15.89,15.59,15.82,27826.0,0.0,1.0,15.6,15.89,15.59,15.82,27826.0
2017-12-20,15.91,15.92,15.63,15.8,21205.0,0.0,1.0,15.91,15.92,15.63,15.8,21205.0
2017-12-19,16.18,16.18,15.73,15.79,23075.0,0.0,1.0,16.18,16.18,15.73,15.79,23075.0
2017-12-18,16.4185,16.4185,16.08,16.18,20132.0,0.0,1.0,16.4185,16.4185,16.08,16.18,20132.0
2017-12-15,15.74,16.34,15.74,15.98,81155.0,0.0,1.0,15.74,16.34,15.74,15.98,81155.0
2017-12-14,15.98,16.05,15.76,15.77,20671.0,0.0,1.0,15.98,16.05,15.76,15.77,20671.0
2017-12-13,15.73,16.16,15.73,16.0,10638.0,0.0,1.0,15.73,16.16,15.73,16.0,10638.0
2017-12-12,16.0,16.14,15.84,16.0,15465.0,0.0,1.0,16.0,16.14,15.84,16.0,15465.0
2017-12-11,16.6,16.6,15.845,15.94,11594.0,0.0,1.0,16.6,16.6,15.845,15.94,11594.0
2017-12-08,16.36,16.36,15.98,15.98,13491.0,0.0,1.0,16.36,16.36,15.98,15.98,13491.0
2017-12-07,16.32,16.56,16.21,16.3,22127.0,0.0,1.0,16.32,16.56,16.21,16.3,22127.0
2017-12-06,16.32,16.56,16.3,16.31,29025.0,0.0,1.0,16.32,16.56,16.3,16.31,29025.0
2017-12-05,16.53,16.75,16.03,16.39,30305.0,0.0,1.0,16.53,16.75,16.03,16.39,30305.0
2017-12-04,16.64,17.0,16.51,16.58,30373.0,0.0,1.0,16.64,17.0,16.51,16.58,30373.0
2017-12-01,16.5,16.53,15.885,16.47,19645.0,0.0,1.0,16.5,16.53,15.885,16.47,19645.0
2017-11-30,16.64,16.77,16.23,16.49,38276.0,0.0,1.0,16.64,16.77,16.23,16.49,38276.0
2017-11-29,16.24,16.68,15.2723,16.59,22746.0,0.0,1.0,16.24,16.68,15.2723,16.59,22746.0
2017-11-28,16.0,16.28,15.94,16.23,22800.0,0.0,1.0,16.0,16.28,15.94,16.23,22800.0
2017-11-27,15.86,16.01,15.85,15.89,22695.0,0.0,1.0,15.86,16.01,15.85,15.89,22695.0
2017-11-24,15.93,16.16,15.83,15.85,19331.0,0.0,1.0,15.93,16.16,15.83,15.85,19331.0
2017-11-22,15.79,15.96,15.77,15.85,36105.0,0.0,1.0,15.79,15.96,15.77,15.85,36105.0
2017-11-21,15.71,15.86,15.63,15.8,17333.0,0.0,1.0,15.71,15.86,15.63,15.8,17333.0
2017-11-20,15.47,15.65,15.47,15.63,14471.0,0.0,1.0,15.47,15.65,15.47,15.63,14471.0
2017-11-17,15.34,15.54,15.12,15.45,18283.0,0.0,1.0,15.34,15.54,15.12,15.45,18283.0
2017-11-16,15.35,15.5,14.79,15.5,33533.0,0.0,1.0,15.35,15.5,14.79,15.5,33533.0
2017-11-15,15.33,15.45,15.12,15.3,22982.0,0.0,1.0,15.33,15.45,15.12,15.3,22982.0
2017-11-14,15.27,15.44,15.1,15.36,22405.0,0.0,1.0,15.27,15.44,15.1,15.36,22405.0
2017-11-13,15.25,15.39,15.02,15.36,24298.0,0.0,1.0,15.25,15.39,15.02,15.36,24298.0
2017-11-10,15.52,15.54,15.155,15.29,20171.0,0.0,1.0,15.52,15.54,15.155,15.29,20171.0
2017-11-09,15.05,15.25,14.97,15.18,21891.0,0.0,1.0,15.05,15.25,14.97,15.18,21891.0
2017-11-07,15.67,15.67,14.99,15.0,29103.0,0.08,1.0,15.67,15.67,14.99,15.0,29103.0
2017-11-06,15.85,15.95,15.66,15.67,17921.0,0.0,1.0,15.765915119363001,15.865384615385,15.576923076923,15.586870026524998,17921.0
2017-11-03,15.99,15.99,15.79,15.86,22629.0,0.0,1.0,15.905172413793002,15.905172413793002,15.706233421751001,15.775862068966001,22629.0
2017-11-02,15.87,16.11,15.87,16.04,20279.0,0.0,1.0,15.785809018568001,16.024535809019,15.785809018568001,15.954907161803998,20279.0
2017-11-01,15.95,16.06,15.82,15.84,14266.0,0.0,1.0,15.865384615385,15.974801061008,15.736074270557001,15.755968169761,14266.0
2017-10-31,15.86,15.875,15.7,15.84,24824.0,0.0,1.0,15.775862068966001,15.790782493368999,15.616710875332,15.755968169761,24824.0
2017-10-30,16.31,16.34,15.78,15.8,20644.0,0.0,1.0,16.223474801061002,16.253315649867,15.696286472149,15.716180371353,20644.0
2017-10-27,16.72,16.72,16.27,16.42,25217.0,0.0,1.0,16.631299734748,16.631299734748,16.183687002653,16.332891246684,25217.0
2017-10-26,16.61,16.61,16.36,16.46,19063.0,0.0,1.0,16.521883289125,16.521883289125,16.273209549072,16.372679045093,19063.0
2017-10-25,16.52,16.7,16.4,16.61,10841.0,0.0,1.0,16.432360742706003,16.611405835543998,16.31299734748,16.521883289125,10841.0
2017-10-24,16.45,16.74,16.39,16.53,19962.0,0.0,1.0,16.362732095490998,16.651193633952,16.303050397878,16.442307692308,19962.0
2017-10-23,16.25,16.56,16.18,16.43,24376.0,0.0,1.0,16.163793103448,16.472148541114,16.094164456233,16.342838196286,24376.0
2017-10-20,16.36,16.36,16.2,16.29,13953.0,0.0,1.0,16.273209549072,16.273209549072,16.114058355438,16.203580901857,13953.0
