Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,21.41,21.41,20.92,21.03,196420.0,0.0,1.0,21.41,21.41,20.92,21.03,196420.0
2018-03-26,21.3,21.42,20.8,21.36,200431.0,0.0,1.0,21.3,21.42,20.8,21.36,200431.0
2018-03-23,21.6,21.82,20.95,20.97,228348.0,0.0,1.0,21.6,21.82,20.95,20.97,228348.0
2018-03-22,21.97,22.11,21.54,21.58,157856.0,0.0,1.0,21.97,22.11,21.54,21.58,157856.0
2018-03-21,21.98,22.43,21.95,22.2,134624.0,0.0,1.0,21.98,22.43,21.95,22.2,134624.0
2018-03-20,22.2,22.385,21.98,22.01,145624.0,0.0,1.0,22.2,22.385,21.98,22.01,145624.0
2018-03-19,22.35,22.35,21.9,22.18,207186.0,0.0,1.0,22.35,22.35,21.9,22.18,207186.0
2018-03-16,22.35,22.6865,22.23,22.49,478237.0,0.0,1.0,22.35,22.6865,22.23,22.49,478237.0
2018-03-15,22.49,22.56,22.18,22.29,147042.0,0.0,1.0,22.49,22.56,22.18,22.29,147042.0
2018-03-14,22.73,22.73,22.48,22.59,155830.0,0.0,1.0,22.73,22.73,22.48,22.59,155830.0
2018-03-13,22.88,23.09,22.54,22.59,120378.0,0.0,1.0,22.88,23.09,22.54,22.59,120378.0
2018-03-12,22.65,22.87,22.62,22.79,151920.0,0.0,1.0,22.65,22.87,22.62,22.79,151920.0
2018-03-09,22.27,22.59,21.9399,22.58,237112.0,0.0,1.0,22.27,22.59,21.9399,22.58,237112.0
2018-03-08,22.31,22.31,22.03,22.15,169392.0,0.0,1.0,22.31,22.31,22.03,22.15,169392.0
2018-03-07,22.08,22.3,21.98,22.2,259059.0,0.0,1.0,22.08,22.3,21.98,22.2,259059.0
2018-03-06,22.21,22.33,21.91,22.3,262539.0,0.0,1.0,22.21,22.33,21.91,22.3,262539.0
2018-03-05,22.06,22.22,21.84,22.09,254795.0,0.0,1.0,22.06,22.22,21.84,22.09,254795.0
2018-03-02,21.94,22.3,21.81,22.15,313423.0,0.0,1.0,21.94,22.3,21.81,22.15,313423.0
2018-03-01,22.5,22.69,21.89,22.14,368445.0,0.0,1.0,22.5,22.69,21.89,22.14,368445.0
2018-02-28,22.85,22.95,22.46,22.48,347379.0,0.0,1.0,22.85,22.95,22.46,22.48,347379.0
2018-02-27,22.54,23.1,22.52,22.85,566364.0,0.0,1.0,22.54,23.1,22.52,22.85,566364.0
2018-02-26,22.21,22.63,22.06,22.52,177861.0,0.0,1.0,22.21,22.63,22.06,22.52,177861.0
2018-02-23,22.03,22.19,21.92,22.15,281683.0,0.0,1.0,22.03,22.19,21.92,22.15,281683.0
2018-02-22,21.9,22.13,21.8,21.88,166523.0,0.0,1.0,21.9,22.13,21.8,21.88,166523.0
2018-02-21,21.78,22.17,21.75,21.75,170988.0,0.0,1.0,21.78,22.17,21.75,21.75,170988.0
2018-02-20,22.32,22.41,21.7,21.76,251644.0,0.0,1.0,22.32,22.41,21.7,21.76,251644.0
2018-02-16,22.3,22.65,22.27,22.44,326400.0,0.0,1.0,22.3,22.65,22.27,22.44,326400.0
2018-02-15,22.17,22.35,21.94,22.35,212952.0,0.0,1.0,22.17,22.35,21.94,22.35,212952.0
2018-02-14,21.66,22.1,21.66,21.99,208913.0,0.0,1.0,21.66,22.1,21.66,21.99,208913.0
2018-02-13,21.83,21.96,21.55,21.9,252982.0,0.0,1.0,21.83,21.96,21.55,21.9,252982.0
2018-02-12,22.01,22.16,21.665,22.03,300678.0,0.0,1.0,22.01,22.16,21.665,22.03,300678.0
2018-02-09,21.76,22.06,21.16,21.9,642144.0,0.0,1.0,21.76,22.06,21.16,21.9,642144.0
2018-02-08,22.21,22.21,21.42,21.44,457219.0,0.0,1.0,22.21,22.21,21.42,21.44,457219.0
2018-02-07,22.17,22.38,22.0,22.2,439148.0,0.0,1.0,22.17,22.38,22.0,22.2,439148.0
2018-02-06,21.45,22.31,21.45,22.26,693229.0,0.0,1.0,21.45,22.31,21.45,22.26,693229.0
2018-02-05,22.7,23.02,21.46,21.82,986876.0,0.0,1.0,22.7,23.02,21.46,21.82,986876.0
2018-02-02,23.76,23.76,22.99,23.0,308162.0,0.0,1.0,23.76,23.76,22.99,23.0,308162.0
2018-02-01,24.01,24.235,23.68,23.99,387675.0,0.0,1.0,24.01,24.235,23.68,23.99,387675.0
2018-01-31,24.68,24.8,23.95,24.18,371827.0,0.0,1.0,24.68,24.8,23.95,24.18,371827.0
2018-01-30,24.46,24.86,24.42,24.52,631291.0,0.0,1.0,24.46,24.86,24.42,24.52,631291.0
2018-01-29,25.27,25.39,24.74,24.76,783585.0,0.0,1.0,25.27,25.39,24.74,24.76,783585.0
2018-01-26,25.88,26.11,25.33,25.54,721784.0,0.0,1.0,25.88,26.11,25.33,25.54,721784.0
2018-01-25,25.57,26.15,24.4001,25.85,1650146.0,0.0,1.0,25.57,26.15,24.4001,25.85,1650146.0
2018-01-24,26.58,27.34,26.506,27.19,583036.0,0.0,1.0,26.58,27.34,26.506,27.19,583036.0
2018-01-23,26.98,27.02,26.33,26.42,370198.0,0.0,1.0,26.98,27.02,26.33,26.42,370198.0
2018-01-22,27.12,27.15,26.46,26.9,448612.0,0.0,1.0,27.12,27.15,26.46,26.9,448612.0
2018-01-19,26.58,27.12,26.535,27.12,341467.0,0.0,1.0,26.58,27.12,26.535,27.12,341467.0
2018-01-18,26.9,27.1,26.56,26.59,323261.0,0.0,1.0,26.9,27.1,26.56,26.59,323261.0
2018-01-17,26.76,26.92,26.21,26.89,527415.0,0.0,1.0,26.76,26.92,26.21,26.89,527415.0
2018-01-16,26.06,26.88,26.06,26.59,592620.0,0.0,1.0,26.06,26.88,26.06,26.59,592620.0
2018-01-12,25.4,25.69,25.23,25.53,192077.0,0.0,1.0,25.4,25.69,25.23,25.53,192077.0
2018-01-11,24.6,25.37,24.56,25.37,224709.0,0.0,1.0,24.6,25.37,24.56,25.37,224709.0
2018-01-10,24.88,24.88,24.4,24.55,170952.0,0.0,1.0,24.88,24.88,24.4,24.55,170952.0
2018-01-09,25.12,25.1964,24.87,24.87,86392.0,0.0,1.0,25.12,25.1964,24.87,24.87,86392.0
2018-01-08,24.96,25.22,24.76,25.13,145142.0,0.0,1.0,24.96,25.22,24.76,25.13,145142.0
2018-01-05,25.23,25.25,24.83,25.02,136393.0,0.0,1.0,25.23,25.25,24.83,25.02,136393.0
2018-01-04,25.16,25.39,25.02,25.02,126013.0,0.0,1.0,25.16,25.39,25.02,25.02,126013.0
2018-01-03,25.27,25.49,25.02,25.04,195977.0,0.0,1.0,25.27,25.49,25.02,25.04,195977.0
2018-01-02,25.47,25.61,25.1,25.28,264155.0,0.0,1.0,25.47,25.61,25.1,25.28,264155.0
2017-12-29,25.65,25.69,25.37,25.37,133379.0,0.0,1.0,25.65,25.69,25.37,25.37,133379.0
2017-12-28,25.64,25.65,25.3501,25.58,121628.0,0.0,1.0,25.64,25.65,25.3501,25.58,121628.0
2017-12-27,25.55,25.72,25.27,25.57,125642.0,0.0,1.0,25.55,25.72,25.27,25.57,125642.0
2017-12-26,25.6,25.68,25.46,25.54,70414.0,0.0,1.0,25.6,25.68,25.46,25.54,70414.0
2017-12-22,25.56,25.82,25.39,25.58,131215.0,0.0,1.0,25.56,25.82,25.39,25.58,131215.0
2017-12-21,25.57,25.91,25.39,25.72,286049.0,0.0,1.0,25.57,25.91,25.39,25.72,286049.0
2017-12-20,25.11,25.46,24.96,25.37,391680.0,0.0,1.0,25.11,25.46,24.96,25.37,391680.0
2017-12-19,25.01,25.28,24.78,24.96,183370.0,0.0,1.0,25.01,25.28,24.78,24.96,183370.0
2017-12-18,25.205,25.57,24.73,25.19,330247.0,0.0,1.0,25.205,25.57,24.73,25.19,330247.0
2017-12-15,24.29,24.85,24.05,24.7,577385.0,0.0,1.0,24.29,24.85,24.05,24.7,577385.0
2017-12-14,24.41,24.63,24.01,24.02,183908.0,0.0,1.0,24.41,24.63,24.01,24.02,183908.0
2017-12-13,24.76,24.97,24.57,24.65,189903.0,0.0,1.0,24.76,24.97,24.57,24.65,189903.0
2017-12-12,25.05,25.15,24.69,24.72,145282.0,0.0,1.0,25.05,25.15,24.69,24.72,145282.0
2017-12-11,25.25,25.25,24.820999999999998,25.02,154805.0,0.0,1.0,25.25,25.25,24.820999999999998,25.02,154805.0
2017-12-08,25.26,25.4,25.02,25.29,175177.0,0.0,1.0,25.26,25.4,25.02,25.29,175177.0
2017-12-07,24.86,25.39,24.8,25.18,294925.0,0.0,1.0,24.86,25.39,24.8,25.18,294925.0
2017-12-06,24.65,25.17,24.5,24.95,242262.0,0.0,1.0,24.65,25.17,24.5,24.95,242262.0
2017-12-05,24.86,24.86,24.54,24.76,180730.0,0.0,1.0,24.86,24.86,24.54,24.76,180730.0
2017-12-04,25.0,25.11,24.7,24.74,310800.0,0.0,1.0,25.0,25.11,24.7,24.74,310800.0
2017-12-01,24.97,24.97,24.04,24.61,235283.0,0.0,1.0,24.97,24.97,24.04,24.61,235283.0
2017-11-30,25.03,25.08,24.72,24.9,194714.0,0.0,1.0,25.03,25.08,24.72,24.9,194714.0
2017-11-29,24.79,25.11,24.72,24.91,163579.0,0.0,1.0,24.79,25.11,24.72,24.91,163579.0
2017-11-28,24.57,24.83,24.37,24.77,188708.0,0.0,1.0,24.57,24.83,24.37,24.77,188708.0
2017-11-27,24.48,24.7,24.3196,24.51,167962.0,0.0,1.0,24.48,24.7,24.3196,24.51,167962.0
2017-11-24,24.73,24.73,24.32,24.43,98720.0,0.0,1.0,24.73,24.73,24.32,24.43,98720.0
2017-11-22,24.77,24.78,24.47,24.66,129423.0,0.0,1.0,24.77,24.78,24.47,24.66,129423.0
2017-11-21,24.44,24.69,24.375,24.65,181227.0,0.0,1.0,24.44,24.69,24.375,24.65,181227.0
2017-11-20,24.18,24.33,24.06,24.28,184226.0,0.0,1.0,24.18,24.33,24.06,24.28,184226.0
2017-11-17,23.97,24.18,23.87,24.16,239792.0,0.0,1.0,23.97,24.18,23.87,24.16,239792.0
2017-11-16,23.81,24.28,23.7787,24.13,467006.0,0.0,1.0,23.81,24.28,23.7787,24.13,467006.0
2017-11-15,24.01,24.145,23.62,23.62,286182.0,0.0,1.0,24.01,24.145,23.62,23.62,286182.0
2017-11-14,24.35,24.42,24.14,24.28,348067.0,0.0,1.0,24.35,24.42,24.14,24.28,348067.0
2017-11-13,24.28,24.41,24.02,24.26,185206.0,0.0,1.0,24.28,24.41,24.02,24.26,185206.0
2017-11-10,24.18,24.57,24.13,24.24,206499.0,0.0,1.0,24.18,24.57,24.13,24.24,206499.0
2017-11-09,24.29,24.61,24.06,24.3,262457.0,0.0,1.0,24.29,24.61,24.06,24.3,262457.0
2017-11-07,24.93,24.93,24.18,24.33,229194.0,0.0,1.0,24.93,24.93,24.18,24.33,229194.0
2017-11-06,24.53,25.27,24.39,24.85,575117.0,0.0,1.0,24.53,25.27,24.39,24.85,575117.0
