Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,51.49,51.92,50.77,51.0,292316.0,0.0,1.0,51.49,51.92,50.77,51.0,292316.0
2018-03-26,50.47,51.32,49.98,51.25,420810.0,0.0,1.0,50.47,51.32,49.98,51.25,420810.0
2018-03-23,50.79,51.05,49.49,49.5,362689.0,0.0,1.0,50.79,51.05,49.49,49.5,362689.0
2018-03-22,51.83,52.06,50.69,50.73,341941.0,0.0,1.0,51.83,52.06,50.69,50.73,341941.0
2018-03-21,52.62,53.59,52.05,52.39,268755.0,0.0,1.0,52.62,53.59,52.05,52.39,268755.0
2018-03-20,53.39,53.7,52.47,52.6,169731.0,0.0,1.0,53.39,53.7,52.47,52.6,169731.0
2018-03-19,52.99,54.18,52.63,53.21,360325.0,0.0,1.0,52.99,54.18,52.63,53.21,360325.0
2018-03-16,52.83,53.78,52.83,53.31,417241.0,0.0,1.0,52.83,53.78,52.83,53.31,417241.0
2018-03-15,53.22,53.6,52.35,52.8,335608.0,0.0,1.0,53.22,53.6,52.35,52.8,335608.0
2018-03-14,53.69,53.81,52.91,53.08,247561.0,0.0,1.0,53.69,53.81,52.91,53.08,247561.0
2018-03-13,54.5,54.59,53.21,53.36,398899.0,0.0,1.0,54.5,54.59,53.21,53.36,398899.0
2018-03-12,53.1,54.74,53.1,54.5,525619.0,0.0,1.0,53.1,54.74,53.1,54.5,525619.0
2018-03-09,52.8,53.1,51.94,53.0,458576.0,0.0,1.0,52.8,53.1,51.94,53.0,458576.0
2018-03-08,52.6,52.78,51.48,52.54,377637.0,0.0,1.0,52.6,52.78,51.48,52.54,377637.0
2018-03-07,51.17,52.77,50.92,52.68,632126.0,0.0,1.0,51.17,52.77,50.92,52.68,632126.0
2018-03-06,51.37,51.67,50.53,51.57,730704.0,0.0,1.0,51.37,51.67,50.53,51.57,730704.0
2018-03-05,50.55,51.77,50.45,51.05,747815.0,0.0,1.0,50.55,51.77,50.45,51.05,747815.0
2018-03-02,50.23,51.14,49.53,51.0,635374.0,0.0,1.0,50.23,51.14,49.53,51.0,635374.0
2018-03-01,48.02,53.01,47.76,50.78,1451559.0,0.0,1.0,48.02,53.01,47.76,50.78,1451559.0
2018-02-28,47.32,47.63,46.04,46.18,745839.0,0.0,1.0,47.32,47.63,46.04,46.18,745839.0
2018-02-27,47.72,47.82,46.77,47.04,274526.0,0.0,1.0,47.72,47.82,46.77,47.04,274526.0
2018-02-26,48.42,48.42,46.97,47.63,310526.0,0.0,1.0,48.42,48.42,46.97,47.63,310526.0
2018-02-23,47.85,48.22,47.19,48.19,199334.0,0.0,1.0,47.85,48.22,47.19,48.19,199334.0
2018-02-22,48.01,48.51,47.31,47.46,518306.0,0.0,1.0,48.01,48.51,47.31,47.46,518306.0
2018-02-21,47.04,48.53,46.88,47.89,384181.0,0.0,1.0,47.04,48.53,46.88,47.89,384181.0
2018-02-20,48.11,48.48,46.82,46.88,223530.0,0.0,1.0,48.11,48.48,46.82,46.88,223530.0
2018-02-16,47.39,48.9,47.39,48.36,272312.0,0.0,1.0,47.39,48.9,47.39,48.36,272312.0
2018-02-15,47.83,47.83,46.72,47.56,314666.0,0.0,1.0,47.83,47.83,46.72,47.56,314666.0
2018-02-14,46.01,47.73,46.01,47.44,379341.0,0.0,1.0,46.01,47.73,46.01,47.44,379341.0
2018-02-13,46.18,46.54,45.76,46.26,349812.0,0.0,1.0,46.18,46.54,45.76,46.26,349812.0
2018-02-12,46.76,47.63,46.21,46.43,289558.0,0.0,1.0,46.76,47.63,46.21,46.43,289558.0
2018-02-09,47.25,47.41,44.89,46.47,422561.0,0.0,1.0,47.25,47.41,44.89,46.47,422561.0
2018-02-08,48.23,48.23,46.49,46.49,618608.0,0.0,1.0,48.23,48.23,46.49,46.49,618608.0
2018-02-07,48.38,48.9,48.0,48.05,183411.0,0.0,1.0,48.38,48.9,48.0,48.05,183411.0
2018-02-06,47.09,49.7,46.65,48.63,666664.0,0.0,1.0,47.09,49.7,46.65,48.63,666664.0
2018-02-05,51.55,51.73,47.44,48.24,678025.0,0.0,1.0,51.55,51.73,47.44,48.24,678025.0
2018-02-02,53.2,53.48,51.97,52.35,297138.0,0.0,1.0,53.2,53.48,51.97,52.35,297138.0
2018-02-01,52.51,53.74,52.16,53.55,199285.0,0.0,1.0,52.51,53.74,52.16,53.55,199285.0
2018-01-31,53.74,54.08,52.44,52.76,291043.0,0.0,1.0,53.74,54.08,52.44,52.76,291043.0
2018-01-30,52.75,53.65,52.42,53.39,258370.0,0.0,1.0,52.75,53.65,52.42,53.39,258370.0
2018-01-29,54.53,54.61,53.23,53.39,431908.0,0.0,1.0,54.53,54.61,53.23,53.39,431908.0
2018-01-26,55.25,55.35,53.93,54.75,248472.0,0.0,1.0,55.25,55.35,53.93,54.75,248472.0
2018-01-25,54.0,55.15,52.9527,55.13,503559.0,0.0,1.0,54.0,55.15,52.9527,55.13,503559.0
2018-01-24,52.4,53.88,52.3501,53.84,398005.0,0.0,1.0,52.4,53.88,52.3501,53.84,398005.0
2018-01-23,52.92,52.99,52.08,52.08,227149.0,0.0,1.0,52.92,52.99,52.08,52.08,227149.0
2018-01-22,53.37,53.42,52.585,52.89,213470.0,0.0,1.0,53.37,53.42,52.585,52.89,213470.0
2018-01-19,51.53,53.9,51.53,53.42,526051.0,0.0,1.0,51.53,53.9,51.53,53.42,526051.0
2018-01-18,52.37,52.37,51.3,51.43,308968.0,0.0,1.0,52.37,52.37,51.3,51.43,308968.0
2018-01-17,53.0,53.135,51.99,52.37,168712.0,0.0,1.0,53.0,53.135,51.99,52.37,168712.0
2018-01-16,53.17,53.33,52.63,52.74,353658.0,0.0,1.0,53.17,53.33,52.63,52.74,353658.0
2018-01-12,52.08,52.88,51.6301,52.71,516387.0,0.0,1.0,52.08,52.88,51.6301,52.71,516387.0
