Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,6.85,7.06,6.69,6.71,2884417.0,0.0,1.0,6.85,7.06,6.69,6.71,2884417.0
2018-03-26,6.89,6.94,6.59,6.85,3957944.0,0.0,1.0,6.89,6.94,6.59,6.85,3957944.0
2018-03-23,6.86,7.06,6.8,6.83,2578260.0,0.0,1.0,6.86,7.06,6.8,6.83,2578260.0
2018-03-22,6.78,7.0,6.78,6.85,5704723.0,0.0,1.0,6.78,7.0,6.78,6.85,5704723.0
2018-03-21,6.93,6.975,6.85,6.85,3413092.0,0.0,1.0,6.93,6.975,6.85,6.85,3413092.0
2018-03-20,7.08,7.14,6.905,6.93,2373680.0,0.0,1.0,7.08,7.14,6.905,6.93,2373680.0
2018-03-19,7.24,7.25,7.07,7.13,2249640.0,0.0,1.0,7.24,7.25,7.07,7.13,2249640.0
2018-03-16,7.26,7.4185,7.21,7.24,2732802.0,0.0,1.0,7.26,7.4185,7.21,7.24,2732802.0
2018-03-15,7.37,7.42,7.135,7.23,1878572.0,0.0,1.0,7.37,7.42,7.135,7.23,1878572.0
2018-03-14,7.34,7.42,7.27,7.36,1478453.0,0.0,1.0,7.34,7.42,7.27,7.36,1478453.0
2018-03-13,7.44,7.49,7.29,7.35,2581793.0,0.0,1.0,7.44,7.49,7.29,7.35,2581793.0
2018-03-12,7.38,7.43,7.31,7.39,1642472.0,0.0,1.0,7.38,7.43,7.31,7.39,1642472.0
2018-03-09,7.66,7.66,7.36,7.38,2168253.0,0.0,1.0,7.66,7.66,7.36,7.38,2168253.0
2018-03-08,7.48,7.51,7.3,7.37,2130245.0,0.0,1.0,7.48,7.51,7.3,7.37,2130245.0
2018-03-07,7.24,7.59,7.16,7.47,3456954.0,0.0,1.0,7.24,7.59,7.16,7.47,3456954.0
2018-03-06,7.24,7.34,7.07,7.27,3599589.0,0.0,1.0,7.24,7.34,7.07,7.27,3599589.0
2018-03-05,7.0,7.25,6.97,7.23,3604673.0,0.0,1.0,7.0,7.25,6.97,7.23,3604673.0
2018-03-02,6.6,7.08,6.59,7.04,4222659.0,0.0,1.0,6.6,7.08,6.59,7.04,4222659.0
2018-03-01,6.76,6.76,6.385,6.55,5350226.0,0.0,1.0,6.76,6.76,6.385,6.55,5350226.0
2018-02-28,6.75,6.83,6.49,6.53,5636130.0,0.0,1.0,6.75,6.83,6.49,6.53,5636130.0
2018-02-27,6.87,7.02,6.6,6.81,4710865.0,0.0,1.0,6.87,7.02,6.6,6.81,4710865.0
2018-02-26,6.83,7.245,6.57,7.0,6203260.0,0.0,1.0,6.83,7.245,6.57,7.0,6203260.0
