Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,105.49,105.77,100.95,101.29,344915.0,0.0,1.0,105.49,105.77,100.95,101.29,344915.0
2018-03-26,105.0,105.34,102.93,105.01,422439.0,0.0,1.0,105.0,105.34,102.93,105.01,422439.0
2018-03-23,106.74,107.48,103.26,103.31,307113.0,0.0,1.0,106.74,107.48,103.26,103.31,307113.0
2018-03-22,108.25,108.99,106.58,106.84,204993.0,0.0,1.0,108.25,108.99,106.58,106.84,204993.0
2018-03-21,107.8,109.63,107.3,108.9,144652.0,0.0,1.0,107.8,109.63,107.3,108.9,144652.0
2018-03-20,107.31,108.71,107.31,107.8,180131.0,0.0,1.0,107.31,108.71,107.31,107.8,180131.0
2018-03-19,107.68,108.35,105.69,107.6,166981.0,0.0,1.0,107.68,108.35,105.69,107.6,166981.0
2018-03-16,109.31,109.31,107.12,108.2,344785.0,0.0,1.0,109.31,109.31,107.12,108.2,344785.0
2018-03-15,109.13,110.4,108.01,108.91,197283.0,0.0,1.0,109.13,110.4,108.01,108.91,197283.0
2018-03-14,108.07,109.4,106.32,108.67,153669.0,0.0,1.0,108.07,109.4,106.32,108.67,153669.0
2018-03-13,110.02,110.86,107.44,107.54,284901.0,0.0,1.0,110.02,110.86,107.44,107.54,284901.0
2018-03-12,106.87,110.13,106.51,109.58,338915.0,0.0,1.0,106.87,110.13,106.51,109.58,338915.0
2018-03-09,111.62,116.07,110.75,111.25,263876.0,0.0,1.0,111.62,116.07,110.75,111.25,263876.0
2018-03-08,108.96,110.8,108.17,110.6,257897.0,0.0,1.0,108.96,110.8,108.17,110.6,257897.0
2018-03-07,105.69,109.12,104.43,108.63,410805.0,0.0,1.0,105.69,109.12,104.43,108.63,410805.0
2018-03-06,105.15,106.64,103.11,106.4,376863.0,0.0,1.0,105.15,106.64,103.11,106.4,376863.0
2018-03-05,102.42,105.16,100.45,104.59,231311.0,0.0,1.0,102.42,105.16,100.45,104.59,231311.0
2018-03-02,99.82,103.53,98.665,103.14,270146.0,0.0,1.0,99.82,103.53,98.665,103.14,270146.0
2018-03-01,102.43,103.46,99.24,100.73,302356.0,0.0,1.0,102.43,103.46,99.24,100.73,302356.0
2018-02-28,103.55,104.58,102.39,102.52,241140.0,0.0,1.0,103.55,104.58,102.39,102.52,241140.0
2018-02-27,104.23,105.2,103.03,103.25,235835.0,0.0,1.0,104.23,105.2,103.03,103.25,235835.0
2018-02-26,103.67,104.49,101.97,104.06,212883.0,0.0,1.0,103.67,104.49,101.97,104.06,212883.0
2018-02-23,102.1,103.33,101.22,103.25,196834.0,0.0,1.0,102.1,103.33,101.22,103.25,196834.0
2018-02-22,101.24,102.3499,100.29,101.43,169717.0,0.0,1.0,101.24,102.3499,100.29,101.43,169717.0
2018-02-21,100.12,104.08,99.2,101.09,379430.0,0.0,1.0,100.12,104.08,99.2,101.09,379430.0
2018-02-20,98.27,100.83,97.255,100.12,323819.0,0.0,1.0,98.27,100.83,97.255,100.12,323819.0
2018-02-16,98.64,100.88,98.07,100.05,451059.0,0.0,1.0,98.64,100.88,98.07,100.05,451059.0
2018-02-15,97.06,99.38,95.47,99.1,298322.0,0.0,1.0,97.06,99.38,95.47,99.1,298322.0
2018-02-14,94.2,97.99,93.06,97.33,359634.0,0.0,1.0,94.2,97.99,93.06,97.33,359634.0
2018-02-13,93.06,95.31,92.47,95.2,240697.0,0.0,1.0,93.06,95.31,92.47,95.2,240697.0
2018-02-12,94.0,95.7,92.67,93.74,377710.0,0.0,1.0,94.0,95.7,92.67,93.74,377710.0
2018-02-09,95.13,97.76,90.449,93.52,564097.0,0.0,1.0,95.13,97.76,90.449,93.52,564097.0
2018-02-08,100.45,100.45,93.94,94.38,553965.0,0.0,1.0,100.45,100.45,93.94,94.38,553965.0
2018-02-07,93.06,101.99,92.3,99.34,1076830.0,0.0,1.0,93.06,101.99,92.3,99.34,1076830.0
2018-02-06,88.53,93.25,87.75,91.75,560447.0,0.0,1.0,88.53,93.25,87.75,91.75,560447.0
2018-02-05,91.51,93.27,90.2,90.36,223274.0,0.0,1.0,91.51,93.27,90.2,90.36,223274.0
2018-02-02,94.77,96.78,92.13,92.16,295663.0,0.0,1.0,94.77,96.78,92.13,92.16,295663.0
2018-02-01,95.13,96.15,94.85,95.8,339951.0,0.0,1.0,95.13,96.15,94.85,95.8,339951.0
2018-01-31,96.28,96.59,95.43,95.82,322382.0,0.0,1.0,96.28,96.59,95.43,95.82,322382.0
2018-01-30,95.35,97.225,95.33,95.69,240238.0,0.0,1.0,95.35,97.225,95.33,95.69,240238.0
2018-01-29,96.36,97.33,95.87,96.01,198211.0,0.0,1.0,96.36,97.33,95.87,96.01,198211.0
2018-01-26,95.32,96.9,94.71,96.73,163524.0,0.0,1.0,95.32,96.9,94.71,96.73,163524.0
2018-01-25,95.36,96.681,94.86,95.06,218712.0,0.0,1.0,95.36,96.681,94.86,95.06,218712.0
2018-01-24,96.38,96.99,95.025,95.08,321259.0,0.0,1.0,96.38,96.99,95.025,95.08,321259.0
2018-01-23,95.66,96.64,95.3,95.83,304854.0,0.0,1.0,95.66,96.64,95.3,95.83,304854.0
2018-01-22,95.57,96.55,95.41,95.7,301806.0,0.0,1.0,95.57,96.55,95.41,95.7,301806.0
2018-01-19,94.84,96.51,94.38,95.8,298749.0,0.0,1.0,94.84,96.51,94.38,95.8,298749.0
2018-01-18,94.57,95.475,94.33,94.48,269632.0,0.0,1.0,94.57,95.475,94.33,94.48,269632.0
2018-01-17,94.14,94.775,94.0,94.54,208649.0,0.0,1.0,94.14,94.775,94.0,94.54,208649.0
2018-01-16,95.54,96.72,93.91,94.04,249319.0,0.0,1.0,95.54,96.72,93.91,94.04,249319.0
2018-01-12,95.23,96.2,94.41,95.55,121498.0,0.0,1.0,95.23,96.2,94.41,95.55,121498.0
2018-01-11,93.0,95.37,93.0,95.06,157616.0,0.0,1.0,93.0,95.37,93.0,95.06,157616.0
2018-01-10,92.89,93.85,91.95,93.72,176292.0,0.0,1.0,92.89,93.85,91.95,93.72,176292.0
2018-01-09,96.09,96.61,93.49,93.53,178070.0,0.0,1.0,96.09,96.61,93.49,93.53,178070.0
2018-01-08,94.15,96.0,93.515,95.81,197695.0,0.0,1.0,94.15,96.0,93.515,95.81,197695.0
2018-01-05,94.84,95.53,94.16,94.49,210000.0,0.0,1.0,94.84,95.53,94.16,94.49,210000.0
2018-01-04,94.85,95.83,94.26,94.54,146858.0,0.0,1.0,94.85,95.83,94.26,94.54,146858.0
2018-01-03,94.41,94.955,93.65,94.42,182380.0,0.0,1.0,94.41,94.955,93.65,94.42,182380.0
2018-01-02,95.12,95.12,93.11,94.32,229607.0,0.0,1.0,95.12,95.12,93.11,94.32,229607.0
2017-12-29,95.1,95.86,94.49,94.49,154622.0,0.0,1.0,95.1,95.86,94.49,94.49,154622.0
2017-12-28,96.14,96.14,94.61,95.0,106421.0,0.0,1.0,96.14,96.14,94.61,95.0,106421.0
2017-12-27,95.66,96.98,94.995,96.13,106494.0,0.0,1.0,95.66,96.98,94.995,96.13,106494.0
2017-12-26,95.83,96.17,95.26,95.51,159193.0,0.0,1.0,95.83,96.17,95.26,95.51,159193.0
2017-12-22,96.86,96.86,95.695,96.18,203404.0,0.0,1.0,96.86,96.86,95.695,96.18,203404.0
2017-12-21,97.0,97.355,96.16,96.65,281355.0,0.0,1.0,97.0,97.355,96.16,96.65,281355.0
2017-12-20,97.83,98.15,96.05,96.69,189862.0,0.0,1.0,97.83,98.15,96.05,96.69,189862.0
2017-12-19,97.4,97.84,96.71,97.45,184162.0,0.0,1.0,97.4,97.84,96.71,97.45,184162.0
2017-12-18,97.35,98.47,96.56,97.41,163663.0,0.0,1.0,97.35,98.47,96.56,97.41,163663.0
2017-12-15,95.66,97.55,94.67,96.9,387996.0,0.0,1.0,95.66,97.55,94.67,96.9,387996.0
2017-12-14,96.35,97.2,95.18,95.52,169227.0,0.0,1.0,96.35,97.2,95.18,95.52,169227.0
2017-12-13,95.6,96.68,95.6,96.32,148130.0,0.0,1.0,95.6,96.68,95.6,96.32,148130.0
2017-12-12,95.9,96.23,95.28,95.39,129956.0,0.0,1.0,95.9,96.23,95.28,95.39,129956.0
2017-12-11,95.44,96.61,94.92,95.72,178286.0,0.0,1.0,95.44,96.61,94.92,95.72,178286.0
2017-12-08,96.96,97.68,95.34,95.43,165371.0,0.0,1.0,96.96,97.68,95.34,95.43,165371.0
2017-12-07,96.06,96.93,95.66,96.38,187861.0,0.0,1.0,96.06,96.93,95.66,96.38,187861.0
2017-12-06,95.53,97.18,94.37,96.1,117189.0,0.0,1.0,95.53,97.18,94.37,96.1,117189.0
2017-12-05,95.12,97.0438,94.755,95.8,219532.0,0.0,1.0,95.12,97.0438,94.755,95.8,219532.0
2017-12-04,98.38,98.38,94.64,95.11,231095.0,0.0,1.0,98.38,98.38,94.64,95.11,231095.0
2017-12-01,98.43,98.55,94.96,97.5,224089.0,0.0,1.0,98.43,98.55,94.96,97.5,224089.0
2017-11-30,98.89,99.21,97.14,98.45,404336.0,0.0,1.0,98.89,99.21,97.14,98.45,404336.0
2017-11-29,103.59,104.13,98.03,98.2,392863.0,0.0,1.0,103.59,104.13,98.03,98.2,392863.0
2017-11-28,102.39,103.7,101.73,103.56,216059.0,0.0,1.0,102.39,103.7,101.73,103.56,216059.0
2017-11-27,102.77,103.14,101.98,102.32,131441.0,0.12,1.0,102.77,103.14,101.98,102.32,131441.0
2017-11-24,102.45,103.32,101.74,103.12,49082.0,0.0,1.0,102.32998828583,103.19896915267,101.62081999219,102.99920343615999,49082.0
2017-11-22,103.95,104.55,102.23,102.43,123864.0,0.0,1.0,103.8282311597,104.42752830925,102.11024599765999,102.31001171417,123864.0
2017-11-21,102.96,104.53,102.96,103.79,146300.0,0.0,1.0,102.83939086294001,104.4075517376,102.83939086294001,103.66841858649,146300.0
2017-11-20,102.11,103.43,101.285,102.57,171006.0,0.0,1.0,101.99038656775,103.30884029676001,101.16635298711,102.44984771573999,171006.0
2017-11-17,100.32,102.06,100.085,102.04,196686.0,0.0,1.0,100.20248340491999,101.94044513861999,99.96775868801201,101.92046856696999,196686.0
2017-11-16,99.57,102.12,99.57,100.67,257814.0,0.0,1.0,99.453361967981,102.00037485357001,99.453361967981,100.55207340882,257814.0
2017-11-15,100.3,100.93,98.77,98.98,330804.0,0.0,1.0,100.18250683327,100.8117688403,98.654299101913,98.864053104256,330804.0
2017-11-14,99.31,101.36,99.05,101.23,214339.0,0.0,1.0,99.193666536509,101.24126513080999,98.933971105037,101.11141741507,214339.0
2017-11-13,98.74,99.91,98.14,99.89,112125.0,0.0,1.0,98.624334244436,99.79296368605999,98.02503709488501,99.772987114408,112125.0
2017-11-10,98.48,99.83,98.27,99.43,159633.0,0.0,1.0,98.364638812964,99.71305739945299,98.154884810621,99.313525966419,159633.0
2017-11-09,98.83,99.34,97.5401,98.45,183478.0,0.0,1.0,98.714228816868,99.223631393987,97.42583982819201,98.334673955486,183478.0
2017-11-07,99.49,100.03,97.47,98.67,244460.0,0.0,1.0,99.373455681374,99.91282311597,97.355821944553,98.554416243655,244460.0
2017-11-06,100.03,100.82,99.655,99.77,249716.0,0.0,1.0,99.91282311597,100.70189769621,99.53826239750099,99.653127684498,249716.0
2017-11-03,98.86,100.96,98.44,100.47,337468.0,0.0,1.0,98.74419367434601,100.84173369777001,98.32468566966,100.35230769230999,337468.0
2017-11-02,98.9,99.65,98.01,98.89,221339.0,0.0,1.0,98.784146817649,99.533268254588,97.895189379149,98.774158531824,221339.0
2017-11-01,102.25,102.265,97.87,98.9,376621.0,0.0,1.0,102.13022256930999,102.14520499805,97.755353377587,98.784146817649,376621.0
2017-10-31,101.46,102.37,100.33,101.3,315350.0,0.0,1.0,101.34114798907,102.25008199921999,100.21247169075001,101.18133541584999,315350.0
2017-10-30,102.46,103.41,101.11,101.27,577515.0,0.0,1.0,102.33997657165001,103.28886372510999,100.99155798515999,101.15137055838001,577515.0
2017-10-27,97.51,102.93,96.98,102.39,925148.0,0.0,1.0,97.39577508785601,102.80942600546999,96.866395939086,102.27005857086999,925148.0
2017-10-26,93.93,97.07,91.37,96.82,690485.0,0.0,1.0,93.819968762202,96.95629051151899,91.26296759078501,96.70658336587299,690485.0
2017-10-25,91.25,92.29,90.75,91.12,255670.0,0.0,1.0,91.143108160875,92.181889886763,90.64369386958201,91.01326044513901,255670.0
2017-10-24,92.6,92.8331,90.67,91.52,377490.0,0.0,1.0,92.491526747364,92.724353689965,90.56378758297501,91.41279187817301,377490.0
2017-10-23,93.45,93.95,92.34,92.43,245307.0,0.0,1.0,93.340531042561,93.839945333854,92.231831315892,92.321725888325,245307.0
2017-10-20,92.37,93.0,91.6901,93.0,281634.0,0.0,1.0,92.26179617337,92.891058180398,91.58269262007,92.891058180398,281634.0
2017-10-19,91.88,92.29,90.75,91.67,290870.0,0.0,1.0,91.772370167903,92.181889886763,90.64369386958201,91.56261616556,290870.0
2017-10-18,91.89,92.85,91.03,91.95,273204.0,0.0,1.0,91.782358453729,92.741233893011,90.923365872706,91.84228816868401,273204.0
2017-10-17,92.35,92.745,91.22,91.46,154741.0,0.0,1.0,92.241819601718,92.63635689183901,91.11314330339701,91.352862163217,154741.0
2017-10-16,91.2,93.23,90.65,92.33,302770.0,0.0,1.0,91.093166731745,93.120788754393,90.54381101132401,92.221843030066,302770.0
2017-10-13,91.3,91.3,90.38,90.71,235758.0,0.0,1.0,91.19304959000401,91.19304959000401,90.27412729402599,90.60374072627899,235758.0
2017-10-12,89.95,92.13,89.82,91.11,282354.0,0.0,1.0,89.84463100351401,92.022077313549,89.71478328777799,91.003272159313,282354.0
2017-10-11,89.45,90.005,89.38,89.96,176429.0,0.0,1.0,89.345216712222,89.899566575556,89.275298711441,89.85461928934,176429.0
2017-10-10,89.33,89.73,88.9,89.53,118834.0,0.0,1.0,89.22535728231199,89.62488871534599,88.7958609918,89.425122998829,118834.0
2017-10-09,88.98,89.23899999999999,88.56,88.9,110366.0,0.0,1.0,88.875767278407,89.134463881296,88.456259273721,88.7958609918,110366.0
2017-10-06,87.83,88.84,87.37,88.77,211354.0,0.0,1.0,87.72711440843399,88.735931276845,87.267653260445,88.66601327606399,211354.0
2017-10-05,88.76,88.91,87.25,88.29,196270.0,0.0,1.0,88.656024990238,88.805849277626,87.147793830535,88.186575556423,196270.0
2017-10-04,88.05,88.81,86.93,88.75,176437.0,0.0,1.0,87.94685669660299,88.705966419367,86.82816868410801,88.646036704412,176437.0
2017-10-03,87.8,88.52,87.705,88.44,166676.0,0.0,1.0,87.697149550957,88.416306130418,87.602260835611,88.336399843811,166676.0
2017-10-02,87.95,88.28,86.8,87.51,247317.0,0.0,1.0,87.846973838344,88.176587270597,86.698320968372,87.407489262007,247317.0
2017-09-29,86.93,88.25,86.6,87.8,286327.0,0.0,1.0,86.82816868410801,88.14662241312,86.498555251855,87.697149550957,286327.0
2017-09-28,86.47,87.3,85.49,87.15,178218.0,0.0,1.0,86.368707536119,87.197735259664,85.389855525185,87.047910972276,178218.0
2017-09-27,84.29,87.06,84.29,86.7,277366.0,0.0,1.0,84.19126122608401,86.958016399844,84.19126122608401,86.598438110113,277366.0
2017-09-26,83.73,84.39,83.31,83.72,129030.0,0.0,1.0,83.631917219836,84.29114408434201,83.21240921515,83.62192893401,129030.0
2017-09-25,84.77,84.91,83.07,83.43,233657.0,0.0,1.0,84.670698945724,84.810534947286,82.97269035533002,83.33226864506099,233657.0
2017-09-22,83.58,85.24,83.58,84.97,219777.0,0.0,1.0,83.482092932448,85.140148379539,83.482092932448,84.870464662241,219777.0
2017-09-21,83.59,84.11,82.9,83.01,234722.0,0.0,1.0,83.492081218274,84.011472081218,82.802889496291,82.912760640375,234722.0
2017-09-20,83.87,84.18,83.12,83.58,359364.0,0.0,1.0,83.771753221398,84.08139008199899,83.022631784459,83.482092932448,359364.0
2017-09-19,83.98,84.67,83.355,83.77,245928.0,0.0,1.0,83.881624365482,84.570816087466,83.257356501367,83.67187036313899,245928.0
2017-09-18,83.65,84.35,83.45,83.79,151775.0,0.0,1.0,83.552010933229,84.251190941039,83.35224521671199,83.691846934791,151775.0
2017-09-15,84.5,84.88,82.96,83.62,485199.0,0.0,1.0,84.401015228426,84.780570089809,82.862819211246,83.522046075752,485199.0
2017-09-14,84.29,84.63,83.605,84.59,155085.0,0.0,1.0,84.19126122608401,84.530862944162,83.507063647013,84.490909800859,155085.0
2017-09-13,85.43,86.14,84.11,84.26,225719.0,0.0,1.0,85.32992581023001,86.039094103866,84.011472081218,84.161296368606,225719.0
2017-09-12,85.74,86.06,84.75,85.37,228778.0,0.0,1.0,85.639562670832,85.95918781725901,84.650722374073,85.269996095275,228778.0
2017-09-11,85.6,86.97,85.3,85.82,305976.0,0.0,1.0,85.49972666926999,86.868121827411,85.200078094494,85.719468957438,305976.0
2017-09-08,84.38,85.19,84.0,84.94,161314.0,0.0,1.0,84.281155798516,85.09020695040999,83.90160093713399,84.84049980476401,161314.0
