Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,46.9,47.1,45.95,46.1,102292.0,0.0,1.0,46.9,47.1,45.95,46.1,102292.0
2018-03-26,46.75,47.0,46.0,46.7,82708.0,0.0,1.0,46.75,47.0,46.0,46.7,82708.0
2018-03-23,47.65,47.95,46.0,46.0,123533.0,0.0,1.0,47.65,47.95,46.0,46.0,123533.0
2018-03-22,47.75,48.15,47.4,47.5,94926.0,0.0,1.0,47.75,48.15,47.4,47.5,94926.0
2018-03-21,47.5,48.55,47.5,48.25,94435.0,0.0,1.0,47.5,48.55,47.5,48.25,94435.0
2018-03-20,48.65,48.845,47.5,47.5,98368.0,0.0,1.0,48.65,48.845,47.5,47.5,98368.0
2018-03-19,48.75,48.75,47.9,48.6,69366.0,0.0,1.0,48.75,48.75,47.9,48.6,69366.0
2018-03-16,48.4,49.05,48.4,48.9,323052.0,0.0,1.0,48.4,49.05,48.4,48.9,323052.0
2018-03-15,48.85,48.85,48.1,48.5,82508.0,0.0,1.0,48.85,48.85,48.1,48.5,82508.0
2018-03-14,49.1,49.25,48.65,48.8,94318.0,0.0,1.0,49.1,49.25,48.65,48.8,94318.0
2018-03-13,49.4,49.55,48.75,48.95,73286.0,0.0,1.0,49.4,49.55,48.75,48.95,73286.0
2018-03-12,49.2,49.85,49.15,49.3,79420.0,0.0,1.0,49.2,49.85,49.15,49.3,79420.0
2018-03-09,48.75,49.55,48.7,49.2,93340.0,0.0,1.0,48.75,49.55,48.7,49.2,93340.0
2018-03-08,48.95,48.95,48.2,48.4,72624.0,0.0,1.0,48.95,48.95,48.2,48.4,72624.0
2018-03-07,48.8,49.49,48.505,48.75,201013.0,0.0,1.0,48.8,49.49,48.505,48.75,201013.0
2018-03-06,48.65,49.35,48.375,49.3,110754.0,0.0,1.0,48.65,49.35,48.375,49.3,110754.0
