Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,69.55,69.9,67.8,68.25,7944.0,0.0,1.0,69.55,69.9,67.8,68.25,7944.0
2018-03-26,68.1,70.25,68.05,69.5,11309.0,0.0,1.0,68.1,70.25,68.05,69.5,11309.0
2018-03-23,69.45,69.45,67.05,67.2,18067.0,0.0,1.0,69.45,69.45,67.05,67.2,18067.0
2018-03-22,70.5,70.95,68.25,69.55,20105.0,0.0,1.0,70.5,70.95,68.25,69.55,20105.0
2018-03-21,71.4,72.4,70.655,71.0,35591.0,0.0,1.0,71.4,72.4,70.655,71.0,35591.0
2018-03-20,72.8,72.8,71.35,71.45,11846.0,0.0,1.0,72.8,72.8,71.35,71.45,11846.0
2018-03-19,72.7,73.3474,71.85,72.55,26488.0,0.0,1.0,72.7,73.3474,71.85,72.55,26488.0
2018-03-16,74.2,76.1,72.15,72.9,106700.0,0.0,1.0,74.2,76.1,72.15,72.9,106700.0
2018-03-15,73.1,74.15,73.05,74.0,14311.0,0.0,1.0,73.1,74.15,73.05,74.0,14311.0
2018-03-14,73.0,73.65,72.5,73.0,19587.0,0.0,1.0,73.0,73.65,72.5,73.0,19587.0
2018-03-13,73.2,73.95,72.3899,73.0,17626.0,0.0,1.0,73.2,73.95,72.3899,73.0,17626.0
2018-03-12,72.3,73.15,70.8,73.0,14791.0,0.0,1.0,72.3,73.15,70.8,73.0,14791.0
2018-03-09,70.05,72.7,69.9,72.05,23903.0,0.0,1.0,70.05,72.7,69.9,72.05,23903.0
2018-03-08,70.65,71.825,69.55,70.05,26850.0,0.0,1.0,70.65,71.825,69.55,70.05,26850.0
2018-03-07,69.9,71.5,69.9,71.25,10467.0,0.0,1.0,69.9,71.5,69.9,71.25,10467.0
2018-03-06,69.0,70.45,68.45,70.3,15250.0,0.0,1.0,69.0,70.45,68.45,70.3,15250.0
2018-03-05,67.9,69.8,67.9,69.15,10048.0,0.0,1.0,67.9,69.8,67.9,69.15,10048.0
2018-03-02,66.35,68.75,66.35,68.45,11184.0,0.0,1.0,66.35,68.75,66.35,68.45,11184.0
2018-03-01,66.65,67.5,65.75,67.15,20258.0,0.0,1.0,66.65,67.5,65.75,67.15,20258.0
2018-02-28,68.3,69.175,65.8,66.15,13492.0,0.0,1.0,68.3,69.175,65.8,66.15,13492.0
2018-02-27,69.4,70.65,67.9501,68.5,11975.0,0.0,1.0,69.4,70.65,67.9501,68.5,11975.0
2018-02-26,68.45,69.65,67.6,69.2,53321.0,0.0,1.0,68.45,69.65,67.6,69.2,53321.0
2018-02-23,69.0,69.0,68.25,68.5,19213.0,0.0,1.0,69.0,69.0,68.25,68.5,19213.0
2018-02-22,69.2,69.325,68.575,68.85,10248.0,0.0,1.0,69.2,69.325,68.575,68.85,10248.0
2018-02-21,68.1388,69.9,68.1388,69.25,10493.0,0.0,1.0,68.1388,69.9,68.1388,69.25,10493.0
2018-02-20,68.45,68.45,66.9,67.2,17760.0,0.0,1.0,68.45,68.45,66.9,67.2,17760.0
2018-02-16,67.85,69.7,67.85,69.1,9024.0,0.0,1.0,67.85,69.7,67.85,69.1,9024.0
2018-02-15,68.0,68.45,67.75,68.25,6973.0,0.0,1.0,68.0,68.45,67.75,68.25,6973.0
2018-02-14,66.6,68.0,66.6,68.0,22437.0,0.0,1.0,66.6,68.0,66.6,68.0,22437.0
2018-02-13,66.7,68.0,66.7,67.15,29769.0,0.0,1.0,66.7,68.0,66.7,67.15,29769.0
2018-02-12,67.25,67.25,65.65,66.7,22808.0,0.0,1.0,67.25,67.25,65.65,66.7,22808.0
2018-02-09,66.0,67.5,65.6,67.1,15681.0,0.0,1.0,66.0,67.5,65.6,67.1,15681.0
2018-02-08,65.6,66.65,65.3,65.5,17580.0,0.0,1.0,65.6,66.65,65.3,65.5,17580.0
2018-02-07,65.95,66.8,65.4,66.2,10874.0,0.0,1.0,65.95,66.8,65.4,66.2,10874.0
2018-02-06,65.2,67.4338,63.5,66.6,25420.0,0.0,1.0,65.2,67.4338,63.5,66.6,25420.0
