Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,1.8,1.89,1.7,1.8492,72531.0,0.0,1.0,1.8,1.89,1.7,1.8492,72531.0
2018-03-26,1.8,1.8,1.76,1.77,5795.0,0.0,1.0,1.8,1.8,1.76,1.77,5795.0
2018-03-23,1.75,1.81,1.75,1.81,48962.0,0.0,1.0,1.75,1.81,1.75,1.81,48962.0
2018-03-22,1.7301,1.7703,1.73,1.77,19831.0,0.0,1.0,1.7301,1.7703,1.73,1.77,19831.0
2018-03-21,1.7,1.79,1.7,1.74,38623.0,0.0,1.0,1.7,1.79,1.7,1.74,38623.0
2018-03-20,1.87,1.87,1.73,1.74,39145.0,0.0,1.0,1.87,1.87,1.73,1.74,39145.0
2018-03-19,1.9,1.9,1.7951,1.88,31927.0,0.0,1.0,1.9,1.9,1.7951,1.88,31927.0
2018-03-16,1.82,1.88,1.7218,1.87,37779.0,0.0,1.0,1.82,1.88,1.7218,1.87,37779.0
2018-03-15,1.99,1.99,1.7103,1.83,45194.0,0.0,1.0,1.99,1.99,1.7103,1.83,45194.0
2018-03-14,1.83,1.9046,1.7008,1.71,101572.0,0.0,1.0,1.83,1.9046,1.7008,1.71,101572.0
2018-03-13,1.91,1.979,1.85,1.89,100477.0,0.0,1.0,1.91,1.979,1.85,1.89,100477.0
2018-03-12,1.83,1.9,1.8,1.87,84687.0,0.0,1.0,1.83,1.9,1.8,1.87,84687.0
2018-03-09,1.86,1.9,1.7409999999999999,1.81,75869.0,0.0,1.0,1.86,1.9,1.7409999999999999,1.81,75869.0
2018-03-08,1.75,1.88,1.74,1.87,156755.0,0.0,1.0,1.75,1.88,1.74,1.87,156755.0
2018-03-07,1.76,1.82,1.73,1.74,91760.0,0.0,1.0,1.76,1.82,1.73,1.74,91760.0
2018-03-06,1.81,1.8191,1.72,1.76,80783.0,0.0,1.0,1.81,1.8191,1.72,1.76,80783.0
2018-03-05,1.67,1.85,1.67,1.8,188498.0,0.0,1.0,1.67,1.85,1.67,1.8,188498.0
2018-03-02,1.65,1.68,1.6101,1.66,34305.0,0.0,1.0,1.65,1.68,1.6101,1.66,34305.0
2018-03-01,1.7,1.7099,1.61,1.68,46363.0,0.0,1.0,1.7,1.7099,1.61,1.68,46363.0
2018-02-28,1.67,1.7492,1.64,1.69,65358.0,0.0,1.0,1.67,1.7492,1.64,1.69,65358.0
2018-02-27,1.63,1.73,1.621,1.68,76088.0,0.0,1.0,1.63,1.73,1.621,1.68,76088.0
2018-02-26,1.62,1.69,1.5508,1.64,69447.0,0.0,1.0,1.62,1.69,1.5508,1.64,69447.0
2018-02-23,1.7378,1.7378,1.55,1.619,59838.0,0.0,1.0,1.7378,1.7378,1.55,1.619,59838.0
2018-02-22,1.69,1.71,1.61,1.6612,51702.0,0.0,1.0,1.69,1.71,1.61,1.6612,51702.0
2018-02-21,1.65,1.75,1.62,1.66,74534.0,0.0,1.0,1.65,1.75,1.62,1.66,74534.0
2018-02-20,1.55,1.64,1.55,1.63,46169.0,0.0,1.0,1.55,1.64,1.55,1.63,46169.0
2018-02-16,1.59,1.64,1.535,1.58,78191.0,0.0,1.0,1.59,1.64,1.535,1.58,78191.0
2018-02-15,1.66,1.7282,1.58,1.5998,110172.0,0.0,1.0,1.66,1.7282,1.58,1.5998,110172.0
2018-02-14,1.8,1.8,1.55,1.6672,131495.0,0.0,1.0,1.8,1.8,1.55,1.6672,131495.0
2018-02-13,1.92,1.92,1.7506,1.82,104956.0,0.0,1.0,1.92,1.92,1.7506,1.82,104956.0
2018-02-12,1.9,2.0874,1.7501,1.93,447981.0,0.0,1.0,1.9,2.0874,1.7501,1.93,447981.0
2018-02-09,1.82,2.33,1.55,1.8301,785081.0,0.0,1.0,1.82,2.33,1.55,1.8301,785081.0
2018-02-08,0.195,0.1979,0.185,0.18600000000000003,764257.0,0.0,1.0,0.195,0.1979,0.185,0.18600000000000003,764257.0
2018-02-07,0.2068,0.2068,0.183,0.192,653979.0,0.0,1.0,0.2068,0.2068,0.183,0.192,653979.0
2018-02-06,0.21,0.21,0.195,0.19699999999999998,699903.0,0.0,1.0,0.21,0.21,0.195,0.19699999999999998,699903.0
2018-02-05,0.1881,0.2,0.1801,0.1952,912607.0,0.0,1.0,0.1881,0.2,0.1801,0.1952,912607.0
2018-02-02,0.21,0.21,0.175,0.1888,1544809.0,0.0,1.0,0.21,0.21,0.175,0.1888,1544809.0
2018-02-01,0.2231,0.2231,0.2003,0.2033,639438.0,0.0,1.0,0.2231,0.2231,0.2003,0.2033,639438.0
2018-01-31,0.2375,0.2375,0.2018,0.2069,1623368.0,0.0,1.0,0.2375,0.2375,0.2018,0.2069,1623368.0
2018-01-30,0.25,0.25,0.223,0.2272,824530.0,0.0,1.0,0.25,0.25,0.223,0.2272,824530.0
2018-01-29,0.248,0.259,0.231,0.249,3552538.0,0.0,1.0,0.248,0.259,0.231,0.249,3552538.0
2018-01-26,0.24,0.255,0.23199999999999998,0.2437,932202.0,0.0,1.0,0.24,0.255,0.23199999999999998,0.2437,932202.0
2018-01-25,0.23,0.242,0.2238,0.24,639256.0,0.0,1.0,0.23,0.242,0.2238,0.24,639256.0
2018-01-24,0.2294,0.23,0.22,0.23,486380.0,0.0,1.0,0.2294,0.23,0.22,0.23,486380.0
2018-01-23,0.23,0.23,0.2177,0.2265,407635.0,0.0,1.0,0.23,0.23,0.2177,0.2265,407635.0
2018-01-22,0.2032,0.23199999999999998,0.2032,0.2237,746153.0,0.0,1.0,0.2032,0.23199999999999998,0.2032,0.2237,746153.0
2018-01-19,0.2165,0.22,0.21,0.2153,400925.0,0.0,1.0,0.2165,0.22,0.21,0.2153,400925.0
2018-01-18,0.21,0.215,0.2001,0.2148,476937.0,0.0,1.0,0.21,0.215,0.2001,0.2148,476937.0
2018-01-17,0.21,0.22,0.2,0.2101,327802.0,0.0,1.0,0.21,0.22,0.2,0.2101,327802.0
2018-01-16,0.22,0.2298,0.1951,0.22,719640.0,0.0,1.0,0.22,0.2298,0.1951,0.22,719640.0
2018-01-12,0.235,0.239,0.22,0.2256,610036.0,0.0,1.0,0.235,0.239,0.22,0.2256,610036.0
2018-01-11,0.2253,0.24,0.2222,0.235,936159.0,0.0,1.0,0.2253,0.24,0.2222,0.235,936159.0
2018-01-10,0.22,0.23,0.215,0.221,741579.0,0.0,1.0,0.22,0.23,0.215,0.221,741579.0
2018-01-09,0.223,0.2317,0.21100000000000002,0.2203,627678.0,0.0,1.0,0.223,0.2317,0.21100000000000002,0.2203,627678.0
2018-01-08,0.235,0.235,0.223,0.2266,413650.0,0.0,1.0,0.235,0.235,0.223,0.2266,413650.0
2018-01-05,0.22,0.235,0.22,0.23,732845.0,0.0,1.0,0.22,0.235,0.22,0.23,732845.0
2018-01-04,0.22,0.23,0.21,0.2292,949340.0,0.0,1.0,0.22,0.23,0.21,0.2292,949340.0
2018-01-03,0.21,0.22,0.2015,0.2131,379711.0,0.0,1.0,0.21,0.22,0.2015,0.2131,379711.0
2018-01-02,0.2298,0.2298,0.2005,0.2099,831470.0,0.0,1.0,0.2298,0.2298,0.2005,0.2099,831470.0
2017-12-29,0.207,0.217,0.2,0.2025,739428.0,0.0,1.0,0.207,0.217,0.2,0.2025,739428.0
2017-12-28,0.21,0.21,0.2,0.21,544924.0,0.0,1.0,0.21,0.21,0.2,0.21,544924.0
2017-12-27,0.2139,0.22699999999999998,0.2001,0.209,860616.0,0.0,1.0,0.2139,0.22699999999999998,0.2001,0.209,860616.0
2017-12-26,0.2011,0.2195,0.2,0.2,819155.0,0.0,1.0,0.2011,0.2195,0.2,0.2,819155.0
2017-12-22,0.23,0.23,0.21600000000000003,0.22,390604.0,0.0,1.0,0.23,0.23,0.21600000000000003,0.22,390604.0
2017-12-21,0.23,0.2305,0.2202,0.2244,458284.0,0.0,1.0,0.23,0.2305,0.2202,0.2244,458284.0
2017-12-20,0.2151,0.2275,0.21,0.2201,532088.0,0.0,1.0,0.2151,0.2275,0.21,0.2201,532088.0
2017-12-19,0.23,0.23399999999999999,0.2101,0.2151,1312829.0,0.0,1.0,0.23,0.23399999999999999,0.2101,0.2151,1312829.0
2017-12-18,0.225,0.2425,0.221,0.23,1223646.0,0.0,1.0,0.225,0.2425,0.221,0.23,1223646.0
2017-12-15,0.2276,0.2335,0.22,0.22,929977.0,0.0,1.0,0.2276,0.2335,0.22,0.22,929977.0
