Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.23,29.23,27.35,27.58,549838.0,0.0,1.0,29.23,29.23,27.35,27.58,549838.0
2018-03-26,28.42,29.13,27.5,29.09,690431.0,0.0,1.0,28.42,29.13,27.5,29.09,690431.0
2018-03-23,29.23,29.64,27.78,27.78,724257.0,0.0,1.0,29.23,29.64,27.78,27.78,724257.0
2018-03-22,29.75,30.11,28.97,29.05,515386.0,0.0,1.0,29.75,30.11,28.97,29.05,515386.0
2018-03-21,29.33,30.43,29.33,30.15,533116.0,0.0,1.0,29.33,30.43,29.33,30.15,533116.0
2018-03-20,29.15,29.53,28.78,29.4,325558.0,0.0,1.0,29.15,29.53,28.78,29.4,325558.0
2018-03-19,29.34,29.34,28.39,29.21,427596.0,0.0,1.0,29.34,29.34,28.39,29.21,427596.0
2018-03-16,29.69,29.78,29.4,29.51,863301.0,0.0,1.0,29.69,29.78,29.4,29.51,863301.0
2018-03-15,29.49,29.71,29.18,29.54,495201.0,0.0,1.0,29.49,29.71,29.18,29.54,495201.0
2018-03-14,29.39,29.61,28.86,29.3,585279.0,0.0,1.0,29.39,29.61,28.86,29.3,585279.0
2018-03-13,29.57,29.93,29.03,29.13,414852.0,0.0,1.0,29.57,29.93,29.03,29.13,414852.0
2018-03-12,29.21,29.63,29.0,29.42,893392.0,0.0,1.0,29.21,29.63,29.0,29.42,893392.0
2018-03-09,28.57,29.05,28.5129,28.95,665479.0,0.0,1.0,28.57,29.05,28.5129,28.95,665479.0
2018-03-08,28.28,28.54,27.79,28.22,748122.0,0.0,1.0,28.28,28.54,27.79,28.22,748122.0
2018-03-07,27.74,28.25,27.71,28.2,909293.0,0.0,1.0,27.74,28.25,27.71,28.2,909293.0
2018-03-06,27.48,28.2,27.47,28.03,987267.0,0.0,1.0,27.48,28.2,27.47,28.03,987267.0
2018-03-05,27.14,27.79,26.8,27.38,735402.0,0.0,1.0,27.14,27.79,26.8,27.38,735402.0
2018-03-02,26.2,27.35,25.4,27.24,453007.0,0.0,1.0,26.2,27.35,25.4,27.24,453007.0
2018-03-01,26.74,27.02,26.09,26.52,760073.0,0.1,1.0,26.74,27.02,26.09,26.52,760073.0
2018-02-28,27.25,27.43,26.71,26.71,447733.0,0.0,1.0,27.25,27.43,26.71,26.71,447733.0
2018-02-27,27.45,27.78,26.995,27.0,457382.0,0.0,1.0,27.45,27.78,26.995,27.0,457382.0
2018-02-26,27.35,27.61,26.98,27.55,381848.0,0.0,1.0,27.35,27.61,26.98,27.55,381848.0
2018-02-23,26.46,27.13,26.41,27.08,503094.0,0.0,1.0,26.46,27.13,26.41,27.08,503094.0
2018-02-22,26.64,26.64,25.76,26.35,469515.0,0.0,1.0,26.64,26.64,25.76,26.35,469515.0
2018-02-21,26.61,26.96,26.4,26.51,745799.0,0.0,1.0,26.61,26.96,26.4,26.51,745799.0
2018-02-20,26.02,27.06,25.7994,26.63,709265.0,0.0,1.0,26.02,27.06,25.7994,26.63,709265.0
2018-02-16,26.45,26.8,26.03,26.11,648311.0,0.0,1.0,26.45,26.8,26.03,26.11,648311.0
2018-02-15,26.05,26.66,25.51,26.59,904938.0,0.0,1.0,26.05,26.66,25.51,26.59,904938.0
2018-02-14,24.27,25.86,24.27,25.73,793690.0,0.0,1.0,24.27,25.86,24.27,25.73,793690.0
2018-02-13,24.16,24.75,24.0,24.62,1209804.0,0.0,1.0,24.16,24.75,24.0,24.62,1209804.0
2018-02-12,24.09,24.53,23.35,24.4,1297766.0,0.0,1.0,24.09,24.53,23.35,24.4,1297766.0
2018-02-09,23.72,24.14,22.87,23.82,963770.0,0.0,1.0,23.72,24.14,22.87,23.82,963770.0
2018-02-08,24.49,24.49,23.24,23.3,1483799.0,0.0,1.0,24.49,24.49,23.24,23.3,1483799.0
2018-02-07,24.96,25.42,24.46,24.5,1243126.0,0.0,1.0,24.96,25.42,24.46,24.5,1243126.0
2018-02-06,24.26,25.81,24.000999999999998,25.25,1806821.0,0.0,1.0,24.26,25.81,24.000999999999998,25.25,1806821.0
2018-02-05,26.39,26.9,25.0201,25.06,1517494.0,0.0,1.0,26.39,26.9,25.0201,25.06,1517494.0
2018-02-02,29.36,29.41,23.85,26.935,4954395.0,0.0,1.0,29.36,29.41,23.85,26.935,4954395.0
2018-02-01,27.62,28.61,27.62,28.57,1593488.0,0.0,1.0,27.62,28.61,27.62,28.57,1593488.0
2018-01-31,28.73,29.0752,27.79,27.9,790905.0,0.0,1.0,28.73,29.0752,27.79,27.9,790905.0
2018-01-30,28.4,28.845,27.590999999999998,28.36,675673.0,0.0,1.0,28.4,28.845,27.590999999999998,28.36,675673.0
2018-01-29,29.18,29.18,28.74,28.93,687827.0,0.0,1.0,29.18,29.18,28.74,28.93,687827.0
2018-01-26,29.2,29.27,28.8,29.27,604363.0,0.0,1.0,29.2,29.27,28.8,29.27,604363.0
2018-01-25,29.5,29.695,28.69,28.85,1177887.0,0.0,1.0,29.5,29.695,28.69,28.85,1177887.0
2018-01-24,29.41,29.48,28.44,28.92,1236162.0,0.0,1.0,29.41,29.48,28.44,28.92,1236162.0
2018-01-23,29.25,29.555,28.99,29.53,1074300.0,0.0,1.0,29.25,29.555,28.99,29.53,1074300.0
