Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,33.0,33.6,32.35,32.5,13518.0,0.0,1.0,33.0,33.6,32.35,32.5,13518.0
2018-03-26,32.5,33.4,32.5,33.0,17179.0,0.0,1.0,32.5,33.4,32.5,33.0,17179.0
2018-03-23,33.25,33.4,31.95,32.125,25243.0,0.0,1.0,33.25,33.4,31.95,32.125,25243.0
2018-03-22,33.05,33.35,32.7,33.175,16474.0,0.0,1.0,33.05,33.35,32.7,33.175,16474.0
2018-03-21,33.45,33.45,32.95,33.2,12087.0,0.0,1.0,33.45,33.45,32.95,33.2,12087.0
2018-03-20,33.9,33.9,33.05,33.4,21723.0,0.0,1.0,33.9,33.9,33.05,33.4,21723.0
2018-03-19,33.4,34.35,33.075,33.95,26052.0,0.0,1.0,33.4,34.35,33.075,33.95,26052.0
2018-03-16,33.1,33.95,33.1,33.5,64828.0,0.0,1.0,33.1,33.95,33.1,33.5,64828.0
2018-03-15,33.7,33.8,33.0,33.05,17019.0,0.0,1.0,33.7,33.8,33.0,33.05,17019.0
2018-03-14,33.75,33.75,32.955,33.65,15442.0,0.0,1.0,33.75,33.75,32.955,33.65,15442.0
2018-03-13,33.55,33.9,33.175,33.6,16607.0,0.0,1.0,33.55,33.9,33.175,33.6,16607.0
2018-03-12,33.55,34.0,33.2,33.35,17779.0,0.0,1.0,33.55,34.0,33.2,33.35,17779.0
2018-03-09,33.4,33.8,32.9,33.7,22127.0,0.0,1.0,33.4,33.8,32.9,33.7,22127.0
2018-03-08,33.05,33.35,32.6,33.2,18900.0,0.0,1.0,33.05,33.35,32.6,33.2,18900.0
2018-03-07,33.0,33.6,32.7,33.05,120054.0,0.0,1.0,33.0,33.6,32.7,33.05,120054.0
2018-03-06,31.5,33.35,31.5,33.2,17620.0,0.0,1.0,31.5,33.35,31.5,33.2,17620.0
2018-03-05,32.5,32.75,31.8,32.45,28759.0,0.0,1.0,32.5,32.75,31.8,32.45,28759.0
2018-03-02,32.4,32.75,32.2,32.65,19634.0,0.0,1.0,32.4,32.75,32.2,32.65,19634.0
2018-03-01,32.8,32.8,32.05,32.65,18385.0,0.0,1.0,32.8,32.8,32.05,32.65,18385.0
2018-02-28,33.0,33.35,32.2,32.2,22894.0,0.0,1.0,33.0,33.35,32.2,32.2,22894.0
2018-02-27,33.6,33.9,32.55,32.9,19753.0,0.0,1.0,33.6,33.9,32.55,32.9,19753.0
2018-02-26,34.25,34.8,33.25,33.45,40532.0,0.0,1.0,34.25,34.8,33.25,33.45,40532.0
2018-02-23,33.3,34.3,33.2,34.05,21829.0,0.0,1.0,33.3,34.3,33.2,34.05,21829.0
