Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.18,32.47,31.68,31.81,874974.0,0.0,1.0,32.18,32.47,31.68,31.81,874974.0
2018-03-26,31.45,32.06,31.34,31.99,1114372.0,0.0,1.0,31.45,32.06,31.34,31.99,1114372.0
2018-03-23,32.33,32.43,30.99,31.04,1626180.0,0.0,1.0,32.33,32.43,30.99,31.04,1626180.0
2018-03-22,33.26,33.58,32.18,32.2,1485050.0,0.0,1.0,33.26,33.58,32.18,32.2,1485050.0
2018-03-21,33.53,33.79,33.17,33.58,991689.0,0.0,1.0,33.53,33.79,33.17,33.58,991689.0
2018-03-20,33.68,33.79,33.34,33.53,842805.0,0.0,1.0,33.68,33.79,33.34,33.53,842805.0
2018-03-19,33.04,33.71,33.02,33.6,1660332.0,0.0,1.0,33.04,33.71,33.02,33.6,1660332.0
2018-03-16,33.11,33.65,33.1,33.2,1397065.0,0.0,1.0,33.11,33.65,33.1,33.2,1397065.0
2018-03-15,33.74,34.07,33.08,33.11,1275628.0,0.0,1.0,33.74,34.07,33.08,33.11,1275628.0
2018-03-14,33.45,34.0986,33.42,33.86,1755034.0,0.0,1.0,33.45,34.0986,33.42,33.86,1755034.0
2018-03-13,34.55,34.595,33.36,33.36,2495868.0,0.0,1.0,34.55,34.595,33.36,33.36,2495868.0
2018-03-12,35.48,35.68,34.38,34.4,2354095.0,0.0,1.0,35.48,35.68,34.38,34.4,2354095.0
2018-03-09,35.81,36.09,35.01,35.4,1787259.0,0.0,1.0,35.81,36.09,35.01,35.4,1787259.0
2018-03-08,36.11,36.62,35.69,35.71,745404.0,0.0,1.0,36.11,36.62,35.69,35.71,745404.0
2018-03-07,35.35,36.16,35.35,35.8,1097805.0,0.0,1.0,35.35,36.16,35.35,35.8,1097805.0
2018-03-06,35.44,35.65,35.06,35.65,1166419.0,0.0,1.0,35.44,35.65,35.06,35.65,1166419.0
2018-03-05,34.88,35.62,34.76,35.29,1003687.0,0.0,1.0,34.88,35.62,34.76,35.29,1003687.0
2018-03-02,34.54,35.375,34.09,35.31,1273885.0,0.0,1.0,34.54,35.375,34.09,35.31,1273885.0
2018-03-01,35.64,36.0,34.475,34.93,1294001.0,0.0,1.0,35.64,36.0,34.475,34.93,1294001.0
2018-02-28,35.05,35.65,34.9375,35.38,1426869.0,0.0,1.0,35.05,35.65,34.9375,35.38,1426869.0
2018-02-27,35.3,35.52,34.73,34.96,1328738.0,0.0,1.0,35.3,35.52,34.73,34.96,1328738.0
2018-02-26,35.51,35.69,35.06,35.29,1132639.0,0.0,1.0,35.51,35.69,35.06,35.29,1132639.0
