Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,330.68,336.64,325.14,328.76,85091.0,0.0,1.0,330.68,336.64,325.14,328.76,85091.0
2018-03-26,325.99,331.68,321.181,329.06,62851.0,0.0,1.0,325.99,331.68,321.181,329.06,62851.0
2018-03-23,328.41,330.745,320.741,321.91,116239.0,0.0,1.0,328.41,330.745,320.741,321.91,116239.0
2018-03-22,333.3,336.25,327.155,328.27,78435.0,0.0,1.0,333.3,336.25,327.155,328.27,78435.0
2018-03-21,335.4,338.48,333.665,336.96,91899.0,0.0,1.0,335.4,338.48,333.665,336.96,91899.0
2018-03-20,338.0,338.71,333.49,336.31,78656.0,0.0,1.0,338.0,338.71,333.49,336.31,78656.0
2018-03-19,335.93,339.15,333.15,338.42,151608.0,0.0,1.0,335.93,339.15,333.15,338.42,151608.0
2018-03-16,332.28,338.125,332.28,336.74,124682.0,0.0,1.0,332.28,338.125,332.28,336.74,124682.0
2018-03-15,334.51,336.24,331.35,331.94,100442.0,0.0,1.0,334.51,336.24,331.35,331.94,100442.0
2018-03-14,335.69,339.89,330.0,332.84,78668.0,0.0,1.0,335.69,339.89,330.0,332.84,78668.0
2018-03-13,340.41,341.0,334.08,334.98,85176.0,0.0,1.0,340.41,341.0,334.08,334.98,85176.0
2018-03-12,339.25,342.815,333.95,337.75,129639.0,0.0,1.0,339.25,342.815,333.95,337.75,129639.0
2018-03-09,335.0,340.505,335.0,339.58,67394.0,0.0,1.0,335.0,340.505,335.0,339.58,67394.0
2018-03-08,340.46,341.55,327.165,331.77,90680.0,0.0,1.0,340.46,341.55,327.165,331.77,90680.0
2018-03-07,331.35,338.51,316.38,338.08,76403.0,0.0,1.0,331.35,338.51,316.38,338.08,76403.0
2018-03-06,332.46,338.79,320.8882,335.04,100678.0,0.0,1.0,332.46,338.79,320.8882,335.04,100678.0
2018-03-05,323.14,333.04,323.14,330.82,90263.0,0.0,1.0,323.14,333.04,323.14,330.82,90263.0
2018-03-02,315.11,325.33,313.13,324.54,122020.0,0.0,1.0,315.11,325.33,313.13,324.54,122020.0
2018-03-01,316.63,321.86,315.09,318.19,143444.0,0.0,1.0,316.63,321.86,315.09,318.19,143444.0
2018-02-28,315.51,319.74,314.38,314.69,66244.0,0.0,1.0,315.51,319.74,314.38,314.69,66244.0
2018-02-27,317.69,322.195,314.43,314.61,124196.0,0.0,1.0,317.69,322.195,314.43,314.61,124196.0
2018-02-26,318.0,319.3445,313.11,318.23,95589.0,0.0,1.0,318.0,319.3445,313.11,318.23,95589.0
2018-02-23,314.78,318.005,313.06,317.87,60727.0,0.0,1.0,314.78,318.005,313.06,317.87,60727.0
2018-02-22,322.96,322.96,313.44,314.33,72148.0,0.0,1.0,322.96,322.96,313.44,314.33,72148.0
2018-02-21,320.72,325.935,320.72,321.1,137427.0,0.0,1.0,320.72,325.935,320.72,321.1,137427.0
2018-02-20,321.54,324.98,319.3201,320.71,116903.0,0.0,1.0,321.54,324.98,319.3201,320.71,116903.0
2018-02-16,321.26,324.0,320.96,321.91,112403.0,0.0,1.0,321.26,324.0,320.96,321.91,112403.0
2018-02-15,323.79,325.0,321.65,322.17,117364.0,0.0,1.0,323.79,325.0,321.65,322.17,117364.0
2018-02-14,313.54,323.17,313.54,321.61,164079.0,0.0,1.0,313.54,323.17,313.54,321.61,164079.0
2018-02-13,320.6,322.5,310.79,315.36,159612.0,0.0,1.0,320.6,322.5,310.79,315.36,159612.0
2018-02-12,314.69,322.67,314.4,320.58,120692.0,0.0,1.0,314.69,322.67,314.4,320.58,120692.0
2018-02-09,314.76,315.63,300.7,312.32,293327.0,0.0,1.0,314.76,315.63,300.7,312.32,293327.0
2018-02-08,314.9,317.48,305.04,305.59,196696.0,0.0,1.0,314.9,317.48,305.04,305.59,196696.0
2018-02-07,314.99,317.73,310.0,314.48,117828.0,0.0,1.0,314.99,317.73,310.0,314.48,117828.0
2018-02-06,298.83,318.44,297.63,315.93,241130.0,0.0,1.0,298.83,318.44,297.63,315.93,241130.0
2018-02-05,314.85,321.84,300.77,305.34,285143.0,0.0,1.0,314.85,321.84,300.77,305.34,285143.0
2018-02-02,325.2,326.58,316.52099999999996,319.13,237930.0,0.0,1.0,325.2,326.58,316.52099999999996,319.13,237930.0
2018-02-01,328.98,330.01,320.01,326.23,287753.0,0.0,1.0,328.98,330.01,320.01,326.23,287753.0
2018-01-31,320.0,336.76,317.0,329.71,846555.0,0.0,1.0,320.0,336.76,317.0,329.71,846555.0
2018-01-30,370.0,370.55,360.04,362.2,274934.0,0.0,1.0,370.0,370.55,360.04,362.2,274934.0
2018-01-29,375.57,377.82,369.52,372.75,218752.0,0.0,1.0,375.57,377.82,369.52,372.75,218752.0
2018-01-26,366.59,377.39,365.87,376.18,260019.0,0.0,1.0,366.59,377.39,365.87,376.18,260019.0
2018-01-25,357.81,366.88,356.76,365.84,162911.0,0.0,1.0,357.81,366.88,356.76,365.84,162911.0
2018-01-24,359.86,359.86,355.2,356.56,208359.0,0.0,1.0,359.86,359.86,355.2,356.56,208359.0
2018-01-23,352.53,359.19,351.29,359.0,201321.0,0.0,1.0,352.53,359.19,351.29,359.0,201321.0
2018-01-22,346.42,352.99,344.3784,352.9,207664.0,0.0,1.0,346.42,352.99,344.3784,352.9,207664.0
2018-01-19,340.9,347.82,340.79,346.5,147518.0,0.0,1.0,340.9,347.82,340.79,346.5,147518.0
2018-01-18,338.35,343.88,336.75,341.15,169302.0,0.0,1.0,338.35,343.88,336.75,341.15,169302.0
2018-01-17,338.42,339.6,336.79,338.29,98069.0,0.0,1.0,338.42,339.6,336.79,338.29,98069.0
2018-01-16,343.16,343.16,334.17,336.72,146592.0,0.0,1.0,343.16,343.16,334.17,336.72,146592.0
2018-01-12,340.34,344.21,339.89,340.99,123506.0,0.0,1.0,340.34,344.21,339.89,340.99,123506.0
2018-01-11,333.76,340.0,332.755,339.5,122686.0,0.0,1.0,333.76,340.0,332.755,339.5,122686.0
2018-01-10,332.2,333.78,330.69,332.61,145643.0,0.0,1.0,332.2,333.78,330.69,332.61,145643.0
2018-01-09,332.44,336.89,330.89,331.88,181128.0,0.0,1.0,332.44,336.89,330.89,331.88,181128.0
2018-01-08,329.64,330.99,326.15,330.24,136418.0,0.0,1.0,329.64,330.99,326.15,330.24,136418.0
2018-01-05,328.7,332.715,327.31,329.01,164514.0,0.0,1.0,328.7,332.715,327.31,329.01,164514.0
2018-01-04,328.17,330.99,326.81,326.86,169540.0,0.0,1.0,328.17,330.99,326.81,326.86,169540.0
2018-01-03,329.7,329.99,325.41,326.07,104540.0,0.0,1.0,329.7,329.99,325.41,326.07,104540.0
2018-01-02,325.02,329.13,321.19,328.63,151639.0,0.0,1.0,325.02,329.13,321.19,328.63,151639.0
2017-12-29,326.55,329.87,323.46,323.48,128594.0,0.0,1.0,326.55,329.87,323.46,323.48,128594.0
2017-12-28,325.84,327.23,322.64,325.95,90157.0,0.0,1.0,325.84,327.23,322.64,325.95,90157.0
2017-12-27,327.65,328.2,325.07,325.65,91779.0,0.0,1.0,327.65,328.2,325.07,325.65,91779.0
2017-12-26,324.94,327.89,324.48,327.1,126398.0,0.0,1.0,324.94,327.89,324.48,327.1,126398.0
2017-12-22,330.83,332.04,324.41,325.03,136421.0,0.0,1.0,330.83,332.04,324.41,325.03,136421.0
2017-12-21,330.43,333.11,328.54,329.77,215687.0,0.0,1.0,330.43,333.11,328.54,329.77,215687.0
2017-12-20,334.88,335.51,329.58,329.67,287513.0,0.0,1.0,334.88,335.51,329.58,329.67,287513.0
2017-12-19,333.46,338.12,333.35,334.87,253779.0,0.0,1.0,333.46,338.12,333.35,334.87,253779.0
2017-12-18,326.87,333.29,326.87,332.78,159458.0,0.0,1.0,326.87,333.29,326.87,332.78,159458.0
2017-12-15,326.85,329.03,322.71,326.0,246136.0,0.0,1.0,326.85,329.03,322.71,326.0,246136.0
