Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,47.75,48.08,46.52,46.94,1307564.0,0.0,1.0,47.75,48.08,46.52,46.94,1307564.0
2018-03-26,46.7,47.54,45.58,47.37,1702359.0,0.0,1.0,46.7,47.54,45.58,47.37,1702359.0
2018-03-23,47.98,48.5,45.79,46.0,2004962.0,0.0,1.0,47.98,48.5,45.79,46.0,2004962.0
2018-03-22,48.82,49.79,48.05,48.06,1418464.0,0.0,1.0,48.82,49.79,48.05,48.06,1418464.0
2018-03-21,50.17,50.6699,49.33,49.4,2080821.0,0.0,1.0,50.17,50.6699,49.33,49.4,2080821.0
2018-03-20,49.53,50.88,49.2715,50.35,4516039.0,0.0,1.0,49.53,50.88,49.2715,50.35,4516039.0
2018-03-19,48.72,49.5,48.3,49.27,3005107.0,0.0,1.0,48.72,49.5,48.3,49.27,3005107.0
2018-03-16,48.72,49.91,48.57,48.93,4554327.0,0.0,1.0,48.72,49.91,48.57,48.93,4554327.0
2018-03-15,48.76,48.79,47.65,48.72,1593674.0,0.0,1.0,48.76,48.79,47.65,48.72,1593674.0
2018-03-14,48.7,48.92,48.04,48.49,862450.0,0.0,1.0,48.7,48.92,48.04,48.49,862450.0
2018-03-13,48.48,49.07,48.2,48.37,1214863.0,0.0,1.0,48.48,49.07,48.2,48.37,1214863.0
2018-03-12,47.94,48.635,47.59,48.29,1341398.0,0.0,1.0,47.94,48.635,47.59,48.29,1341398.0
2018-03-09,46.22,48.02,46.16,47.67,2521924.0,0.0,1.0,46.22,48.02,46.16,47.67,2521924.0
2018-03-08,46.42,46.78,45.4691,46.1,1741814.0,0.0,1.0,46.42,46.78,45.4691,46.1,1741814.0
2018-03-07,45.95,46.73,45.2,46.22,2500356.0,0.0,1.0,45.95,46.73,45.2,46.22,2500356.0
2018-03-06,46.06,46.9,45.59,46.82,1379923.0,0.0,1.0,46.06,46.9,45.59,46.82,1379923.0
2018-03-05,45.41,46.46,44.73,45.79,1075756.0,0.0,1.0,45.41,46.46,44.73,45.79,1075756.0
2018-03-02,43.78,45.9,43.54,45.54,1778508.0,0.0,1.0,43.78,45.9,43.54,45.54,1778508.0
2018-03-01,45.28,45.79,43.65,44.32,2370691.0,0.0,1.0,45.28,45.79,43.65,44.32,2370691.0
2018-02-28,44.88,45.9,43.655,45.18,1696619.0,0.0,1.0,44.88,45.9,43.655,45.18,1696619.0
2018-02-27,46.51,47.07,45.23,45.24,2290871.0,0.0,1.0,46.51,47.07,45.23,45.24,2290871.0
2018-02-26,45.84,47.0,45.59,46.31,4724046.0,0.0,1.0,45.84,47.0,45.59,46.31,4724046.0
2018-02-23,45.4,45.99,44.5,45.83,3608171.0,0.0,1.0,45.4,45.99,44.5,45.83,3608171.0
2018-02-22,43.8,45.13,42.86,44.2,8964863.0,0.0,1.0,43.8,45.13,42.86,44.2,8964863.0
2018-02-21,40.12,40.28,38.77,38.96,2953157.0,0.0,1.0,40.12,40.28,38.77,38.96,2953157.0
2018-02-20,39.62,40.83,39.545,39.94,2242982.0,0.0,1.0,39.62,40.83,39.545,39.94,2242982.0
2018-02-16,38.79,40.33,38.61,40.02,3541227.0,0.0,1.0,38.79,40.33,38.61,40.02,3541227.0
2018-02-15,39.0,39.7,37.75,38.8,1731641.0,0.0,1.0,39.0,39.7,37.75,38.8,1731641.0
2018-02-14,37.74,39.1293,36.9,38.73,5516478.0,0.0,1.0,37.74,39.1293,36.9,38.73,5516478.0
2018-02-13,40.47,40.69,39.03,40.12,2740906.0,0.0,1.0,40.47,40.69,39.03,40.12,2740906.0
2018-02-12,41.0,41.16,39.28,40.77,1699485.0,0.0,1.0,41.0,41.16,39.28,40.77,1699485.0
2018-02-09,40.79,41.44,38.79,41.0,2202130.0,0.0,1.0,40.79,41.44,38.79,41.0,2202130.0
2018-02-08,44.47,44.67,40.36,40.38,2175846.0,0.0,1.0,44.47,44.67,40.36,40.38,2175846.0
2018-02-07,43.84,44.75,43.08,44.26,1961798.0,0.0,1.0,43.84,44.75,43.08,44.26,1961798.0
2018-02-06,40.91,44.44,39.78,43.83,2196484.0,0.0,1.0,40.91,44.44,39.78,43.83,2196484.0
2018-02-05,43.1,44.47,42.02,42.21,1672395.0,0.0,1.0,43.1,44.47,42.02,42.21,1672395.0
2018-02-02,44.34,44.79,43.5005,43.62,925843.0,0.0,1.0,44.34,44.79,43.5005,43.62,925843.0
2018-02-01,44.4,45.71,44.06,44.75,772358.0,0.0,1.0,44.4,45.71,44.06,44.75,772358.0
2018-01-31,45.9,46.61,44.81,44.96,834332.0,0.0,1.0,45.9,46.61,44.81,44.96,834332.0
2018-01-30,45.83,46.3,45.26,45.8,953606.0,0.0,1.0,45.83,46.3,45.26,45.8,953606.0
2018-01-29,46.19,47.18,45.77,46.41,1132276.0,0.0,1.0,46.19,47.18,45.77,46.41,1132276.0
2018-01-26,45.4,46.83,45.02,46.45,1584704.0,0.0,1.0,45.4,46.83,45.02,46.45,1584704.0
2018-01-25,45.19,45.25,44.14,45.06,1232907.0,0.0,1.0,45.19,45.25,44.14,45.06,1232907.0
2018-01-24,46.01,46.09,44.83,44.92,1170138.0,0.0,1.0,46.01,46.09,44.83,44.92,1170138.0
2018-01-23,45.55,46.3,44.8105,45.75,1035915.0,0.0,1.0,45.55,46.3,44.8105,45.75,1035915.0
2018-01-22,45.86,46.69,45.09,45.68,2143370.0,0.0,1.0,45.86,46.69,45.09,45.68,2143370.0
2018-01-19,43.18,46.03,43.03,45.78,2243795.0,0.0,1.0,43.18,46.03,43.03,45.78,2243795.0
2018-01-18,43.24,44.85,42.99,43.35,2008761.0,0.0,1.0,43.24,44.85,42.99,43.35,2008761.0
2018-01-17,42.66,44.08,42.13,42.9,2307064.0,0.0,1.0,42.66,44.08,42.13,42.9,2307064.0
2018-01-16,48.86,49.13,42.11,42.51,6987469.0,0.0,1.0,48.86,49.13,42.11,42.51,6987469.0
2018-01-12,48.01,49.41,48.01,49.15,2577196.0,0.0,1.0,48.01,49.41,48.01,49.15,2577196.0
2018-01-11,44.95,48.12,44.95,48.0,3292870.0,0.0,1.0,44.95,48.12,44.95,48.0,3292870.0
2018-01-10,44.06,45.45,43.9363,44.88,981683.0,0.0,1.0,44.06,45.45,43.9363,44.88,981683.0
2018-01-09,45.17,45.47,44.21,44.4,2106322.0,0.0,1.0,45.17,45.47,44.21,44.4,2106322.0
2018-01-08,44.45,44.975,43.755,44.89,1632209.0,0.0,1.0,44.45,44.975,43.755,44.89,1632209.0
2018-01-05,43.7,44.61,43.43,44.47,1603706.0,0.0,1.0,43.7,44.61,43.43,44.47,1603706.0
2018-01-04,44.0,44.42,43.31,43.52,1081182.0,0.0,1.0,44.0,44.42,43.31,43.52,1081182.0
2018-01-03,44.38,44.6,43.75,43.82,2790143.0,0.0,1.0,44.38,44.6,43.75,43.82,2790143.0
2018-01-02,43.97,44.68,43.56,44.43,1298498.0,0.0,1.0,43.97,44.68,43.56,44.43,1298498.0
2017-12-29,44.66,45.01,43.8,43.88,950726.0,0.0,1.0,44.66,45.01,43.8,43.88,950726.0
2017-12-28,44.43,44.71,43.77,44.5,4027463.0,0.0,1.0,44.43,44.71,43.77,44.5,4027463.0
2017-12-27,44.89,45.41,44.4,44.49,1641189.0,0.0,1.0,44.89,45.41,44.4,44.49,1641189.0
2017-12-26,44.43,45.58,44.43,44.74,1669428.0,0.0,1.0,44.43,45.58,44.43,44.74,1669428.0
2017-12-22,44.8,45.19,44.321999999999996,45.16,951410.0,0.0,1.0,44.8,45.19,44.321999999999996,45.16,951410.0
2017-12-21,44.14,44.88,44.02,44.74,1088773.0,0.0,1.0,44.14,44.88,44.02,44.74,1088773.0
2017-12-20,44.86,44.86,44.14,44.27,1511894.0,0.0,1.0,44.86,44.86,44.14,44.27,1511894.0
2017-12-19,45.52,46.315,44.31,44.34,3233529.0,0.0,1.0,45.52,46.315,44.31,44.34,3233529.0
2017-12-18,44.35,45.99,44.33,45.5,3587233.0,0.0,1.0,44.35,45.99,44.33,45.5,3587233.0
2017-12-15,42.69,44.37,42.69,43.92,4064970.0,0.0,1.0,42.69,44.37,42.69,43.92,4064970.0
2017-12-14,42.9,43.28,42.02,42.55,2871505.0,0.0,1.0,42.9,43.28,42.02,42.55,2871505.0
2017-12-13,41.69,43.32,41.69,42.7,1967676.0,0.0,1.0,41.69,43.32,41.69,42.7,1967676.0
2017-12-12,41.33,42.21,41.15,41.56,2543098.0,0.0,1.0,41.33,42.21,41.15,41.56,2543098.0
2017-12-11,40.55,41.87,40.5,41.16,3013992.0,0.0,1.0,40.55,41.87,40.5,41.16,3013992.0
2017-12-08,41.11,41.45,40.5,40.56,2093218.0,0.0,1.0,41.11,41.45,40.5,40.56,2093218.0
2017-12-07,39.67,41.59,39.51,40.78,2307661.0,0.0,1.0,39.67,41.59,39.51,40.78,2307661.0
2017-12-06,39.28,39.91,39.01,39.51,935910.0,0.0,1.0,39.28,39.91,39.01,39.51,935910.0
2017-12-05,39.66,40.45,38.88,39.29,1188674.0,0.0,1.0,39.66,40.45,38.88,39.29,1188674.0
2017-12-04,40.37,41.536,39.71,39.73,2354475.0,0.0,1.0,40.37,41.536,39.71,39.73,2354475.0
2017-12-01,38.07,40.05,37.96,40.03,3046153.0,0.0,1.0,38.07,40.05,37.96,40.03,3046153.0
2017-11-30,37.95,38.43,37.11,38.1,1480587.0,0.0,1.0,37.95,38.43,37.11,38.1,1480587.0
2017-11-29,36.15,37.87,36.15,37.84,1754712.0,0.0,1.0,36.15,37.87,36.15,37.84,1754712.0
2017-11-28,35.65,36.37,35.35,36.34,1348380.0,0.0,1.0,35.65,36.37,35.35,36.34,1348380.0
2017-11-27,34.88,35.67,34.88,35.5,1374621.0,0.0,1.0,34.88,35.67,34.88,35.5,1374621.0
2017-11-24,35.0,35.45,34.62,34.81,854947.0,0.0,1.0,35.0,35.45,34.62,34.81,854947.0
2017-11-22,35.74,36.0,34.68,34.77,1099653.0,0.0,1.0,35.74,36.0,34.68,34.77,1099653.0
2017-11-21,35.83,36.19,35.595,35.86,991649.0,0.0,1.0,35.83,36.19,35.595,35.86,991649.0
2017-11-20,34.86,35.96,34.445,35.82,1613116.0,0.0,1.0,34.86,35.96,34.445,35.82,1613116.0
2017-11-17,34.25,35.05,34.05,35.01,3003344.0,0.0,1.0,34.25,35.05,34.05,35.01,3003344.0
2017-11-16,33.52,34.45,33.52,34.33,2495596.0,0.0,1.0,33.52,34.45,33.52,34.33,2495596.0
2017-11-15,32.3,33.95,31.97,33.41,3265609.0,0.0,1.0,32.3,33.95,31.97,33.41,3265609.0
2017-11-14,33.14,33.3609,32.38,32.56,2671075.0,0.0,1.0,33.14,33.3609,32.38,32.56,2671075.0
2017-11-13,33.05,33.7,32.57,33.32,1932788.0,0.0,1.0,33.05,33.7,32.57,33.32,1932788.0
2017-11-10,35.36,35.54,32.41,33.46,4136670.0,0.0,1.0,35.36,35.54,32.41,33.46,4136670.0
2017-11-09,35.1,35.51,33.68,33.9,2410455.0,0.0,1.0,35.1,35.51,33.68,33.9,2410455.0
2017-11-07,38.0,38.71,33.63,35.16,9974704.0,0.0,1.0,38.0,38.71,33.63,35.16,9974704.0
2017-11-06,40.76,41.92,40.75,41.42,3244177.0,0.0,1.0,40.76,41.92,40.75,41.42,3244177.0
2017-11-03,40.9,41.43,40.875,40.97,1918587.0,0.0,1.0,40.9,41.43,40.875,40.97,1918587.0
2017-11-02,41.15,41.44,40.87,40.96,1508802.0,0.0,1.0,41.15,41.44,40.87,40.96,1508802.0
2017-11-01,41.64,41.64,41.04,41.15,2097839.0,0.0,1.0,41.64,41.64,41.04,41.15,2097839.0
2017-10-31,41.53,41.69,41.15,41.25,1453699.0,0.0,1.0,41.53,41.69,41.15,41.25,1453699.0
2017-10-30,41.08,42.3999,40.9967,41.44,2212073.0,0.0,1.0,41.08,42.3999,40.9967,41.44,2212073.0
2017-10-27,41.29,41.47,40.92,41.26,1403245.0,0.0,1.0,41.29,41.47,40.92,41.26,1403245.0
2017-10-26,41.4,41.55,40.41,41.3,945485.0,0.0,1.0,41.4,41.55,40.41,41.3,945485.0
2017-10-25,41.12,41.56,40.75,41.125,951829.0,0.0,1.0,41.12,41.56,40.75,41.125,951829.0
2017-10-24,41.15,41.49,40.9,41.26,914405.0,0.0,1.0,41.15,41.49,40.9,41.26,914405.0
2017-10-23,41.2,41.38,40.88,41.0,1345882.0,0.0,1.0,41.2,41.38,40.88,41.0,1345882.0
2017-10-20,41.26,41.69,41.11,41.2,1534082.0,0.0,1.0,41.26,41.69,41.11,41.2,1534082.0
2017-10-19,41.11,41.35,40.65,41.14,2550483.0,0.0,1.0,41.11,41.35,40.65,41.14,2550483.0
2017-10-18,41.5,41.73,40.93,41.27,1648314.0,0.0,1.0,41.5,41.73,40.93,41.27,1648314.0
2017-10-17,41.06,41.5,40.46,41.21,1676075.0,0.0,1.0,41.06,41.5,40.46,41.21,1676075.0
2017-10-16,41.14,41.45,40.81,41.25,1370912.0,0.0,1.0,41.14,41.45,40.81,41.25,1370912.0
2017-10-13,41.38,41.5,40.46,41.26,1901792.0,0.0,1.0,41.38,41.5,40.46,41.26,1901792.0
2017-10-12,40.94,41.38,40.51,41.21,2064100.0,0.0,1.0,40.94,41.38,40.51,41.21,2064100.0
2017-10-11,40.32,40.91,40.0,40.83,1493873.0,0.0,1.0,40.32,40.91,40.0,40.83,1493873.0
2017-10-10,39.7,40.28,39.345,40.24,1559788.0,0.0,1.0,39.7,40.28,39.345,40.24,1559788.0
2017-10-09,39.09,39.69,38.98,39.51,2055488.0,0.0,1.0,39.09,39.69,38.98,39.51,2055488.0
2017-10-06,39.08,39.48,38.6066,38.89,1862858.0,0.0,1.0,39.08,39.48,38.6066,38.89,1862858.0
2017-10-05,39.18,39.61,38.576,38.69,1146741.0,0.0,1.0,39.18,39.61,38.576,38.69,1146741.0
2017-10-04,39.35,39.683,38.85,39.19,1509531.0,0.0,1.0,39.35,39.683,38.85,39.19,1509531.0
2017-10-03,39.17,39.71,38.51,38.92,1514595.0,0.0,1.0,39.17,39.71,38.51,38.92,1514595.0
2017-10-02,38.0,39.69,37.9,39.06,2660254.0,0.0,1.0,38.0,39.69,37.9,39.06,2660254.0
2017-09-29,38.13,38.66,37.81,38.06,1524195.0,0.0,1.0,38.13,38.66,37.81,38.06,1524195.0
2017-09-28,37.89,38.58,37.56,38.29,1119330.0,0.0,1.0,37.89,38.58,37.56,38.29,1119330.0
2017-09-27,38.2,38.76,37.86,38.17,1974531.0,0.0,1.0,38.2,38.76,37.86,38.17,1974531.0
2017-09-26,37.59,38.63,37.43,37.92,2993156.0,0.0,1.0,37.59,38.63,37.43,37.92,2993156.0
2017-09-25,38.28,38.68,37.04,37.54,1523239.0,0.0,1.0,38.28,38.68,37.04,37.54,1523239.0
2017-09-22,37.99,38.6852,37.965,38.44,1872430.0,0.0,1.0,37.99,38.6852,37.965,38.44,1872430.0
2017-09-21,37.9,38.59,37.55,38.08,2254045.0,0.0,1.0,37.9,38.59,37.55,38.08,2254045.0
2017-09-20,36.84,38.37,36.65,37.92,5121336.0,0.0,1.0,36.84,38.37,36.65,37.92,5121336.0
2017-09-19,36.3,36.8,36.12,36.64,2057028.0,0.0,1.0,36.3,36.8,36.12,36.64,2057028.0
2017-09-18,35.2,36.33,35.155,36.19,3905673.0,0.0,1.0,35.2,36.33,35.155,36.19,3905673.0
2017-09-15,35.04,35.7499,33.85,35.13,5108671.0,0.0,1.0,35.04,35.7499,33.85,35.13,5108671.0
2017-09-14,36.39,36.64,35.02,35.27,4020362.0,0.0,1.0,36.39,36.64,35.02,35.27,4020362.0
2017-09-13,37.1,38.0,36.741,37.82,1806097.0,0.0,1.0,37.1,38.0,36.741,37.82,1806097.0
2017-09-12,37.3,37.87,36.98,37.17,2264792.0,0.0,1.0,37.3,37.87,36.98,37.17,2264792.0
2017-09-11,37.85,38.18,36.48,37.4,4210679.0,0.0,1.0,37.85,38.18,36.48,37.4,4210679.0
2017-09-08,37.32,37.82,36.38,37.74,4195503.0,0.0,1.0,37.32,37.82,36.38,37.74,4195503.0
2017-09-07,36.37,37.18,36.02,36.72,2958547.0,0.0,1.0,36.37,37.18,36.02,36.72,2958547.0
2017-09-06,35.02,36.51,34.81,35.99,2792047.0,0.0,1.0,35.02,36.51,34.81,35.99,2792047.0
2017-09-05,36.49,36.56,34.6828,34.9,3374756.0,0.0,1.0,36.49,36.56,34.6828,34.9,3374756.0
2017-09-01,36.83,37.86,35.64,36.59,4643385.0,0.0,1.0,36.83,37.86,35.64,36.59,4643385.0
2017-08-31,35.3,36.25,35.23,36.23,3452232.0,0.0,1.0,35.3,36.25,35.23,36.23,3452232.0
2017-08-30,33.5,35.07,33.3,35.06,2079207.0,0.0,1.0,33.5,35.07,33.3,35.06,2079207.0
2017-08-29,32.33,33.53,31.96,33.46,1556284.0,0.0,1.0,32.33,33.53,31.96,33.46,1556284.0
2017-08-28,32.33,32.82,31.98,32.6892,1591482.0,0.0,1.0,32.33,32.82,31.98,32.6892,1591482.0
2017-08-25,33.99,34.18,31.45,32.065,3035954.0,0.0,1.0,33.99,34.18,31.45,32.065,3035954.0
2017-08-24,33.11,33.99,33.09,33.8,1316880.0,0.0,1.0,33.11,33.99,33.09,33.8,1316880.0
2017-08-23,33.06,33.66,32.77,33.58,1378326.0,0.0,1.0,33.06,33.66,32.77,33.58,1378326.0
2017-08-22,32.38,33.34,32.31,33.29,1841545.0,0.0,1.0,32.38,33.34,32.31,33.29,1841545.0
2017-08-21,32.3,32.91,31.99,32.3,1635841.0,0.0,1.0,32.3,32.91,31.99,32.3,1635841.0
2017-08-18,33.11,33.23,32.26,32.27,2359825.0,0.0,1.0,33.11,33.23,32.26,32.27,2359825.0
2017-08-17,33.71,34.29,33.05,33.1,2409071.0,0.0,1.0,33.71,34.29,33.05,33.1,2409071.0
2017-08-16,34.98,35.36,33.62,33.95,3391446.0,0.0,1.0,34.98,35.36,33.62,33.95,3391446.0
2017-08-15,34.92,35.13,34.16,35.0,3677946.0,0.0,1.0,34.92,35.13,34.16,35.0,3677946.0
2017-08-14,35.07,35.5,34.7,34.94,6244379.0,0.0,1.0,35.07,35.5,34.7,34.94,6244379.0
2017-08-11,32.59,34.8,32.37,34.79,4374303.0,0.0,1.0,32.59,34.8,32.37,34.79,4374303.0
2017-08-10,31.84,32.73,31.53,32.29,3801450.0,0.0,1.0,31.84,32.73,31.53,32.29,3801450.0
2017-08-09,30.02,32.69,30.0,32.34,7661900.0,0.0,1.0,30.02,32.69,30.0,32.34,7661900.0
2017-08-08,31.95,32.64,29.8,30.09,13411416.0,0.0,1.0,31.95,32.64,29.8,30.09,13411416.0
2017-08-07,32.21,33.49,32.15,33.39,5305349.0,0.0,1.0,32.21,33.49,32.15,33.39,5305349.0
2017-08-04,31.81,32.78,31.5,32.21,3653458.0,0.0,1.0,31.81,32.78,31.5,32.21,3653458.0
2017-08-03,31.11,31.19,30.5,30.98,1436724.0,0.0,1.0,31.11,31.19,30.5,30.98,1436724.0
2017-08-02,31.76,31.76,30.42,30.94,1831110.0,0.0,1.0,31.76,31.76,30.42,30.94,1831110.0
2017-08-01,30.78,31.97,30.43,31.75,3101490.0,0.0,1.0,30.78,31.97,30.43,31.75,3101490.0
2017-07-31,32.0,32.45,30.6,30.78,4409654.0,0.0,1.0,32.0,32.45,30.6,30.78,4409654.0
2017-07-28,32.82,33.24,32.31,32.6,1636008.0,0.0,1.0,32.82,33.24,32.31,32.6,1636008.0
2017-07-27,32.94,33.59,32.71,32.91,2088874.0,0.0,1.0,32.94,33.59,32.71,32.91,2088874.0
2017-07-26,33.0,33.285,32.3,32.7,1654844.0,0.0,1.0,33.0,33.285,32.3,32.7,1654844.0
2017-07-25,32.53,34.025,32.53,32.95,2895696.0,0.0,1.0,32.53,34.025,32.53,32.95,2895696.0
2017-07-24,32.24,32.8,31.75,32.43,2314551.0,0.0,1.0,32.24,32.8,31.75,32.43,2314551.0
2017-07-21,32.59,32.6,31.39,32.36,2349577.0,0.0,1.0,32.59,32.6,31.39,32.36,2349577.0
2017-07-20,32.7,32.89,31.62,32.6,2275409.0,0.0,1.0,32.7,32.89,31.62,32.6,2275409.0
2017-07-19,31.41,32.86,31.39,32.63,3350750.0,0.0,1.0,31.41,32.86,31.39,32.63,3350750.0
2017-07-18,31.38,31.925,31.03,31.4,2083983.0,0.0,1.0,31.38,31.925,31.03,31.4,2083983.0
2017-07-17,31.89,32.3,31.19,31.46,2829508.0,0.0,1.0,31.89,32.3,31.19,31.46,2829508.0
2017-07-14,31.46,32.14,30.69,31.89,3864142.0,0.0,1.0,31.46,32.14,30.69,31.89,3864142.0
2017-07-13,29.56,31.85,29.48,31.55,6858180.0,0.0,1.0,29.56,31.85,29.48,31.55,6858180.0
2017-07-12,28.45,29.625,28.26,29.58,3877275.0,0.0,1.0,28.45,29.625,28.26,29.58,3877275.0
2017-07-11,28.73,29.1,27.82,28.2,3892263.0,0.0,1.0,28.73,29.1,27.82,28.2,3892263.0
2017-07-10,28.68,29.0,27.75,28.61,4409962.0,0.0,1.0,28.68,29.0,27.75,28.61,4409962.0
2017-07-07,27.32,28.68,27.15,28.61,4402040.0,0.0,1.0,27.32,28.68,27.15,28.61,4402040.0
2017-07-06,27.73,27.82,27.1,27.2,2136646.0,0.0,1.0,27.73,27.82,27.1,27.2,2136646.0
2017-07-05,27.9,28.25,27.3,27.84,2685812.0,0.0,1.0,27.9,28.25,27.3,27.84,2685812.0
2017-07-03,27.5,28.15,27.21,27.72,2472629.0,0.0,1.0,27.5,28.15,27.21,27.72,2472629.0
2017-06-30,26.62,27.57,26.4947,27.27,3888431.0,0.0,1.0,26.62,27.57,26.4947,27.27,3888431.0
2017-06-29,26.21,27.09,25.99,26.45,3087197.0,0.0,1.0,26.21,27.09,25.99,26.45,3087197.0
2017-06-28,25.67,26.24,25.65,25.99,3060178.0,0.0,1.0,25.67,26.24,25.65,25.99,3060178.0
2017-06-27,27.59,27.99,25.13,25.46,9425521.0,0.0,1.0,27.59,27.99,25.13,25.46,9425521.0
