Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,16.46,16.75,15.05,15.13,1577002.0,0.0,1.0,16.46,16.75,15.05,15.13,1577002.0
2018-03-26,16.49,16.53,15.61,16.38,1618332.0,0.0,1.0,16.49,16.53,15.61,16.38,1618332.0
2018-03-23,16.72,16.89,16.14,16.17,1506830.0,0.0,1.0,16.72,16.89,16.14,16.17,1506830.0
2018-03-22,17.25,17.45,16.7,16.71,1108871.0,0.0,1.0,17.25,17.45,16.7,16.71,1108871.0
2018-03-21,16.79,17.665,16.65,17.55,1149034.0,0.0,1.0,16.79,17.665,16.65,17.55,1149034.0
2018-03-20,17.2,17.29,16.71,16.78,1854755.0,0.0,1.0,17.2,17.29,16.71,16.78,1854755.0
2018-03-19,17.45,17.45,16.86,17.09,2339197.0,0.0,1.0,17.45,17.45,16.86,17.09,2339197.0
2018-03-16,18.13,18.2,17.41,17.55,4239471.0,0.0,1.0,18.13,18.2,17.41,17.55,4239471.0
2018-03-15,18.63,18.87,17.926,18.13,3158342.0,0.0,1.0,18.63,18.87,17.926,18.13,3158342.0
2018-03-14,18.35,18.83,18.16,18.54,1259240.0,0.0,1.0,18.35,18.83,18.16,18.54,1259240.0
2018-03-13,18.6,18.89,18.145,18.23,1737287.0,0.0,1.0,18.6,18.89,18.145,18.23,1737287.0
2018-03-12,18.62,18.84,18.32,18.55,570598.0,0.0,1.0,18.62,18.84,18.32,18.55,570598.0
2018-03-09,18.2,18.73,18.03,18.61,1202164.0,0.0,1.0,18.2,18.73,18.03,18.61,1202164.0
2018-03-08,18.14,18.3,17.6276,18.01,1097558.0,0.0,1.0,18.14,18.3,17.6276,18.01,1097558.0
2018-03-07,18.08,18.34,17.75,18.12,1734387.0,0.0,1.0,18.08,18.34,17.75,18.12,1734387.0
2018-03-06,18.15,18.42,18.07,18.36,1680156.0,0.0,1.0,18.15,18.42,18.07,18.36,1680156.0
2018-03-05,17.46,18.17,17.43,18.09,1539885.0,0.0,1.0,17.46,18.17,17.43,18.09,1539885.0
2018-03-02,17.0,17.7,16.65,17.66,1836165.0,0.0,1.0,17.0,17.7,16.65,17.66,1836165.0
2018-03-01,17.4,17.66,17.11,17.17,1584223.0,0.0,1.0,17.4,17.66,17.11,17.17,1584223.0
2018-02-28,18.04,18.24,17.44,17.46,1779026.0,0.0,1.0,18.04,18.24,17.44,17.46,1779026.0
2018-02-27,18.36,18.64,17.83,18.01,2435545.0,0.0,1.0,18.36,18.64,17.83,18.01,2435545.0
2018-02-26,18.19,18.44,17.81,18.23,1213203.0,0.0,1.0,18.19,18.44,17.81,18.23,1213203.0
2018-02-23,17.72,18.16,17.59,18.11,2015403.0,0.0,1.0,17.72,18.16,17.59,18.11,2015403.0
2018-02-22,17.6,18.02,17.4,17.56,1622932.0,0.0,1.0,17.6,18.02,17.4,17.56,1622932.0
2018-02-21,18.67,18.82,17.23,17.46,2776162.0,0.0,1.0,18.67,18.82,17.23,17.46,2776162.0
2018-02-20,18.6,19.14,18.48,18.68,1144936.0,0.0,1.0,18.6,19.14,18.48,18.68,1144936.0
2018-02-16,18.64,19.15,18.59,18.71,1147378.0,0.0,1.0,18.64,19.15,18.59,18.71,1147378.0
2018-02-15,18.61,18.75,17.9,18.67,1877971.0,0.0,1.0,18.61,18.75,17.9,18.67,1877971.0
