Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,59.93,59.93,58.4,58.72,478699.0,0.0,1.0,59.93,59.93,58.4,58.72,478699.0
2018-03-26,59.02,59.93,58.77,59.79,451247.0,0.0,1.0,59.02,59.93,58.77,59.79,451247.0
2018-03-23,60.22,60.35,57.87,58.19,1000771.0,0.0,1.0,60.22,60.35,57.87,58.19,1000771.0
2018-03-22,60.99,61.05,59.82,60.19,914772.0,0.0,1.0,60.99,61.05,59.82,60.19,914772.0
2018-03-21,61.26,61.88,60.92,61.34,283729.0,0.0,1.0,61.26,61.88,60.92,61.34,283729.0
2018-03-20,61.17,61.33,60.12,61.15,309470.0,0.0,1.0,61.17,61.33,60.12,61.15,309470.0
2018-03-19,61.44,61.44,60.37,61.16,335863.0,0.0,1.0,61.44,61.44,60.37,61.16,335863.0
2018-03-16,61.18,61.83,61.12,61.49,1709946.0,0.0,1.0,61.18,61.83,61.12,61.49,1709946.0
2018-03-15,60.81,61.35,60.42,61.14,414021.0,0.0,1.0,60.81,61.35,60.42,61.14,414021.0
2018-03-14,61.23,61.36,60.38,60.59,550928.0,0.0,1.0,61.23,61.36,60.38,60.59,550928.0
2018-03-13,61.5,61.51,60.84,61.11,378208.0,0.0,1.0,61.5,61.51,60.84,61.11,378208.0
2018-03-12,61.14,61.59,60.79,61.26,362206.0,0.0,1.0,61.14,61.59,60.79,61.26,362206.0
2018-03-09,60.14,61.07,59.96,60.99,326947.0,0.0,1.0,60.14,61.07,59.96,60.99,326947.0
2018-03-08,60.61,60.61,59.38,59.84,337949.0,0.0,1.0,60.61,60.61,59.38,59.84,337949.0
2018-03-07,59.84,60.82,59.84,60.6,371998.0,0.0,1.0,59.6059192676,60.5820857262,59.6059192676,60.3629463171,371998.0
2018-03-06,59.42,60.35,59.26,60.27,374778.0,0.0,1.0,59.1875622139,60.1139242613,59.0281880982,60.034237203500005,374778.0
2018-03-05,58.34,59.7,57.87,59.41,392380.0,0.0,1.0,58.111786933000005,59.4664669164,57.6436254682,59.177601331700004,392380.0
2018-03-02,57.52,58.85,57.15,58.73,412181.0,0.0,1.0,57.2949945901,58.619791926800005,56.926441947600004,58.50026134,412181.0
2018-03-01,57.89,58.3,57.14,57.83,554772.0,0.0,1.0,57.6635472326,58.0719434041,56.9164810653,57.6037819392,554772.0
2018-02-28,58.98,59.17,57.75,57.77,400265.0,0.0,1.0,58.98,59.17,57.75,57.77,400265.0
2018-02-27,59.39,59.95,58.64,58.65,628212.0,0.0,1.0,59.39,59.95,58.64,58.65,628212.0
2018-02-26,58.86,58.86,58.21,58.75,594062.0,0.0,1.0,58.86,58.86,58.21,58.75,594062.0
2018-02-23,58.12,59.03,58.03,58.67,479240.0,0.0,1.0,58.12,59.03,58.03,58.67,479240.0
2018-02-22,59.1,59.18,57.83,57.9,518593.0,0.0,1.0,59.1,59.18,57.83,57.9,518593.0
2018-02-21,58.4,59.51,57.98,58.87,323077.0,0.0,1.0,58.4,59.51,57.98,58.87,323077.0
2018-02-20,59.03,59.51,58.22,58.37,436125.0,0.0,1.0,59.03,59.51,58.22,58.37,436125.0
2018-02-16,58.78,59.43,58.71,59.13,635584.0,0.0,1.0,58.78,59.43,58.71,59.13,635584.0
2018-02-15,59.11,59.16,58.615,59.05,450540.0,0.0,1.0,59.11,59.16,58.615,59.05,450540.0
2018-02-14,57.4,58.95,57.32,58.89,503172.0,0.0,1.0,57.4,58.95,57.32,58.89,503172.0
2018-02-13,57.03,57.53,56.89,57.52,287194.0,0.0,1.0,57.03,57.53,56.89,57.52,287194.0
2018-02-12,57.19,57.66,56.68,57.19,334435.0,0.0,1.0,57.19,57.66,56.68,57.19,334435.0
2018-02-09,56.42,57.225,55.47,56.87,430631.0,0.0,1.0,56.42,57.225,55.47,56.87,430631.0
2018-02-08,57.69,57.69,55.95,55.965,357657.0,0.0,1.0,57.69,57.69,55.95,55.965,357657.0
2018-02-07,56.79,57.81,56.66,57.47,530832.0,0.0,1.0,56.79,57.81,56.66,57.47,530832.0
2018-02-06,55.72,57.11,54.85,56.92,827338.0,0.0,1.0,55.72,57.11,54.85,56.92,827338.0
2018-02-05,58.18,58.89,56.6,56.85,530574.0,0.0,1.0,58.18,58.89,56.6,56.85,530574.0
2018-02-02,58.88,59.41,58.62,58.77,467568.0,0.0,1.0,58.88,59.41,58.62,58.77,467568.0
2018-02-01,58.37,59.05,57.76,59.02,333195.0,0.0,1.0,58.37,59.05,57.76,59.02,333195.0
2018-01-31,58.89,59.07,58.36,58.51,559240.0,0.0,1.0,58.89,59.07,58.36,58.51,559240.0
2018-01-30,58.6,59.04,58.36,58.81,522600.0,0.0,1.0,58.6,59.04,58.36,58.81,522600.0
2018-01-29,58.93,59.39,58.53,58.85,463473.0,0.0,1.0,58.93,59.39,58.53,58.85,463473.0
2018-01-26,59.07,59.07,58.45,59.0,256003.0,0.0,1.0,59.07,59.07,58.45,59.0,256003.0
2018-01-25,59.26,59.26,58.56,58.91,325841.0,0.0,1.0,59.26,59.26,58.56,58.91,325841.0
2018-01-24,58.95,59.45,58.84,58.95,331658.0,0.0,1.0,58.95,59.45,58.84,58.95,331658.0
2018-01-23,59.18,59.31,58.6,59.08,439465.0,0.0,1.0,59.18,59.31,58.6,59.08,439465.0
2018-01-22,59.72,59.72,58.75,59.17,527274.0,0.0,1.0,59.72,59.72,58.75,59.17,527274.0
2018-01-19,58.74,59.72,58.49,59.71,642351.0,0.0,1.0,58.74,59.72,58.49,59.71,642351.0
2018-01-18,58.76,58.99,58.17,58.43,659604.0,0.0,1.0,58.76,58.99,58.17,58.43,659604.0
2018-01-17,58.07,58.36,57.54,58.16,412077.0,0.0,1.0,58.07,58.36,57.54,58.16,412077.0
2018-01-16,58.35,58.4599,57.26,57.795,701811.0,0.0,1.0,58.35,58.4599,57.26,57.795,701811.0
2018-01-12,58.27,58.66,57.92,57.95,613339.0,0.0,1.0,58.27,58.66,57.92,57.95,613339.0
2018-01-11,57.56,58.06,57.4,58.06,381106.0,0.0,1.0,57.56,58.06,57.4,58.06,381106.0
2018-01-10,56.47,57.9,56.47,57.35,504813.0,0.0,1.0,56.47,57.9,56.47,57.35,504813.0
2018-01-09,55.95,56.92,55.915,56.48,434525.0,0.0,1.0,55.95,56.92,55.915,56.48,434525.0
2018-01-08,55.95,56.04,55.69,55.73,352557.0,0.0,1.0,55.95,56.04,55.69,55.73,352557.0
2018-01-05,55.84,56.21,55.68,56.09,414577.0,0.0,1.0,55.84,56.21,55.68,56.09,414577.0
2018-01-04,56.2,56.54,55.59,55.66,404012.0,0.0,1.0,56.2,56.54,55.59,55.66,404012.0
2018-01-03,55.91,55.96,55.32,55.72,448215.0,0.0,1.0,55.91,55.96,55.32,55.72,448215.0
2018-01-02,56.32,56.53,55.64,55.95,434071.0,0.0,1.0,56.32,56.53,55.64,55.95,434071.0
2017-12-29,56.59,56.59,55.83,55.84,325400.0,0.0,1.0,56.59,56.59,55.83,55.84,325400.0
2017-12-28,56.62,56.63,56.24,56.52,318257.0,0.0,1.0,56.62,56.63,56.24,56.52,318257.0
2017-12-27,56.26,56.5648,56.16,56.35,390545.0,0.0,1.0,56.26,56.5648,56.16,56.35,390545.0
2017-12-26,56.62,56.89,55.94,56.39,470779.0,0.0,1.0,56.62,56.89,55.94,56.39,470779.0
2017-12-22,56.89,56.99,56.295,56.75,496705.0,0.0,1.0,56.89,56.99,56.295,56.75,496705.0
2017-12-21,56.31,56.89,56.105,56.79,402399.0,0.0,1.0,56.31,56.89,56.105,56.79,402399.0
2017-12-20,56.75,56.84,55.44,56.19,383137.0,0.0,1.0,56.75,56.84,55.44,56.19,383137.0
2017-12-19,56.8,56.9999,56.22,56.48,375601.0,0.0,1.0,56.8,56.9999,56.22,56.48,375601.0
2017-12-18,56.2,56.91,56.2,56.5,506683.0,0.0,1.0,56.2,56.91,56.2,56.5,506683.0
2017-12-15,54.63,56.53,54.63,55.76,1261378.0,0.0,1.0,54.63,56.53,54.63,55.76,1261378.0
2017-12-14,55.11,55.56,54.235,54.34,575830.0,0.0,1.0,55.11,55.56,54.235,54.34,575830.0
2017-12-13,55.28,55.81,54.95,55.02,587685.0,0.0,1.0,55.28,55.81,54.95,55.02,587685.0
2017-12-12,55.14,55.7,55.13,55.36,306552.0,0.0,1.0,55.14,55.7,55.13,55.36,306552.0
2017-12-11,55.66,55.96,54.93,55.01,384387.0,0.0,1.0,55.66,55.96,54.93,55.01,384387.0
2017-12-08,56.13,56.13,55.541000000000004,55.69,242133.0,0.0,1.0,56.13,56.13,55.541000000000004,55.69,242133.0
2017-12-07,55.33,56.02,55.0,55.85,318792.0,0.0,1.0,55.33,56.02,55.0,55.85,318792.0
2017-12-06,56.05,56.44,55.6,55.62,185212.0,0.0,1.0,56.05,56.44,55.6,55.62,185212.0
2017-12-05,57.39,57.51,56.11,56.17,257363.0,0.0,1.0,57.39,57.51,56.11,56.17,257363.0
2017-12-04,57.22,57.9109,57.03,57.15,399115.0,0.0,1.0,57.22,57.9109,57.03,57.15,399115.0
2017-12-01,56.51,56.72,54.75,56.65,341815.0,0.0,1.0,56.51,56.72,54.75,56.65,341815.0
