Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.34,29.49,28.4,28.59,11649.0,0.0,1.0,29.34,29.49,28.4,28.59,11649.0
2018-03-26,28.37,29.4,28.2351,29.09,33671.0,0.0,1.0,28.37,29.4,28.2351,29.09,33671.0
2018-03-23,29.55,29.55,28.31,28.37,20910.0,0.0,1.0,29.55,29.55,28.31,28.37,20910.0
2018-03-22,30.14,30.27,29.43,29.47,17587.0,0.0,1.0,30.14,30.27,29.43,29.47,17587.0
2018-03-21,30.32,30.6,30.0,30.41,14264.0,0.0,1.0,30.32,30.6,30.0,30.41,14264.0
2018-03-20,30.79,30.83,30.16,30.33,14559.0,0.0,1.0,30.79,30.83,30.16,30.33,14559.0
2018-03-19,30.88,31.46,30.02,30.73,23579.0,0.0,1.0,30.88,31.46,30.02,30.73,23579.0
2018-03-16,30.46,31.14,30.26,31.0,65841.0,0.0,1.0,30.46,31.14,30.26,31.0,65841.0
2018-03-15,29.76,30.65,29.61,30.49,37838.0,0.0,1.0,29.76,30.65,29.61,30.49,37838.0
2018-03-14,29.61,30.09,29.49,29.73,28307.0,0.0,1.0,29.61,30.09,29.49,29.73,28307.0
2018-03-13,29.93,30.36,29.52,29.57,11362.0,0.0,1.0,29.93,30.36,29.52,29.57,11362.0
2018-03-12,29.55,29.84,29.3,29.77,15269.0,0.0,1.0,29.55,29.84,29.3,29.77,15269.0
2018-03-09,28.9,29.64,28.35,29.48,23456.0,0.0,1.0,28.9,29.64,28.35,29.48,23456.0
2018-03-08,29.08,29.08,28.47,28.65,10603.0,0.0,1.0,29.08,29.08,28.47,28.65,10603.0
2018-03-07,28.31,29.19,26.3,29.05,16420.0,0.0,1.0,28.31,29.19,26.3,29.05,16420.0
2018-03-06,28.47,28.64,28.01,28.48,22834.0,0.0,1.0,28.47,28.64,28.01,28.48,22834.0
2018-03-05,27.76,28.635,27.62,28.45,27147.0,0.0,1.0,27.76,28.635,27.62,28.45,27147.0
2018-03-02,26.92,28.01,26.92,27.91,18413.0,0.0,1.0,26.92,28.01,26.92,27.91,18413.0
2018-03-01,26.85,27.39,26.75,27.39,23126.0,0.0,1.0,26.85,27.39,26.75,27.39,23126.0
2018-02-28,27.89,27.89,26.87,26.88,35441.0,0.0,1.0,27.89,27.89,26.87,26.88,35441.0
2018-02-27,27.8,27.97,27.5,27.53,24848.0,0.0,1.0,27.8,27.97,27.5,27.53,24848.0
2018-02-26,27.47,27.83,27.3,27.77,21532.0,0.0,1.0,27.47,27.83,27.3,27.77,21532.0
2018-02-23,27.72,27.84,27.4601,27.75,20394.0,0.0,1.0,27.72,27.84,27.4601,27.75,20394.0
2018-02-22,28.39,28.39,27.39,27.5,44059.0,0.0,1.0,28.39,28.39,27.39,27.5,44059.0
2018-02-21,28.05,28.44,28.04,28.34,9395.0,0.0,1.0,28.05,28.44,28.04,28.34,9395.0
2018-02-20,27.91,28.16,27.2164,27.74,27596.0,0.0,1.0,27.91,28.16,27.2164,27.74,27596.0
2018-02-16,27.64,28.33,27.64,28.03,14757.0,0.0,1.0,27.64,28.33,27.64,28.03,14757.0
2018-02-15,27.29,27.9,27.29,27.86,20580.0,0.0,1.0,27.29,27.9,27.29,27.86,20580.0
2018-02-14,26.63,27.34,26.63,27.03,41416.0,0.0,1.0,26.63,27.34,26.63,27.03,41416.0
2018-02-13,27.03,27.2,26.75,26.92,13335.0,0.0,1.0,27.03,27.2,26.75,26.92,13335.0
2018-02-12,26.92,27.46,26.67,27.18,33373.0,0.0,1.0,26.92,27.46,26.67,27.18,33373.0
2018-02-09,26.58,27.21,26.2,27.12,10713.0,0.0,1.0,26.58,27.21,26.2,27.12,10713.0
2018-02-08,26.73,27.1,26.24,26.47,34483.0,0.0,1.0,26.73,27.1,26.24,26.47,34483.0
2018-02-07,26.11,26.91,25.9,26.73,11399.0,0.0,1.0,26.11,26.91,25.9,26.73,11399.0
2018-02-06,26.15,27.375,25.97,26.24,47193.0,0.0,1.0,26.15,27.375,25.97,26.24,47193.0
2018-02-05,26.42,26.48,25.25,25.98,22593.0,0.0,1.0,26.42,26.48,25.25,25.98,22593.0
2018-02-02,26.95,27.115,26.55,26.72,17353.0,0.0,1.0,26.95,27.115,26.55,26.72,17353.0
2018-02-01,26.78,27.2899,26.36,27.1,10348.0,0.0,1.0,26.78,27.2899,26.36,27.1,10348.0
2018-01-31,27.65,27.7159,26.47,26.93,17795.0,0.0,1.0,27.65,27.7159,26.47,26.93,17795.0
2018-01-30,27.5,27.84,27.32,27.52,12089.0,0.0,1.0,27.5,27.84,27.32,27.52,12089.0
2018-01-29,27.95,28.44,27.2742,27.76,26878.0,0.0,1.0,27.95,28.44,27.2742,27.76,26878.0
2018-01-26,27.97,28.52,27.96,28.1,17858.0,0.0,1.0,27.97,28.52,27.96,28.1,17858.0
2018-01-25,28.8532,28.8532,27.5761,28.12,37184.0,0.0,1.0,28.8532,28.8532,27.5761,28.12,37184.0
2018-01-24,28.42,28.55,28.08,28.08,9345.0,0.0,1.0,28.42,28.55,28.08,28.08,9345.0
2018-01-23,28.63,28.63,28.205,28.39,28430.0,0.0,1.0,28.63,28.63,28.205,28.39,28430.0
2018-01-22,29.05,29.05,28.35,28.66,21179.0,0.0,1.0,29.05,29.05,28.35,28.66,21179.0
2018-01-19,28.21,29.42,28.2,29.34,38892.0,0.0,1.0,28.21,29.42,28.2,29.34,38892.0
2018-01-18,28.26,28.47,27.72,28.13,62719.0,0.0,1.0,28.26,28.47,27.72,28.13,62719.0
2018-01-17,27.72,28.51,27.214000000000002,28.38,52541.0,0.0,1.0,27.72,28.51,27.214000000000002,28.38,52541.0
2018-01-16,27.63,28.31,27.01,27.47,29517.0,0.0,1.0,27.63,28.31,27.01,27.47,29517.0
2018-01-12,28.23,28.23,27.27,27.96,35708.0,0.0,1.0,28.23,28.23,27.27,27.96,35708.0
2018-01-11,27.11,28.33,27.11,28.18,27490.0,0.0,1.0,27.11,28.33,27.11,28.18,27490.0
2018-01-10,26.82,27.3,26.82,27.11,7596.0,0.0,1.0,26.82,27.3,26.82,27.11,7596.0
2018-01-09,27.51,27.695999999999998,26.82,26.82,20640.0,0.0,1.0,27.51,27.695999999999998,26.82,26.82,20640.0
2018-01-08,27.06,27.71,26.88,27.51,37675.0,0.0,1.0,27.06,27.71,26.88,27.51,37675.0
2018-01-05,26.98,27.08,26.7395,26.96,24260.0,0.0,1.0,26.98,27.08,26.7395,26.96,24260.0
2018-01-04,26.83,27.24,26.6401,26.78,25639.0,0.0,1.0,26.83,27.24,26.6401,26.78,25639.0
2018-01-03,26.85,27.01,26.4201,26.81,20026.0,0.0,1.0,26.85,27.01,26.4201,26.81,20026.0
2018-01-02,26.76,27.26,26.5,26.76,48257.0,0.0,1.0,26.76,27.26,26.5,26.76,48257.0
2017-12-29,26.38,26.38,25.919,26.24,64707.0,0.0,1.0,26.38,26.38,25.919,26.24,64707.0
2017-12-28,26.38,26.43,26.16,26.4,18174.0,0.0,1.0,26.38,26.43,26.16,26.4,18174.0
2017-12-27,26.15,26.72,26.1,26.31,22546.0,0.0,1.0,26.15,26.72,26.1,26.31,22546.0
2017-12-26,26.8,27.37,26.08,26.11,47521.0,0.0,1.0,26.8,27.37,26.08,26.11,47521.0
2017-12-22,27.88,28.4332,27.07,27.07,37120.0,0.0,1.0,27.88,28.4332,27.07,27.07,37120.0
2017-12-21,28.09,28.3,27.78,27.87,22430.0,0.0,1.0,28.09,28.3,27.78,27.87,22430.0
2017-12-20,28.29,28.29,27.76,27.91,20097.0,0.0,1.0,28.29,28.29,27.76,27.91,20097.0
2017-12-19,28.93,28.93,27.86,28.13,17667.0,0.0,1.0,28.93,28.93,27.86,28.13,17667.0
2017-12-18,28.51,29.1,28.35,28.72,44365.0,0.0,1.0,28.51,29.1,28.35,28.72,44365.0
2017-12-15,27.09,28.35,27.09,28.23,103476.0,0.0,1.0,27.09,28.35,27.09,28.23,103476.0
