Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,12.51,12.51,12.25,12.27,431298.0,0.0,1.0,12.51,12.51,12.25,12.27,431298.0
2018-03-26,12.41,12.5,12.3025,12.48,458473.0,0.0,1.0,12.41,12.5,12.3025,12.48,458473.0
2018-03-23,12.62,12.66,12.265,12.27,500357.0,0.0,1.0,12.62,12.66,12.265,12.27,500357.0
2018-03-22,12.73,12.86,12.59,12.6,387818.0,0.0,1.0,12.73,12.86,12.59,12.6,387818.0
2018-03-21,12.77,12.86,12.7225,12.8,249642.0,0.0,1.0,12.77,12.86,12.7225,12.8,249642.0
2018-03-20,12.9,12.94,12.7625,12.77,247107.0,0.0,1.0,12.9,12.94,12.7625,12.77,247107.0
2018-03-19,12.9,12.915,12.76,12.89,313428.0,0.0,1.0,12.9,12.915,12.76,12.89,313428.0
2018-03-16,12.9,13.025,12.88,12.91,764380.0,0.0,1.0,12.9,13.025,12.88,12.91,764380.0
2018-03-15,12.88,12.95,12.815,12.9,290904.0,0.0,1.0,12.88,12.95,12.815,12.9,290904.0
2018-03-14,13.05,13.05,12.84,12.85,316037.0,0.0,1.0,13.05,13.05,12.84,12.85,316037.0
2018-03-13,12.99,13.0748,12.97,12.99,225794.0,0.0,1.0,12.99,13.0748,12.97,12.99,225794.0
2018-03-12,13.04,13.07,12.93,12.99,281860.0,0.0,1.0,13.04,13.07,12.93,12.99,281860.0
2018-03-09,12.95,13.07,12.9,13.05,291423.0,0.0,1.0,12.95,13.07,12.9,13.05,291423.0
2018-03-08,13.02,13.03,12.85,12.9,226128.0,0.0,1.0,13.02,13.03,12.85,12.9,226128.0
2018-03-07,12.78,13.08,12.76,13.01,415903.0,0.0,1.0,12.78,13.08,12.76,13.01,415903.0
2018-03-06,12.78,12.86,12.655,12.83,446680.0,0.0,1.0,12.78,12.86,12.655,12.83,446680.0
2018-03-05,12.6,12.8,12.55,12.72,489285.0,0.0,1.0,12.6,12.8,12.55,12.72,489285.0
2018-03-02,12.4,12.65,12.36,12.62,479883.0,0.0,1.0,12.4,12.65,12.36,12.62,479883.0
2018-03-01,12.48,12.59,12.405,12.47,426541.0,0.0,1.0,12.48,12.59,12.405,12.47,426541.0
2018-02-28,12.72,12.78,12.48,12.49,461553.0,0.0,1.0,12.72,12.78,12.48,12.49,461553.0
2018-02-27,12.84,13.03,12.7,12.71,382594.0,0.0,1.0,12.84,13.03,12.7,12.71,382594.0
2018-02-26,12.9,12.9,12.76,12.86,386487.0,0.0,1.0,12.9,12.9,12.76,12.86,386487.0
2018-02-23,12.74,12.83,12.7,12.83,361576.0,0.0,1.0,12.74,12.83,12.7,12.83,361576.0
2018-02-22,12.81,12.885,12.69,12.71,323723.0,0.0,1.0,12.81,12.885,12.69,12.71,323723.0
2018-02-21,12.75,12.865,12.7455,12.77,322469.0,0.0,1.0,12.75,12.865,12.7455,12.77,322469.0
2018-02-20,12.93,13.04,12.735,12.76,403055.0,0.0,1.0,12.93,13.04,12.735,12.76,403055.0
2018-02-16,12.85,13.04,12.85,12.94,513807.0,0.0,1.0,12.85,13.04,12.85,12.94,513807.0
2018-02-15,12.95,12.95,12.84,12.9,372437.0,0.0,1.0,12.95,12.95,12.84,12.9,372437.0
2018-02-14,12.73,12.93,12.73,12.87,687017.0,0.0,1.0,12.73,12.93,12.73,12.87,687017.0
2018-02-13,12.75,12.86,12.74,12.83,295558.0,0.0,1.0,12.75,12.86,12.74,12.83,295558.0
2018-02-12,12.8,12.9645,12.71,12.82,393665.0,0.0,1.0,12.8,12.9645,12.71,12.82,393665.0
2018-02-09,12.7,12.88,12.57,12.77,530456.0,0.0,1.0,12.7,12.88,12.57,12.77,530456.0
2018-02-08,12.83,12.89,12.58,12.58,553507.0,0.0,1.0,12.83,12.89,12.58,12.58,553507.0
2018-02-07,12.68,12.84,12.68,12.795,522744.0,0.0,1.0,12.68,12.84,12.68,12.795,522744.0
2018-02-06,12.52,12.79,12.36,12.71,652802.0,0.0,1.0,12.52,12.79,12.36,12.71,652802.0
2018-02-05,13.01,13.145,12.65,12.65,565669.0,0.0,1.0,13.01,13.145,12.65,12.65,565669.0
2018-02-02,13.09,13.28,12.98,13.12,624987.0,0.0,1.0,13.09,13.28,12.98,13.12,624987.0
2018-02-01,13.02,13.165999999999999,12.8501,13.15,557163.0,0.0,1.0,13.02,13.165999999999999,12.8501,13.15,557163.0
2018-01-31,13.14,13.22,13.045,13.08,424677.0,0.0,1.0,13.14,13.22,13.045,13.08,424677.0
2018-01-30,13.1,13.25,13.09,13.12,455015.0,0.0,1.0,13.1,13.25,13.09,13.12,455015.0
2018-01-29,13.65,13.83,13.15,13.15,797761.0,0.0,1.0,13.65,13.83,13.15,13.15,797761.0
2018-01-26,13.38,13.38,13.15,13.27,693302.0,0.0,1.0,13.38,13.38,13.15,13.27,693302.0
2018-01-25,13.52,13.54,13.295,13.37,268794.0,0.0,1.0,13.52,13.54,13.295,13.37,268794.0
2018-01-24,13.54,13.54,13.37,13.46,575602.0,0.0,1.0,13.54,13.54,13.37,13.46,575602.0
2018-01-23,13.55,13.61,13.44,13.52,239054.0,0.0,1.0,13.55,13.61,13.44,13.52,239054.0
2018-01-22,13.56,13.64,13.5,13.62,291522.0,0.0,1.0,13.56,13.64,13.5,13.62,291522.0
2018-01-19,13.36,13.63,13.36,13.63,356095.0,0.0,1.0,13.36,13.63,13.36,13.63,356095.0
2018-01-18,13.6,13.69,13.360999999999999,13.41,675591.0,0.0,1.0,13.6,13.69,13.360999999999999,13.41,675591.0
2018-01-17,13.58,13.62,13.47,13.59,352053.0,0.0,1.0,13.58,13.62,13.47,13.59,352053.0
2018-01-16,13.81,13.83,13.5,13.53,351922.0,0.0,1.0,13.81,13.83,13.5,13.53,351922.0
2018-01-12,13.76,13.86,13.69,13.74,328345.0,0.0,1.0,13.76,13.86,13.69,13.74,328345.0
2018-01-11,13.58,13.72,13.56,13.69,313114.0,0.0,1.0,13.58,13.72,13.56,13.69,313114.0
2018-01-10,13.37,13.67,13.37,13.53,412413.0,0.0,1.0,13.37,13.67,13.37,13.53,412413.0
2018-01-09,13.41,13.51,13.36,13.37,328483.0,0.0,1.0,13.41,13.51,13.36,13.37,328483.0
2018-01-08,13.42,13.44,13.29,13.37,331070.0,0.0,1.0,13.42,13.44,13.29,13.37,331070.0
2018-01-05,13.44,13.51,13.36,13.46,276435.0,0.0,1.0,13.44,13.51,13.36,13.46,276435.0
2018-01-04,13.43,13.6,13.39,13.4,248619.0,0.0,1.0,13.43,13.6,13.39,13.4,248619.0
2018-01-03,13.34,13.41,13.22,13.35,353860.0,0.0,1.0,13.34,13.41,13.22,13.35,353860.0
2018-01-02,13.46,13.51,13.29,13.365,446175.0,0.0,1.0,13.46,13.51,13.29,13.365,446175.0
2017-12-29,13.55,13.57,13.4,13.41,412795.0,0.0,1.0,13.55,13.57,13.4,13.41,412795.0
2017-12-28,13.52,13.53,13.44,13.52,364133.0,0.0,1.0,13.52,13.53,13.44,13.52,364133.0
2017-12-27,13.65,13.65,13.5,13.52,316159.0,0.0,1.0,13.65,13.65,13.5,13.52,316159.0
2017-12-26,13.66,13.76,13.64,13.66,342130.0,0.0,1.0,13.66,13.76,13.64,13.66,342130.0
2017-12-22,13.73,13.73,13.62,13.65,232154.0,0.0,1.0,13.73,13.73,13.62,13.65,232154.0
2017-12-21,13.65,13.76,13.61,13.71,309591.0,0.0,1.0,13.65,13.76,13.61,13.71,309591.0
2017-12-20,13.75,13.78,13.595,13.64,342351.0,0.0,1.0,13.75,13.78,13.595,13.64,342351.0
2017-12-19,13.85,13.905,13.64,13.68,319284.0,0.0,1.0,13.85,13.905,13.64,13.68,319284.0
2017-12-18,13.75,13.97,13.75,13.84,415357.0,0.0,1.0,13.75,13.97,13.75,13.84,415357.0
2017-12-15,13.41,13.75,13.41,13.65,939452.0,0.0,1.0,13.41,13.75,13.41,13.65,939452.0
2017-12-14,13.54,13.585,13.3,13.37,439340.0,0.0,1.0,13.54,13.585,13.3,13.37,439340.0
2017-12-13,13.6,13.67,13.49,13.51,492374.0,0.0,1.0,13.6,13.67,13.49,13.51,492374.0
2017-12-12,13.68,13.8,13.575,13.59,440501.0,0.0,1.0,13.68,13.8,13.575,13.59,440501.0
2017-12-11,13.7,13.8,13.61,13.67,523061.0,0.0,1.0,13.7,13.8,13.61,13.67,523061.0
2017-12-08,13.81,13.93,13.41,13.66,727751.0,0.0,1.0,13.81,13.93,13.41,13.66,727751.0
2017-12-07,13.77,13.84,13.63,13.71,388807.0,0.0,1.0,13.77,13.84,13.63,13.71,388807.0
2017-12-06,13.93,13.95,13.79,13.8,404039.0,0.0,1.0,13.93,13.95,13.79,13.8,404039.0
2017-12-05,14.21,14.24,13.94,13.96,374837.0,0.0,1.0,14.21,14.24,13.94,13.96,374837.0
2017-12-04,14.27,14.38,14.125,14.18,500134.0,0.0,1.0,14.27,14.38,14.125,14.18,500134.0
2017-12-01,14.1,14.16,13.6,14.1,512917.0,0.0,1.0,14.1,14.16,13.6,14.1,512917.0
2017-11-30,14.27,14.3,13.9057,14.06,440212.0,0.0,1.0,14.27,14.3,13.9057,14.06,440212.0
2017-11-29,13.83,14.27,13.7619,14.23,485875.0,0.0,1.0,13.83,14.27,13.7619,14.23,485875.0
2017-11-28,13.52,13.78,13.48,13.76,481093.0,0.0,1.0,13.52,13.78,13.48,13.76,481093.0
2017-11-27,13.49,13.65,13.49,13.5,320750.0,0.0,1.0,13.49,13.65,13.49,13.5,320750.0
2017-11-24,13.59,13.59,13.46,13.51,152848.0,0.0,1.0,13.59,13.59,13.46,13.51,152848.0
2017-11-22,13.49,13.7,13.46,13.58,700184.0,0.0,1.0,13.49,13.7,13.46,13.58,700184.0
2017-11-21,13.56,13.61,13.4,13.43,772804.0,0.0,1.0,13.56,13.61,13.4,13.43,772804.0
2017-11-20,13.49,13.66,13.39,13.47,698736.0,0.0,1.0,13.49,13.66,13.39,13.47,698736.0
2017-11-17,13.3,13.5239,13.3,13.42,527222.0,0.0,1.0,13.3,13.5239,13.3,13.42,527222.0
2017-11-16,13.12,13.53,13.034,13.38,972057.0,0.0,1.0,13.12,13.53,13.034,13.38,972057.0
2017-11-15,13.35,13.455,13.24,13.32,839970.0,0.0,1.0,13.35,13.455,13.24,13.32,839970.0
2017-11-14,13.4,13.485,13.36,13.46,426390.0,0.0,1.0,13.4,13.485,13.36,13.46,426390.0
2017-11-13,13.25,13.51,13.19,13.47,639579.0,0.0,1.0,13.25,13.51,13.19,13.47,639579.0
2017-11-10,13.27,13.41,13.25,13.35,438742.0,0.0,1.0,13.27,13.41,13.25,13.35,438742.0
2017-11-09,13.21,13.32,13.14,13.27,605145.0,0.0,1.0,13.21,13.32,13.14,13.27,605145.0
2017-11-07,13.6,13.67,13.31,13.32,420458.0,0.0,1.0,13.6,13.67,13.31,13.32,420458.0
