Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-07-12,32.65,33.05,32.55,32.95,10282.0,0.0,1.0,32.65,33.05,32.55,32.95,10282.0
2017-07-11,33.1,33.9,32.35,32.55,13719.0,0.0,1.0,33.1,33.9,32.35,32.55,13719.0
2017-07-10,33.5,33.6,33.0,33.05,24391.0,0.0,1.0,33.5,33.6,33.0,33.05,24391.0
2017-07-07,33.3,33.95,32.85,33.85,17797.0,0.0,1.0,33.3,33.95,32.85,33.85,17797.0
2017-07-06,33.5,33.55,33.1,33.3,21946.0,0.0,1.0,33.5,33.55,33.1,33.3,21946.0
2017-07-05,33.15,33.95,32.95,33.75,38518.0,0.0,1.0,33.15,33.95,32.95,33.75,38518.0
2017-07-03,32.5,33.6,32.4,33.35,18742.0,0.0,1.0,32.5,33.6,32.4,33.35,18742.0
2017-06-30,32.75,33.3,32.45,32.5,20707.0,0.0,1.0,32.75,33.3,32.45,32.5,20707.0
2017-06-29,33.2,33.8,32.4,32.8,20489.0,0.29,1.0,33.2,33.8,32.4,32.8,20489.0
2017-06-28,32.3,33.8,32.3,33.4,20923.0,0.0,1.0,32.016923541855995,33.503777576307,32.016923541855995,33.10728316712,20923.0
2017-06-27,32.55,33.45,32.2,32.25,27375.0,0.0,1.0,32.264732547597,33.156844968268,31.917799939559004,31.967361740707002,27375.0
2017-06-26,32.7,32.75,32.35,32.5,17172.0,0.0,1.0,32.413417951043,32.462979752191,32.066485343004,32.215170746449,17172.0
2017-06-23,32.85,33.0,32.56,32.8,33511.0,0.0,1.0,32.562103354488,32.710788757933,32.274644907827,32.512541553339,33511.0
2017-06-22,32.85,33.15,32.6,32.85,15265.0,0.0,1.0,32.562103354488,32.859474161378,32.314294348745996,32.562103354488,15265.0
2017-06-21,33.1,34.0,32.9,32.9,21359.0,0.0,1.0,32.80991236023,33.702024780901,32.611665155636004,32.611665155636004,21359.0
2017-06-20,33.65,33.7,32.85,33.0,13992.0,0.0,1.0,33.355092172862,33.404653974009996,32.562103354488,32.710788757933,13992.0
2017-06-19,33.85,34.0,33.55,33.8,18788.0,0.0,1.0,33.553339377455,33.702024780901,33.255968570565,33.503777576307,18788.0
2017-06-16,32.2,33.9,31.7,33.75,53551.0,0.0,1.0,31.917799939559004,33.602901178604,31.422181928075,33.454215775159,53551.0
2017-06-15,33.15,33.35,32.0,32.6,82928.0,0.0,1.0,32.859474161378,33.057721365972,31.719552734965,32.314294348745996,82928.0
2017-06-14,33.15,34.0,32.0,33.4,93891.0,0.0,1.0,32.859474161378,33.702024780901,31.719552734965,33.10728316712,93891.0
