Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,3.95,4.025,3.65,3.8,354838.0,0.0,1.0,3.95,4.025,3.65,3.8,354838.0
2018-03-26,4.15,4.2,3.9,3.95,455848.0,0.0,1.0,4.15,4.2,3.9,3.95,455848.0
2018-03-23,4.3,4.395,4.075,4.15,233780.0,0.0,1.0,4.3,4.395,4.075,4.15,233780.0
2018-03-22,4.4,4.45,4.15,4.3,228429.0,0.0,1.0,4.4,4.45,4.15,4.3,228429.0
2018-03-21,4.45,4.55,4.35,4.4,199086.0,0.0,1.0,4.45,4.55,4.35,4.4,199086.0
2018-03-20,4.75,4.75,4.4,4.45,178209.0,0.0,1.0,4.75,4.75,4.4,4.45,178209.0
2018-03-19,4.7,4.8,4.6,4.75,314975.0,0.0,1.0,4.7,4.8,4.6,4.75,314975.0
2018-03-16,4.65,4.75,4.55,4.7,308044.0,0.0,1.0,4.65,4.75,4.55,4.7,308044.0
2018-03-15,4.6,4.925,4.55,4.65,448416.0,0.0,1.0,4.6,4.925,4.55,4.65,448416.0
2018-03-14,4.6,4.6,4.35,4.55,172612.0,0.0,1.0,4.6,4.6,4.35,4.55,172612.0
2018-03-13,4.55,4.7,4.5,4.6,184652.0,0.0,1.0,4.55,4.7,4.5,4.6,184652.0
2018-03-12,4.6,4.69,4.45,4.5,240302.0,0.0,1.0,4.6,4.69,4.45,4.5,240302.0
2018-03-09,4.4,4.625,4.35,4.55,219329.0,0.0,1.0,4.4,4.625,4.35,4.55,219329.0
2018-03-08,4.55,4.7,4.25,4.4,272723.0,0.0,1.0,4.55,4.7,4.25,4.4,272723.0
2018-03-07,4.65,4.7,4.5,4.55,193224.0,0.0,1.0,4.65,4.7,4.5,4.55,193224.0
2018-03-06,4.5,4.8,4.45,4.65,383453.0,0.0,1.0,4.5,4.8,4.45,4.65,383453.0
2018-03-05,4.25,4.9,4.25,4.45,762258.0,0.0,1.0,4.25,4.9,4.25,4.45,762258.0
2018-03-02,4.25,4.35,4.1,4.3,363992.0,0.0,1.0,4.25,4.35,4.1,4.3,363992.0
2018-03-01,3.8,4.35,3.8,4.3,673572.0,0.0,1.0,3.8,4.35,3.8,4.3,673572.0
2018-02-28,3.7,3.9,3.55,3.85,647150.0,0.0,1.0,3.7,3.9,3.55,3.85,647150.0
2018-02-27,3.9,3.95,3.6,3.75,274875.0,0.0,1.0,3.9,3.95,3.6,3.75,274875.0
2018-02-26,3.75,3.95,3.55,3.85,603576.0,0.0,1.0,3.75,3.95,3.55,3.85,603576.0
2018-02-23,3.8,4.0,3.65,3.7,311335.0,0.0,1.0,3.8,4.0,3.65,3.7,311335.0
2018-02-22,4.0,4.1,3.7,3.75,725037.0,0.0,1.0,4.0,4.1,3.7,3.75,725037.0
2018-02-21,4.2,4.25,3.945,4.0,581114.0,0.0,1.0,4.2,4.25,3.945,4.0,581114.0
2018-02-20,4.35,4.45,4.075,4.2,404032.0,0.0,1.0,4.35,4.45,4.075,4.2,404032.0
2018-02-16,4.3,4.4,4.05,4.35,512362.0,0.0,1.0,4.3,4.4,4.05,4.35,512362.0
2018-02-15,4.7,4.8,4.25,4.3,967699.0,0.0,1.0,4.7,4.8,4.25,4.3,967699.0
2018-02-14,4.85,4.9,4.6,4.7,590852.0,0.0,1.0,4.85,4.9,4.6,4.7,590852.0
2018-02-13,4.6,4.9,4.45,4.85,562120.0,0.0,1.0,4.6,4.9,4.45,4.85,562120.0
2018-02-12,4.8,5.05,4.7,4.75,269916.0,0.0,1.0,4.8,5.05,4.7,4.75,269916.0
2018-02-09,4.8,4.85,4.55,4.8,316009.0,0.0,1.0,4.8,4.85,4.55,4.8,316009.0
2018-02-08,4.9,5.0,4.5,4.65,429460.0,0.0,1.0,4.9,5.0,4.5,4.65,429460.0
2018-02-07,4.8,4.9,4.7,4.75,260258.0,0.0,1.0,4.8,4.9,4.7,4.75,260258.0
