Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,50.14,50.2898,48.88,49.15,183993.0,0.0,1.0,50.14,50.2898,48.88,49.15,183993.0
2018-03-26,49.61,50.14,49.4,50.06,193861.0,0.0,1.0,49.61,50.14,49.4,50.06,193861.0
2018-03-23,50.52,50.64,49.22,49.28,145098.0,0.0,1.0,50.52,50.64,49.22,49.28,145098.0
2018-03-22,51.48,51.6015,50.25,50.31,227340.0,0.0,1.0,51.48,51.6015,50.25,50.31,227340.0
2018-03-21,52.19,52.4236,51.73,51.9,190759.0,0.0,1.0,52.19,52.4236,51.73,51.9,190759.0
2018-03-20,52.12,52.52,52.03,52.16,263645.0,0.0,1.0,52.12,52.52,52.03,52.16,263645.0
2018-03-19,51.8,52.15,51.57,51.91,208640.0,0.0,1.0,51.8,52.15,51.57,51.91,208640.0
2018-03-16,52.12,52.49,51.76,51.95,452615.0,0.0,1.0,52.12,52.49,51.76,51.95,452615.0
2018-03-15,52.47,52.69,51.9,52.17,366518.0,0.0,1.0,52.47,52.69,51.9,52.17,366518.0
2018-03-14,53.14,53.14,52.25,52.32,248046.0,0.0,1.0,53.14,53.14,52.25,52.32,248046.0
2018-03-13,53.33,53.39,52.64,52.72,156021.0,0.0,1.0,53.33,53.39,52.64,52.72,156021.0
2018-03-12,53.49,53.565,52.19,53.11,195359.0,0.0,1.0,53.49,53.565,52.19,53.11,195359.0
2018-03-09,53.11,53.76,52.59,53.58,206665.0,0.0,1.0,53.11,53.76,52.59,53.58,206665.0
2018-03-08,52.54,52.92,52.2,52.74,195027.0,0.0,1.0,52.54,52.92,52.2,52.74,195027.0
2018-03-07,51.52,52.61,51.52,52.39,244877.0,0.0,1.0,51.52,52.61,51.52,52.39,244877.0
2018-03-06,51.6,52.13,51.02,51.93,234696.0,0.0,1.0,51.6,52.13,51.02,51.93,234696.0
2018-03-05,50.15,51.8,50.15,51.47,238027.0,0.0,1.0,50.15,51.8,50.15,51.47,238027.0
2018-03-02,49.83,50.28,49.24,50.2,233135.0,0.0,1.0,49.83,50.28,49.24,50.2,233135.0
2018-03-01,51.04,51.325,50.03,50.1,269573.0,0.0,1.0,51.04,51.325,50.03,50.1,269573.0
2018-02-28,51.78,51.98,51.03,51.06,245725.0,0.0,1.0,51.78,51.98,51.03,51.06,245725.0
2018-02-27,52.13,52.335,51.61,51.65,230729.0,0.0,1.0,52.13,52.335,51.61,51.65,230729.0
2018-02-26,51.42,52.26,51.26,52.05,180074.0,0.0,1.0,51.42,52.26,51.26,52.05,180074.0
2018-02-23,50.74,51.22,50.58,51.16,333492.0,0.0,1.0,50.74,51.22,50.58,51.16,333492.0
2018-02-22,53.62,54.2081,52.58,52.79,366184.0,0.0,1.0,53.62,54.2081,52.58,52.79,366184.0
2018-02-21,53.4,54.7,53.3943,53.54,347818.0,0.0,1.0,53.4,54.7,53.3943,53.54,347818.0
2018-02-20,53.36,53.585,52.51,53.27,349741.0,0.0,1.0,53.36,53.585,52.51,53.27,349741.0
2018-02-16,53.17,54.07,53.055,53.6,168060.0,0.0,1.0,53.17,54.07,53.055,53.6,168060.0
2018-02-15,52.61,53.47,52.46,53.34,382985.0,0.0,1.0,52.61,53.47,52.46,53.34,382985.0
2018-02-14,51.81,52.5,51.71,52.24,375703.0,0.0,1.0,51.81,52.5,51.71,52.24,375703.0
2018-02-13,51.25,52.32,50.605,52.11,410261.0,0.0,1.0,51.25,52.32,50.605,52.11,410261.0
2018-02-12,52.5,53.3,50.26,51.54,768791.0,0.0,1.0,52.5,53.3,50.26,51.54,768791.0
2018-02-09,48.92,49.69,48.27,49.2,392994.0,0.0,1.0,48.92,49.69,48.27,49.2,392994.0
2018-02-08,50.26,50.26,48.45,48.45,318524.0,0.0,1.0,50.26,50.26,48.45,48.45,318524.0
2018-02-07,49.97,50.43,49.75,50.16,354359.0,0.0,1.0,49.97,50.43,49.75,50.16,354359.0
