Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-10-30,40.12,40.36,39.88,39.9,2971976.0,0.0,1.0,40.12,40.36,39.88,39.9,2971976.0
2017-10-27,40.07,40.28,39.76,40.28,2177911.0,0.0,1.0,40.07,40.28,39.76,40.28,2177911.0
2017-10-26,40.43,40.95,40.34,40.39,2764573.0,0.0,1.0,40.43,40.95,40.34,40.39,2764573.0
2017-10-25,40.3,40.4,39.72,40.24,2488132.0,0.0,1.0,40.3,40.4,39.72,40.24,2488132.0
2017-10-24,40.05,40.38,39.89,40.26,3444123.0,0.0,1.0,40.05,40.38,39.89,40.26,3444123.0
2017-10-23,40.85,40.9,39.68,39.8,5013959.0,0.0,1.0,40.85,40.9,39.68,39.8,5013959.0
2017-10-20,39.76,40.43,39.7,40.35,4478925.0,0.0,1.0,39.76,40.43,39.7,40.35,4478925.0
2017-10-19,39.33,39.795,39.16,39.47,2021340.0,0.0,1.0,39.33,39.795,39.16,39.47,2021340.0
2017-10-18,39.78,39.95,39.4,39.47,1462178.0,0.0,1.0,39.78,39.95,39.4,39.47,1462178.0
2017-10-17,39.35,39.72,39.07,39.64,1840250.0,0.0,1.0,39.35,39.72,39.07,39.64,1840250.0
2017-10-16,39.53,39.53,39.17,39.32,1825390.0,0.0,1.0,39.53,39.53,39.17,39.32,1825390.0
2017-10-13,39.4,39.745,39.31,39.57,2179197.0,0.0,1.0,39.4,39.745,39.31,39.57,2179197.0
2017-10-12,38.88,39.45,38.72,39.42,3029506.0,0.0,1.0,38.88,39.45,38.72,39.42,3029506.0
2017-10-11,39.52,39.67,38.72,38.87,4436815.0,0.0,1.0,39.52,39.67,38.72,38.87,4436815.0
2017-10-10,39.8,40.42,39.715,40.0,2759309.0,0.0,1.0,39.8,40.42,39.715,40.0,2759309.0
2017-10-09,39.83,39.88,39.45,39.68,1734040.0,0.0,1.0,39.83,39.88,39.45,39.68,1734040.0
2017-10-06,39.79,39.855,39.35,39.83,3082037.0,0.0,1.0,39.79,39.855,39.35,39.83,3082037.0
2017-10-05,39.17,39.9,38.7,39.81,4988727.0,0.0,1.0,39.17,39.9,38.7,39.81,4988727.0
