Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,42.7,42.85,41.44,41.63,295319.0,0.0,1.0,42.7,42.85,41.44,41.63,295319.0
2018-03-26,41.94,42.53,41.47,42.53,320460.0,0.0,1.0,41.94,42.53,41.47,42.53,320460.0
2018-03-23,43.15,43.17,40.83,41.22,487018.0,0.0,1.0,43.15,43.17,40.83,41.22,487018.0
2018-03-22,43.85,44.02,42.97,43.1,285194.0,0.0,1.0,43.85,44.02,42.97,43.1,285194.0
2018-03-21,44.12,44.81,43.95,44.24,255628.0,0.0,1.0,44.12,44.81,43.95,44.24,255628.0
2018-03-20,44.29,44.41,43.99,44.18,283214.0,0.0,1.0,44.29,44.41,43.99,44.18,283214.0
2018-03-19,44.12,44.34,43.3,44.23,416242.0,0.0,1.0,44.12,44.34,43.3,44.23,416242.0
2018-03-16,43.73,44.55,43.53,44.14,980365.0,0.0,1.0,43.73,44.55,43.53,44.14,980365.0
2018-03-15,43.32,43.76,43.0,43.7,347253.0,0.0,1.0,43.32,43.76,43.0,43.7,347253.0
2018-03-14,44.1,44.1,43.15,43.34,211826.0,0.0,1.0,44.1,44.1,43.15,43.34,211826.0
2018-03-13,44.4,44.4,43.71,43.94,184659.0,0.0,1.0,44.4,44.4,43.71,43.94,184659.0
2018-03-12,44.32,44.38,43.52,44.13,189683.0,0.0,1.0,44.32,44.38,43.52,44.13,189683.0
2018-03-09,44.1,44.34,43.42,44.2,257222.0,0.0,1.0,44.1,44.34,43.42,44.2,257222.0
2018-03-08,44.39,44.39,43.37,43.68,290270.0,0.0,1.0,44.39,44.39,43.37,43.68,290270.0
2018-03-07,43.41,44.44,42.95,44.32,253095.0,0.0,1.0,43.41,44.44,42.95,44.32,253095.0
2018-03-06,43.37,44.0,42.93,43.81,232582.0,0.0,1.0,43.37,44.0,42.93,43.81,232582.0
2018-03-05,42.53,43.69,41.99,43.37,229291.0,0.0,1.0,42.53,43.69,41.99,43.37,229291.0
2018-03-02,41.85,43.04,41.55,42.88,280042.0,0.0,1.0,41.85,43.04,41.55,42.88,280042.0
2018-03-01,41.69,42.39,41.45,42.25,392455.0,0.0,1.0,41.69,42.39,41.45,42.25,392455.0
2018-02-28,42.5,42.89,41.74,41.78,451916.0,0.0,1.0,42.5,42.89,41.74,41.78,451916.0
2018-02-27,42.68,43.41,41.71,42.36,428944.0,0.0,1.0,42.68,43.41,41.71,42.36,428944.0
2018-02-26,42.71,43.21,42.23,42.67,236685.0,0.0,1.0,42.71,43.21,42.23,42.67,236685.0
2018-02-23,42.08,42.7,42.05,42.68,107514.0,0.0,1.0,42.08,42.7,42.05,42.68,107514.0
2018-02-22,42.82,43.1332,42.03,42.04,198028.0,0.0,1.0,42.82,43.1332,42.03,42.04,198028.0
