Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,100.75,102.28,99.48,100.62,336302.0,0.0,1.0,100.75,102.28,99.48,100.62,336302.0
2018-03-26,99.72,101.01,99.3653,100.55,355777.0,0.0,1.0,99.72,101.01,99.3653,100.55,355777.0
2018-03-23,102.59,103.11,98.495,98.77,490829.0,0.0,1.0,102.59,103.11,98.495,98.77,490829.0
2018-03-22,102.71,104.39,102.54,102.69,368113.0,0.0,1.0,102.71,104.39,102.54,102.69,368113.0
2018-03-21,103.85,104.155,102.55,103.16,224790.0,0.0,1.0,103.85,104.155,102.55,103.16,224790.0
2018-03-20,104.89,105.52,102.91,104.27,309561.0,0.0,1.0,104.89,105.52,102.91,104.27,309561.0
2018-03-19,105.79,105.9,104.06,105.12,435739.0,0.0,1.0,105.79,105.9,104.06,105.12,435739.0
2018-03-16,105.35,106.35,104.64,106.23,424273.0,0.0,1.0,105.35,106.35,104.64,106.23,424273.0
2018-03-15,104.48,105.72,104.0,105.32,388468.0,0.0,1.0,104.48,105.72,104.0,105.32,388468.0
2018-03-14,104.03,104.66,103.56,104.29,528901.0,0.0,1.0,104.03,104.66,103.56,104.29,528901.0
2018-03-13,102.11,104.09,102.11,103.9,673054.0,0.0,1.0,102.11,104.09,102.11,103.9,673054.0
2018-03-12,99.99,102.42,99.6,101.81,620129.0,0.0,1.0,99.99,102.42,99.6,101.81,620129.0
2018-03-09,97.18,98.28,96.39,98.19,299240.0,0.0,1.0,97.18,98.28,96.39,98.19,299240.0
2018-03-08,96.75,97.35,95.91,96.85,271306.0,0.0,1.0,96.75,97.35,95.91,96.85,271306.0
2018-03-07,94.27,96.92,94.27,96.5,314818.0,0.0,1.0,94.27,96.92,94.27,96.5,314818.0
2018-03-06,95.54,96.5817,94.725,95.35,481537.0,0.0,1.0,95.54,96.5817,94.725,95.35,481537.0
2018-03-05,92.01,95.78,91.95,95.51,357890.0,0.0,1.0,92.01,95.78,91.95,95.51,357890.0
2018-03-02,92.24,92.5,90.91,92.5,301163.0,0.0,1.0,92.24,92.5,90.91,92.5,301163.0
2018-03-01,93.39,95.09,92.13,92.63,358184.0,0.0,1.0,93.39,95.09,92.13,92.63,358184.0
2018-02-28,94.83,95.45,93.46,93.85,384529.0,0.0,1.0,94.83,95.45,93.46,93.85,384529.0
2018-02-27,95.68,96.21,93.78,94.25,343694.0,0.0,1.0,95.68,96.21,93.78,94.25,343694.0
2018-02-26,96.31,96.44,94.87,95.96,366269.0,0.0,1.0,96.31,96.44,94.87,95.96,366269.0
2018-02-23,92.7,96.07,92.03,95.83,444698.0,0.0,1.0,92.7,96.07,92.03,95.83,444698.0
2018-02-22,91.38,92.47,89.76,91.82,879938.0,0.0,1.0,91.38,92.47,89.76,91.82,879938.0
2018-02-21,94.27,94.55,91.29,91.31,580467.0,0.0,1.0,94.27,94.55,91.29,91.31,580467.0
