Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,187.44,187.66,182.06,183.15,2176795.0,0.0,1.0,187.44,187.66,182.06,183.15,2176795.0
2018-03-26,183.03,187.56,182.335,187.22,1978626.0,0.0,1.0,183.03,187.56,182.335,187.22,1978626.0
2018-03-23,183.28,184.45,180.83,180.84,2210112.0,0.0,1.0,183.28,184.45,180.83,180.84,2210112.0
2018-03-22,184.9,185.5464,182.503,182.64,2444300.0,0.0,1.0,184.9,185.5464,182.503,182.64,2444300.0
2018-03-21,186.83,187.89,186.06,186.07,2023645.0,0.0,1.0,186.83,187.89,186.06,186.07,2023645.0
2018-03-20,185.1,187.58,184.6,187.35,1797614.0,0.0,1.0,185.1,187.58,184.6,187.35,1797614.0
2018-03-19,185.63,185.98,182.81,184.18,2062743.0,0.0,1.0,185.63,185.98,182.81,184.18,2062743.0
2018-03-16,186.18,186.25,184.47,185.87,3415226.0,0.0,1.0,186.18,186.25,184.47,185.87,3415226.0
2018-03-15,184.82,186.57,184.16,185.51,1658292.0,0.0,1.0,184.82,186.57,184.16,185.51,1658292.0
2018-03-14,188.78,189.01,183.5,184.63,2855897.0,0.0,1.0,188.78,189.01,183.5,184.63,2855897.0
2018-03-13,190.05,190.12,186.8,187.46,1761196.0,0.0,1.0,190.05,190.12,186.8,187.46,1761196.0
2018-03-12,188.27,190.09900000000002,187.55,189.37,2375530.0,0.0,1.0,188.27,190.09900000000002,187.55,189.37,2375530.0
2018-03-09,186.5,188.64,184.22,188.58,3273279.0,0.0,1.0,186.5,188.64,184.22,188.58,3273279.0
2018-03-08,186.19,186.3468,183.08,185.69,5960713.0,0.0,1.0,186.19,186.3468,183.08,185.69,5960713.0
2018-03-07,189.21,189.75,184.78,187.36,5157114.0,0.0,1.0,189.21,189.75,184.78,187.36,5157114.0
2018-03-06,192.14,192.25,190.0699,191.46,2458710.0,0.0,1.0,192.14,192.25,190.0699,191.46,2458710.0
2018-03-05,188.45,191.98,187.5,191.48,2155785.0,0.0,1.0,188.45,191.98,187.5,191.48,2155785.0
2018-03-02,187.48,190.39,187.2162,189.33,2275923.0,0.0,1.0,187.48,190.39,187.2162,189.33,2275923.0
2018-03-01,191.31,192.99,187.32,189.03,2447672.0,0.0,1.0,191.31,192.99,187.32,189.03,2447672.0
2018-02-28,191.6,193.76,190.89,190.9,2136542.0,0.0,1.0,191.6,193.76,190.89,190.9,2136542.0
2018-02-27,193.45,195.52,190.1,190.1,2153789.0,0.0,1.0,193.45,195.52,190.1,190.1,2153789.0
2018-02-26,190.1,193.095,189.93,192.81,1826549.0,0.0,1.0,190.1,193.095,189.93,192.81,1826549.0
2018-02-23,187.83,189.85,185.91,189.81,1535824.0,0.0,1.0,187.83,189.85,185.91,189.81,1535824.0
2018-02-22,186.35,188.33,185.66,186.59,1314028.0,0.0,1.0,186.35,188.33,185.66,186.59,1314028.0
2018-02-21,188.53,189.14,185.69,185.75,1731772.0,0.0,1.0,188.53,189.14,185.69,185.75,1731772.0
2018-02-20,189.87,191.48,187.63,188.12,2194898.0,0.0,1.0,189.87,191.48,187.63,188.12,2194898.0
2018-02-16,191.45,194.62,191.04,191.56,1953304.0,0.0,1.0,191.45,194.62,191.04,191.56,1953304.0
2018-02-15,188.09,191.71,186.57,191.48,2053489.0,0.0,1.0,188.09,191.71,186.57,191.48,2053489.0
2018-02-14,182.71,188.48,182.31,187.35,2160284.0,0.0,1.0,182.71,188.48,182.31,187.35,2160284.0
2018-02-13,180.22,184.6,180.05,184.15,2034895.0,0.0,1.0,180.22,184.6,180.05,184.15,2034895.0
2018-02-12,181.84,183.25900000000001,180.38,181.06,1590150.0,0.0,1.0,181.84,183.25900000000001,180.38,181.06,1590150.0
