Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,42.48,43.1147,42.34,42.69,2622057.0,0.0,1.0,42.48,43.1147,42.34,42.69,2622057.0
2018-03-26,42.56,42.6,41.94,42.47,2503556.0,0.0,1.0,42.56,42.6,41.94,42.47,2503556.0
2018-03-23,42.29,43.2,42.18,42.27,2822707.0,0.0,1.0,42.29,43.2,42.18,42.27,2822707.0
2018-03-22,42.06,43.07,41.8,42.1,2944128.0,0.0,1.0,42.06,43.07,41.8,42.1,2944128.0
2018-03-21,42.31,42.33,40.99,42.17,4240468.0,0.0,1.0,42.31,42.33,40.99,42.17,4240468.0
2018-03-20,43.72,43.82,42.78,43.12,2556831.0,0.0,1.0,43.72,43.82,42.78,43.12,2556831.0
2018-03-19,43.6,44.47,43.41,43.6,3292460.0,0.0,1.0,43.6,44.47,43.41,43.6,3292460.0
2018-03-16,43.36,44.2,43.34,43.58,5667416.0,0.0,1.0,43.36,44.2,43.34,43.58,5667416.0
2018-03-15,44.09,44.45,43.12,43.31,3093823.0,0.0,1.0,44.09,44.45,43.12,43.31,3093823.0
2018-03-14,44.35,44.635,44.0,44.2,4487989.0,0.0,1.0,44.35,44.635,44.0,44.2,4487989.0
2018-03-13,43.75,44.05,43.35,43.94,1863828.0,0.0,1.0,43.75,44.05,43.35,43.94,1863828.0
2018-03-12,43.74,44.16,43.585,43.59,2060672.0,0.0,1.0,43.74,44.16,43.585,43.59,2060672.0
2018-03-09,43.35,43.61,43.14,43.61,1780212.0,0.0,1.0,43.35,43.61,43.14,43.61,1780212.0
2018-03-08,43.29,43.66,43.13,43.14,2090440.0,0.0,1.0,43.29,43.66,43.13,43.14,2090440.0
2018-03-07,43.32,43.58,42.505,43.08,3011504.0,0.0,1.0,43.32,43.58,42.505,43.08,3011504.0
2018-03-06,43.45,43.94,43.27,43.9,3303457.0,0.0,1.0,43.45,43.94,43.27,43.9,3303457.0
2018-03-05,41.81,43.625,41.78,43.52,5365029.0,0.0,1.0,41.81,43.625,41.78,43.52,5365029.0
2018-03-02,42.07,43.02,41.9,42.02,5138510.0,0.0,1.0,42.07,43.02,41.9,42.02,5138510.0
2018-03-01,42.55,43.21,41.99,42.28,5207964.0,0.0,1.0,42.55,43.21,41.99,42.28,5207964.0
2018-02-28,44.07,44.15,43.05,43.05,4526473.0,0.0,1.0,44.07,44.15,43.05,43.05,4526473.0
2018-02-27,44.42,44.82,43.94,43.94,2825260.0,0.0,1.0,44.42,44.82,43.94,43.94,2825260.0
2018-02-26,44.17,44.74,43.96,44.37,2083847.0,0.0,1.0,44.17,44.74,43.96,44.37,2083847.0
2018-02-23,44.13,44.31,43.52,44.12,2383322.0,0.0,1.0,44.13,44.31,43.52,44.12,2383322.0
2018-02-22,43.09,44.44,43.09,43.96,4324062.0,0.0,1.0,43.09,44.44,43.09,43.96,4324062.0
2018-02-21,46.11,46.4,42.82,42.9,7569477.0,0.0,1.0,46.11,46.4,42.82,42.9,7569477.0
2018-02-20,46.19,46.51,45.75,46.08,3410125.0,0.0,1.0,46.19,46.51,45.75,46.08,3410125.0
2018-02-16,45.88,46.68,45.4699,46.17,7060102.0,0.0,1.0,45.88,46.68,45.4699,46.17,7060102.0
2018-02-15,47.0,48.1,46.12,47.7,3946692.0,0.0,1.0,47.0,48.1,46.12,47.7,3946692.0
2018-02-14,46.29,47.5163,46.25,46.96,3956383.0,0.0,1.0,46.29,47.5163,46.25,46.96,3956383.0
2018-02-13,46.11,46.87,45.91,46.65,2428194.0,0.0,1.0,46.11,46.87,45.91,46.65,2428194.0
2018-02-12,46.03,46.695,45.9,46.31,3181701.0,0.0,1.0,46.03,46.695,45.9,46.31,3181701.0
2018-02-09,45.26,46.08,44.9,45.73,3033994.0,0.0,1.0,45.26,46.08,44.9,45.73,3033994.0
2018-02-08,44.98,45.72,44.78,44.83,2805726.0,0.0,1.0,44.98,45.72,44.78,44.83,2805726.0
2018-02-07,45.0,45.8,44.78,44.8,1603160.0,0.0,1.0,45.0,45.8,44.78,44.8,1603160.0
2018-02-06,43.6,45.35,43.5,45.14,3894464.0,0.0,1.0,43.6,45.35,43.5,45.14,3894464.0
2018-02-05,44.36,45.26,44.2,44.22,3446396.0,0.0,1.0,44.36,45.26,44.2,44.22,3446396.0
2018-02-02,46.47,46.47,44.45,44.6,3401340.0,0.0,1.0,46.47,46.47,44.45,44.6,3401340.0
2018-02-01,46.46,47.13,46.12,46.78,1854581.0,0.0,1.0,46.46,47.13,46.12,46.78,1854581.0
2018-01-31,46.47,46.91,46.13,46.55,1789223.0,0.0,1.0,46.47,46.91,46.13,46.55,1789223.0
2018-01-30,46.84,47.2,46.25,46.4,2416972.0,0.0,1.0,46.84,47.2,46.25,46.4,2416972.0
2018-01-29,47.2,47.43,46.92,46.95,1392861.0,0.0,1.0,47.2,47.43,46.92,46.95,1392861.0
2018-01-26,47.66,47.82,47.02,47.34,1416882.0,0.0,1.0,47.66,47.82,47.02,47.34,1416882.0
2018-01-25,47.28,47.6,46.98,47.46,1516531.0,0.0,1.0,47.28,47.6,46.98,47.46,1516531.0
2018-01-24,47.79,47.81,46.9501,47.1,4310913.0,0.0,1.0,47.79,47.81,46.9501,47.1,4310913.0
2018-01-23,47.56,47.75,47.19,47.57,1468228.0,0.0,1.0,47.56,47.75,47.19,47.57,1468228.0
2018-01-22,47.47,47.96,47.45,47.65,3435799.0,0.0,1.0,47.47,47.96,47.45,47.65,3435799.0
2018-01-19,46.42,47.39,46.25,47.39,2479161.0,0.0,1.0,46.42,47.39,46.25,47.39,2479161.0
2018-01-18,46.82,46.83,46.21,46.25,1540499.0,0.0,1.0,46.82,46.83,46.21,46.25,1540499.0
2018-01-17,46.87,47.61,46.72,46.96,2022745.0,0.0,1.0,46.87,47.61,46.72,46.96,2022745.0
2018-01-16,46.88,47.09,46.23,46.44,3349485.0,0.0,1.0,46.88,47.09,46.23,46.44,3349485.0
2018-01-12,45.78,45.98,45.26,45.51,2163693.0,0.0,1.0,45.78,45.98,45.26,45.51,2163693.0
2018-01-11,45.93,46.13,45.65,45.75,1562158.0,0.0,1.0,45.93,46.13,45.65,45.75,1562158.0
2018-01-10,46.76,46.98,45.58,45.82,2996832.0,0.0,1.0,46.76,46.98,45.58,45.82,2996832.0
2018-01-09,47.26,47.53,47.18,47.3,2345276.0,0.0,1.0,47.26,47.53,47.18,47.3,2345276.0
2018-01-08,47.29,47.67,47.21,47.63,1584037.0,0.0,1.0,47.29,47.67,47.21,47.63,1584037.0
2018-01-05,47.25,47.53,46.91,47.29,1544082.0,0.0,1.0,47.25,47.53,46.91,47.29,1544082.0
2018-01-04,46.87,47.29,46.73,47.11,2483384.0,0.0,1.0,46.87,47.29,46.73,47.11,2483384.0
2018-01-03,47.43,47.53,46.7,46.72,2624043.0,0.0,1.0,47.43,47.53,46.7,46.72,2624043.0
2018-01-02,48.2,48.42,47.21,47.39,2197614.0,0.0,1.0,48.2,48.42,47.21,47.39,2197614.0
2017-12-29,48.48,48.9,48.1,48.11,1125249.0,0.0,1.0,48.48,48.9,48.1,48.11,1125249.0
2017-12-28,48.55,48.62,48.08,48.46,1230926.0,0.0,1.0,48.55,48.62,48.08,48.46,1230926.0
2017-12-27,48.48,48.865,48.48,48.58,1069854.0,0.0,1.0,48.48,48.865,48.48,48.58,1069854.0
2017-12-26,48.8,49.22,48.19,48.29,2364533.0,0.0,1.0,48.8,49.22,48.19,48.29,2364533.0
2017-12-22,48.825,49.0,48.52,48.77,1530826.0,0.0,1.0,48.825,49.0,48.52,48.77,1530826.0
2017-12-21,48.21,48.895,47.96,48.67,2330542.0,0.0,1.0,48.21,48.895,47.96,48.67,2330542.0
2017-12-20,48.78,49.1032,47.91,48.33,4012322.0,0.0,1.0,48.78,49.1032,47.91,48.33,4012322.0
2017-12-19,49.95,50.2,48.57,48.78,4108495.0,0.0,1.0,49.95,50.2,48.57,48.78,4108495.0
2017-12-18,48.735,50.66,48.67,49.66,5404311.0,0.0,1.0,48.735,50.66,48.67,49.66,5404311.0
2017-12-15,49.45,49.74,48.69,49.59,3532298.0,0.0,1.0,49.45,49.74,48.69,49.59,3532298.0
2017-12-14,48.96,49.29,48.53,48.56,3117426.0,0.0,1.0,48.96,49.29,48.53,48.56,3117426.0
2017-12-13,49.6,49.69,48.64,49.19,2845479.0,0.0,1.0,49.6,49.69,48.64,49.19,2845479.0
2017-12-12,48.65,50.02,48.42,49.76,4189092.0,0.0,1.0,48.65,50.02,48.42,49.76,4189092.0
2017-12-11,48.94,48.95,48.14,48.55,1851433.0,0.0,1.0,48.94,48.95,48.14,48.55,1851433.0
2017-12-08,49.35,49.43,48.63,48.95,1595236.0,0.0,1.0,49.35,49.43,48.63,48.95,1595236.0
2017-12-07,50.18,50.27,49.16,49.28,2606724.0,0.0,1.0,50.18,50.27,49.16,49.28,2606724.0
2017-12-06,49.72,50.27,49.48,50.19,1766474.0,0.0,1.0,49.72,50.27,49.48,50.19,1766474.0
2017-12-05,50.45,51.07,49.37,49.83,2491118.0,0.0,1.0,50.45,51.07,49.37,49.83,2491118.0
2017-12-04,49.35,50.36,49.22,50.32,3414756.0,0.0,1.0,49.35,50.36,49.22,50.32,3414756.0
2017-12-01,49.31,49.69,48.56,49.22,2973843.0,0.0,1.0,49.31,49.69,48.56,49.22,2973843.0
2017-11-30,49.14,49.65,47.97,49.3,3639790.0,0.0,1.0,49.14,49.65,47.97,49.3,3639790.0
2017-11-29,46.93,49.275,46.735,48.99,2779025.0,0.0,1.0,46.93,49.275,46.735,48.99,2779025.0
2017-11-28,46.7,46.95,45.78,46.94,2120559.0,0.0,1.0,46.7,46.95,45.78,46.94,2120559.0
2017-11-27,46.04,46.88,46.04,46.78,1961059.0,0.0,1.0,46.04,46.88,46.04,46.78,1961059.0
2017-11-24,46.71,46.83,45.91,46.04,1214109.0,0.0,1.0,46.71,46.83,45.91,46.04,1214109.0
2017-11-22,45.63,46.8,45.338,46.77,3947287.0,0.0,1.0,45.63,46.8,45.338,46.77,3947287.0
2017-11-21,46.2,47.21,45.14,45.84,12315389.0,0.0,1.0,46.2,47.21,45.14,45.84,12315389.0
2017-11-20,49.54,50.48,49.45,49.93,6007977.0,0.0,1.0,49.54,50.48,49.45,49.93,6007977.0
2017-11-17,48.13,49.76,48.13,49.72,4077333.0,0.0,1.0,48.13,49.76,48.13,49.72,4077333.0
2017-11-16,46.63,48.44,46.42,48.32,2322602.0,0.0,1.0,46.63,48.44,46.42,48.32,2322602.0
2017-11-15,47.72,47.89,46.38,46.42,2547895.0,0.0,1.0,47.72,47.89,46.38,46.42,2547895.0
2017-11-14,47.23,48.18,47.15,47.81,1694988.0,0.0,1.0,47.23,48.18,47.15,47.81,1694988.0
2017-11-13,47.39,47.84,47.08,47.27,1640456.0,0.0,1.0,47.39,47.84,47.08,47.27,1640456.0
2017-11-10,45.67,47.5,45.67,47.42,2354639.0,0.0,1.0,45.67,47.5,45.67,47.42,2354639.0
2017-11-09,46.64,47.04,45.58,45.64,3014275.0,0.0,1.0,46.64,47.04,45.58,45.64,3014275.0
2017-11-07,45.53,46.3,45.353,46.23,1626719.0,0.0,1.0,45.53,46.3,45.353,46.23,1626719.0
2017-11-06,46.48,46.51,45.07,45.43,2398391.0,0.0,1.0,46.48,46.51,45.07,45.43,2398391.0
2017-11-03,46.61,47.08,46.435,46.48,1086496.0,0.0,1.0,46.61,47.08,46.435,46.48,1086496.0
2017-11-02,47.5,47.53,46.33,46.85,1559456.0,0.0,1.0,47.5,47.53,46.33,46.85,1559456.0
2017-11-01,47.57,47.79,46.93,47.53,1701413.0,0.0,1.0,47.57,47.79,46.93,47.53,1701413.0
2017-10-31,46.81,48.0,46.81,47.37,3249581.0,0.0,1.0,46.81,48.0,46.81,47.37,3249581.0
2017-10-30,47.92,48.1,46.2203,46.36,5008138.0,0.0,1.0,47.92,48.1,46.2203,46.36,5008138.0
2017-10-27,47.66,48.25,47.25,48.13,4279499.0,0.0,1.0,47.66,48.25,47.25,48.13,4279499.0
2017-10-26,46.25,47.59,46.09,47.52,3831225.0,0.0,1.0,46.25,47.59,46.09,47.52,3831225.0
2017-10-25,46.0,46.35,45.185,46.22,2550730.0,0.0,1.0,46.0,46.35,45.185,46.22,2550730.0
2017-10-24,46.47,46.53,45.995,46.13,2104397.0,0.0,1.0,46.47,46.53,45.995,46.13,2104397.0
2017-10-23,46.09,46.5,45.81,46.45,2207577.0,0.0,1.0,46.09,46.5,45.81,46.45,2207577.0
2017-10-20,45.5,46.21,45.21,45.97,2164410.0,0.0,1.0,45.5,46.21,45.21,45.97,2164410.0
2017-10-19,45.62,46.03,45.32,45.37,2150216.0,0.0,1.0,45.62,46.03,45.32,45.37,2150216.0
2017-10-18,46.09,46.25,45.585,45.64,2155978.0,0.0,1.0,46.09,46.25,45.585,45.64,2155978.0
2017-10-17,46.63,46.74,45.9035,46.14,2136574.0,0.0,1.0,46.63,46.74,45.9035,46.14,2136574.0
2017-10-16,46.17,46.84,45.93,46.65,1996961.0,0.0,1.0,46.17,46.84,45.93,46.65,1996961.0
2017-10-13,46.24,46.41,45.86,46.18,1882804.0,0.0,1.0,46.24,46.41,45.86,46.18,1882804.0
2017-10-12,45.28,46.13,45.28,45.99,1904237.0,0.35,1.0,45.28,46.13,45.28,45.99,1904237.0
2017-10-11,46.3,46.51,45.44,45.74,2106194.0,0.0,1.0,45.950302114804,46.158716012085,45.096797583082,45.394531722054005,2106194.0
2017-10-10,45.67,46.34,45.47,46.24,2517966.0,0.0,1.0,45.325060422960995,45.99,45.126570996979,45.890755287009,2517966.0
2017-10-09,46.53,46.53,45.365,45.51,2438381.0,0.0,1.0,46.178564954683,46.178564954683,45.022364048338005,45.166268882175,2438381.0
2017-10-06,46.61,46.73,46.25,46.48,1519326.0,0.0,1.0,46.257960725075996,46.377054380664994,45.900679758308,46.128942598186995,1519326.0
