Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,368.45,370.26,356.11,359.99,219609.0,0.0,1.0,368.45,370.26,356.11,359.99,219609.0
2018-03-26,365.38,369.755,357.03,366.83,213115.0,0.0,1.0,365.38,369.755,357.03,366.83,213115.0
2018-03-23,358.43,362.56,355.05,361.42,298632.0,0.0,1.0,358.43,362.56,355.05,361.42,298632.0
2018-03-22,370.29,373.205,357.17,357.88,185831.0,0.0,1.0,370.29,373.205,357.17,357.88,185831.0
2018-03-21,374.9,378.57,370.8,373.73,179949.0,0.0,1.0,374.9,378.57,370.8,373.73,179949.0
2018-03-20,365.83,376.6,364.96,375.8,311293.0,0.0,1.0,365.83,376.6,364.96,375.8,311293.0
2018-03-19,365.54,372.22,361.7301,366.02,335031.0,0.0,1.0,365.54,372.22,361.7301,366.02,335031.0
2018-03-16,365.05,369.91,363.98,367.8,712188.0,0.0,1.0,365.05,369.91,363.98,367.8,712188.0
2018-03-15,364.71,365.72,361.16,363.59,193194.0,0.0,1.0,364.71,365.72,361.16,363.59,193194.0
2018-03-14,365.28,368.33,363.58,364.42,183691.0,0.0,1.0,365.28,368.33,363.58,364.42,183691.0
2018-03-13,358.95,364.01,356.62,363.1,215279.0,0.0,1.0,358.95,364.01,356.62,363.1,215279.0
2018-03-12,362.22,367.68,359.08,359.39,222526.0,0.0,1.0,362.22,367.68,359.08,359.39,222526.0
2018-03-09,359.39,361.67,357.22,361.22,160560.0,0.0,1.0,359.39,361.67,357.22,361.22,160560.0
2018-03-08,357.98,357.98,354.5,356.54,143555.0,0.0,1.0,357.98,357.98,354.5,356.54,143555.0
2018-03-07,355.5,359.66,354.81,356.06,157541.0,0.0,1.0,355.5,359.66,354.81,356.06,157541.0
2018-03-06,358.21,359.82,355.78,357.1,116242.0,0.0,1.0,358.21,359.82,355.78,357.1,116242.0
2018-03-05,346.83,358.08,340.11,357.08,209812.0,0.0,1.0,346.83,358.08,340.11,357.08,209812.0
2018-03-02,342.07,350.04,337.835,348.28,201929.0,0.0,1.0,342.07,350.04,337.835,348.28,201929.0
2018-03-01,343.04,351.365,341.47,344.5,230156.0,0.0,1.0,343.04,351.365,341.47,344.5,230156.0
2018-02-28,345.78,350.73,341.6,342.13,477625.0,0.0,1.0,345.78,350.73,341.6,342.13,477625.0
2018-02-27,352.0,352.5,343.995,344.0,224779.0,0.0,1.0,352.0,352.5,343.995,344.0,224779.0
2018-02-26,358.53,358.84,352.375,353.4,198292.0,0.0,1.0,358.53,358.84,352.375,353.4,198292.0
2018-02-23,352.93,356.77,348.31,354.91,164276.0,0.0,1.0,352.93,356.77,348.31,354.91,164276.0
2018-02-22,353.01,353.01,332.17,351.58,355533.0,0.0,1.0,353.01,353.01,332.17,351.58,355533.0
2018-02-21,351.85,356.06,349.775,352.11,197343.0,0.0,1.0,351.85,356.06,349.775,352.11,197343.0
2018-02-20,349.53,356.055,344.2701,351.84,145504.0,0.0,1.0,349.53,356.055,344.2701,351.84,145504.0
2018-02-16,347.8,352.635,347.4975,350.14,153637.0,0.0,1.0,347.8,352.635,347.4975,350.14,153637.0
2018-02-15,347.69,348.86,342.6,347.99,173469.0,0.0,1.0,347.69,348.86,342.6,347.99,173469.0
2018-02-14,341.89,348.535,341.13,345.63,214993.0,0.0,1.0,341.89,348.535,341.13,345.63,214993.0
2018-02-13,333.23,343.08,331.02,343.01,244063.0,0.0,1.0,333.23,343.08,331.02,343.01,244063.0
2018-02-12,330.25,338.27,326.1,334.06,152702.0,0.0,1.0,330.25,338.27,326.1,334.06,152702.0
