Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,40.44,42.2129,38.56,38.67,483516.0,0.0,1.0,40.44,42.2129,38.56,38.67,483516.0
2018-03-26,39.89,40.38,39.04,40.34,576381.0,0.0,1.0,39.89,40.38,39.04,40.34,576381.0
2018-03-23,41.96,42.41,39.17,39.17,849470.0,0.0,1.0,41.96,42.41,39.17,39.17,849470.0
2018-03-22,42.16,42.96,41.9,41.97,319043.0,0.0,1.0,42.16,42.96,41.9,41.97,319043.0
2018-03-21,42.46,43.06,42.36,42.69,315692.0,0.0,1.0,42.46,43.06,42.36,42.69,315692.0
2018-03-20,42.69,43.11,42.28,42.46,521616.0,0.0,1.0,42.69,43.11,42.28,42.46,521616.0
2018-03-19,43.52,44.6,42.04,42.7,667456.0,0.0,1.0,43.52,44.6,42.04,42.7,667456.0
2018-03-16,44.18,45.21,43.52,43.52,602023.0,0.0,1.0,44.18,45.21,43.52,43.52,602023.0
2018-03-15,45.57,46.19,43.48,44.18,1227660.0,0.0,1.0,45.57,46.19,43.48,44.18,1227660.0
2018-03-14,45.11,45.81,44.69,45.66,483595.0,0.0,1.0,45.11,45.81,44.69,45.66,483595.0
2018-03-13,45.73,45.76,44.44,44.54,505015.0,0.0,1.0,45.73,45.76,44.44,44.54,505015.0
2018-03-12,45.69,45.865,45.11,45.58,584802.0,0.0,1.0,45.69,45.865,45.11,45.58,584802.0
2018-03-09,44.73,45.57,44.39,45.57,791527.0,0.0,1.0,44.73,45.57,44.39,45.57,791527.0
2018-03-08,44.0,44.71,43.28,44.5,495826.0,0.0,1.0,44.0,44.71,43.28,44.5,495826.0
2018-03-07,43.08,43.97,42.71,43.96,699908.0,0.0,1.0,43.08,43.97,42.71,43.96,699908.0
2018-03-06,43.01,43.885,42.705,43.35,764121.0,0.0,1.0,43.01,43.885,42.705,43.35,764121.0
2018-03-05,42.4,43.55,41.625,42.94,1311229.0,0.0,1.0,42.4,43.55,41.625,42.94,1311229.0
2018-03-02,40.76,42.91,39.925,42.8,649569.0,0.0,1.0,40.76,42.91,39.925,42.8,649569.0
2018-03-01,40.94,41.645,40.32,41.15,566453.0,0.0,1.0,40.94,41.645,40.32,41.15,566453.0
2018-02-28,40.64,41.4,40.61,41.0,341472.0,0.0,1.0,40.64,41.4,40.61,41.0,341472.0
2018-02-27,41.54,41.64,40.62,40.64,241572.0,0.0,1.0,41.54,41.64,40.62,40.64,241572.0
2018-02-26,41.32,41.585,40.88,41.53,235097.0,0.0,1.0,41.32,41.585,40.88,41.53,235097.0
2018-02-23,40.69,41.33,40.43,41.32,186174.0,0.0,1.0,40.69,41.33,40.43,41.32,186174.0
2018-02-22,40.5,41.35,40.48,40.52,330086.0,0.0,1.0,40.5,41.35,40.48,40.52,330086.0
2018-02-21,40.71,41.3899,40.21,40.25,397556.0,0.0,1.0,40.71,41.3899,40.21,40.25,397556.0
2018-02-20,40.25,41.32,40.25,40.72,402990.0,0.0,1.0,40.25,41.32,40.25,40.72,402990.0
2018-02-16,40.22,40.96,39.74,40.55,498401.0,0.0,1.0,40.22,40.96,39.74,40.55,498401.0
2018-02-15,39.3,40.51,38.87,40.46,969764.0,0.0,1.0,39.3,40.51,38.87,40.46,969764.0
2018-02-14,38.18,39.93,37.7,39.1,861934.0,0.0,1.0,38.18,39.93,37.7,39.1,861934.0
2018-02-13,38.47,39.22,38.4,39.0,503371.0,0.0,1.0,38.47,39.22,38.4,39.0,503371.0
2018-02-12,37.74,38.61,37.26,38.52,584568.0,0.0,1.0,37.74,38.61,37.26,38.52,584568.0
2018-02-09,37.86,38.46,36.26,37.53,886968.0,0.0,1.0,37.86,38.46,36.26,37.53,886968.0
2018-02-08,39.63,39.92,37.42,37.42,644277.0,0.0,1.0,39.63,39.92,37.42,37.42,644277.0
2018-02-07,39.0,40.0,38.48,39.63,409111.0,0.0,1.0,39.0,40.0,38.48,39.63,409111.0
2018-02-06,37.63,39.15,37.17,39.13,405386.0,0.0,1.0,37.63,39.15,37.17,39.13,405386.0
2018-02-05,39.49,40.16,38.35,38.52,442825.0,0.0,1.0,39.49,40.16,38.35,38.52,442825.0
2018-02-02,40.63,41.0,39.92,39.93,384909.0,0.0,1.0,40.63,41.0,39.92,39.93,384909.0
2018-02-01,40.86,41.33,40.501,40.74,532561.0,0.0,1.0,40.86,41.33,40.501,40.74,532561.0
2018-01-31,41.06,41.61,41.06,41.13,402171.0,0.0,1.0,41.06,41.61,41.06,41.13,402171.0
2018-01-30,41.07,41.41,40.93,41.01,494008.0,0.0,1.0,41.07,41.41,40.93,41.01,494008.0
2018-01-29,42.07,42.18,41.54,41.61,333590.0,0.0,1.0,42.07,42.18,41.54,41.61,333590.0
2018-01-26,41.56,42.19,41.29,42.14,300737.0,0.0,1.0,41.56,42.19,41.29,42.14,300737.0
2018-01-25,42.17,42.4999,41.235,41.34,293150.0,0.0,1.0,42.17,42.4999,41.235,41.34,293150.0
2018-01-24,42.0,42.35,41.32,41.84,390046.0,0.0,1.0,42.0,42.35,41.32,41.84,390046.0
2018-01-23,41.27,42.16,40.86,41.99,703119.0,0.0,1.0,41.27,42.16,40.86,41.99,703119.0
2018-01-22,41.05,41.98,40.61,40.86,865605.0,0.0,1.0,41.05,41.98,40.61,40.86,865605.0
2018-01-19,39.64,40.28,39.43,40.12,420618.0,0.0,1.0,39.64,40.28,39.43,40.12,420618.0
2018-01-18,39.18,39.72,38.55,39.64,388025.0,0.0,1.0,39.18,39.72,38.55,39.64,388025.0
2018-01-17,39.41,39.41,38.3,39.28,472425.0,0.0,1.0,39.41,39.41,38.3,39.28,472425.0
2018-01-16,39.32,39.94,38.75,38.94,367771.0,0.0,1.0,39.32,39.94,38.75,38.94,367771.0
2018-01-12,38.95,39.74,38.75,39.17,555312.0,0.0,1.0,38.95,39.74,38.75,39.17,555312.0
2018-01-11,38.81,39.04,38.58,38.92,272001.0,0.0,1.0,38.81,39.04,38.58,38.92,272001.0
2018-01-10,38.27,39.16,38.05,38.66,420424.0,0.0,1.0,38.27,39.16,38.05,38.66,420424.0
2018-01-09,38.05,38.45,37.74,38.35,542347.0,0.0,1.0,38.05,38.45,37.74,38.35,542347.0
2018-01-08,37.09,38.13,36.72,38.1,602551.0,0.0,1.0,37.09,38.13,36.72,38.1,602551.0
2018-01-05,36.82,38.1,36.77,37.38,695479.0,0.0,1.0,36.82,38.1,36.77,37.38,695479.0
2018-01-04,35.59,36.83,35.59,36.34,470013.0,0.0,1.0,35.59,36.83,35.59,36.34,470013.0
2018-01-03,35.11,35.62,35.04,35.41,407260.0,0.0,1.0,35.11,35.62,35.04,35.41,407260.0
2018-01-02,35.41,35.71,34.97,35.09,856606.0,0.0,1.0,35.41,35.71,34.97,35.09,856606.0
2017-12-29,35.58,35.75,35.17,35.33,370885.0,0.0,1.0,35.58,35.75,35.17,35.33,370885.0
2017-12-28,35.06,35.57,34.895,35.55,386287.0,0.0,1.0,35.06,35.57,34.895,35.55,386287.0
2017-12-27,35.41,35.58,35.03,35.09,271281.0,0.0,1.0,35.41,35.58,35.03,35.09,271281.0
2017-12-26,34.96,35.68,34.78,35.31,453793.0,0.0,1.0,34.96,35.68,34.78,35.31,453793.0
2017-12-22,35.44,35.45,34.87,34.99,415633.0,0.0,1.0,35.44,35.45,34.87,34.99,415633.0
2017-12-21,35.32,35.865,35.14,35.58,323928.0,0.0,1.0,35.32,35.865,35.14,35.58,323928.0
2017-12-20,35.33,35.52,35.0,35.23,405298.0,0.0,1.0,35.33,35.52,35.0,35.23,405298.0
2017-12-19,35.31,35.59,34.912,35.13,392374.0,0.0,1.0,35.31,35.59,34.912,35.13,392374.0
2017-12-18,35.4,35.43,35.0,35.15,420464.0,0.0,1.0,35.4,35.43,35.0,35.15,420464.0
2017-12-15,34.81,35.28,34.32,35.07,680712.0,0.0,1.0,34.81,35.28,34.32,35.07,680712.0
2017-12-14,35.05,35.1,34.56,34.68,531205.0,0.0,1.0,35.05,35.1,34.56,34.68,531205.0
2017-12-13,35.0,35.5,34.92,35.06,403569.0,0.0,1.0,35.0,35.5,34.92,35.06,403569.0
2017-12-12,35.37,35.46,34.87,34.94,381692.0,0.0,1.0,35.37,35.46,34.87,34.94,381692.0
2017-12-11,35.45,35.99,35.11,35.36,568120.0,0.0,1.0,35.45,35.99,35.11,35.36,568120.0
2017-12-08,35.72,36.36,35.38,35.52,438498.0,0.0,1.0,35.72,36.36,35.38,35.52,438498.0
2017-12-07,35.51,35.84,35.235,35.56,512719.0,0.0,1.0,35.51,35.84,35.235,35.56,512719.0
2017-12-06,35.44,35.7,34.89,35.35,416869.0,0.0,1.0,35.44,35.7,34.89,35.35,416869.0
2017-12-05,35.51,36.31,35.23,35.66,441980.0,0.0,1.0,35.51,36.31,35.23,35.66,441980.0
2017-12-04,36.91,36.91,35.32,35.33,703509.0,0.0,1.0,36.91,36.91,35.32,35.33,703509.0
2017-12-01,36.97,37.06,35.73,36.82,677599.0,0.0,1.0,36.97,37.06,35.73,36.82,677599.0
2017-11-30,36.71,37.13,36.34,36.97,414877.0,0.0,1.0,36.71,37.13,36.34,36.97,414877.0
2017-11-29,37.31,37.31,36.48,36.61,413893.0,0.0,1.0,37.31,37.31,36.48,36.61,413893.0
2017-11-28,37.38,37.52,36.79,37.27,808016.0,0.0,1.0,37.38,37.52,36.79,37.27,808016.0
2017-11-27,37.54,37.91,36.91,37.26,484487.0,0.0,1.0,37.54,37.91,36.91,37.26,484487.0
2017-11-24,37.46,37.82,37.445,37.53,166251.0,0.0,1.0,37.46,37.82,37.445,37.53,166251.0
2017-11-22,37.13,37.48,36.56,37.27,349729.0,0.0,1.0,37.13,37.48,36.56,37.27,349729.0
2017-11-21,37.12,37.4822,36.41,37.15,732431.0,0.0,1.0,37.12,37.4822,36.41,37.15,732431.0
2017-11-20,36.95,37.15,36.43,36.98,574076.0,0.0,1.0,36.95,37.15,36.43,36.98,574076.0
2017-11-17,36.03,37.19,35.95,36.95,1099377.0,0.0,1.0,36.03,37.19,35.95,36.95,1099377.0
2017-11-16,34.66,36.21,34.28,36.13,1044412.0,0.0,1.0,34.66,36.21,34.28,36.13,1044412.0
2017-11-15,33.96,34.36,33.63,34.22,644127.0,0.0,1.0,33.96,34.36,33.63,34.22,644127.0
2017-11-14,34.16,34.61,33.57,34.51,1091500.0,0.0,1.0,34.16,34.61,33.57,34.51,1091500.0
2017-11-13,34.64,34.77,34.13,34.17,999655.0,0.0,1.0,34.64,34.77,34.13,34.17,999655.0
2017-11-10,34.58,35.28,34.58,34.76,1081611.0,0.0,1.0,34.58,35.28,34.58,34.76,1081611.0
2017-11-09,35.18,36.07,34.36,34.83,2815856.0,0.0,1.0,35.18,36.07,34.36,34.83,2815856.0
2017-11-07,37.68,37.86,36.395,37.3,1100205.0,0.0,1.0,37.68,37.86,36.395,37.3,1100205.0
2017-11-06,37.88,38.175,37.44,37.79,451901.0,0.0,1.0,37.88,38.175,37.44,37.79,451901.0
2017-11-03,38.08,38.08,37.5519,37.95,281236.0,0.0,1.0,38.08,38.08,37.5519,37.95,281236.0
2017-11-02,37.97,38.41,37.8,38.15,374374.0,0.0,1.0,37.97,38.41,37.8,38.15,374374.0
2017-11-01,38.76,38.76,37.88,37.98,617310.0,0.0,1.0,38.76,38.76,37.88,37.98,617310.0
2017-10-31,38.05,38.7467,37.76,38.36,591844.0,0.0,1.0,38.05,38.7467,37.76,38.36,591844.0
2017-10-30,39.55,39.55,37.82,37.99,707110.0,0.0,1.0,39.55,39.55,37.82,37.99,707110.0
2017-10-27,39.78,39.78,39.13,39.57,359821.0,0.0,1.0,39.78,39.78,39.13,39.57,359821.0
2017-10-26,39.18,39.93,39.175,39.51,231669.0,0.0,1.0,39.18,39.93,39.175,39.51,231669.0
2017-10-25,39.48,39.81,38.93,39.17,463582.0,0.0,1.0,39.48,39.81,38.93,39.17,463582.0
2017-10-24,39.71,39.88,39.46,39.58,210903.0,0.0,1.0,39.71,39.88,39.46,39.58,210903.0
2017-10-23,39.58,39.88,39.29,39.49,319397.0,0.0,1.0,39.58,39.88,39.29,39.49,319397.0
2017-10-20,39.88,39.93,39.5,39.62,397441.0,0.0,1.0,39.88,39.93,39.5,39.62,397441.0
2017-10-19,39.23,39.5,38.93,39.49,196551.0,0.0,1.0,39.23,39.5,38.93,39.49,196551.0
2017-10-18,39.41,39.84,39.31,39.55,273030.0,0.0,1.0,39.41,39.84,39.31,39.55,273030.0
2017-10-17,39.22,39.24,38.79,39.21,462369.0,0.0,1.0,39.22,39.24,38.79,39.21,462369.0
2017-10-16,39.48,39.98,38.71,39.02,361060.0,0.0,1.0,39.48,39.98,38.71,39.02,361060.0
2017-10-13,39.43,39.63,38.66,39.0,485961.0,0.0,1.0,39.43,39.63,38.66,39.0,485961.0
2017-10-12,40.05,40.25,39.07,39.13,620337.0,0.0,1.0,40.05,40.25,39.07,39.13,620337.0
2017-10-11,40.11,40.6,39.785,40.26,448412.0,0.0,1.0,40.11,40.6,39.785,40.26,448412.0
2017-10-10,40.72,40.96,40.0,40.1,485372.0,0.0,1.0,40.72,40.96,40.0,40.1,485372.0
2017-10-09,40.85,41.105,40.42,40.55,321397.0,0.0,1.0,40.85,41.105,40.42,40.55,321397.0
