Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,27.61,27.89,27.35,27.49,63957.0,0.0,1.0,27.61,27.89,27.35,27.49,63957.0
2018-03-26,27.74,27.77,27.32,27.62,70602.0,0.0,1.0,27.74,27.77,27.32,27.62,70602.0
2018-03-23,27.83,28.2522,27.43,27.44,142891.0,0.0,1.0,27.83,28.2522,27.43,27.44,142891.0
2018-03-22,28.11,28.25,27.8,27.83,68058.0,0.0,1.0,28.11,28.25,27.8,27.83,68058.0
2018-03-21,28.21,28.47,28.11,28.18,61013.0,0.0,1.0,28.21,28.47,28.11,28.18,61013.0
2018-03-20,28.48,28.77,28.09,28.19,47155.0,0.0,1.0,28.48,28.77,28.09,28.19,47155.0
2018-03-19,28.41,28.72,28.16,28.42,64501.0,0.0,1.0,28.41,28.72,28.16,28.42,64501.0
2018-03-16,28.35,28.57,28.21,28.41,122702.0,0.0,1.0,28.35,28.57,28.21,28.41,122702.0
2018-03-15,28.3,28.54,28.08,28.29,237225.0,0.0,1.0,28.3,28.54,28.08,28.29,237225.0
2018-03-14,28.08,28.46,28.01,28.33,108336.0,0.0,1.0,28.08,28.46,28.01,28.33,108336.0
2018-03-13,28.34,28.49,27.94,28.01,107993.0,0.0,1.0,28.34,28.49,27.94,28.01,107993.0
2018-03-12,28.29,28.42,28.12,28.29,99621.0,0.0,1.0,28.29,28.42,28.12,28.29,99621.0
2018-03-09,28.12,28.265,28.01,28.1,149435.0,0.0,1.0,28.12,28.265,28.01,28.1,149435.0
2018-03-08,28.02,28.16,27.87,28.0,61845.0,0.0,1.0,28.02,28.16,27.87,28.0,61845.0
2018-03-07,27.92,28.05,27.7973,27.97,57255.0,0.0,1.0,27.92,28.05,27.7973,27.97,57255.0
2018-03-06,27.67,28.13,27.45,28.05,88951.0,0.0,1.0,27.67,28.13,27.45,28.05,88951.0
2018-03-05,27.85,28.04,27.51,27.69,90590.0,0.0,1.0,27.85,28.04,27.51,27.69,90590.0
2018-03-02,27.41,28.15,27.41,27.85,149200.0,0.0,1.0,27.41,28.15,27.41,27.85,149200.0
2018-03-01,27.15,27.64,27.14,27.56,184401.0,0.0,1.0,27.15,27.64,27.14,27.56,184401.0
2018-02-28,27.65,27.72,27.21,27.22,54665.0,0.0,1.0,27.65,27.72,27.21,27.22,54665.0
2018-02-27,27.92,28.03,27.51,27.57,69415.0,0.0,1.0,27.92,28.03,27.51,27.57,69415.0
2018-02-26,27.8,27.87,27.55,27.81,96271.0,0.0,1.0,27.8,27.87,27.55,27.81,96271.0
2018-02-23,27.37,27.62,27.26,27.51,47316.0,0.0,1.0,27.37,27.62,27.26,27.51,47316.0
2018-02-22,27.39,27.56,27.08,27.32,69326.0,0.0,1.0,27.39,27.56,27.08,27.32,69326.0
2018-02-21,27.57,27.825,27.32,27.35,51250.0,0.0,1.0,27.57,27.825,27.32,27.35,51250.0
2018-02-20,27.49,27.76,27.31,27.59,113405.0,0.0,1.0,27.49,27.76,27.31,27.59,113405.0
2018-02-16,26.49,27.9,26.48,27.64,211212.0,0.0,1.0,26.49,27.9,26.48,27.64,211212.0
2018-02-15,25.62,26.5,25.62,26.25,144363.0,0.0,1.0,25.62,26.5,25.62,26.25,144363.0
2018-02-14,25.31,25.68,25.3,25.43,80846.0,0.0,1.0,25.31,25.68,25.3,25.43,80846.0
2018-02-13,25.46,25.8,25.26,25.52,70942.0,0.0,1.0,25.46,25.8,25.26,25.52,70942.0
2018-02-12,25.69,25.77,25.33,25.55,75390.0,0.0,1.0,25.69,25.77,25.33,25.55,75390.0
2018-02-09,25.96,25.96,25.3,25.77,105990.0,0.0,1.0,25.96,25.96,25.3,25.77,105990.0
2018-02-08,26.32,26.32,25.8,25.84,84195.0,0.0,1.0,26.32,26.32,25.8,25.84,84195.0
2018-02-07,25.76,26.35,25.55,26.25,125296.0,0.0,1.0,25.76,26.35,25.55,26.25,125296.0
2018-02-06,25.27,26.055,25.15,25.86,166432.0,0.0,1.0,25.27,26.055,25.15,25.86,166432.0
2018-02-05,26.23,26.58,25.48,25.6,206815.0,0.0,1.0,26.23,26.58,25.48,25.6,206815.0
2018-02-02,26.45,26.6,26.19,26.29,77986.0,0.0,1.0,26.45,26.6,26.19,26.29,77986.0
2018-02-01,26.51,26.7,26.08,26.47,112615.0,0.0,1.0,26.51,26.7,26.08,26.47,112615.0
2018-01-31,26.89,27.0,26.24,26.63,313548.0,0.0,1.0,26.89,27.0,26.24,26.63,313548.0
2018-01-30,26.69,26.91,26.66,26.83,125080.0,0.0,1.0,26.69,26.91,26.66,26.83,125080.0
2018-01-29,27.0,27.01,26.76,26.76,434983.0,0.0,1.0,27.0,27.01,26.76,26.76,434983.0
2018-01-26,27.1,27.67,26.615,26.99,73410.0,0.0,1.0,27.1,27.67,26.615,26.99,73410.0
2018-01-25,27.16,27.25,26.73,26.98,190803.0,0.0,1.0,27.16,27.25,26.73,26.98,190803.0
2018-01-24,26.77,27.23,26.56,27.11,167481.0,0.0,1.0,26.77,27.23,26.56,27.11,167481.0
2018-01-23,26.37,26.65,25.95,26.61,53736.0,0.0,1.0,26.37,26.65,25.95,26.61,53736.0
2018-01-22,26.08,26.39,25.785,26.35,86843.0,0.0,1.0,26.08,26.39,25.785,26.35,86843.0
2018-01-19,26.08,26.48,25.71,26.11,174845.0,0.0,1.0,26.08,26.48,25.71,26.11,174845.0
2018-01-18,26.45,26.5,25.97,26.11,159257.0,0.0,1.0,26.45,26.5,25.97,26.11,159257.0
2018-01-17,26.86,26.86,26.14,26.44,162250.0,0.0,1.0,26.86,26.86,26.14,26.44,162250.0
2018-01-16,26.66,27.14,26.65,26.73,87984.0,0.0,1.0,26.66,27.14,26.65,26.73,87984.0
2018-01-12,26.41,26.6,26.34,26.6,135000.0,0.0,1.0,26.41,26.6,26.34,26.6,135000.0
2018-01-11,26.22,26.56,26.22,26.41,82922.0,0.0,1.0,26.22,26.56,26.22,26.41,82922.0
2018-01-10,26.05,26.32,26.0139,26.22,97861.0,0.0,1.0,26.05,26.32,26.0139,26.22,97861.0
2018-01-09,26.8,26.8,26.11,26.15,76438.0,0.0,1.0,26.8,26.8,26.11,26.15,76438.0
2018-01-08,26.42,26.81,26.28,26.71,110529.0,0.0,1.0,26.42,26.81,26.28,26.71,110529.0
2018-01-05,26.52,26.67,26.27,26.42,69902.0,0.0,1.0,26.52,26.67,26.27,26.42,69902.0
2018-01-04,26.4,26.71,26.2697,26.46,130623.0,0.0,1.0,26.4,26.71,26.2697,26.46,130623.0
2018-01-03,25.96,26.31,25.64,26.21,119376.0,0.0,1.0,25.96,26.31,25.64,26.21,119376.0
2018-01-02,25.72,25.98,25.565,25.96,105348.0,0.0,1.0,25.72,25.98,25.565,25.96,105348.0
2017-12-29,26.13,26.13,25.69,25.71,56925.0,0.0,1.0,26.13,26.13,25.69,25.71,56925.0
2017-12-28,25.69,26.17,25.69,26.08,61252.0,0.0,1.0,25.69,26.17,25.69,26.08,61252.0
2017-12-27,25.59,25.8,25.59,25.68,44927.0,0.0,1.0,25.59,25.8,25.59,25.68,44927.0
2017-12-26,25.77,25.84,25.6,25.65,39907.0,0.0,1.0,25.77,25.84,25.6,25.65,39907.0
2017-12-22,25.72,26.12,25.53,25.75,81219.0,0.0,1.0,25.72,26.12,25.53,25.75,81219.0
2017-12-21,26.05,26.12,25.88,25.9,91285.0,0.0,1.0,26.05,26.12,25.88,25.9,91285.0
2017-12-20,26.04,26.35,25.9,26.01,75219.0,0.0,1.0,26.04,26.35,25.9,26.01,75219.0
2017-12-19,26.32,26.5,26.18,26.27,125385.0,0.0,1.0,26.32,26.5,26.18,26.27,125385.0
2017-12-18,26.33,26.47,26.14,26.23,107233.0,0.0,1.0,26.33,26.47,26.14,26.23,107233.0
2017-12-15,26.05,26.32,25.86,26.21,197831.0,0.0,1.0,26.05,26.32,25.86,26.21,197831.0
2017-12-14,26.24,26.29,25.825,25.84,57824.0,0.0,1.0,26.24,26.29,25.825,25.84,57824.0
2017-12-13,26.27,26.54,26.145,26.3,69130.0,0.0,1.0,26.27,26.54,26.145,26.3,69130.0
2017-12-12,26.36,26.495,26.195,26.33,78477.0,0.0,1.0,26.36,26.495,26.195,26.33,78477.0
2017-12-11,26.64,26.66,26.23,26.34,80158.0,0.0,1.0,26.64,26.66,26.23,26.34,80158.0
2017-12-08,26.53,26.78,26.34,26.63,535765.0,0.0,1.0,26.53,26.78,26.34,26.63,535765.0
2017-12-07,26.47,26.67,26.22,26.52,80015.0,0.0,1.0,26.47,26.67,26.22,26.52,80015.0
2017-12-06,26.1,26.57,25.71,26.49,100393.0,0.0,1.0,26.1,26.57,25.71,26.49,100393.0
2017-12-05,25.92,26.19,25.76,26.12,78698.0,0.0,1.0,25.92,26.19,25.76,26.12,78698.0
2017-12-04,25.89,26.06,25.71,25.92,66299.0,0.0,1.0,25.89,26.06,25.71,25.92,66299.0
2017-12-01,25.71,25.79,25.29,25.67,87765.0,0.0,1.0,25.71,25.79,25.29,25.67,87765.0
2017-11-30,26.01,26.03,25.48,25.62,103670.0,0.0,1.0,26.01,26.03,25.48,25.62,103670.0
2017-11-29,25.24,25.855,24.81,25.79,139859.0,0.0,1.0,25.24,25.855,24.81,25.79,139859.0
2017-11-28,25.03,25.29,24.88,25.22,79110.0,0.0,1.0,25.03,25.29,24.88,25.22,79110.0
2017-11-27,24.74,25.06,24.74,24.93,68890.0,0.0,1.0,24.74,25.06,24.74,24.93,68890.0
2017-11-24,25.11,25.11,24.57,24.74,35717.0,0.0,1.0,25.11,25.11,24.57,24.74,35717.0
2017-11-22,25.18,25.2,24.9701,25.01,38834.0,0.0,1.0,25.18,25.2,24.9701,25.01,38834.0
2017-11-21,24.86,25.09,24.55,25.07,95382.0,0.0,1.0,24.86,25.09,24.55,25.07,95382.0
2017-11-20,24.96,25.06,24.73,24.8,61544.0,0.0,1.0,24.96,25.06,24.73,24.8,61544.0
2017-11-17,24.56,25.04,24.55,24.97,137142.0,0.0,1.0,24.56,25.04,24.55,24.97,137142.0
2017-11-16,24.46,24.78,24.46,24.68,133869.0,0.0,1.0,24.46,24.78,24.46,24.68,133869.0
2017-11-15,24.46,24.85,24.46,24.63,120930.0,0.0,1.0,24.46,24.85,24.46,24.63,120930.0
2017-11-14,24.5,24.69,24.46,24.57,52234.0,0.0,1.0,24.5,24.69,24.46,24.57,52234.0
2017-11-13,24.85,25.28,24.54,24.63,69203.0,0.0,1.0,24.85,25.28,24.54,24.63,69203.0
2017-11-10,25.03,25.1,24.88,24.89,55097.0,0.0,1.0,25.03,25.1,24.88,24.89,55097.0
2017-11-09,25.03,25.215,24.94,25.03,71045.0,0.0,1.0,25.03,25.215,24.94,25.03,71045.0
2017-11-07,25.76,25.82,25.26,25.4,92796.0,0.0,1.0,25.76,25.82,25.26,25.4,92796.0
2017-11-06,25.62,25.84,25.51,25.7,57554.0,0.0,1.0,25.62,25.84,25.51,25.7,57554.0
2017-11-03,25.94,26.0,25.66,25.74,48661.0,0.0,1.0,25.94,26.0,25.66,25.74,48661.0
2017-11-02,25.89,26.06,25.81,25.94,77069.0,0.0,1.0,25.89,26.06,25.81,25.94,77069.0
2017-11-01,26.0,26.0,25.37,25.71,91595.0,0.0,1.0,26.0,26.0,25.37,25.71,91595.0
2017-10-31,25.46,25.95,25.39,25.9,70202.0,0.0,1.0,25.46,25.95,25.39,25.9,70202.0
2017-10-30,25.61,25.97,25.22,25.4,99277.0,0.0,1.0,25.61,25.97,25.22,25.4,99277.0
2017-10-27,25.96,25.96,25.43,25.58,95321.0,0.0,1.0,25.96,25.96,25.43,25.58,95321.0
2017-10-26,23.6,25.91,23.6,25.9,285357.0,0.0,1.0,23.6,25.91,23.6,25.9,285357.0
2017-10-25,24.33,24.53,23.92,23.98,141200.0,0.0,1.0,24.33,24.53,23.92,23.98,141200.0
2017-10-24,24.55,24.85,24.32,24.5,219043.0,0.0,1.0,24.55,24.85,24.32,24.5,219043.0
2017-10-23,24.66,24.74,24.26,24.5,126613.0,0.0,1.0,24.66,24.74,24.26,24.5,126613.0
2017-10-20,25.09,25.15,24.7,24.71,123330.0,0.0,1.0,25.09,25.15,24.7,24.71,123330.0
2017-10-19,24.91,25.17,24.82,24.99,77562.0,0.0,1.0,24.91,25.17,24.82,24.99,77562.0
2017-10-18,25.07,25.23,24.97,24.99,36489.0,0.0,1.0,25.07,25.23,24.97,24.99,36489.0
2017-10-17,25.48,25.48,24.99,25.0,97857.0,0.0,1.0,25.48,25.48,24.99,25.0,97857.0
2017-10-16,25.3,25.51,25.25,25.43,56901.0,0.0,1.0,25.3,25.51,25.25,25.43,56901.0
2017-10-13,25.44,25.49,25.28,25.32,52485.0,0.0,1.0,25.44,25.49,25.28,25.32,52485.0
2017-10-12,25.3,25.52,25.27,25.4,27585.0,0.0,1.0,25.3,25.52,25.27,25.4,27585.0
2017-10-11,25.71,25.71,25.33,25.4,33101.0,0.0,1.0,25.71,25.71,25.33,25.4,33101.0
2017-10-10,25.55,25.69,25.4,25.62,54296.0,0.0,1.0,25.55,25.69,25.4,25.62,54296.0
2017-10-09,25.47,25.54,25.29,25.37,47559.0,0.0,1.0,25.47,25.54,25.29,25.37,47559.0
2017-10-06,25.79,25.95,25.47,25.53,65118.0,0.0,1.0,25.79,25.95,25.47,25.53,65118.0
2017-10-05,25.92,26.08,25.81,25.84,154899.0,0.0,1.0,25.92,26.08,25.81,25.84,154899.0
2017-10-04,26.0,26.16,25.87,25.92,80389.0,0.0,1.0,26.0,26.16,25.87,25.92,80389.0
2017-10-03,25.84,25.93,25.55,25.93,72383.0,0.0,1.0,25.84,25.93,25.55,25.93,72383.0
2017-10-02,25.62,25.8,25.55,25.73,69777.0,0.0,1.0,25.62,25.8,25.55,25.73,69777.0
2017-09-29,25.88,25.88,25.53,25.6,60691.0,0.0,1.0,25.88,25.88,25.53,25.6,60691.0
2017-09-28,25.72,26.06,25.53,25.92,106759.0,0.0,1.0,25.72,26.06,25.53,25.92,106759.0
2017-09-27,25.54,25.78,25.22,25.74,108893.0,0.0,1.0,25.54,25.78,25.22,25.74,108893.0
2017-09-26,25.28,25.51,25.19,25.4,87412.0,0.0,1.0,25.28,25.51,25.19,25.4,87412.0
2017-09-25,25.0,25.3,24.96,25.22,198264.0,0.0,1.0,25.0,25.3,24.96,25.22,198264.0
2017-09-22,24.86,25.125,24.86,24.97,148447.0,0.0,1.0,24.86,25.125,24.86,24.97,148447.0
2017-09-21,24.53,24.98,24.51,24.9,187396.0,0.0,1.0,24.53,24.98,24.51,24.9,187396.0
2017-09-20,24.19,24.74,24.04,24.5,156904.0,0.0,1.0,24.19,24.74,24.04,24.5,156904.0
2017-09-19,24.15,24.38,24.11,24.17,123258.0,0.0,1.0,24.15,24.38,24.11,24.17,123258.0
2017-09-18,23.95,24.35,23.89,24.2,121451.0,0.0,1.0,23.95,24.35,23.89,24.2,121451.0
2017-09-15,24.0,24.1925,23.8,23.92,316147.0,0.0,1.0,24.0,24.1925,23.8,23.92,316147.0
2017-09-14,24.13,24.47,23.78,23.97,103124.0,0.0,1.0,24.13,24.47,23.78,23.97,103124.0
2017-09-13,23.88,24.27,23.88,24.15,125029.0,0.0,1.0,23.88,24.27,23.88,24.15,125029.0
2017-09-12,23.45,24.11,23.45,23.91,74083.0,0.0,1.0,23.45,24.11,23.45,23.91,74083.0
2017-09-11,23.37,23.665,23.37,23.5,99542.0,0.0,1.0,23.37,23.665,23.37,23.5,99542.0
2017-09-08,23.55,23.89,23.15,23.31,208770.0,0.0,1.0,23.55,23.89,23.15,23.31,208770.0
2017-09-07,24.02,24.06,23.5,23.57,177823.0,0.0,1.0,24.02,24.06,23.5,23.57,177823.0
2017-09-06,24.21,24.3196,23.9,23.96,83527.0,0.0,1.0,24.21,24.3196,23.9,23.96,83527.0
2017-09-05,24.28,24.5,24.05,24.21,94339.0,0.0,1.0,24.28,24.5,24.05,24.21,94339.0
2017-09-01,24.51,24.575,24.29,24.3,63337.0,0.0,1.0,24.51,24.575,24.29,24.3,63337.0
2017-08-31,24.27,24.54,24.27,24.49,220891.0,0.0,1.0,24.27,24.54,24.27,24.49,220891.0
2017-08-30,24.27,24.4,23.91,24.22,141199.0,0.0,1.0,24.27,24.4,23.91,24.22,141199.0
2017-08-29,24.24,24.52,24.19,24.27,107986.0,0.0,1.0,24.24,24.52,24.19,24.27,107986.0
2017-08-28,24.42,24.53,24.08,24.3,99513.0,0.0,1.0,24.42,24.53,24.08,24.3,99513.0
2017-08-25,24.26,24.8,24.26,24.39,99488.0,0.0,1.0,24.26,24.8,24.26,24.39,99488.0
2017-08-24,24.41,24.96,24.22,24.34,131344.0,0.0,1.0,24.41,24.96,24.22,24.34,131344.0
2017-08-23,24.13,24.51,23.77,24.28,126848.0,0.0,1.0,24.13,24.51,23.77,24.28,126848.0
2017-08-22,24.36,24.52,23.96,24.31,55773.0,0.0,1.0,24.36,24.52,23.96,24.31,55773.0
2017-08-21,24.14,24.16,23.96,24.11,43943.0,0.0,1.0,24.14,24.16,23.96,24.11,43943.0
2017-08-18,23.83,24.345,23.67,24.15,60898.0,0.0,1.0,23.83,24.345,23.67,24.15,60898.0
2017-08-17,24.09,24.4,23.9,23.92,57834.0,0.0,1.0,24.09,24.4,23.9,23.92,57834.0
2017-08-16,24.11,24.59,24.11,24.17,54602.0,0.0,1.0,24.11,24.59,24.11,24.17,54602.0
2017-08-15,24.51,24.51,24.0,24.07,116157.0,0.0,1.0,24.51,24.51,24.0,24.07,116157.0
2017-08-14,24.27,24.645,24.27,24.48,50792.0,0.0,1.0,24.27,24.645,24.27,24.48,50792.0
2017-08-11,24.84,24.91,24.19,24.22,122451.0,0.0,1.0,24.84,24.91,24.19,24.22,122451.0
2017-08-10,24.39,24.585,24.27,24.34,44309.0,0.05,1.0,24.39,24.585,24.27,24.34,44309.0
2017-08-09,24.2,24.55,23.725,24.52,77966.0,0.0,1.0,24.150389503895003,24.49967199672,23.676363263633,24.469733497335,77966.0
2017-08-08,24.22,24.84,24.1,24.32,84394.0,0.0,1.0,24.170348503485,24.789077490775,24.050594505945,24.270143501434998,84394.0
2017-08-07,24.61,24.8,24.16,24.24,100907.0,0.0,1.0,24.559548995489997,24.749159491595,24.110471504715,24.190307503074997,100907.0
2017-08-04,24.76,24.89,24.55,24.62,72941.0,0.0,1.0,24.709241492415,24.83897498975,24.49967199672,24.569528495285002,72941.0
2017-08-03,24.86,24.97,24.68,24.77,61759.0,0.0,1.0,24.809036490365,24.91881098811,24.629405494055,24.71922099221,61759.0
2017-08-02,24.77,24.86,24.57,24.83,237142.0,0.0,1.0,24.71922099221,24.809036490365,24.51963099631,24.779097990980002,237142.0
2017-08-01,24.54,24.73,24.34,24.71,89445.0,0.0,1.0,24.489692496925002,24.67930299303,24.290102501025,24.65934399344,89445.0
2017-07-31,24.9,25.08,24.37,24.39,172146.0,0.0,1.0,24.848954489545,25.028585485854997,24.320041000409997,24.34,172146.0
2017-07-28,24.09,24.94,23.59,24.91,454036.0,0.0,1.0,24.04061500615,24.888872488725,23.5416400164,24.85893398934,454036.0
2017-07-27,25.6,26.08,24.0701,24.23,317894.0,0.0,1.0,25.547519475195,26.026535465355,24.020755801558,24.18032800328,317894.0
2017-07-26,26.82,26.82,26.41,26.49,67971.0,0.0,1.0,26.765018450184,26.765018450184,26.355858958589998,26.43569495695,67971.0
2017-07-25,26.6,27.055,26.4689,26.8,80354.0,0.0,1.0,26.545469454695002,26.999536695367,26.414638212382002,26.745059450595,80354.0
2017-07-24,26.38,26.59,26.2,26.54,303710.0,0.0,1.0,26.325920459204998,26.535489954899997,26.146289462895,26.485592455925,303710.0
2017-07-21,26.54,26.61,26.23,26.39,87571.0,0.0,1.0,26.485592455925,26.55544895449,26.176227962279995,26.335899959000002,87571.0
