Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,2.77,2.77,2.64,2.68,36520.0,0.0,1.0,2.77,2.77,2.64,2.68,36520.0
2018-03-26,2.84,2.88,2.75,2.78,18634.0,0.0,1.0,2.84,2.88,2.75,2.78,18634.0
2018-03-23,2.83,2.83,2.79,2.8,15167.0,0.0,1.0,2.83,2.83,2.79,2.8,15167.0
2018-03-22,2.85,2.9,2.8001,2.85,31950.0,0.0,1.0,2.85,2.9,2.8001,2.85,31950.0
2018-03-21,2.89,2.93,2.87,2.93,32282.0,0.0,1.0,2.89,2.93,2.87,2.93,32282.0
2018-03-20,2.8,2.9,2.8,2.9,32147.0,0.0,1.0,2.8,2.9,2.8,2.9,32147.0
2018-03-19,2.8,2.83,2.78,2.78,16444.0,0.0,1.0,2.8,2.83,2.78,2.78,16444.0
2018-03-16,2.72,2.86,2.7,2.85,43341.0,0.0,1.0,2.72,2.86,2.7,2.85,43341.0
2018-03-15,2.7,2.8396,2.7,2.78,81941.0,0.0,1.0,2.7,2.8396,2.7,2.78,81941.0
2018-03-14,2.99,3.09,2.75,2.8,217938.0,0.0,1.0,2.99,3.09,2.75,2.8,217938.0
2018-03-13,3.28,3.28,3.13,3.25,99132.0,0.0,1.0,3.28,3.28,3.13,3.25,99132.0
2018-03-12,3.0,3.25,2.9901,3.24,112880.0,0.0,1.0,3.0,3.25,2.9901,3.24,112880.0
2018-03-09,2.88,3.05,2.88,3.02,106093.0,0.0,1.0,2.88,3.05,2.88,3.02,106093.0
2018-03-08,2.9,2.93,2.86,2.89,54507.0,0.0,1.0,2.9,2.93,2.86,2.89,54507.0
2018-03-07,2.87,2.9,2.85,2.85,54490.0,0.0,1.0,2.87,2.9,2.85,2.85,54490.0
2018-03-06,2.79,2.89,2.7663,2.85,37289.0,0.0,1.0,2.79,2.89,2.7663,2.85,37289.0
2018-03-05,2.85,2.875,2.74,2.75,34638.0,0.0,1.0,2.85,2.875,2.74,2.75,34638.0
2018-03-02,2.759,2.85,2.75,2.85,16278.0,0.0,1.0,2.759,2.85,2.75,2.85,16278.0
2018-03-01,2.85,2.89,2.75,2.79,22954.0,0.0,1.0,2.85,2.89,2.75,2.79,22954.0
2018-02-28,2.86,2.91,2.83,2.85,55539.0,0.0,1.0,2.86,2.91,2.83,2.85,55539.0
2018-02-27,2.86,2.86,2.72,2.84,32254.0,0.0,1.0,2.86,2.86,2.72,2.84,32254.0
2018-02-26,2.78,2.91,2.78,2.8,77296.0,0.0,1.0,2.78,2.91,2.78,2.8,77296.0
