Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,4.03,4.03,3.65,3.67,935530.0,0.0,1.0,4.03,4.03,3.65,3.67,935530.0
2018-03-26,4.0,4.05,3.95,4.0,656812.0,0.0,1.0,4.0,4.05,3.95,4.0,656812.0
2018-03-23,3.98,4.07,3.9,3.99,753041.0,0.0,1.0,3.98,4.07,3.9,3.99,753041.0
2018-03-22,4.03,4.125,3.93,3.93,863927.0,0.0,1.0,4.03,4.125,3.93,3.93,863927.0
2018-03-21,3.99,4.135,3.9885,4.03,1298678.0,0.0,1.0,3.99,4.135,3.9885,4.03,1298678.0
2018-03-20,3.9,4.08,3.88,4.0,1087043.0,0.0,1.0,3.9,4.08,3.88,4.0,1087043.0
2018-03-19,3.89,3.965,3.78,3.88,1087670.0,0.0,1.0,3.89,3.965,3.78,3.88,1087670.0
2018-03-16,4.08,4.17,3.88,3.89,1172732.0,0.0,1.0,4.08,4.17,3.88,3.89,1172732.0
2018-03-15,3.82,4.105,3.74,4.08,2500247.0,0.0,1.0,3.82,4.105,3.74,4.08,2500247.0
2018-03-14,3.84,3.845,3.71,3.81,617537.0,0.0,1.0,3.84,3.845,3.71,3.81,617537.0
2018-03-13,3.84,3.865,3.8,3.84,842812.0,0.0,1.0,3.84,3.865,3.8,3.84,842812.0
2018-03-12,3.83,3.88,3.79,3.84,517740.0,0.0,1.0,3.83,3.88,3.79,3.84,517740.0
2018-03-09,3.86,3.88,3.75,3.81,1063375.0,0.0,1.0,3.86,3.88,3.75,3.81,1063375.0
2018-03-08,3.85,3.905,3.77,3.82,1257759.0,0.0,1.0,3.85,3.905,3.77,3.82,1257759.0
2018-03-07,3.62,3.92,3.62,3.85,2532628.0,0.0,1.0,3.62,3.92,3.62,3.85,2532628.0
2018-03-06,3.76,3.8,3.6,3.63,1564435.0,0.0,1.0,3.76,3.8,3.6,3.63,1564435.0
2018-03-05,3.73,3.85,3.67,3.77,2138628.0,0.0,1.0,3.73,3.85,3.67,3.77,2138628.0
2018-03-02,3.62,3.85,3.545,3.75,2247841.0,0.0,1.0,3.62,3.85,3.545,3.75,2247841.0
2018-03-01,3.56,3.69,3.525,3.66,752182.0,0.0,1.0,3.56,3.69,3.525,3.66,752182.0
2018-02-28,3.66,3.72,3.55,3.55,925577.0,0.0,1.0,3.66,3.72,3.55,3.55,925577.0
2018-02-27,3.69,3.72,3.6,3.64,1110206.0,0.0,1.0,3.69,3.72,3.6,3.64,1110206.0
2018-02-26,3.77,3.79,3.6,3.69,1427253.0,0.0,1.0,3.77,3.79,3.6,3.69,1427253.0
2018-02-23,3.58,3.8,3.47,3.74,1038350.0,0.0,1.0,3.58,3.8,3.47,3.74,1038350.0
2018-02-22,3.19,3.61,3.11,3.56,1220537.0,0.0,1.0,3.19,3.61,3.11,3.56,1220537.0
2018-02-21,3.3,3.35,3.2,3.29,448878.0,0.0,1.0,3.3,3.35,3.2,3.29,448878.0
2018-02-20,3.36,3.4693,3.31,3.34,470148.0,0.0,1.0,3.36,3.4693,3.31,3.34,470148.0
2018-02-16,3.25,3.475,3.22,3.37,468687.0,0.0,1.0,3.25,3.475,3.22,3.37,468687.0
2018-02-15,3.42,3.43,3.235,3.26,631486.0,0.0,1.0,3.42,3.43,3.235,3.26,631486.0
2018-02-14,3.48,3.4999,3.31,3.42,631768.0,0.0,1.0,3.48,3.4999,3.31,3.42,631768.0
2018-02-13,3.25,3.52,3.2068,3.52,794450.0,0.0,1.0,3.25,3.52,3.2068,3.52,794450.0
2018-02-12,3.17,3.32,3.1492,3.26,452303.0,0.0,1.0,3.17,3.32,3.1492,3.26,452303.0
2018-02-09,3.2,3.27,3.04,3.17,631956.0,0.0,1.0,3.2,3.27,3.04,3.17,631956.0
