Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,90.2,91.4,89.45,90.75,144809.0,0.0,1.0,90.2,91.4,89.45,90.75,144809.0
2018-03-26,89.05,90.05,88.6,89.8,97723.0,0.0,1.0,89.05,90.05,88.6,89.8,97723.0
2018-03-23,89.25,91.3438,88.35,88.4,135474.0,0.0,1.0,89.25,91.3438,88.35,88.4,135474.0
2018-03-22,89.85,91.7,89.15,89.2,114662.0,0.0,1.0,89.85,91.7,89.15,89.2,114662.0
2018-03-21,91.3,92.5,90.2,90.3,154033.0,0.0,1.0,91.3,92.5,90.2,90.3,154033.0
2018-03-20,90.3,91.55,89.9,90.95,112547.0,0.0,1.0,90.3,91.55,89.9,90.95,112547.0
2018-03-19,90.75,91.05,89.25,89.95,148694.0,0.0,1.0,90.75,91.05,89.25,89.95,148694.0
2018-03-16,91.9,91.9,90.3,91.25,241427.0,0.0,1.0,91.9,91.9,90.3,91.25,241427.0
2018-03-15,94.2,95.75,91.4,92.05,141574.0,0.0,1.0,94.2,95.75,91.4,92.05,141574.0
2018-03-14,90.85,94.05,90.35,94.0,241976.0,0.0,1.0,90.85,94.05,90.35,94.0,241976.0
2018-03-13,90.85,92.15,90.225,90.8,151887.0,0.0,1.0,90.85,92.15,90.225,90.8,151887.0
2018-03-12,88.2,90.95,88.2,90.35,159650.0,0.0,1.0,88.2,90.95,88.2,90.35,159650.0
2018-03-09,87.3,88.15,86.1,88.0,134269.0,0.0,1.0,87.3,88.15,86.1,88.0,134269.0
2018-03-08,85.6,88.9,85.6,87.2,112241.0,0.0,1.0,85.6,88.9,85.6,87.2,112241.0
2018-03-07,84.45,84.6,79.7952,84.35,259346.0,0.0,1.0,84.45,84.6,79.7952,84.35,259346.0
2018-03-06,82.9,85.05,81.6,84.75,195348.0,0.0,1.0,82.9,85.05,81.6,84.75,195348.0
2018-03-05,84.05,84.35,82.65,82.75,197544.0,0.0,1.0,84.05,84.35,82.65,82.75,197544.0
2018-03-02,83.5,85.5,83.5,84.2,115686.0,0.0,1.0,83.5,85.5,83.5,84.2,115686.0
2018-03-01,85.0,86.1,83.75,84.15,136084.0,0.0,1.0,85.0,86.1,83.75,84.15,136084.0
