Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-24,133.83,134.92,131.75,131.9,1336063.0,0.0,1.0,133.83,134.92,131.75,131.9,1336063.0
2017-04-21,131.5,133.56,131.5,132.9,252682.0,0.0,1.0,131.5,133.56,131.5,132.9,252682.0
2017-04-20,132.22,133.29,131.02,131.97,889706.0,0.0,1.0,132.22,133.29,131.02,131.97,889706.0
2017-04-19,132.77,132.77,130.45,132.22,497773.0,0.0,1.0,132.77,132.77,130.45,132.22,497773.0
2017-04-18,135.56,135.56,131.81,132.13,416227.0,0.0,1.0,135.56,135.56,131.81,132.13,416227.0
2017-04-17,133.6,136.28,133.4,135.82,760060.0,0.0,1.0,133.6,136.28,133.4,135.82,760060.0
2017-04-13,134.09,135.54,133.2,133.6,157976.0,0.0,1.0,134.09,135.54,133.2,133.6,157976.0
2017-04-12,134.97,136.23,133.92,134.35,243285.0,0.0,1.0,134.97,136.23,133.92,134.35,243285.0
2017-04-11,135.12,135.12,132.88,134.72,127305.0,0.0,1.0,135.12,135.12,132.88,134.72,127305.0
2017-04-10,133.62,135.95,133.02,134.9,102573.0,0.0,1.0,133.62,135.95,133.02,134.9,102573.0
2017-04-07,133.41,133.8,132.31,132.49,64806.0,0.0,1.0,133.41,133.8,132.31,132.49,64806.0
2017-04-06,131.74,133.75,131.57299999999998,133.03,67722.0,0.0,1.0,131.74,133.75,131.57299999999998,133.03,67722.0
2017-04-05,133.5,134.52,130.57,131.08,125156.0,0.0,1.0,133.5,134.52,130.57,131.08,125156.0
2017-04-04,131.98,132.41,130.5,132.25,128406.0,0.0,1.0,131.98,132.41,130.5,132.25,128406.0
2017-04-03,131.8,131.99,130.46,131.21,98807.0,0.0,1.0,131.8,131.99,130.46,131.21,98807.0
2017-03-31,132.18,133.44,130.75,132.08,179677.0,0.0,1.0,132.18,133.44,130.75,132.08,179677.0
2017-03-30,134.3,135.02,131.65,131.79,85422.0,0.0,1.0,134.3,135.02,131.65,131.79,85422.0
2017-03-29,132.11,134.31,131.24,133.59,89132.0,0.0,1.0,132.11,134.31,131.24,133.59,89132.0
2017-03-28,128.53,132.03,128.02,131.77,189113.0,0.0,1.0,128.53,132.03,128.02,131.77,189113.0
2017-03-27,127.13,128.35,126.43,128.27,132604.0,0.0,1.0,127.13,128.35,126.43,128.27,132604.0
2017-03-24,128.6,129.05,127.5,128.02,74631.0,0.0,1.0,128.6,129.05,127.5,128.02,74631.0
2017-03-23,129.03,129.06,127.9,128.3,85482.0,0.0,1.0,129.03,129.06,127.9,128.3,85482.0
2017-03-22,128.24,129.79,128.0,129.47,112506.0,0.0,1.0,128.24,129.79,128.0,129.47,112506.0
