Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,31.51,32.09,30.12,30.85,2403098.0,0.0,1.0,31.51,32.09,30.12,30.85,2403098.0
2018-03-26,32.75,32.86,31.1,31.95,1393462.0,0.0,1.0,32.75,32.86,31.1,31.95,1393462.0
2018-03-23,32.43,33.29,31.62,32.24,1182554.0,0.0,1.0,32.43,33.29,31.62,32.24,1182554.0
2018-03-22,33.22,33.85,32.32,32.36,779100.0,0.0,1.0,33.22,33.85,32.32,32.36,779100.0
2018-03-21,33.64,34.36,33.47,33.67,568575.0,0.0,1.0,33.64,34.36,33.47,33.67,568575.0
2018-03-20,34.27,35.17,32.98,33.86,1424411.0,0.0,1.0,34.27,35.17,32.98,33.86,1424411.0
2018-03-19,35.58,35.7771,33.1,34.16,1751430.0,0.0,1.0,35.58,35.7771,33.1,34.16,1751430.0
2018-03-16,36.19,36.7,35.62,36.09,1418549.0,0.0,1.0,36.19,36.7,35.62,36.09,1418549.0
2018-03-15,40.09,40.3,34.6,36.23,3756558.0,0.0,1.0,40.09,40.3,34.6,36.23,3756558.0
2018-03-14,39.05,41.96,38.28,40.37,3352067.0,0.0,1.0,39.05,41.96,38.28,40.37,3352067.0
2018-03-13,36.55,37.43,35.73,36.59,1415486.0,0.0,1.0,36.55,37.43,35.73,36.59,1415486.0
2018-03-12,37.63,38.2,36.0,36.32,1683191.0,0.0,1.0,37.63,38.2,36.0,36.32,1683191.0
2018-03-09,38.53,38.8,37.48,37.54,732776.0,0.0,1.0,38.53,38.8,37.48,37.54,732776.0
2018-03-08,38.87,39.24,37.49,38.42,421175.0,0.0,1.0,38.87,39.24,37.49,38.42,421175.0
2018-03-07,38.31,38.53,37.12,38.31,662017.0,0.0,1.0,38.31,38.53,37.12,38.31,662017.0
2018-03-06,37.52,38.9,37.33,38.77,785135.0,0.0,1.0,37.52,38.9,37.33,38.77,785135.0
2018-03-05,38.21,38.28,36.6,37.23,1861518.0,0.0,1.0,38.21,38.28,36.6,37.23,1861518.0
2018-03-02,36.93,39.1,35.84,38.4,1960446.0,0.0,1.0,36.93,39.1,35.84,38.4,1960446.0
2018-03-01,41.77,42.0,38.44,39.31,1689647.0,0.0,1.0,41.77,42.0,38.44,39.31,1689647.0
