Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-03-22,66.0,66.0,66.0,66.0,214.0,0.0,1.0,66.0,66.0,66.0,66.0,214.0
2017-03-21,66.0,66.05,65.95,66.0,704106.0,0.0,1.0,66.0,66.05,65.95,66.0,704106.0
2017-03-20,66.0,66.05,65.95,66.0,1200125.0,0.0,1.0,66.0,66.05,65.95,66.0,1200125.0
2017-03-17,66.0,66.05,65.95,66.0,1465541.0,0.0,1.0,66.0,66.05,65.95,66.0,1465541.0
2017-03-16,65.95,66.0,65.95,66.0,585306.0,0.0,1.0,65.95,66.0,65.95,66.0,585306.0
2017-03-15,65.95,66.01,65.95,65.95,923530.0,0.0,1.0,65.95,66.01,65.95,65.95,923530.0
2017-03-14,65.95,66.05,65.9,65.95,1328377.0,0.0,1.0,65.95,66.05,65.9,65.95,1328377.0
2017-03-13,66.05,66.1,65.95,65.95,1151354.0,0.0,1.0,66.05,66.1,65.95,65.95,1151354.0
2017-03-10,66.1,66.15,66.05,66.05,889856.0,0.0,1.0,66.1,66.15,66.05,66.05,889856.0
2017-03-09,66.05,66.15,66.05,66.05,624762.0,0.0,1.0,66.05,66.15,66.05,66.05,624762.0
2017-03-08,66.0,66.1,66.0,66.0,700631.0,0.0,1.0,66.0,66.1,66.0,66.0,700631.0
2017-03-07,66.0,66.1,65.95,66.05,1569754.0,0.0,1.0,66.0,66.1,65.95,66.05,1569754.0
2017-03-06,66.05,66.1,65.95,65.95,464069.0,0.0,1.0,66.05,66.1,65.95,65.95,464069.0
2017-03-03,66.0,66.1,65.95,66.1,805282.0,0.0,1.0,66.0,66.1,65.95,66.1,805282.0
2017-03-02,66.1,66.2,65.95,65.95,1050576.0,0.0,1.0,66.1,66.2,65.95,65.95,1050576.0
2017-03-01,66.1,66.3,66.05,66.1,409363.0,0.0,1.0,66.1,66.3,66.05,66.1,409363.0
2017-02-28,66.25,66.375,66.0,66.0,1407029.0,0.0,1.0,66.25,66.375,66.0,66.0,1407029.0
2017-02-27,66.3,66.35,66.25,66.3,690120.0,0.0,1.0,66.3,66.35,66.25,66.3,690120.0
2017-02-24,66.25,66.4,66.2,66.3,1054114.0,0.0,1.0,66.25,66.4,66.2,66.3,1054114.0
2017-02-23,66.25,66.5,66.25,66.25,934246.0,0.0,1.0,66.25,66.5,66.25,66.25,934246.0
2017-02-22,66.1,66.65,66.1,66.3,1615735.0,0.0,1.0,66.1,66.65,66.1,66.3,1615735.0
